map,scenid,tcost,distance,expect,steps,access,r,itype
lt_house,0,949.2,4.41421,4.41421,4,1,0,backward
lt_house,1,704.8,4,4,4,1,0,backward
lt_house,2,704.6,4.82843,4.82843,4,1,0,backward
lt_house,3,754.8,4.41421,4.41421,4,2,0,backward
lt_house,4,903.4,4.41421,4.41421,4,3,0,backward
lt_house,5,706,4,4,4,2,0,backward
lt_house,6,779.6,5.41421,5.41421,5,1,0,backward
lt_house,7,741.4,4.82843,4.82843,4,2,0,backward
lt_house,8,781,5.65685,5.65685,4,2,0,backward
lt_house,9,806.4,4,4,4,3,0,backward
lt_house,10,955.2,8.65685,8.65685,7,4,0,backward
lt_house,11,1250.4,9.82843,9.82843,9,2,0,backward
lt_house,12,1042.2,9.65685,9.65685,8,1,0,backward
lt_house,13,1619.8,11.6569,11.6569,10,6,0,backward
lt_house,14,1177.2,8.82843,8.82843,8,3,0,backward
lt_house,15,1171.8,9.24264,9.24264,8,2,0,backward
lt_house,16,1343.4,11.6569,11.6569,10,3,0,backward
lt_house,17,1044.4,10,10,10,1,0,backward
lt_house,18,937.6,11.3137,11.3137,8,1,0,backward
lt_house,19,747.6,8.24264,8.24264,7,1,0,backward
lt_house,20,1192,13.8995,13.8995,11,2,0,backward
lt_house,21,1560.6,15.4853,15.4853,13,3,0,backward
lt_house,22,1625.4,12.2426,12.2426,11,6,0,backward
lt_house,23,1089.8,12.7279,12.7279,9,2,0,backward
lt_house,24,1630,15.0711,15.0711,13,7,0,backward
lt_house,25,1206.4,13.0711,13.0711,11,3,0,backward
lt_house,26,1105.6,12.2426,12.2426,11,1,0,backward
lt_house,27,1779.6,15.8284,15.8284,15,7,0,backward
lt_house,28,1223.8,14.4142,14.4142,14,4,0,backward
lt_house,29,1034.8,15.0711,15.0711,13,2,0,backward
lt_house,30,1209.6,19.0711,19.0711,17,2,0,backward
lt_house,31,1757.2,17.4853,17.4853,15,7,0,backward
lt_house,32,1568,18.2426,18.2426,17,1,0,backward
lt_house,33,1248.4,17.8995,17.8995,15,2,0,backward
lt_house,34,1712.8,16.6569,16.6569,15,5,0,backward
lt_house,35,1483.4,16.4853,16.4853,14,3,0,backward
lt_house,36,1686,16.8995,16.8995,14,4,0,backward
lt_house,37,1528.6,18.2426,18.2426,17,1,0,backward
lt_house,38,1714,16.4853,16.4853,14,5,0,backward
lt_house,39,2034.4,18.2426,18.2426,17,6,0,backward
lt_house,40,1857,23.9706,23.9706,19,4,0,backward
lt_house,41,1626.8,20.3137,20.3137,17,6,0,backward
lt_house,42,2295,22.1421,22.1421,18,11,0,backward
lt_house,43,1861.4,21.9706,21.9706,17,6,0,backward
lt_house,44,1846.6,21.8284,21.8284,21,1,0,backward
lt_house,45,1748.8,20.8284,20.8284,20,1,0,backward
lt_house,46,1929.2,20.4142,20.4142,20,4,0,backward
lt_house,47,2421.4,22.8284,22.8284,22,11,0,backward
lt_house,48,2436,22.8995,22.8995,20,8,0,backward
lt_house,49,2054.2,22.2426,22.2426,21,3,0,backward
lt_house,50,2347.6,26.2426,26.2426,25,3,0,backward
lt_house,51,2031.6,25.6569,25.6569,24,1,0,backward
lt_house,52,2880,27.8995,27.8995,25,14,0,backward
lt_house,53,2486.8,26.6569,26.6569,25,8,0,backward
lt_house,54,2293.4,24.4142,24.4142,24,4,0,backward
lt_house,55,2283,25.4853,25.4853,23,4,0,backward
lt_house,56,2213.6,25.8995,25.8995,23,5,0,backward
lt_house,57,2145.4,27.8995,27.8995,25,7,0,backward
lt_house,58,2148.4,26.7279,26.7279,23,6,0,backward
lt_house,59,2011.2,27.3137,27.3137,24,7,0,backward
lt_house,60,2053.4,31.2426,31.2426,30,7,0,backward
lt_house,61,2372.4,28.3137,28.3137,25,8,0,backward
lt_house,62,2926,31.1421,31.1421,27,13,0,backward
lt_house,63,2638.4,28.1421,28.1421,24,7,0,backward
lt_house,64,2792.8,29.1421,29.1421,25,13,0,backward
lt_house,65,2668.6,31.3848,31.3848,26,7,0,backward
lt_house,66,2396.4,30.5563,30.5563,26,14,0,backward
lt_house,67,2675.2,31.6569,31.6569,30,4,0,backward
lt_house,68,2715,28.5563,28.5563,24,14,0,backward
lt_house,69,2433.4,28.7279,28.7279,25,9,0,backward
lt_house,70,2535,34.1421,34.1421,30,8,0,backward
lt_house,71,2169.4,34.2426,34.2426,33,8,0,backward
lt_house,72,1740.6,33.8995,33.8995,31,4,0,backward
lt_house,73,3035.2,32.1421,32.1421,28,10,0,backward
lt_house,74,3025,34.3137,34.3137,31,13,0,backward
lt_house,75,2646,34.6569,34.6569,33,7,0,backward
lt_house,76,2653.4,32.0711,32.0711,30,7,0,backward
lt_house,77,2621,32.7279,32.7279,29,7,0,backward
lt_house,78,2779.4,33.3848,33.3848,28,10,0,backward
lt_house,79,2529.4,35.4853,35.4853,33,15,0,backward
lt_house,80,2352.4,38.7279,38.7279,35,8,0,backward
lt_house,81,2838.4,39.8995,39.8995,37,11,0,backward
lt_house,82,2982.4,37.7279,37.7279,34,10,0,backward
lt_house,83,2730.4,38.3137,38.3137,35,13,0,backward
lt_house,84,3121.2,37.6569,37.6569,36,15,0,backward
lt_house,85,3604,36,36,36,7,0,backward
lt_house,86,2479.8,38.6274,38.6274,32,12,0,backward
lt_house,87,3261,38.3137,38.3137,35,16,0,backward
lt_house,88,2364,36.3848,36.3848,31,9,0,backward
lt_house,89,2705,37.6569,37.6569,36,7,0,backward
lt_house,90,2778.6,42.6569,42.6569,41,7,0,backward
lt_house,91,3480.6,43.2132,43.2132,37,16,0,backward
lt_house,92,2703.4,40.9706,40.9706,36,8,0,backward
lt_house,93,3464,42.7279,42.7279,39,18,0,backward
lt_house,94,3698.4,43.1421,43.1421,39,16,0,backward
lt_house,95,2807,41.4853,41.4853,39,9,0,backward
lt_house,96,2954.6,43.4558,43.4558,36,13,0,backward
lt_house,97,3033.2,41.3848,41.3848,36,11,0,backward
lt_house,98,3310,43.7279,43.7279,40,16,0,backward
lt_house,99,2737.6,40.4558,40.4558,33,11,0,backward
lt_house,100,3377.2,46.3137,46.3137,43,12,0,backward
lt_house,101,3847,46.2132,46.2132,40,16,0,backward
lt_house,102,3793.4,46.8701,46.8701,39,17,0,backward
lt_house,103,3798.2,45.6985,45.6985,37,15,0,backward
