map,scenid,tcost,distance,expect,steps,access,r,itype
lt_ruinedhouse_n,0,363.4,7.24264,7.24264,6,1,2,backward
lt_ruinedhouse_n,1,266.8,7.65685,7.65685,6,2,2,backward
lt_ruinedhouse_n,2,227.8,5,5,5,2,2,backward
lt_ruinedhouse_n,3,186.6,6.24264,6.24264,5,2,2,backward
lt_ruinedhouse_n,4,197.6,6.65685,6.65685,5,1,2,backward
lt_ruinedhouse_n,5,278,7,6.41421,7,2,2,backward
lt_ruinedhouse_n,6,257.8,6,5.41421,6,2,2,backward
lt_ruinedhouse_n,7,245.2,6.65685,6.65685,5,3,2,backward
lt_ruinedhouse_n,8,328.4,7.07107,5.65685,5,2,2,backward
lt_ruinedhouse_n,9,193.6,6.82843,6.24264,6,2,2,backward
lt_ruinedhouse_n,10,339.4,10.0711,10.0711,8,5,2,backward
lt_ruinedhouse_n,11,226,10.8995,10.8995,8,1,2,backward
lt_ruinedhouse_n,12,271.2,11.8284,11.8284,11,2,2,backward
lt_ruinedhouse_n,13,408.4,10.2426,10.2426,9,4,2,backward
lt_ruinedhouse_n,14,335.2,9.82843,8.82843,9,3,2,backward
lt_ruinedhouse_n,15,343.2,10.4142,10.4142,10,4,2,backward
lt_ruinedhouse_n,16,291.8,10.6569,10.6569,9,1,2,backward
lt_ruinedhouse_n,17,203.8,8.24264,8.24264,7,1,2,backward
lt_ruinedhouse_n,18,272,9.82843,8.41421,9,2,2,backward
lt_ruinedhouse_n,19,304.8,11,11,11,2,2,backward
lt_ruinedhouse_n,20,368,15.4142,14,15,2,2,backward
lt_ruinedhouse_n,21,326.2,15.4142,14.8284,15,2,2,backward
lt_ruinedhouse_n,22,325.6,14,13.4142,14,2,2,backward
lt_ruinedhouse_n,23,336.8,15.8995,13.8995,13,2,2,backward
lt_ruinedhouse_n,24,264.6,12.4853,12.4853,10,3,2,backward
lt_ruinedhouse_n,25,326.4,14.6569,13.8284,13,2,2,backward
lt_ruinedhouse_n,26,291.6,16.7279,14.7279,13,2,2,backward
lt_ruinedhouse_n,27,480.6,14.8284,13.8284,14,6,2,backward
lt_ruinedhouse_n,28,365.8,13.0711,12.0711,11,5,2,backward
lt_ruinedhouse_n,29,317.4,14.0711,12.0711,12,2,2,backward
lt_ruinedhouse_n,30,362.4,16.4142,16.4142,16,2,2,backward
lt_ruinedhouse_n,31,399,21.5563,19.5563,17,2,2,backward
lt_ruinedhouse_n,32,411.6,19.4853,18.6569,17,3,2,backward
lt_ruinedhouse_n,33,345.2,20.3848,18.9706,15,2,2,backward
lt_ruinedhouse_n,34,313.4,17.0711,17.0711,15,2,2,backward
lt_ruinedhouse_n,35,413,16.7279,16.7279,13,5,2,backward
lt_ruinedhouse_n,36,391.2,17.6569,16.8284,16,2,2,backward
lt_ruinedhouse_n,37,393.2,17.4142,16.8284,17,3,2,backward
lt_ruinedhouse_n,38,409,17.8284,16.4142,17,2,2,backward
lt_ruinedhouse_n,39,371.8,18.1421,17.3137,14,3,2,backward
lt_ruinedhouse_n,40,419.4,22.4853,22.4853,20,1,2,backward
lt_ruinedhouse_n,41,381,20.8995,20.8995,18,2,2,backward
lt_ruinedhouse_n,42,404.6,23.8995,23.3137,21,3,2,backward
lt_ruinedhouse_n,43,428.4,23.4853,23.4853,21,8,2,backward
lt_ruinedhouse_n,44,428.2,21.9706,21.9706,17,1,2,backward
lt_ruinedhouse_n,45,418.4,20.2426,20.2426,19,2,2,backward
lt_ruinedhouse_n,46,413.2,24.4853,22.0711,22,3,2,backward
lt_ruinedhouse_n,47,551.6,25.2426,22.4142,24,3,2,backward
lt_ruinedhouse_n,48,462,21.4142,21.4142,21,1,2,backward
lt_ruinedhouse_n,49,591.2,22.1421,21.5563,18,5,2,backward
lt_ruinedhouse_n,50,575.4,30.3137,27.4853,27,3,2,backward
lt_ruinedhouse_n,51,452.2,26.4853,24.4853,24,3,2,backward
lt_ruinedhouse_n,52,455.4,24.3848,24.3848,19,4,2,backward
lt_ruinedhouse_n,53,494.4,26.5563,25.5563,22,2,2,backward
lt_ruinedhouse_n,54,497,27.799,27.799,22,2,2,backward
lt_ruinedhouse_n,55,552.4,24.6569,24.6569,23,5,2,backward
lt_ruinedhouse_n,56,558.2,26.4142,24.4142,26,2,2,backward
