map,scenid,tcost,distance,expect,steps,access,r,itype
lt_shop,0,1048.8,30.3848,7.82843,25,13,16,backward
lt_shop,1,433.8,10.2426,6,9,5,16,backward
lt_shop,2,256.6,7.82843,7.82843,7,1,16,backward
lt_shop,3,289.8,9.41421,5.41421,9,2,16,backward
lt_shop,4,315.4,8,6.82843,8,3,16,backward
lt_shop,5,226.8,7.65685,6.82843,6,2,16,backward
lt_shop,6,588.2,22.2426,7.24264,21,7,16,backward
lt_shop,7,539,25.799,5,20,12,16,backward
lt_shop,8,421,13.8995,5.24264,11,4,16,backward
lt_shop,9,355,14.7279,7.65685,11,2,16,backward
lt_shop,10,391.6,15.3137,10.4853,12,8,16,backward
lt_shop,11,452.4,22.8995,9.24264,20,10,16,backward
lt_shop,12,477.4,18.6569,10.6569,17,4,16,backward
lt_shop,13,757,21.6569,8.41421,20,15,16,backward
lt_shop,14,334.6,12.8995,11.4853,10,5,16,backward
lt_shop,15,409.4,14.0711,11.6569,12,5,16,backward
lt_shop,16,289.2,10.2426,9.41421,9,3,16,backward
lt_shop,17,325,10.8284,9.07107,10,4,16,backward
lt_shop,18,515.2,16.8284,10.2426,16,5,16,backward
lt_shop,19,358.6,15.2426,11,14,4,16,backward
lt_shop,20,326.8,16.0711,15.2426,14,3,16,backward
lt_shop,21,557.2,26.0711,13.3137,24,7,16,backward
lt_shop,22,274.2,12.0711,12.0711,10,4,16,backward
lt_shop,23,378,14.6569,14.6569,13,4,16,backward
lt_shop,24,530.4,29.6274,12.0711,23,7,16,backward
lt_shop,25,497.6,24.8995,12.4142,22,4,16,backward
lt_shop,26,502.8,23.0711,15.6569,21,8,16,backward
lt_shop,27,667.4,31.3137,14.3137,28,7,16,backward
lt_shop,28,322,15.4853,15.4853,13,4,16,backward
lt_shop,29,310.4,15.7279,14.3137,12,2,16,backward
lt_shop,30,451.6,21.1421,16.3137,17,6,16,backward
lt_shop,31,508.8,27.1421,16.6569,23,7,16,backward
lt_shop,32,680.8,37.0416,19.8995,30,7,16,backward
lt_shop,33,409.6,20.8995,16.0711,18,4,16,backward
lt_shop,34,691.8,35.3848,19.8995,30,9,16,backward
lt_shop,35,498.8,23.7279,19.7279,20,7,16,backward
lt_shop,36,371,16.8284,16.8284,16,2,16,backward
lt_shop,37,590.2,27.1421,16.1421,23,5,16,backward
lt_shop,38,493.4,31.4558,16.7279,24,9,16,backward
lt_shop,39,342.4,18.9706,18.3848,14,3,16,backward
lt_shop,40,604.6,34.7279,22.6569,31,7,16,backward
lt_shop,41,549.6,25.4142,23.4142,25,7,16,backward
lt_shop,42,511.8,23.2426,22.6569,22,3,16,backward
lt_shop,43,537.4,30.1421,23.3137,26,6,16,backward
lt_shop,44,539,28.4853,23.6569,26,8,16,backward
lt_shop,45,639.4,29.3137,22.2426,26,10,16,backward
lt_shop,46,481.8,22.6569,20.4142,21,3,16,backward
lt_shop,47,458.8,21.0711,21.0711,19,7,16,backward
lt_shop,48,497.4,25.4853,21.4853,23,6,16,backward
lt_shop,49,600,37.8701,23.1421,30,10,16,backward
lt_shop,50,513,25.8995,25.8995,23,6,16,backward
lt_shop,51,627.8,28.6569,25.8284,27,9,16,backward
lt_shop,52,662.6,44.1127,26.5563,35,11,16,backward
lt_shop,53,779,37.7279,26.3137,34,11,16,backward
lt_shop,54,794.2,40.6274,26.3137,34,7,16,backward
lt_shop,55,683.4,34.7279,26.4853,31,7,16,backward
lt_shop,56,833,36.8995,25.6569,34,10,16,backward
lt_shop,57,484.6,27.799,26.799,22,6,16,backward
lt_shop,58,654.4,35.1421,26.3137,31,12,16,backward
lt_shop,59,554.6,28.2426,27.6569,27,2,16,backward
lt_shop,60,570.2,46.1127,29.9706,37,8,16,backward
lt_shop,61,614.2,29.2426,29.2426,28,7,16,backward
lt_shop,62,794.8,42.5563,30.7279,38,11,16,backward
lt_shop,63,659.6,32.4853,28.7279,30,10,16,backward
lt_shop,64,605.4,43.2132,29.9706,37,7,16,backward
lt_shop,65,616.8,30.4853,29.8995,28,3,16,backward
lt_shop,66,588.4,36.3848,31.8995,31,5,16,backward
lt_shop,67,556,30.8995,30.0711,28,3,16,backward
lt_shop,68,585.4,40.2132,28.7279,34,7,16,backward
