map,scenid,tcost,distance,expect,steps,access,r,itype
lt_undercitydungeon,0,1172.8,36.3137,4.24264,33,36,64,forward
lt_undercitydungeon,1,268,14.0711,7,12,0,64,forward
lt_undercitydungeon,2,2497.4,103.142,6.65685,99,88,64,forward
lt_undercitydungeon,3,520.2,23.0711,7.65685,21,24,64,forward
lt_undercitydungeon,4,846.4,32.2132,5.82843,26,16,64,forward
lt_undercitydungeon,5,1644.2,40.2132,4.41421,34,41,64,forward
lt_undercitydungeon,6,1994,73.2548,4.82843,60,68,64,forward
lt_undercitydungeon,7,877,47.8284,5.41421,47,42,64,forward
lt_undercitydungeon,8,1649.4,59.1421,6.41421,55,53,64,forward
lt_undercitydungeon,9,869.8,31.2132,4,25,20,64,forward
lt_undercitydungeon,10,493.8,18.0711,11.2426,16,10,64,forward
lt_undercitydungeon,11,345.2,16.6569,9.82843,15,9,64,forward
lt_undercitydungeon,12,1509.8,50.2426,8.82843,49,64,64,forward
lt_undercitydungeon,13,2858.2,102.213,10.4142,96,108,64,forward
lt_undercitydungeon,14,1515.2,73.1421,10.6569,69,58,64,forward
lt_undercitydungeon,15,1372.4,62.7696,10.4142,52,37,64,forward
lt_undercitydungeon,16,382.6,15.2426,11.2426,14,7,64,forward
lt_undercitydungeon,17,471.8,26.1421,10.2426,22,12,64,forward
lt_undercitydungeon,18,806.2,35.4853,11.4853,33,11,64,forward
lt_undercitydungeon,19,1439.6,70.9706,11.8284,66,64,64,forward
lt_undercitydungeon,20,1354,61.0122,15.0711,49,34,64,forward
lt_undercitydungeon,21,1553.4,69.4853,14.6569,67,72,64,forward
lt_undercitydungeon,22,787.6,45.1421,13.3137,41,34,64,forward
lt_undercitydungeon,23,1299.6,69.3848,14.2426,64,60,64,forward
lt_undercitydungeon,24,914,60.5269,12.3137,51,29,64,forward
lt_undercitydungeon,25,607.8,16.4853,13.4142,14,12,64,forward
lt_undercitydungeon,26,389.8,15.8284,15.8284,15,8,64,forward
lt_undercitydungeon,27,679.6,35.9706,14.8284,31,26,64,forward
lt_undercitydungeon,28,705.4,28.3137,14.7279,25,21,64,forward
lt_undercitydungeon,29,772,27.5563,15.3137,23,22,64,forward
lt_undercitydungeon,30,1659,88.799,19.3137,83,74,64,forward
lt_undercitydungeon,31,1319,52.799,17.0711,47,46,64,forward
lt_undercitydungeon,32,870.8,32.5563,18.6569,28,23,64,forward
lt_undercitydungeon,33,611.6,29.8995,19.3137,27,3,64,forward
lt_undercitydungeon,34,1765.4,86.2843,18.8284,78,77,64,forward
lt_undercitydungeon,35,1496,63.2843,18.7279,55,53,64,forward
lt_undercitydungeon,36,1759.8,99.4558,16.8284,92,81,64,forward
lt_undercitydungeon,37,1067.4,44.9706,18.2426,40,34,64,forward
lt_undercitydungeon,38,2211,94.7696,19.3137,84,116,64,forward
lt_undercitydungeon,39,1678.6,71.2843,16.0711,63,66,64,forward
lt_undercitydungeon,40,589.6,27.3848,22.0711,22,6,64,forward
lt_undercitydungeon,41,1000,49.7279,21.2132,46,26,64,forward
lt_undercitydungeon,42,1207.6,62.799,21.0711,57,52,64,forward
lt_undercitydungeon,43,1242.4,66.0416,20.0711,59,70,64,forward
lt_undercitydungeon,44,1329,59.4558,20.4853,52,34,64,forward
lt_undercitydungeon,45,745,38.7279,22.6569,35,22,64,forward
lt_undercitydungeon,46,480.8,26.5563,20.3848,22,18,64,forward
lt_undercitydungeon,47,1259.6,66.9411,20.4853,57,34,64,forward
lt_undercitydungeon,48,795.8,37.3137,21.3137,34,21,64,forward
lt_undercitydungeon,49,2824,137.385,22.5563,132,115,64,forward
lt_undercitydungeon,50,1155.6,67.7696,25.4142,57,49,64,forward
lt_undercitydungeon,51,1321.4,52.1421,27.9706,48,43,64,forward
lt_undercitydungeon,52,861.2,59.1543,24.2132,43,18,64,forward
lt_undercitydungeon,53,608.6,30.8995,24.6569,28,10,64,forward
lt_undercitydungeon,54,436.2,27.799,24.4853,22,5,64,forward
lt_undercitydungeon,55,599.4,34.5563,27.4853,30,17,64,forward
lt_undercitydungeon,56,558,25.6569,25.6569,24,15,64,forward
lt_undercitydungeon,57,1085.6,54.6274,26.0711,48,56,64,forward
lt_undercitydungeon,58,2049.4,62.6569,27.0711,61,76,64,forward
lt_undercitydungeon,59,1135.2,46.6569,26.4142,45,43,64,forward
lt_undercitydungeon,60,878.6,35.3137,28.8701,32,18,64,forward
lt_undercitydungeon,61,3091.2,143.355,30.3848,133,127,64,forward
lt_undercitydungeon,62,1171,62.0122,31.0711,50,30,64,forward
lt_undercitydungeon,63,726.2,40.5269,29.4853,31,12,64,forward
lt_undercitydungeon,64,2056,105.012,28.4142,93,78,64,forward
lt_undercitydungeon,65,1520.8,64.1127,31.5563,55,65,64,forward
lt_undercitydungeon,66,1115.4,63.0416,28.5563,56,45,64,forward
lt_undercitydungeon,67,1274.4,48.6569,31.2426,47,45,64,forward
lt_undercitydungeon,68,785.4,58.2548,30.3848,45,25,64,forward
lt_undercitydungeon,69,591,32.8995,28.6569,30,19,64,forward
lt_undercitydungeon,70,1307.8,66.2132,35.0711,60,34,64,forward
lt_undercitydungeon,71,736.4,39.6274,34.0711,33,18,64,forward
lt_undercitydungeon,72,1910.4,87.6274,34.5563,81,80,64,forward
lt_undercitydungeon,73,1395.6,54.5563,33.2843,50,48,64,forward
lt_undercitydungeon,74,1486.6,71.5269,32.1421,62,57,64,forward
lt_undercitydungeon,75,803.8,51.1127,32.1421,42,22,64,forward
lt_undercitydungeon,76,945,44.3137,34.4142,41,39,64,forward
lt_undercitydungeon,77,1391.2,72.1838,32.1421,61,43,64,forward
lt_undercitydungeon,78,822.8,33.8995,33.0711,31,18,64,forward
lt_undercitydungeon,79,1246.6,55.9706,35.2843,51,38,64,forward
lt_undercitydungeon,80,1011,51.2132,36.3848,45,28,64,forward
lt_undercitydungeon,81,988.2,52.1421,39.6985,48,30,64,forward
lt_undercitydungeon,82,854.6,43.799,37.1421,38,31,64,forward
lt_undercitydungeon,83,2557,104.497,37.3553,90,115,64,forward
lt_undercitydungeon,84,1430.2,72.0122,37.3137,60,54,64,forward
lt_undercitydungeon,85,1879.6,102.426,37.7279,90,75,64,forward
lt_undercitydungeon,86,784.4,40.799,37.9706,35,19,64,forward
lt_undercitydungeon,87,2926.8,137.012,39.1127,125,124,64,forward
lt_undercitydungeon,88,1050.4,50.7279,36.4853,47,45,64,forward
lt_undercitydungeon,89,745.8,38.2426,38.2426,37,11,64,forward
lt_undercitydungeon,90,2489.2,112.74,40.7696,97,122,64,forward
lt_undercitydungeon,91,1459.8,53.0711,40.2426,51,60,64,forward
lt_undercitydungeon,92,1290.6,73.9411,42.1421,64,55,64,forward
lt_undercitydungeon,93,2262.8,102.113,43.6274,93,94,64,forward
lt_undercitydungeon,94,1272.4,64.4558,43.3137,57,45,64,forward
lt_undercitydungeon,95,689,41.2132,41.2132,35,28,64,forward
lt_undercitydungeon,96,1216,62.9706,41.799,58,54,64,forward
lt_undercitydungeon,97,1176.8,65.2843,41.2843,57,37,64,forward
lt_undercitydungeon,98,1333.8,57.8995,40.2132,55,37,64,forward
lt_undercitydungeon,99,912.8,46.3848,40.2426,41,26,64,forward
lt_undercitydungeon,100,2417.8,106.669,44.5563,93,115,64,forward
lt_undercitydungeon,101,1975.4,108.77,45.1421,98,85,64,forward
lt_undercitydungeon,102,1602,86.799,44.8995,81,86,64,forward
lt_undercitydungeon,103,1007.2,58.4558,44.4558,51,35,64,forward
lt_undercitydungeon,104,1431.8,63.3848,46.8995,58,46,64,forward
lt_undercitydungeon,105,1286.2,68.1421,44.5563,64,40,64,forward
lt_undercitydungeon,106,1961.6,83.3848,45.8995,78,89,64,forward
lt_undercitydungeon,107,1377,70.6274,46.1421,64,67,64,forward
lt_undercitydungeon,108,2190.2,95.2843,45.6274,87,83,64,forward
lt_undercitydungeon,109,775.4,50.5269,45.8406,41,23,64,forward
lt_undercitydungeon,110,929.8,67.5269,48.9411,58,43,64,forward
lt_undercitydungeon,111,1757.2,78.2132,50.799,72,59,64,forward
lt_undercitydungeon,112,1522.4,87.8701,50.3848,80,68,64,forward
lt_undercitydungeon,113,1466.4,73.2132,51.5563,67,44,64,forward
lt_undercitydungeon,114,1361.6,63.799,51.3137,58,56,64,forward
lt_undercitydungeon,115,1407.8,73.0416,51.6569,66,57,64,forward
lt_undercitydungeon,116,1293,67.4558,48.0711,60,48,64,forward
lt_undercitydungeon,117,1465.6,72.5269,51.3848,63,58,64,forward
lt_undercitydungeon,118,1183,65.4558,50.3137,58,46,64,forward
lt_undercitydungeon,119,2077.4,107.841,49.8406,95,76,64,forward
lt_undercitydungeon,120,1940.6,94.4264,53.0416,82,95,64,forward
lt_undercitydungeon,121,1358,80.4264,54.3848,68,51,64,forward
lt_undercitydungeon,122,791,52.2843,52.2843,44,25,64,forward
lt_undercitydungeon,123,2441.8,114.255,53.3848,101,107,64,forward
lt_undercitydungeon,124,2450,136.054,55.2132,117,101,64,forward
lt_undercitydungeon,125,1712,82.8701,55.0711,75,66,64,forward
lt_undercitydungeon,126,960.4,53.9706,52.799,49,36,64,forward
lt_undercitydungeon,127,1189,71.4558,54.8995,64,49,64,forward
lt_undercitydungeon,128,1050.4,52.799,52.799,47,46,64,forward
lt_undercitydungeon,129,1391.8,82.6985,54.799,74,54,64,forward
lt_undercitydungeon,130,1542,86.9411,58.3137,77,68,64,forward
lt_undercitydungeon,131,1103.2,62.1421,58.4853,58,41,64,forward
lt_undercitydungeon,132,2346,108.426,56.4558,96,116,64,forward
lt_undercitydungeon,133,1169.6,67.7696,58.0711,57,40,64,forward
lt_undercitydungeon,134,1403.8,85.2843,59.4558,77,74,64,forward
lt_undercitydungeon,135,2384.2,123.225,59.669,105,114,64,forward
lt_undercitydungeon,136,1554.4,82.2132,59.9706,76,66,64,forward
lt_undercitydungeon,137,2255,101.799,59.9706,96,92,64,forward
lt_undercitydungeon,138,1371.4,70.5563,57.2426,66,56,64,forward
lt_undercitydungeon,139,1402.2,81.6985,59.0416,73,69,64,forward
lt_undercitydungeon,140,1210.6,63.1421,63.1421,59,52,64,forward
lt_undercitydungeon,141,1291.4,64.4853,63.0711,62,37,64,forward
lt_undercitydungeon,142,1752.6,83.1127,62.6985,74,67,64,forward
lt_undercitydungeon,143,1219,69.2843,61.0416,61,60,64,forward
lt_undercitydungeon,144,1913.4,110.154,60.3848,94,73,64,forward
lt_undercitydungeon,145,1210.6,63.3137,61.8995,60,50,64,forward
lt_undercitydungeon,146,1637.6,90.5269,62.1421,81,61,64,forward
lt_undercitydungeon,147,1174.4,60.0711,60.0711,58,48,64,forward
lt_undercitydungeon,148,2500.4,123.125,61.1543,102,122,64,forward
lt_undercitydungeon,149,1496.6,88.799,61.8995,83,61,64,forward
lt_undercitydungeon,150,1103,64.1127,64.1127,55,51,64,forward
lt_undercitydungeon,151,1352,76.0416,65.2132,69,73,64,forward
lt_undercitydungeon,152,2626.2,150.397,67.799,133,121,64,forward
lt_undercitydungeon,153,1424,77.3553,64.3848,67,47,64,forward
lt_undercitydungeon,154,1554.4,83.5563,67.1421,79,63,64,forward
lt_undercitydungeon,155,985.8,73.7696,64.4558,63,46,64,forward
lt_undercitydungeon,156,1690.2,109.255,65.9706,96,77,64,forward
