map,scenid,tcost,distance,expect,steps,access,r,itype
lt_undercitydungeon,0,863,4.24264,4.24264,3,1,0,backward
lt_undercitydungeon,1,782.2,7,7,7,1,0,backward
lt_undercitydungeon,2,716.8,6.65685,6.65685,5,1,0,backward
lt_undercitydungeon,3,707.2,7.65685,7.65685,6,1,0,backward
lt_undercitydungeon,4,801.2,5.82843,5.82843,5,1,0,backward
lt_undercitydungeon,5,722.4,4.41421,4.41421,4,1,0,backward
lt_undercitydungeon,6,1041.8,4.82843,4.82843,4,3,0,backward
lt_undercitydungeon,7,694,5.41421,5.41421,5,1,0,backward
lt_undercitydungeon,8,1175.6,6.41421,6.41421,6,4,0,backward
lt_undercitydungeon,9,706.2,4,4,4,1,0,backward
lt_undercitydungeon,10,1352.4,11.2426,11.2426,10,3,0,backward
lt_undercitydungeon,11,945.4,9.82843,9.82843,9,3,0,backward
lt_undercitydungeon,12,1390.6,8.82843,8.82843,8,5,0,backward
lt_undercitydungeon,13,1330.4,10.4142,10.4142,10,2,0,backward
lt_undercitydungeon,14,980,10.6569,10.6569,9,1,0,backward
lt_undercitydungeon,15,863.6,10.4142,10.4142,10,1,0,backward
lt_undercitydungeon,16,1177,11.2426,11.2426,10,2,0,backward
lt_undercitydungeon,17,794.4,10.2426,10.2426,9,1,0,backward
lt_undercitydungeon,18,1013.2,11.4853,11.4853,9,1,0,backward
lt_undercitydungeon,19,924.8,11.8284,11.8284,11,2,0,backward
lt_undercitydungeon,20,1860,15.0711,15.0711,13,5,0,backward
lt_undercitydungeon,21,1373,14.6569,14.6569,13,4,0,backward
lt_undercitydungeon,22,1266.4,13.3137,13.3137,10,5,0,backward
lt_undercitydungeon,23,933,14.2426,14.2426,13,1,0,backward
lt_undercitydungeon,24,1567.2,12.3137,12.3137,9,5,0,backward
lt_undercitydungeon,25,1994.4,13.4142,13.4142,13,7,0,backward
lt_undercitydungeon,26,1553,15.8284,15.8284,15,3,0,backward
lt_undercitydungeon,27,1006.2,14.8284,14.8284,14,2,0,backward
lt_undercitydungeon,28,1597,14.7279,14.7279,11,6,0,backward
lt_undercitydungeon,29,1013.4,15.3137,15.3137,12,2,0,backward
lt_undercitydungeon,30,2036.2,19.3137,19.3137,16,8,0,backward
lt_undercitydungeon,31,1409.6,17.0711,17.0711,15,3,0,backward
lt_undercitydungeon,32,2129,18.6569,18.6569,17,9,0,backward
lt_undercitydungeon,33,1951,19.3137,19.3137,16,6,0,backward
lt_undercitydungeon,34,2095.2,18.8284,18.8284,18,6,0,backward
lt_undercitydungeon,35,1625.6,18.7279,18.7279,15,4,0,backward
lt_undercitydungeon,36,1493,16.8284,16.8284,16,6,0,backward
lt_undercitydungeon,37,1670,18.2426,18.2426,17,6,0,backward
lt_undercitydungeon,38,1542.8,19.3137,19.3137,16,3,0,backward
lt_undercitydungeon,39,1313.4,16.0711,16.0711,14,3,0,backward
lt_undercitydungeon,40,1546.2,22.0711,22.0711,20,2,0,backward
lt_undercitydungeon,41,1851.4,21.2132,21.2132,15,4,0,backward
lt_undercitydungeon,42,1711.4,21.0711,21.0711,19,3,0,backward
lt_undercitydungeon,43,1269.2,20.0711,20.0711,18,1,0,backward
lt_undercitydungeon,44,1693.4,20.4853,20.4853,18,4,0,backward
lt_undercitydungeon,45,2506.4,22.6569,22.6569,21,10,0,backward
lt_undercitydungeon,46,1573,20.3848,20.3848,15,4,0,backward
lt_undercitydungeon,47,1257.4,20.4853,20.4853,18,3,0,backward
lt_undercitydungeon,48,1314,21.3137,21.3137,18,1,0,backward
lt_undercitydungeon,49,1499.4,22.5563,22.5563,18,3,0,backward
lt_undercitydungeon,50,1752.6,25.4142,25.4142,25,3,0,backward
lt_undercitydungeon,51,2368.6,27.9706,27.9706,23,7,0,backward
lt_undercitydungeon,52,1545,24.2132,24.2132,18,3,0,backward
lt_undercitydungeon,53,2584.8,24.6569,24.6569,23,10,0,backward
lt_undercitydungeon,54,2094,24.4853,24.4853,22,6,0,backward
lt_undercitydungeon,55,2033.4,27.4853,27.4853,25,6,0,backward
lt_undercitydungeon,56,1687.2,25.6569,25.6569,24,2,0,backward
lt_undercitydungeon,57,2661.6,26.0711,26.0711,24,10,0,backward
lt_undercitydungeon,58,1668.2,27.0711,27.0711,25,4,0,backward
lt_undercitydungeon,59,1623.8,26.4142,26.4142,26,1,0,backward
lt_undercitydungeon,60,1993.4,28.8701,28.8701,21,5,0,backward
lt_undercitydungeon,61,2828,30.3848,30.3848,25,15,0,backward
lt_undercitydungeon,62,1826.2,31.0711,31.0711,29,2,0,backward
lt_undercitydungeon,63,1618.6,29.4853,29.4853,27,2,0,backward
lt_undercitydungeon,64,1785.8,28.4142,28.4142,28,1,0,backward
lt_undercitydungeon,65,1758.8,31.5563,31.5563,27,5,0,backward
lt_undercitydungeon,66,1905.8,28.5563,28.5563,24,5,0,backward
lt_undercitydungeon,67,1922.4,31.2426,31.2426,30,2,0,backward
lt_undercitydungeon,68,1608.8,30.3848,30.3848,25,3,0,backward
lt_undercitydungeon,69,2440.8,28.6569,28.6569,27,12,0,backward
lt_undercitydungeon,70,2297.8,35.0711,35.0711,33,13,0,backward
lt_undercitydungeon,71,2401.4,34.0711,34.0711,32,4,0,backward
lt_undercitydungeon,72,2089.2,34.5563,34.5563,30,3,0,backward
lt_undercitydungeon,73,2772,33.2843,33.2843,25,12,0,backward
lt_undercitydungeon,74,3073.4,32.1421,32.1421,28,15,0,backward
lt_undercitydungeon,75,3092.2,32.1421,32.1421,28,12,0,backward
lt_undercitydungeon,76,2902,34.4142,34.4142,34,14,0,backward
lt_undercitydungeon,77,1768.2,32.1421,32.1421,28,3,0,backward
lt_undercitydungeon,78,2400.8,33.0711,33.0711,31,2,0,backward
lt_undercitydungeon,79,2772.4,35.2843,35.2843,27,10,0,backward
lt_undercitydungeon,80,2579.4,36.3848,36.3848,31,7,0,backward
lt_undercitydungeon,81,2521.6,39.6985,39.6985,31,9,0,backward
lt_undercitydungeon,82,3067.6,37.1421,37.1421,33,16,0,backward
lt_undercitydungeon,83,3340.8,37.3553,37.3553,27,16,0,backward
lt_undercitydungeon,84,2966.6,37.3137,37.3137,34,8,0,backward
lt_undercitydungeon,85,2381.2,37.7279,37.7279,34,7,0,backward
lt_undercitydungeon,86,2360,37.9706,37.9706,33,5,0,backward
lt_undercitydungeon,87,3648,39.1127,39.1127,30,18,0,backward
lt_undercitydungeon,88,3037,36.4853,36.4853,34,14,0,backward
lt_undercitydungeon,89,3831.8,38.2426,38.2426,37,15,0,backward
lt_undercitydungeon,90,2555.6,40.7696,40.7696,30,9,0,backward
lt_undercitydungeon,91,2334.4,40.2426,40.2426,39,2,0,backward
lt_undercitydungeon,92,2451.4,42.1421,42.1421,38,7,0,backward
lt_undercitydungeon,93,2464,43.6274,43.6274,37,6,0,backward
lt_undercitydungeon,94,3753.4,43.3137,43.3137,40,19,0,backward
lt_undercitydungeon,95,1933.8,41.2132,41.2132,35,5,0,backward
lt_undercitydungeon,96,2569.6,41.799,41.799,36,15,0,backward
lt_undercitydungeon,97,2842.2,41.2843,41.2843,33,13,0,backward
lt_undercitydungeon,98,2849.8,40.2132,40.2132,34,5,0,backward
lt_undercitydungeon,99,2544.4,40.2426,40.2426,39,3,0,backward
lt_undercitydungeon,100,2637.6,44.5563,44.5563,40,7,0,backward
lt_undercitydungeon,101,2965.2,45.1421,45.1421,41,13,0,backward
lt_undercitydungeon,102,2654.2,44.8995,44.8995,42,3,0,backward
lt_undercitydungeon,103,3668.8,44.4558,44.4558,37,17,0,backward
lt_undercitydungeon,104,2984,46.8995,46.8995,44,4,0,backward
lt_undercitydungeon,105,3157.2,44.5563,44.5563,40,8,0,backward
lt_undercitydungeon,106,2898,45.8995,45.8995,43,7,0,backward
lt_undercitydungeon,107,3424.8,46.1421,46.1421,42,16,0,backward
lt_undercitydungeon,108,2760,45.6274,45.6274,39,7,0,backward
lt_undercitydungeon,109,2970.8,45.8406,45.8406,33,11,0,backward
lt_undercitydungeon,110,2840,48.9411,48.9411,39,13,0,backward
lt_undercitydungeon,111,3146.2,50.799,50.799,45,9,0,backward
lt_undercitydungeon,112,3196.8,50.3848,50.3848,45,14,0,backward
lt_undercitydungeon,113,3376.4,51.5563,51.5563,47,6,0,backward
lt_undercitydungeon,114,3717.2,51.3137,51.3137,48,15,0,backward
lt_undercitydungeon,115,2079.8,51.6569,51.6569,50,6,0,backward
lt_undercitydungeon,116,3591,48.0711,48.0711,46,15,0,backward
lt_undercitydungeon,117,2891.8,51.3848,51.3848,46,5,0,backward
lt_undercitydungeon,118,4799,50.3137,50.3137,47,26,0,backward
lt_undercitydungeon,119,3308.6,49.8406,49.8406,37,14,0,backward
lt_undercitydungeon,120,3371.6,53.0416,53.0416,46,7,0,backward
lt_undercitydungeon,121,2145.4,54.3848,54.3848,49,9,0,backward
lt_undercitydungeon,122,2185.2,52.2843,52.2843,44,6,0,backward
lt_undercitydungeon,123,2347.8,53.3848,53.3848,48,7,0,backward
lt_undercitydungeon,124,2585.2,55.2132,55.2132,49,4,0,backward
lt_undercitydungeon,125,2376.8,55.0711,55.0711,53,5,0,backward
lt_undercitydungeon,126,3147.2,52.799,52.799,47,9,0,backward
lt_undercitydungeon,127,2502.2,54.8995,54.8995,52,8,0,backward
lt_undercitydungeon,128,3482.4,52.799,52.799,47,8,0,backward
lt_undercitydungeon,129,2632.4,54.799,54.799,49,10,0,backward
lt_undercitydungeon,130,2282,58.3137,58.3137,55,8,0,backward
lt_undercitydungeon,131,4093.2,58.4853,58.4853,56,18,0,backward
lt_undercitydungeon,132,3447.2,56.4558,56.4558,49,9,0,backward
lt_undercitydungeon,133,3345,58.0711,58.0711,56,4,0,backward
lt_undercitydungeon,134,2585.2,59.4558,59.4558,52,10,0,backward
lt_undercitydungeon,135,3749.4,59.669,59.669,46,11,0,backward
lt_undercitydungeon,136,4370.2,59.9706,59.9706,55,23,0,backward
lt_undercitydungeon,137,1989.4,59.9706,59.9706,55,5,0,backward
lt_undercitydungeon,138,4400.4,57.2426,57.2426,56,22,0,backward
lt_undercitydungeon,139,3440.6,59.0416,59.0416,52,13,0,backward
lt_undercitydungeon,140,3648.4,63.1421,63.1421,59,9,0,backward
lt_undercitydungeon,141,3254.4,63.0711,63.0711,61,2,0,backward
lt_undercitydungeon,142,3012.4,62.6985,62.6985,54,13,0,backward
lt_undercitydungeon,143,2817.6,61.0416,61.0416,54,7,0,backward
lt_undercitydungeon,144,3319.2,60.3848,60.3848,55,8,0,backward
lt_undercitydungeon,145,2878.4,61.8995,61.8995,59,10,0,backward
lt_undercitydungeon,146,2982.6,62.1421,62.1421,58,7,0,backward
lt_undercitydungeon,147,2601.6,60.0711,60.0711,58,10,0,backward
lt_undercitydungeon,148,4228.4,61.1543,61.1543,45,16,0,backward
lt_undercitydungeon,149,4194.8,61.8995,61.8995,59,24,0,backward
lt_undercitydungeon,150,2912.8,64.1127,64.1127,55,6,0,backward
lt_undercitydungeon,151,2306.2,65.2132,65.2132,59,8,0,backward
lt_undercitydungeon,152,3444.2,67.799,67.799,62,13,0,backward
lt_undercitydungeon,153,3836.8,64.3848,64.3848,59,5,0,backward
lt_undercitydungeon,154,5089.4,67.1421,67.1421,63,30,0,backward
lt_undercitydungeon,155,4679.4,64.4558,64.4558,57,24,0,backward
lt_undercitydungeon,156,3826.2,65.9706,65.9706,61,16,0,backward
lt_undercitydungeon,157,3465.2,65.2132,65.2132,59,17,0,backward
lt_undercitydungeon,158,2939.2,66.2132,66.2132,60,7,0,backward
lt_undercitydungeon,159,4111.4,65.5269,65.5269,56,19,0,backward
lt_undercitydungeon,160,3813,71.598,71.598,60,13,0,backward
lt_undercitydungeon,161,4583.6,68.1127,68.1127,59,15,0,backward
lt_undercitydungeon,162,3914.4,71.799,71.799,66,17,0,backward
lt_undercitydungeon,163,4095.2,70.3137,70.3137,67,3,0,backward
lt_undercitydungeon,164,3925.4,69.0711,69.0711,67,5,0,backward
lt_undercitydungeon,165,3655.6,68.6569,68.6569,67,2,0,backward
lt_undercitydungeon,166,2765.6,70.669,70.669,57,8,0,backward
lt_undercitydungeon,167,4712.2,70.9706,70.9706,66,14,0,backward
lt_undercitydungeon,168,3933.2,68.5563,68.5563,64,6,0,backward
lt_undercitydungeon,169,2854.8,70.799,70.799,65,12,0,backward
lt_undercitydungeon,170,3364.2,74.6985,74.6985,66,14,0,backward
lt_undercitydungeon,171,4861.2,74.0416,74.0416,67,20,0,backward
lt_undercitydungeon,172,3747,75.1421,75.1421,71,16,0,backward
lt_undercitydungeon,173,5239.2,75.3137,75.3137,72,24,0,backward
lt_undercitydungeon,174,2634,73.4558,73.4558,66,9,0,backward
lt_undercitydungeon,175,2817.2,72.9411,72.9411,63,9,0,backward
lt_undercitydungeon,176,3988.6,72.0122,72.0122,60,19,0,backward
lt_undercitydungeon,177,2871.2,75.0416,75.0416,68,7,0,backward
lt_undercitydungeon,178,4335.2,74.4264,74.4264,62,13,0,backward
lt_undercitydungeon,179,3000.6,74.799,74.799,69,5,0,backward
lt_undercitydungeon,180,3338.8,78.9706,78.9706,74,8,0,backward
lt_undercitydungeon,181,5241,76.9706,76.9706,72,27,0,backward
lt_undercitydungeon,182,2910,76.3553,76.3553,66,8,0,backward
lt_undercitydungeon,183,5193.8,78.7279,78.7279,75,24,0,backward
lt_undercitydungeon,184,3128,77.4558,77.4558,70,11,0,backward
lt_undercitydungeon,185,2746.8,76.4558,76.4558,69,9,0,backward
lt_undercitydungeon,186,3401,78.5269,78.5269,69,11,0,backward
lt_undercitydungeon,187,4000.4,78.6985,78.6985,70,18,0,backward
lt_undercitydungeon,188,2848.4,79.6274,79.6274,73,5,0,backward
lt_undercitydungeon,189,5193.6,78.9411,78.9411,69,22,0,backward
lt_undercitydungeon,190,2656,83.1838,83.1838,72,5,0,backward
lt_undercitydungeon,191,4211.6,83.4558,83.4558,76,21,0,backward
lt_undercitydungeon,192,3424,81.6274,81.6274,75,10,0,backward
lt_undercitydungeon,193,3560.6,80.8406,80.8406,68,11,0,backward
lt_undercitydungeon,194,4741,83.9411,83.9411,74,24,0,backward
lt_undercitydungeon,195,2075.2,80.8284,80.8284,80,3,0,backward
lt_undercitydungeon,196,4856.4,81.9411,81.9411,72,23,0,backward
lt_undercitydungeon,197,2312.2,82.1421,82.1421,78,6,0,backward
lt_undercitydungeon,198,4117.8,80.9706,80.9706,76,14,0,backward
lt_undercitydungeon,199,4318.8,81.6274,81.6274,75,10,0,backward
lt_undercitydungeon,200,2515,86.799,86.799,81,3,0,backward
lt_undercitydungeon,201,3659.2,87.0711,87.0711,85,7,0,backward
lt_undercitydungeon,202,4748.4,85.3137,85.3137,82,18,0,backward
lt_undercitydungeon,203,5000,85.6274,85.6274,79,26,0,backward
lt_undercitydungeon,204,4000.4,86.669,86.669,73,14,0,backward
lt_undercitydungeon,205,3684.8,87.0416,87.0416,80,5,0,backward
lt_undercitydungeon,206,4007.6,85.669,85.669,72,12,0,backward
lt_undercitydungeon,207,4860.6,86.598,86.598,75,22,0,backward
lt_undercitydungeon,208,5423,87.2548,87.2548,74,31,0,backward
lt_undercitydungeon,209,4951,87.468,87.468,68,26,0,backward
lt_undercitydungeon,210,5755.8,90.3848,90.3848,85,29,0,backward
lt_undercitydungeon,211,4615.2,91.6274,91.6274,85,22,0,backward
lt_undercitydungeon,212,4200.6,88.2843,88.2843,80,17,0,backward
lt_undercitydungeon,213,3930.2,89.0416,89.0416,82,17,0,backward
lt_undercitydungeon,214,5850,90.0416,90.0416,83,31,0,backward
lt_undercitydungeon,215,3994.6,88.5269,88.5269,79,10,0,backward
lt_undercitydungeon,216,5007.6,91.9411,91.9411,82,25,0,backward
lt_undercitydungeon,217,5480.2,91.8701,91.8701,84,25,0,backward
lt_undercitydungeon,218,4280.4,88.669,88.669,75,17,0,backward
lt_undercitydungeon,219,5040.2,91.9411,91.9411,82,21,0,backward
lt_undercitydungeon,220,3520.2,93.1421,93.1421,89,7,0,backward
lt_undercitydungeon,221,2949.4,93.0416,93.0416,86,8,0,backward
lt_undercitydungeon,222,5808,95.9411,95.9411,86,16,0,backward
lt_undercitydungeon,223,3914.4,93.1838,93.1838,82,18,0,backward
lt_undercitydungeon,224,3821.2,95.8701,95.8701,88,8,0,backward
lt_undercitydungeon,225,5112,95.669,95.669,82,20,0,backward
lt_undercitydungeon,226,4210,93.6274,93.6274,87,13,0,backward
lt_undercitydungeon,227,5431,95.9828,95.9828,79,19,0,backward
lt_undercitydungeon,228,4402,92.5563,92.5563,88,6,0,backward
lt_undercitydungeon,229,2882.2,95.8995,95.8995,93,6,0,backward
lt_undercitydungeon,230,4321.8,97.598,97.598,86,22,0,backward
lt_undercitydungeon,231,2837,98.5269,98.5269,89,7,0,backward
lt_undercitydungeon,232,5870.2,96.0122,96.0122,84,33,0,backward
lt_undercitydungeon,233,4384.4,97.6274,97.6274,91,17,0,backward
lt_undercitydungeon,234,2827.8,99.5269,99.5269,90,10,0,backward
lt_undercitydungeon,235,3551.6,96.3553,96.3553,86,20,0,backward
lt_undercitydungeon,236,3740.6,96.6985,96.6985,88,11,0,backward
lt_undercitydungeon,237,5487.6,99.5685,99.5685,83,25,0,backward
lt_undercitydungeon,238,5313.6,97.0416,97.0416,90,20,0,backward
lt_undercitydungeon,239,4635.4,96.6985,96.6985,88,20,0,backward
lt_undercitydungeon,240,3260.8,100.042,100.042,93,5,0,backward
lt_undercitydungeon,241,4538.2,102.456,102.456,95,9,0,backward
lt_undercitydungeon,242,4463.6,103.426,103.426,91,13,0,backward
lt_undercitydungeon,243,5247.2,102.184,102.184,91,27,0,backward
lt_undercitydungeon,244,4766.6,102.012,102.012,90,15,0,backward
lt_undercitydungeon,245,5818.8,102.64,102.64,84,29,0,backward
lt_undercitydungeon,246,3606,101.669,101.669,88,10,0,backward
lt_undercitydungeon,247,5047.2,100.941,100.941,91,20,0,backward
lt_undercitydungeon,248,5000.4,100.941,100.941,91,22,0,backward
lt_undercitydungeon,249,4589.4,100.669,100.669,87,14,0,backward
lt_undercitydungeon,250,5192.6,106.355,106.355,96,22,0,backward
lt_undercitydungeon,251,4871.8,107.142,107.142,103,6,0,backward
lt_undercitydungeon,252,3791.4,104.012,104.012,92,15,0,backward
lt_undercitydungeon,253,3809,105.598,105.598,94,17,0,backward
lt_undercitydungeon,254,3379.6,106.255,106.255,93,11,0,backward
lt_undercitydungeon,255,4256,105.355,105.355,95,9,0,backward
lt_undercitydungeon,256,4593.8,104.355,104.355,94,20,0,backward
lt_undercitydungeon,257,4113.4,105.426,105.426,93,14,0,backward
