map,scenid,tcost,distance,expect,steps,access,r,itype
lt_warehouse,0,1242.4,21.0711,5.82843,19,3,16,backward
lt_warehouse,1,809.2,17.4853,7.41421,15,2,16,backward
lt_warehouse,2,972.2,22.2426,6.24264,21,2,16,backward
lt_warehouse,3,1112,20.6569,5.24264,19,7,16,backward
lt_warehouse,4,430.4,6.65685,6.65685,5,2,16,backward
lt_warehouse,5,984.6,31.8701,7.82843,24,6,16,backward
lt_warehouse,6,1127.4,18.8284,5.41421,18,5,16,backward
lt_warehouse,7,1140.6,12.2426,5.82843,11,6,16,backward
lt_warehouse,8,1049.4,15.8284,4.82843,15,8,16,backward
lt_warehouse,9,477.8,10.6569,5,9,3,16,backward
lt_warehouse,10,617.6,14.3137,11.2426,11,2,16,backward
lt_warehouse,11,937.8,25.9706,8.41421,21,2,16,backward
lt_warehouse,12,1790,25.6569,8.24264,24,13,16,backward
lt_warehouse,13,595,12.4142,8.65685,12,2,16,backward
lt_warehouse,14,599.2,13.6569,11.4142,12,2,16,backward
lt_warehouse,15,394.8,9.41421,8,9,2,16,backward
lt_warehouse,16,545.2,8.82843,8.82843,8,2,16,backward
lt_warehouse,17,495,11.0711,11.0711,9,2,16,backward
lt_warehouse,18,1130.8,20.4853,8.82843,18,4,16,backward
lt_warehouse,19,809.8,20.8995,11,18,2,16,backward
lt_warehouse,20,970.2,16.4142,15,16,5,16,backward
lt_warehouse,21,1770.8,39.8284,12.8284,39,11,16,backward
lt_warehouse,22,774.6,15.4142,12.4853,15,5,16,backward
lt_warehouse,23,673,14.8284,12.4142,14,2,16,backward
lt_warehouse,24,556.4,15.2426,15.2426,14,2,16,backward
lt_warehouse,25,1457.8,30.6569,15.8284,29,7,16,backward
lt_warehouse,26,602,18.5563,12.6569,14,2,16,backward
lt_warehouse,27,591.6,13.8284,13,13,2,16,backward
lt_warehouse,28,1113.4,27.8995,12.8995,25,4,16,backward
lt_warehouse,29,851.4,19.6569,15.0711,18,4,16,backward
lt_warehouse,30,1308.6,30.8995,19.8284,28,7,16,backward
lt_warehouse,31,1063.8,31.3848,19.2426,26,5,16,backward
lt_warehouse,32,931,31.0416,17.8284,24,4,16,backward
lt_warehouse,33,964.4,29.799,18.4853,24,4,16,backward
lt_warehouse,34,819.8,21.2426,16.8995,20,2,16,backward
lt_warehouse,35,1371.6,50.598,19.4853,39,9,16,backward
lt_warehouse,36,787,27.799,18.1421,22,2,16,backward
lt_warehouse,37,742.2,18.4853,17.3137,16,3,16,backward
lt_warehouse,38,1154.8,29.8995,19.8284,27,7,16,backward
lt_warehouse,39,762.2,20.4853,16.9706,18,3,16,backward
lt_warehouse,40,930.8,24.4853,20.9706,22,4,16,backward
lt_warehouse,41,928,29.2132,20.5563,23,2,16,backward
lt_warehouse,42,1125.2,24.4853,21.6569,22,5,16,backward
lt_warehouse,43,1507.4,32.1421,21.0711,28,7,16,backward
lt_warehouse,44,1226.6,36.1421,22.8284,32,4,16,backward
lt_warehouse,45,1761.2,48.6569,22.6569,47,8,16,backward
lt_warehouse,46,1096.4,22.1421,22.1421,18,8,16,backward
lt_warehouse,47,1114.2,28.6274,22.6274,22,7,16,backward
lt_warehouse,48,895.4,25.4853,22.8995,23,2,16,backward
lt_warehouse,49,1275,27.8284,21.8284,27,3,16,backward
lt_warehouse,50,942.4,30.4853,25.5563,28,2,16,backward
