map,scenid,tcost,distance,expect,steps,access,r,itype
lt_warehouse,0,318.2,5.82843,5.82843,5,0,2,forward
lt_warehouse,1,267,9.41421,7.41421,9,4,2,forward
lt_warehouse,2,179.6,6.82843,6.24264,6,0,2,forward
lt_warehouse,3,161.4,6.24264,5.24264,5,0,2,forward
lt_warehouse,4,154.4,6.65685,6.65685,5,0,2,forward
lt_warehouse,5,193,10.6569,7.82843,9,0,2,forward
lt_warehouse,6,147.6,5.41421,5.41421,5,0,2,forward
lt_warehouse,7,271.8,6.41421,5.82843,6,1,2,forward
lt_warehouse,8,127.6,4.82843,4.82843,4,0,2,forward
lt_warehouse,9,120.4,5,5,5,0,2,forward
lt_warehouse,10,265.8,14.0711,11.2426,12,0,2,forward
lt_warehouse,11,180.8,9,8.41421,9,0,2,forward
lt_warehouse,12,247.6,8.82843,8.24264,8,0,2,forward
lt_warehouse,13,206.8,10.0711,8.65685,8,0,2,forward
lt_warehouse,14,303.6,12,11.4142,12,1,2,forward
lt_warehouse,15,144.8,8,8,8,0,2,forward
lt_warehouse,16,309.8,8.82843,8.82843,8,2,2,forward
lt_warehouse,17,392,11.0711,11.0711,9,3,2,forward
lt_warehouse,18,234.4,9.82843,8.82843,9,0,2,forward
lt_warehouse,19,310.4,11,11,11,2,2,forward
lt_warehouse,20,538.4,16.4142,15,16,15,2,forward
lt_warehouse,21,342.2,13.4142,12.8284,13,2,2,forward
lt_warehouse,22,222.2,13.4853,12.4853,11,0,2,forward
lt_warehouse,23,327.6,13,12.4142,13,6,2,forward
lt_warehouse,24,550,15.2426,15.2426,14,7,2,forward
lt_warehouse,25,442.2,15.8284,15.8284,15,12,2,forward
lt_warehouse,26,184.8,14.0711,12.6569,12,0,2,forward
lt_warehouse,27,447.8,13.8284,13,13,8,2,forward
lt_warehouse,28,273.8,13.4853,12.8995,11,1,2,forward
lt_warehouse,29,475.2,15.6569,15.0711,14,7,2,forward
lt_warehouse,30,684,20.8284,19.8284,20,13,2,forward
lt_warehouse,31,549.2,20.0711,19.2426,18,10,2,forward
lt_warehouse,32,366.4,18.8284,17.8284,18,3,2,forward
lt_warehouse,33,238,19.3137,18.4853,16,0,2,forward
lt_warehouse,34,568.4,16.8995,16.8995,14,8,2,forward
lt_warehouse,35,564,22.3137,19.4853,19,11,2,forward
lt_warehouse,36,238.6,18.1421,18.1421,14,0,2,forward
