map,scenid,tcost,distance,expect,steps,access,r,itype
lt_warehouse_n,0,1005.4,36.7279,7.24264,33,10,64,backward
lt_warehouse_n,1,1872.8,43.6274,7.07107,37,22,64,backward
lt_warehouse_n,2,1636,50.6569,7,49,22,64,backward
lt_warehouse_n,3,2070.6,82.1421,5.65685,78,7,64,backward
lt_warehouse_n,4,317.4,10.6569,4.41421,9,2,64,backward
lt_warehouse_n,5,1139.4,39.6985,7.65685,31,13,64,backward
lt_warehouse_n,6,1261.8,62.4853,4,60,11,64,backward
lt_warehouse_n,7,826.6,28.9706,4.41421,24,12,64,backward
lt_warehouse_n,8,354.6,18.4853,7.65685,16,2,64,backward
lt_warehouse_n,9,1702,71.2843,6.41421,63,5,64,backward
lt_warehouse_n,10,888,37.7279,8.24264,34,4,64,backward
lt_warehouse_n,11,644.4,35.799,9,30,10,64,backward
lt_warehouse_n,12,1742.4,60.3137,10.4142,57,5,64,backward
lt_warehouse_n,13,1655,90.0833,8.24264,76,7,64,backward
lt_warehouse_n,14,1024,44.6985,9.82843,36,15,64,backward
lt_warehouse_n,15,1654.4,91.669,8.65685,78,7,64,backward
lt_warehouse_n,16,944,47.0711,8.07107,45,10,64,backward
lt_warehouse_n,17,935.2,48.5563,11.4142,44,11,64,backward
lt_warehouse_n,18,1430.4,65.6569,9.82843,64,23,64,backward
lt_warehouse_n,19,1233,58.7279,11.4853,55,22,64,backward
lt_warehouse_n,20,626,20.8284,12,20,4,64,backward
lt_warehouse_n,21,1355.8,58.2132,14.4853,52,4,64,backward
lt_warehouse_n,22,415.2,18.4142,14.6569,18,2,64,backward
lt_warehouse_n,23,721.8,38.6274,14.8284,32,7,64,backward
lt_warehouse_n,24,1730.8,93.0833,14.6569,79,8,64,backward
lt_warehouse_n,25,629,33.9706,12.8284,29,10,64,backward
lt_warehouse_n,26,901.2,45.9411,12.8284,36,12,64,backward
lt_warehouse_n,27,893,36.2132,13.2426,30,14,64,backward
