map,scenid,tcost,distance,expect,steps,access,r,itype
maze-100-1,0,3550.2,5,5,5,2,8,backward
maze-100-1,1,695.8,7,6,7,4,8,backward
maze-100-1,2,600.8,6,5,6,2,8,backward
maze-100-1,3,599.2,12,6,12,2,8,backward
maze-100-1,4,690,9,6,9,2,8,backward
maze-100-1,5,519.2,6,4,6,2,8,backward
maze-100-1,6,439.2,6,6,6,2,8,backward
maze-100-1,7,467,6,6,6,2,8,backward
maze-100-1,8,818.4,14,7,14,4,8,backward
maze-100-1,9,488,5,5,5,2,8,backward
maze-100-1,10,701.2,8,8,8,3,8,backward
maze-100-1,11,573.4,9,9,9,2,8,backward
maze-100-1,12,689.6,10,9,10,5,8,backward
maze-100-1,13,1022.8,16,11,16,4,8,backward
maze-100-1,14,559.8,11,11,11,3,8,backward
maze-100-1,15,621.6,10,10,10,2,8,backward
maze-100-1,16,524,8,8,8,2,8,backward
maze-100-1,17,619,15,10,15,3,8,backward
maze-100-1,18,784.4,14,11,14,3,8,backward
maze-100-1,19,904.4,15,10,15,2,8,backward
maze-100-1,20,712.2,15,14,15,4,8,backward
maze-100-1,21,490.4,12,12,12,2,8,backward
maze-100-1,22,515.2,13,13,13,3,8,backward
maze-100-1,23,777,15,15,15,4,8,backward
maze-100-1,24,642,15,12,15,4,8,backward
maze-100-1,25,725.6,19,15,19,3,8,backward
maze-100-1,26,554.8,12,12,12,3,8,backward
maze-100-1,27,695.6,15,15,15,3,8,backward
maze-100-1,28,674.4,14,14,14,5,8,backward
maze-100-1,29,893.4,18,15,18,4,8,backward
maze-100-1,30,803.8,19,18,19,7,8,backward
maze-100-1,31,725.6,17,17,17,5,8,backward
maze-100-1,32,735,18,18,18,3,8,backward
maze-100-1,33,568.4,18,18,18,3,8,backward
maze-100-1,34,1168,23,17,23,8,8,backward
maze-100-1,35,925.6,21,16,21,7,8,backward
maze-100-1,36,1081.2,27,19,27,7,8,backward
maze-100-1,37,609,17,17,17,4,8,backward
maze-100-1,38,760,19,19,19,4,8,backward
maze-100-1,39,716,16,16,16,4,8,backward
maze-100-1,40,877.2,24,21,24,5,8,backward
maze-100-1,41,561,23,23,23,4,8,backward
maze-100-1,42,836.8,23,23,23,4,8,backward
maze-100-1,43,899.6,22,22,22,5,8,backward
maze-100-1,44,843.8,20,20,20,4,8,backward
maze-100-1,45,766.8,23,23,23,4,8,backward
maze-100-1,46,1018,27,22,27,4,8,backward
maze-100-1,47,882.4,20,20,20,4,8,backward
maze-100-1,48,848,22,22,22,3,8,backward
maze-100-1,49,698,20,20,20,3,8,backward
maze-100-1,50,1075.8,26,25,26,7,8,backward
maze-100-1,51,751.2,24,24,24,4,8,backward
maze-100-1,52,1159.6,33,26,33,7,8,backward
maze-100-1,53,786.4,24,24,24,3,8,backward
maze-100-1,54,1012.8,27,27,27,5,8,backward
maze-100-1,55,904.2,26,26,26,4,8,backward
maze-100-1,56,796,26,26,26,4,8,backward
maze-100-1,57,700.6,26,26,26,4,8,backward
maze-100-1,58,796.2,24,24,24,5,8,backward
maze-100-1,59,1036.2,34,26,34,8,8,backward
maze-100-1,60,823.6,31,31,31,4,8,backward
maze-100-1,61,735.8,30,30,30,4,8,backward
maze-100-1,62,1025.6,30,30,30,6,8,backward
maze-100-1,63,1358,36,30,36,7,8,backward
maze-100-1,64,897.6,30,29,30,4,8,backward
maze-100-1,65,905,30,30,30,5,8,backward
maze-100-1,66,893,28,28,28,5,8,backward
maze-100-1,67,903.6,28,28,28,5,8,backward
maze-100-1,68,978.8,31,31,31,7,8,backward
maze-100-1,69,835,30,30,30,6,8,backward
maze-100-1,70,929.6,35,35,35,7,8,backward
maze-100-1,71,1020.8,34,34,34,7,8,backward
maze-100-1,72,989.4,32,32,32,5,8,backward
maze-100-1,73,1020.6,33,32,33,6,8,backward
maze-100-1,74,1113.8,34,34,34,7,8,backward
maze-100-1,75,1028,32,32,32,6,8,backward
maze-100-1,76,971.6,32,32,32,2,8,backward
maze-100-1,77,1063.2,35,35,35,5,8,backward
maze-100-1,78,1203.2,37,32,37,7,8,backward
maze-100-1,79,1061.4,35,32,35,7,8,backward
maze-100-1,80,1166,36,36,36,6,8,backward
maze-100-1,81,1252.6,37,37,37,3,8,backward
maze-100-1,82,1199.6,39,39,39,8,8,backward
maze-100-1,83,972.8,38,38,38,6,8,backward
maze-100-1,84,871,38,38,38,4,8,backward
maze-100-1,85,902,38,38,38,6,8,backward
maze-100-1,86,1006.2,37,36,37,5,8,backward
maze-100-1,87,1136.2,40,39,40,8,8,backward
maze-100-1,88,1026.2,37,37,37,7,8,backward
maze-100-1,89,1016.6,38,38,38,6,8,backward
maze-100-1,90,1083.8,42,42,42,6,8,backward
maze-100-1,91,1156.4,43,43,43,7,8,backward
maze-100-1,92,969.8,41,41,41,6,8,backward
maze-100-1,93,987.4,41,41,41,8,8,backward
maze-100-1,94,1111.8,43,43,43,6,8,backward
maze-100-1,95,1119.4,41,41,41,7,8,backward
maze-100-1,96,937.6,42,42,42,6,8,backward
maze-100-1,97,1278.4,44,40,44,8,8,backward
maze-100-1,98,1006.2,43,43,43,5,8,backward
maze-100-1,99,1019.8,41,41,41,5,8,backward
maze-100-1,100,1221.8,46,46,46,6,8,backward
maze-100-1,101,909.4,44,44,44,6,8,backward
maze-100-1,102,1162.4,47,47,47,9,8,backward
maze-100-1,103,1211.8,45,45,45,7,8,backward
maze-100-1,104,1495,53,46,53,11,8,backward
maze-100-1,105,1193,45,45,45,9,8,backward
maze-100-1,106,965.8,44,44,44,7,8,backward
maze-100-1,107,1231.4,45,45,45,7,8,backward
maze-100-1,108,1255.4,46,46,46,9,8,backward
maze-100-1,109,1159.6,46,46,46,8,8,backward
maze-100-1,110,1082,51,51,51,7,8,backward
maze-100-1,111,1074.2,51,51,51,6,8,backward
maze-100-1,112,946.4,51,51,51,6,8,backward
maze-100-1,113,1362.2,48,48,48,8,8,backward
maze-100-1,114,1389.8,53,51,53,7,8,backward
maze-100-1,115,1303.4,53,50,53,9,8,backward
maze-100-1,116,1559,50,50,50,10,8,backward
maze-100-1,117,1278,49,49,49,8,8,backward
maze-100-1,118,1304,49,49,49,10,8,backward
maze-100-1,119,1010,51,51,51,5,8,backward
maze-100-1,120,1333.8,55,53,55,8,8,backward
maze-100-1,121,1244.4,54,54,54,7,8,backward
maze-100-1,122,1491.4,55,55,55,7,8,backward
maze-100-1,123,1545,55,55,55,10,8,backward
maze-100-1,124,1375.2,54,54,54,6,8,backward
maze-100-1,125,1336.4,56,55,56,6,8,backward
maze-100-1,126,1340.6,55,55,55,8,8,backward
maze-100-1,127,1194.8,56,55,56,7,8,backward
maze-100-1,128,992.6,56,55,56,6,8,backward
maze-100-1,129,1123.4,52,52,52,6,8,backward
maze-100-1,130,1417,57,57,57,6,8,backward
maze-100-1,131,1501.6,57,57,57,10,8,backward
maze-100-1,132,1615.2,61,58,61,12,8,backward
maze-100-1,133,1381.2,58,58,58,12,8,backward
maze-100-1,134,1433.2,65,59,65,13,8,backward
maze-100-1,135,1149,57,57,57,6,8,backward
maze-100-1,136,1240.2,58,58,58,6,8,backward
maze-100-1,137,1192.4,59,59,59,7,8,backward
maze-100-1,138,1236.4,58,58,58,7,8,backward
maze-100-1,139,1278.4,59,59,59,10,8,backward
maze-100-1,140,1232.4,60,60,60,11,8,backward
maze-100-1,141,1359.4,68,62,68,8,8,backward
maze-100-1,142,1534.4,63,63,63,8,8,backward
maze-100-1,143,1259,62,62,62,6,8,backward
maze-100-1,144,1318.6,60,60,60,10,8,backward
maze-100-1,145,1637.8,68,62,68,11,8,backward
maze-100-1,146,1218.4,63,63,63,9,8,backward
maze-100-1,147,1428.6,67,62,67,8,8,backward
maze-100-1,148,1442.8,60,60,60,11,8,backward
maze-100-1,149,1456.6,63,61,63,10,8,backward
maze-100-1,150,1463,67,67,67,10,8,backward
maze-100-1,151,1534.6,66,66,66,9,8,backward
maze-100-1,152,1323.8,66,66,66,8,8,backward
maze-100-1,153,1531.2,66,66,66,10,8,backward
maze-100-1,154,1458.6,67,67,67,9,8,backward
maze-100-1,155,1408.8,66,66,66,12,8,backward
maze-100-1,156,1485.4,67,67,67,10,8,backward
maze-100-1,157,1688.2,67,67,67,12,8,backward
maze-100-1,158,1562.6,66,66,66,11,8,backward
maze-100-1,159,1352,66,66,66,9,8,backward
maze-100-1,160,1494.2,71,71,71,8,8,backward
maze-100-1,161,1602.8,69,69,69,10,8,backward
maze-100-1,162,1851.2,74,69,74,10,8,backward
maze-100-1,163,1775.6,70,70,70,13,8,backward
maze-100-1,164,1472,70,70,70,9,8,backward
maze-100-1,165,1669.6,70,70,70,15,8,backward
maze-100-1,166,1224.4,69,69,69,9,8,backward
maze-100-1,167,1588,72,69,72,11,8,backward
maze-100-1,168,1483.2,71,71,71,12,8,backward
maze-100-1,169,1574.4,70,70,70,11,8,backward
maze-100-1,170,1752.6,80,74,80,13,8,backward
maze-100-1,171,1514,72,72,72,10,8,backward
maze-100-1,172,1653.2,78,72,78,9,8,backward
maze-100-1,173,1470.4,72,72,72,10,8,backward
maze-100-1,174,1434,72,72,72,11,8,backward
