map,scenid,tcost,distance,expect,steps,access,r,itype
maze-100-1,0,577.4,5,5,5,1,2,backward
maze-100-1,1,528,6,6,6,3,2,backward
maze-100-1,2,431.2,5,5,5,1,2,backward
maze-100-1,3,439.8,6,6,6,1,2,backward
maze-100-1,4,480.8,7,6,7,2,2,backward
maze-100-1,5,375.2,4,4,4,2,2,backward
maze-100-1,6,291,6,6,6,1,2,backward
maze-100-1,7,309.4,6,6,6,1,2,backward
maze-100-1,8,435,8,7,8,2,2,backward
maze-100-1,9,360.4,5,5,5,2,2,backward
maze-100-1,10,606.6,9,8,9,3,2,backward
maze-100-1,11,501.6,9,9,9,3,2,backward
maze-100-1,12,449.4,9,9,9,2,2,backward
maze-100-1,13,521.8,12,11,12,3,2,backward
maze-100-1,14,404,11,11,11,3,2,backward
maze-100-1,15,476.2,10,10,10,1,2,backward
maze-100-1,16,380,8,8,8,2,2,backward
maze-100-1,17,361.2,10,10,10,1,2,backward
maze-100-1,18,732.4,12,11,12,6,2,backward
maze-100-1,19,543.2,11,10,11,2,2,backward
maze-100-1,20,591.8,15,14,15,4,2,backward
maze-100-1,21,407.2,12,12,12,2,2,backward
maze-100-1,22,466.4,14,13,14,4,2,backward
maze-100-1,23,655.8,15,15,15,4,2,backward
maze-100-1,24,424.2,12,12,12,3,2,backward
maze-100-1,25,627.2,16,15,16,3,2,backward
maze-100-1,26,366.2,13,12,13,3,2,backward
maze-100-1,27,624.4,16,15,16,4,2,backward
maze-100-1,28,728.4,15,14,15,6,2,backward
maze-100-1,29,680,15,15,15,5,2,backward
maze-100-1,30,589.6,18,18,18,5,2,backward
maze-100-1,31,565.2,17,17,17,5,2,backward
maze-100-1,32,696.6,18,18,18,3,2,backward
maze-100-1,33,419.4,18,18,18,2,2,backward
maze-100-1,34,852,18,17,18,6,2,backward
maze-100-1,35,589.2,16,16,16,3,2,backward
maze-100-1,36,547.8,19,19,19,4,2,backward
maze-100-1,37,508.4,17,17,17,4,2,backward
maze-100-1,38,680.2,19,19,19,4,2,backward
maze-100-1,39,524.4,17,16,17,4,2,backward
maze-100-1,40,657.6,21,21,21,3,2,backward
maze-100-1,41,439,23,23,23,4,2,backward
maze-100-1,42,773,24,23,24,5,2,backward
maze-100-1,43,684.8,22,22,22,6,2,backward
maze-100-1,44,655.4,21,20,21,5,2,backward
maze-100-1,45,622.8,24,23,24,4,2,backward
maze-100-1,46,498.4,22,22,22,2,2,backward
maze-100-1,47,703.4,20,20,20,3,2,backward
maze-100-1,48,613,22,22,22,3,2,backward
maze-100-1,49,637,20,20,20,5,2,backward
maze-100-1,50,785.8,25,25,25,6,2,backward
maze-100-1,51,761.8,25,24,25,5,2,backward
maze-100-1,52,764,26,26,26,4,2,backward
maze-100-1,53,609.2,24,24,24,3,2,backward
maze-100-1,54,831.6,27,27,27,4,2,backward
maze-100-1,55,741,27,26,27,5,2,backward
maze-100-1,56,632.8,26,26,26,4,2,backward
maze-100-1,57,519.4,26,26,26,3,2,backward
maze-100-1,58,639,24,24,24,4,2,backward
maze-100-1,59,713.6,26,26,26,6,2,backward
maze-100-1,60,729.6,31,31,31,5,2,backward
maze-100-1,61,691.6,30,30,30,5,2,backward
maze-100-1,62,760.6,30,30,30,5,2,backward
maze-100-1,63,786,31,30,31,5,2,backward
maze-100-1,64,674.2,29,29,29,3,2,backward
maze-100-1,65,727.6,31,30,31,6,2,backward
maze-100-1,66,797.6,28,28,28,6,2,backward
maze-100-1,67,782.4,28,28,28,5,2,backward
maze-100-1,68,768.4,31,31,31,6,2,backward
maze-100-1,69,768.2,30,30,30,7,2,backward
maze-100-1,70,904.4,35,35,35,9,2,backward
maze-100-1,71,976.4,34,34,34,7,2,backward
maze-100-1,72,790.8,33,32,33,6,2,backward
maze-100-1,73,864.8,33,32,33,6,2,backward
maze-100-1,74,910,34,34,34,7,2,backward
maze-100-1,75,896.4,32,32,32,7,2,backward
maze-100-1,76,733,32,32,32,2,2,backward
maze-100-1,77,820.6,36,35,36,5,2,backward
maze-100-1,78,667.4,32,32,32,6,2,backward
maze-100-1,79,941,33,32,33,6,2,backward
maze-100-1,80,1003.4,37,36,37,6,2,backward
maze-100-1,81,592.8,37,37,37,2,2,backward
maze-100-1,82,1223.8,40,39,40,9,2,backward
maze-100-1,83,768.6,38,38,38,7,2,backward
maze-100-1,84,664.6,39,38,39,5,2,backward
maze-100-1,85,719.8,39,38,39,5,2,backward
maze-100-1,86,833.4,37,36,37,5,2,backward
maze-100-1,87,903.4,39,39,39,8,2,backward
maze-100-1,88,1030.4,37,37,37,7,2,backward
maze-100-1,89,834.2,38,38,38,6,2,backward
maze-100-1,90,952.4,44,42,44,6,2,backward
maze-100-1,91,810.6,45,43,45,7,2,backward
maze-100-1,92,838.6,41,41,41,7,2,backward
maze-100-1,93,914.8,41,41,41,8,2,backward
maze-100-1,94,906,43,43,43,7,2,backward
maze-100-1,95,868.4,41,41,41,6,2,backward
maze-100-1,96,873.4,42,42,42,7,2,backward
maze-100-1,97,792.6,40,40,40,6,2,backward
maze-100-1,98,754,43,43,43,4,2,backward
maze-100-1,99,810.6,41,41,41,5,2,backward
maze-100-1,100,1051.4,46,46,46,6,2,backward
maze-100-1,101,845.2,45,44,45,7,2,backward
maze-100-1,102,1110.6,47,47,47,9,2,backward
maze-100-1,103,910.2,45,45,45,7,2,backward
maze-100-1,104,965.8,46,46,46,8,2,backward
maze-100-1,105,905.2,45,45,45,8,2,backward
maze-100-1,106,849.6,44,44,44,6,2,backward
maze-100-1,107,849.8,45,45,45,6,2,backward
maze-100-1,108,1023.4,46,46,46,9,2,backward
maze-100-1,109,1002.6,46,46,46,7,2,backward
maze-100-1,110,1037.6,52,51,52,8,2,backward
maze-100-1,111,951.4,51,51,51,6,2,backward
maze-100-1,112,924,51,51,51,6,2,backward
maze-100-1,113,897,48,48,48,7,2,backward
maze-100-1,114,1192.2,51,51,51,8,2,backward
maze-100-1,115,1019.2,51,50,51,9,2,backward
maze-100-1,116,1182,50,50,50,9,2,backward
maze-100-1,117,1046,49,49,49,9,2,backward
maze-100-1,118,1065,49,49,49,9,2,backward
maze-100-1,119,826.2,51,51,51,4,2,backward
maze-100-1,120,972.2,53,53,53,8,2,backward
maze-100-1,121,969.4,54,54,54,6,2,backward
maze-100-1,122,1149.4,55,55,55,7,2,backward
maze-100-1,123,1094,55,55,55,8,2,backward
maze-100-1,124,980.2,54,54,54,5,2,backward
maze-100-1,125,1029.2,56,55,56,6,2,backward
maze-100-1,126,1072.8,56,55,56,9,2,backward
maze-100-1,127,1028,55,55,55,6,2,backward
maze-100-1,128,773.6,55,55,55,5,2,backward
maze-100-1,129,1127.4,52,52,52,6,2,backward
maze-100-1,130,1329.6,59,57,59,10,2,backward
maze-100-1,131,1139.8,57,57,57,7,2,backward
maze-100-1,132,1435.2,58,58,58,11,2,backward
maze-100-1,133,1202.8,58,58,58,12,2,backward
maze-100-1,134,1184.2,59,59,59,12,2,backward
maze-100-1,135,1011,57,57,57,7,2,backward
maze-100-1,136,965.4,58,58,58,6,2,backward
maze-100-1,137,929.6,59,59,59,7,2,backward
maze-100-1,138,1088.2,58,58,58,7,2,backward
maze-100-1,139,1072.6,59,59,59,11,2,backward
maze-100-1,140,1084.2,60,60,60,11,2,backward
maze-100-1,141,841,62,62,62,5,2,backward
maze-100-1,142,1177.2,63,63,63,9,2,backward
maze-100-1,143,925,63,62,63,7,2,backward
maze-100-1,144,1221.2,60,60,60,9,2,backward
maze-100-1,145,1147.6,62,62,62,8,2,backward
maze-100-1,146,997.8,64,63,64,9,2,backward
maze-100-1,147,1141.6,63,62,63,8,2,backward
maze-100-1,148,1419.8,60,60,60,11,2,backward
maze-100-1,149,1107.2,61,61,61,9,2,backward
maze-100-1,150,1189.4,67,67,67,9,2,backward
maze-100-1,151,1362.2,66,66,66,9,2,backward
maze-100-1,152,1109.6,66,66,66,10,2,backward
maze-100-1,153,1350.8,66,66,66,9,2,backward
maze-100-1,154,1286.4,68,67,68,10,2,backward
maze-100-1,155,1363.2,68,66,68,13,2,backward
maze-100-1,156,1192.4,67,67,67,11,2,backward
maze-100-1,157,1338.6,67,67,67,11,2,backward
maze-100-1,158,1320.2,66,66,66,10,2,backward
maze-100-1,159,1087.2,66,66,66,9,2,backward
maze-100-1,160,1237,71,71,71,8,2,backward
maze-100-1,161,1306.4,69,69,69,8,2,backward
maze-100-1,162,1134.4,69,69,69,9,2,backward
maze-100-1,163,1357.6,70,70,70,12,2,backward
maze-100-1,164,1312,71,70,71,10,2,backward
maze-100-1,165,1608,71,70,71,15,2,backward
maze-100-1,166,1189.8,70,69,70,10,2,backward
maze-100-1,167,1160,70,69,70,10,2,backward
maze-100-1,168,1268,71,71,71,12,2,backward
maze-100-1,169,1296.8,70,70,70,10,2,backward
maze-100-1,170,1251.2,74,74,74,9,2,backward
maze-100-1,171,1353.8,72,72,72,10,2,backward
maze-100-1,172,1208.2,72,72,72,8,2,backward
maze-100-1,173,1369.4,73,72,73,10,2,backward
maze-100-1,174,1251.4,72,72,72,12,2,backward
maze-100-1,175,1284.4,74,74,74,9,2,backward
maze-100-1,176,1326.8,73,72,73,11,2,backward
maze-100-1,177,1461.8,74,74,74,12,2,backward
maze-100-1,178,1209.8,73,73,73,11,2,backward
maze-100-1,179,1411.4,73,73,73,10,2,backward
maze-100-1,180,1306,79,78,79,9,2,backward
maze-100-1,181,1236,77,76,77,11,2,backward
maze-100-1,182,976.6,77,77,77,5,2,backward
maze-100-1,183,1329.4,77,77,77,11,2,backward
maze-100-1,184,1400,79,79,79,12,2,backward
maze-100-1,185,1378.2,77,77,77,10,2,backward
maze-100-1,186,1443.4,80,79,80,12,2,backward
maze-100-1,187,1282.4,78,77,78,10,2,backward
maze-100-1,188,1411.4,76,76,76,12,2,backward
maze-100-1,189,1528.8,78,78,78,14,2,backward
maze-100-1,190,1401,82,82,82,14,2,backward
maze-100-1,191,1259,81,80,81,9,2,backward
maze-100-1,192,1544.8,84,83,84,12,2,backward
maze-100-1,193,1466.4,82,81,82,11,2,backward
maze-100-1,194,1406,80,80,80,11,2,backward
maze-100-1,195,1272.8,81,81,81,10,2,backward
maze-100-1,196,1415.2,81,81,81,11,2,backward
maze-100-1,197,1272,80,80,80,9,2,backward
maze-100-1,198,1520.4,81,81,81,13,2,backward
maze-100-1,199,1457.6,83,82,83,15,2,backward
maze-100-1,200,1419.4,86,86,86,13,2,backward
maze-100-1,201,1267.6,86,86,86,10,2,backward
maze-100-1,202,1566.4,85,85,85,14,2,backward
maze-100-1,203,1502.4,84,84,84,8,2,backward
maze-100-1,204,1608.6,84,84,84,11,2,backward
maze-100-1,205,1479.8,88,87,88,13,2,backward
maze-100-1,206,1427.8,87,87,87,10,2,backward
maze-100-1,207,1406.2,84,84,84,12,2,backward
maze-100-1,208,1260.4,87,87,87,10,2,backward
maze-100-1,209,1459.2,85,84,85,11,2,backward
maze-100-1,210,1329.4,90,89,90,9,2,backward
maze-100-1,211,1399,88,88,88,12,2,backward
maze-100-1,212,1478.4,90,90,90,12,2,backward
maze-100-1,213,1368.2,90,90,90,11,2,backward
maze-100-1,214,1419.4,91,91,91,11,2,backward
maze-100-1,215,1601.2,90,89,90,14,2,backward
maze-100-1,216,1585,89,88,89,14,2,backward
maze-100-1,217,1431.2,89,89,89,11,2,backward
maze-100-1,218,1779.4,89,88,89,18,2,backward
maze-100-1,219,1532,88,88,88,15,2,backward
maze-100-1,220,1528.6,93,93,93,14,2,backward
maze-100-1,221,1475,94,94,94,12,2,backward
maze-100-1,222,1520.6,95,95,95,12,2,backward
maze-100-1,223,1382.8,95,95,95,13,2,backward
maze-100-1,224,1567.6,93,93,93,12,2,backward
maze-100-1,225,1645.8,94,94,94,13,2,backward
maze-100-1,226,1665,94,94,94,15,2,backward
maze-100-1,227,1532.8,95,94,95,16,2,backward
maze-100-1,228,1483.6,92,92,92,11,2,backward
maze-100-1,229,1472.8,95,95,95,10,2,backward
maze-100-1,230,1599.8,98,98,98,14,2,backward
maze-100-1,231,1744,100,99,100,19,2,backward
maze-100-1,232,1544.4,99,99,99,14,2,backward
maze-100-1,233,1631.6,97,97,97,16,2,backward
maze-100-1,234,1376.2,96,96,96,11,2,backward
maze-100-1,235,1630.4,98,98,98,14,2,backward
maze-100-1,236,1586.6,97,97,97,12,2,backward
maze-100-1,237,1587,98,98,98,10,2,backward
maze-100-1,238,1504.2,97,97,97,13,2,backward
maze-100-1,239,1647.8,97,97,97,13,2,backward
maze-100-1,240,1580.2,100,100,100,12,2,backward
maze-100-1,241,1428.2,103,102,103,11,2,backward
maze-100-1,242,1506.2,100,100,100,14,2,backward
maze-100-1,243,1462.6,101,101,101,15,2,backward
maze-100-1,244,1623.4,102,102,102,12,2,backward
maze-100-1,245,1908.2,101,101,101,16,2,backward
maze-100-1,246,1639.4,101,101,101,13,2,backward
maze-100-1,247,2061.6,100,100,100,18,2,backward
maze-100-1,248,1778.6,103,102,103,16,2,backward
maze-100-1,249,1553.4,101,101,101,11,2,backward
maze-100-1,250,1614.2,104,104,104,12,2,backward
maze-100-1,251,1990.6,105,104,105,15,2,backward
maze-100-1,252,1494.2,106,106,106,10,2,backward
maze-100-1,253,1786.8,105,105,105,16,2,backward
maze-100-1,254,1576.6,105,105,105,12,2,backward
maze-100-1,255,1972,109,107,109,16,2,backward
maze-100-1,256,1630.6,104,104,104,13,2,backward
maze-100-1,257,1505.4,107,107,107,10,2,backward
maze-100-1,258,1927,105,105,105,16,2,backward
maze-100-1,259,1641.2,107,107,107,13,2,backward
maze-100-1,260,1658.6,109,109,109,12,2,backward
maze-100-1,261,1641.4,111,111,111,13,2,backward
maze-100-1,262,1936.8,109,109,109,18,2,backward
maze-100-1,263,1644.8,109,109,109,12,2,backward
maze-100-1,264,1678.8,111,110,111,15,2,backward
maze-100-1,265,1838.2,109,109,109,16,2,backward
maze-100-1,266,1543.8,110,110,110,15,2,backward
maze-100-1,267,1515,109,108,109,12,2,backward
maze-100-1,268,1289.2,108,108,108,11,2,backward
maze-100-1,269,1482,110,110,110,17,2,backward
maze-100-1,270,1737.6,115,115,115,14,2,backward
maze-100-1,271,1793.6,114,114,114,14,2,backward
maze-100-1,272,1808.2,114,114,114,16,2,backward
maze-100-1,273,1786,112,112,112,15,2,backward
maze-100-1,274,1766.2,112,112,112,12,2,backward
maze-100-1,275,1721.6,113,113,113,16,2,backward
maze-100-1,276,1860.6,113,112,113,18,2,backward
maze-100-1,277,2006.4,113,113,113,17,2,backward
maze-100-1,278,1905.8,115,115,115,15,2,backward
maze-100-1,279,1860.6,114,114,114,16,2,backward
maze-100-1,280,1667.8,117,117,117,12,2,backward
maze-100-1,281,1932.6,119,119,119,18,2,backward
maze-100-1,282,1754.4,119,119,119,15,2,backward
maze-100-1,283,1997.6,119,117,119,19,2,backward
maze-100-1,284,1964.6,118,118,118,18,2,backward
maze-100-1,285,1735.2,117,117,117,12,2,backward
maze-100-1,286,1790.2,116,116,116,15,2,backward
maze-100-1,287,1736.8,116,116,116,14,2,backward
maze-100-1,288,1895,118,116,118,16,2,backward
maze-100-1,289,1973.4,119,119,119,16,2,backward
maze-100-1,290,1713.8,120,120,120,13,2,backward
maze-100-1,291,1966.2,123,123,123,19,2,backward
maze-100-1,292,2159,123,123,123,20,2,backward
maze-100-1,293,1755.2,120,120,120,13,2,backward
maze-100-1,294,2081.2,122,120,122,19,2,backward
maze-100-1,295,1998.4,121,121,121,20,2,backward
maze-100-1,296,1730.6,123,123,123,17,2,backward
maze-100-1,297,1972.2,123,123,123,17,2,backward
maze-100-1,298,1941.6,122,121,122,17,2,backward
maze-100-1,299,2153.4,123,123,123,18,2,backward
maze-100-1,300,2183.4,128,127,128,19,2,backward
maze-100-1,301,1959.4,125,125,125,17,2,backward
maze-100-1,302,1797,126,126,126,15,2,backward
maze-100-1,303,1900.8,127,127,127,14,2,backward
maze-100-1,304,2254.2,124,124,124,21,2,backward
maze-100-1,305,1974.8,126,126,126,21,2,backward
maze-100-1,306,1946.8,128,127,128,18,2,backward
