map,scenid,tcost,distance,expect,steps,access,r,itype
maze-400-4,0,3097.2,60.4853,4.41421,58,108,64,forward
maze-400-4,1,1524.8,30.8995,6.24264,28,47,64,forward
maze-400-4,2,1332.8,37.7279,6.82843,34,58,64,forward
maze-400-4,3,950.8,27.7279,6,24,34,64,forward
maze-400-4,4,482,7.65685,6.24264,6,2,64,forward
maze-400-4,5,1890.4,37.0416,7.82843,30,48,64,forward
maze-400-4,6,1314.4,29.5563,4,25,41,64,forward
maze-400-4,7,1721.8,50.9706,4.41421,46,79,64,forward
maze-400-4,8,719.2,22.1421,6.82843,18,26,64,forward
maze-400-4,9,1681.4,43.799,4.41421,38,68,64,forward
maze-400-4,10,2093.2,70.799,10.6569,65,105,64,forward
maze-400-4,11,1285.6,28.3137,10.0711,25,39,64,forward
maze-400-4,12,2834.2,71.8995,9.82843,69,89,64,forward
maze-400-4,13,1063.6,28.7279,11.6569,25,27,64,forward
maze-400-4,14,850.6,32.8995,9.82843,30,33,64,forward
maze-400-4,15,2790,62.9706,8,58,106,64,forward
maze-400-4,16,2306,56.9706,8.41421,52,92,64,forward
maze-400-4,17,1260.8,55.0711,10.4142,53,72,64,forward
maze-400-4,18,2095.2,58.6985,11.4142,50,79,64,forward
maze-400-4,19,502.6,16.4142,8.41421,16,13,64,forward
maze-400-4,20,2250.6,45.3137,13.6569,42,59,64,forward
maze-400-4,21,1275.8,39.4853,15,37,48,64,forward
maze-400-4,22,2468.6,71.799,14.8995,66,82,64,forward
maze-400-4,23,1879.8,56.9411,13.6569,47,75,64,forward
maze-400-4,24,1065.4,25.0711,13.0711,23,31,64,forward
maze-400-4,25,2431.6,70.3848,12.8284,65,108,64,forward
maze-400-4,26,1033.2,17.8284,15.4853,17,14,64,forward
maze-400-4,27,888.8,25.0711,15.0711,23,19,64,forward
maze-400-4,28,1178.2,29.3137,14.7279,26,29,64,forward
maze-400-4,29,789.2,18.6569,13.2426,17,13,64,forward
maze-400-4,30,1858.8,36.7279,19.4853,33,39,64,forward
maze-400-4,31,778.6,20.4853,18.4853,18,16,64,forward
maze-400-4,32,3121.8,82.6274,18.8284,76,116,64,forward
maze-400-4,33,2369.2,58.6274,17.4853,52,87,64,forward
maze-400-4,34,856.6,21.1421,17.2426,17,13,64,forward
maze-400-4,35,1244.6,42.799,19,37,38,64,forward
maze-400-4,36,1264,36.7279,17.2426,33,45,64,forward
maze-400-4,37,2141.8,68.0416,17.6569,61,99,64,forward
maze-400-4,38,1365.4,35.6569,19.6569,34,44,64,forward
maze-400-4,39,599.6,19.2426,16.6569,18,16,64,forward
maze-400-4,40,1122,41.6569,20.4853,40,36,64,forward
maze-400-4,41,884.6,21.7279,20.5563,18,16,64,forward
maze-400-4,42,2353.6,67.9706,20.0711,63,104,64,forward
maze-400-4,43,812.6,20.4853,20.4853,18,15,64,forward
maze-400-4,44,1407.8,42.5269,21.1421,33,30,64,forward
maze-400-4,45,1132.2,24.2426,23.0711,23,20,64,forward
maze-400-4,46,1868.6,65.2843,22.4853,57,84,64,forward
maze-400-4,47,2344.6,74.6985,20.4853,66,110,64,forward
maze-400-4,48,1513.4,37.2132,22.3137,31,37,64,forward
maze-400-4,49,2539.2,72.4558,23.2426,65,80,64,forward
maze-400-4,50,872.2,27.4853,26.3137,25,23,64,forward
maze-400-4,51,1858.2,70.799,24.0711,65,104,64,forward
maze-400-4,52,2381.8,51.4853,26.4853,49,72,64,forward
maze-400-4,53,1044.2,42.2843,26.1421,34,36,64,forward
maze-400-4,54,938,35.4853,24.0711,33,30,64,forward
maze-400-4,55,1218.2,38.2426,26.4853,37,34,64,forward
maze-400-4,56,947.6,26.3137,26.3137,23,21,64,forward
maze-400-4,57,1617.2,57.3137,26.2426,54,70,64,forward
maze-400-4,58,3189.2,91.8701,27.4853,84,136,64,forward
maze-400-4,59,3623.2,75.9706,27.0711,71,105,64,forward
maze-400-4,60,1703.6,55.0416,30.1421,48,64,64,forward
maze-400-4,61,3264.6,87.0833,28.3137,73,116,64,forward
maze-400-4,62,1148,28.3848,28.3848,23,20,64,forward
maze-400-4,63,2031.4,53.6274,31.5563,47,55,64,forward
maze-400-4,64,843,41.1421,28.3137,37,34,64,forward
