map,scenid,tcost,distance,expect,steps,access,r,itype
maze-400-4,0,1403.4,4.41421,4.41421,4,1,0,backward
maze-400-4,1,1071,6.24264,6.24264,5,1,0,backward
maze-400-4,2,1011.4,6.82843,6.82843,6,1,0,backward
maze-400-4,3,1029.4,6,6,6,1,0,backward
maze-400-4,4,1353.4,6.24264,6.24264,5,2,0,backward
maze-400-4,5,1487,7.82843,7.82843,7,3,0,backward
maze-400-4,6,874,4,4,4,1,0,backward
maze-400-4,7,990.4,4.41421,4.41421,4,1,0,backward
maze-400-4,8,1045,6.82843,6.82843,6,1,0,backward
maze-400-4,9,1501.4,4.41421,4.41421,4,3,0,backward
maze-400-4,10,1383,10.6569,10.6569,9,2,0,backward
maze-400-4,11,1489,10.0711,10.0711,8,2,0,backward
maze-400-4,12,1352.4,9.82843,9.82843,9,3,0,backward
maze-400-4,13,1528.8,11.6569,11.6569,10,2,0,backward
maze-400-4,14,1470.4,9.82843,9.82843,9,2,0,backward
maze-400-4,15,1009.2,8,8,8,1,0,backward
maze-400-4,16,1707,8.41421,8.41421,8,4,0,backward
maze-400-4,17,1258.2,10.4142,10.4142,10,1,0,backward
maze-400-4,18,1516.8,11.4142,11.4142,11,3,0,backward
maze-400-4,19,1252.8,8.41421,8.41421,8,2,0,backward
maze-400-4,20,1982.6,13.6569,13.6569,12,8,0,backward
maze-400-4,21,1327.6,15,15,15,3,0,backward
maze-400-4,22,1263.4,14.8995,14.8995,12,1,0,backward
maze-400-4,23,1584.2,13.6569,13.6569,12,3,0,backward
maze-400-4,24,1910.6,13.0711,13.0711,11,5,0,backward
maze-400-4,25,1508.8,12.8284,12.8284,12,3,0,backward
maze-400-4,26,2028,15.4853,15.4853,13,4,0,backward
maze-400-4,27,1791.4,15.0711,15.0711,13,4,0,backward
maze-400-4,28,1695.8,14.7279,14.7279,11,3,0,backward
maze-400-4,29,1464.2,13.2426,13.2426,12,4,0,backward
maze-400-4,30,1653,19.4853,19.4853,17,2,0,backward
maze-400-4,31,1743.8,18.4853,18.4853,16,5,0,backward
maze-400-4,32,1804,18.8284,18.8284,18,2,0,backward
maze-400-4,33,2075.8,17.4853,17.4853,15,3,0,backward
maze-400-4,34,2390.8,17.2426,17.2426,16,8,0,backward
maze-400-4,35,1955.4,19,19,19,3,0,backward
maze-400-4,36,1527.2,17.2426,17.2426,16,4,0,backward
maze-400-4,37,2219.2,17.6569,17.6569,16,5,0,backward
maze-400-4,38,1651.8,19.6569,19.6569,18,2,0,backward
maze-400-4,39,1630.6,16.6569,16.6569,15,6,0,backward
maze-400-4,40,1828.2,20.4853,20.4853,18,6,0,backward
maze-400-4,41,2120.4,20.5563,20.5563,16,7,0,backward
maze-400-4,42,1501,20.0711,20.0711,18,6,0,backward
maze-400-4,43,1748.8,20.4853,20.4853,18,5,0,backward
maze-400-4,44,2070.2,21.1421,21.1421,17,4,0,backward
maze-400-4,45,2055,23.0711,23.0711,21,4,0,backward
maze-400-4,46,1721.2,22.4853,22.4853,20,5,0,backward
maze-400-4,47,1632.2,20.4853,20.4853,18,3,0,backward
maze-400-4,48,1804,22.3137,22.3137,19,5,0,backward
maze-400-4,49,1598.2,23.2426,23.2426,22,4,0,backward
maze-400-4,50,1800.8,26.3137,26.3137,23,8,0,backward
maze-400-4,51,1133.6,24.0711,24.0711,22,2,0,backward
maze-400-4,52,1946.8,26.4853,26.4853,24,5,0,backward
maze-400-4,53,1671.6,26.1421,26.1421,22,5,0,backward
maze-400-4,54,1682,24.0711,24.0711,22,2,0,backward
maze-400-4,55,1884.4,26.4853,26.4853,24,2,0,backward
maze-400-4,56,2455.4,26.3137,26.3137,23,6,0,backward
maze-400-4,57,1913.2,26.2426,26.2426,25,2,0,backward
maze-400-4,58,1768.6,27.4853,27.4853,25,6,0,backward
maze-400-4,59,2416.4,27.0711,27.0711,25,7,0,backward
maze-400-4,60,1817,30.1421,30.1421,26,7,0,backward
maze-400-4,61,2149,28.3137,28.3137,25,8,0,backward
maze-400-4,62,2014.8,28.3848,28.3848,23,3,0,backward
maze-400-4,63,2006.8,31.5563,31.5563,27,6,0,backward
maze-400-4,64,2469.4,28.3137,28.3137,25,6,0,backward
maze-400-4,65,1822.6,31.6569,31.6569,30,9,0,backward
maze-400-4,66,1852.4,28.8995,28.8995,26,6,0,backward
maze-400-4,67,1794.8,29.0711,29.0711,27,1,0,backward
maze-400-4,68,2062.2,29.4853,29.4853,27,4,0,backward
maze-400-4,69,2296.2,28.2426,28.2426,27,7,0,backward
maze-400-4,70,1998.4,32.8284,32.8284,32,5,0,backward
maze-400-4,71,1929.6,32.1421,32.1421,28,6,0,backward
maze-400-4,72,2396.2,32.6569,32.6569,31,4,0,backward
maze-400-4,73,1840.6,32.3137,32.3137,29,7,0,backward
maze-400-4,74,1835.6,32.2426,32.2426,31,5,0,backward
maze-400-4,75,2981.4,35.3848,35.3848,30,4,0,backward
maze-400-4,76,3054,35.5563,35.5563,31,16,0,backward
maze-400-4,77,1990.2,33.7279,33.7279,30,11,0,backward
maze-400-4,78,2369.6,32.0711,32.0711,30,10,0,backward
maze-400-4,79,2649.8,33.8995,33.8995,31,12,0,backward
maze-400-4,80,2260.2,39.1421,39.1421,35,7,0,backward
maze-400-4,81,2348.6,36.1421,36.1421,32,6,0,backward
maze-400-4,82,2177,39.799,39.799,34,10,0,backward
maze-400-4,83,1899.4,38.1421,38.1421,34,10,0,backward
maze-400-4,84,1727,36.0416,36.0416,29,6,0,backward
maze-400-4,85,2449.2,38.1421,38.1421,34,9,0,backward
maze-400-4,86,2993.2,38.1421,38.1421,34,12,0,backward
maze-400-4,87,2638.4,37.5563,37.5563,33,6,0,backward
maze-400-4,88,2812.2,38.7279,38.7279,35,8,0,backward
maze-400-4,89,2846.8,39.2132,39.2132,33,8,0,backward
maze-400-4,90,2911.2,41.2132,41.2132,35,16,0,backward
maze-400-4,91,2573.6,41.7279,41.7279,38,14,0,backward
maze-400-4,92,3144.6,43.8701,43.8701,36,13,0,backward
maze-400-4,93,2757.8,43.5563,43.5563,39,5,0,backward
maze-400-4,94,2707,40.8995,40.8995,38,10,0,backward
maze-400-4,95,1662.4,43.799,43.799,38,13,0,backward
maze-400-4,96,1848.6,43.4558,43.4558,36,13,0,backward
maze-400-4,97,2193.4,41.6274,41.6274,35,11,0,backward
maze-400-4,98,2270.8,40.2132,40.2132,34,6,0,backward
maze-400-4,99,3177.6,42.0416,42.0416,35,8,0,backward
maze-400-4,100,2695,45.3848,45.3848,40,8,0,backward
maze-400-4,101,2103.6,46.3137,46.3137,43,9,0,backward
maze-400-4,102,2656.2,45.9706,45.9706,41,14,0,backward
maze-400-4,103,2670,46.0416,46.0416,39,17,0,backward
maze-400-4,104,2797.4,45.4853,45.4853,43,7,0,backward
maze-400-4,105,2342,47.5563,47.5563,43,7,0,backward
maze-400-4,106,2823.4,45.3848,45.3848,40,8,0,backward
maze-400-4,107,1785,44.2132,44.2132,38,6,0,backward
maze-400-4,108,2877,44.9706,44.9706,40,13,0,backward
maze-400-4,109,1944.8,45.799,45.799,40,9,0,backward
maze-400-4,110,2845.6,48.3848,48.3848,43,11,0,backward
maze-400-4,111,2395,51.2132,51.2132,45,6,0,backward
maze-400-4,112,2479.6,50.9706,50.9706,46,9,0,backward
maze-400-4,113,1900.4,48.4853,48.4853,46,8,0,backward
maze-400-4,114,2708.2,51.7279,51.7279,48,12,0,backward
maze-400-4,115,3409.6,51.4558,51.4558,44,14,0,backward
maze-400-4,116,2876.2,49.3848,49.3848,44,11,0,backward
maze-400-4,117,2889.4,49.0416,49.0416,42,12,0,backward
maze-400-4,118,2805.8,50.5563,50.5563,46,11,0,backward
maze-400-4,119,2693.6,51.9706,51.9706,47,12,0,backward
maze-400-4,120,2611.2,55.799,55.799,50,11,0,backward
maze-400-4,121,2543.6,54.4558,54.4558,47,13,0,backward
