map,scenid,tcost,distance,expect,steps,access,r,itype
orz100d,0,584,8.24264,2.41421,7,0,16,forward
orz100d,1,626.2,9,3,9,0,16,forward
orz100d,2,1369.6,22.8284,3.82843,22,10,16,forward
orz100d,3,429.8,11.8995,3.41421,9,0,16,forward
orz100d,4,808.4,15.6569,1.41421,14,0,16,forward
orz100d,5,249.8,5.41421,2.82843,5,0,16,forward
orz100d,6,436.6,6.82843,2.82843,6,0,16,forward
orz100d,7,714.8,24.2132,1.41421,18,0,16,forward
orz100d,8,311.2,10.2426,3.41421,9,0,16,forward
orz100d,9,577.4,13.6569,2,12,0,16,forward
orz100d,10,701,11.8284,6.65685,11,5,16,forward
orz100d,11,417.4,10.6569,4.41421,9,0,16,forward
orz100d,12,512.4,20.3137,6.82843,17,1,16,forward
orz100d,13,480.6,21.3848,5.82843,16,0,16,forward
orz100d,14,1248.4,17.8284,5.82843,17,23,16,forward
orz100d,15,1193.2,24.4853,7.24264,22,8,16,forward
orz100d,16,416.8,7.65685,5.65685,6,0,16,forward
orz100d,17,680.8,18.3137,4.82843,15,1,16,forward
orz100d,18,792,28.3137,7.82843,25,10,16,forward
orz100d,19,1118.8,20.8995,7.82843,18,12,16,forward
orz100d,20,665.2,15.4853,11.4853,13,5,16,forward
orz100d,21,1803.4,23.3137,11.0711,20,27,16,forward
orz100d,22,394.4,13.4142,11.6569,13,0,16,forward
orz100d,23,1760.8,27.5563,11.4853,23,24,16,forward
orz100d,24,929.4,19.7279,11.0711,16,2,16,forward
orz100d,25,886.8,27.8995,10.8995,25,13,16,forward
orz100d,26,291.2,9.07107,8.48528,7,0,16,forward
orz100d,27,433.4,18.0711,8.07107,16,0,16,forward
orz100d,28,302.2,8.82843,8.82843,8,1,16,forward
orz100d,29,244,10.0711,9.48528,8,0,16,forward
orz100d,30,944.6,17.4142,12.4853,17,6,16,forward
orz100d,31,1062,26.799,15.6569,21,10,16,forward
orz100d,32,1040.4,25.799,15.2426,20,4,16,forward
orz100d,33,725,26.3848,15.6569,21,0,16,forward
