map,scenid,tcost,distance,expect,steps,access,r,itype
orz105d,0,182.8,1,1,1,1,0,forward
orz105d,1,57.8,1,1,1,1,0,forward
orz105d,2,119.6,2.41421,2.41421,2,2,0,forward
orz105d,3,74,2.41421,2.41421,2,1,0,forward
orz105d,4,51,2,2,2,1,0,forward
orz105d,5,72.2,3.41421,3.41421,3,1,0,forward
orz105d,6,68.2,1,1,1,1,0,forward
orz105d,7,61.4,1.41421,1.41421,1,1,0,forward
orz105d,8,56.2,1,1,1,1,0,forward
orz105d,9,127,4.82843,4.82843,4,2,0,forward
orz105d,10,242.2,7.24264,7.24264,6,3,0,forward
orz105d,11,82.2,4.82843,4.82843,4,1,0,forward
orz105d,12,91.6,6.24264,6.24264,5,1,0,forward
orz105d,13,125.2,7.65685,7.65685,6,1,0,forward
orz105d,14,138.8,4.82843,4.82843,4,3,0,forward
orz105d,15,127.6,6.24264,6.24264,5,3,0,forward
orz105d,16,114.2,5.82843,5.82843,5,2,0,forward
orz105d,17,101.2,6.24264,6.24264,5,1,0,forward
orz105d,18,138,7.65685,7.65685,6,3,0,forward
orz105d,19,119.2,9.07107,9.07107,7,1,0,forward
orz105d,20,155,8.24264,8.24264,7,3,0,forward
orz105d,21,112.6,9.48528,9.48528,7,1,0,forward
orz105d,22,185.6,10.0711,10.0711,8,3,0,forward
orz105d,23,136.4,8.82843,8.82843,8,1,0,forward
orz105d,24,117.6,9.24264,9.24264,8,1,0,forward
orz105d,25,176.4,11.0711,11.0711,9,3,0,forward
orz105d,26,148.2,10.2426,10.2426,9,3,0,forward
orz105d,27,129.6,9.82843,9.82843,9,1,0,forward
orz105d,28,126.4,11.0711,11.0711,9,1,0,forward
orz105d,29,273.4,12.4853,12.4853,10,5,0,forward
orz105d,30,181.4,12.0711,12.0711,10,3,0,forward
orz105d,31,166.2,12.8995,12.8995,10,3,0,forward
orz105d,32,149,14.1421,14.1421,10,3,0,forward
orz105d,33,175.6,13.0711,13.0711,11,1,0,forward
orz105d,34,204,14.0711,14.0711,12,3,0,forward
orz105d,35,162.4,12.8284,12.8284,12,1,0,forward
orz105d,36,310.6,15.8995,15.8995,13,5,0,forward
orz105d,37,191.2,13.4142,13.4142,13,1,0,forward
orz105d,38,219.8,15.6569,15.6569,14,3,0,forward
orz105d,39,328,18.7279,18.7279,15,7,0,forward
orz105d,40,266.8,19.1421,19.1421,15,5,0,forward
orz105d,41,197,17.5563,17.5563,13,3,0,forward
orz105d,42,206.4,18.5563,18.5563,14,3,0,forward
orz105d,43,212.4,19.9706,19.9706,15,3,0,forward
orz105d,44,337.8,19.7279,19.7279,16,7,0,forward
orz105d,45,271.4,18.7279,18.7279,15,7,0,forward
orz105d,46,237.6,17.7279,17.7279,14,6,0,forward
orz105d,47,205.4,16.3137,16.3137,13,5,0,forward
orz105d,48,245.2,16.3137,16.3137,13,5,0,forward
