map,scenid,tcost,distance,expect,steps,access,r,itype
orz300d,0,1133.2,3.41421,1,3,0,4,forward
orz300d,1,482,3.82843,3.82843,3,0,4,forward
orz300d,2,508.2,5.41421,3.41421,5,0,4,forward
orz300d,3,357.2,5.82843,3,5,0,4,forward
orz300d,4,838.4,10.4853,3.82843,8,0,4,forward
orz300d,5,459,4,2.82843,4,0,4,forward
orz300d,6,412.8,7.82843,2.82843,7,0,4,forward
orz300d,7,1005.8,4.41421,2,4,2,4,forward
orz300d,8,484,3.41421,2.41421,3,0,4,forward
orz300d,9,495.4,7.82843,3.82843,7,0,4,forward
orz300d,10,1183.6,9,7,9,2,4,forward
orz300d,11,455.4,7.65685,5.41421,6,0,4,forward
orz300d,12,426,9.07107,6.65685,7,0,4,forward
orz300d,13,544.6,9.65685,5.41421,8,0,4,forward
orz300d,14,436.4,7.24264,7.24264,6,0,4,forward
orz300d,15,899.6,7.24264,7.24264,6,2,4,forward
orz300d,16,349.6,6.41421,5.24264,6,0,4,forward
orz300d,17,365.8,6.41421,5.41421,6,0,4,forward
orz300d,18,498.2,8.65685,7.24264,7,0,4,forward
orz300d,19,277.2,9.24264,5,8,0,4,forward
orz300d,20,695.6,13.3137,11.3137,10,0,4,forward
orz300d,21,801.4,11.4142,10.2426,11,0,4,forward
orz300d,22,953.4,12.8995,10.0711,10,1,4,forward
orz300d,23,345.6,10.2426,10.2426,9,0,4,forward
orz300d,24,703.2,11.0711,8.48528,9,1,4,forward
orz300d,25,799.2,9.07107,8.48528,7,1,4,forward
orz300d,26,471.8,12,10.2426,12,0,4,forward
orz300d,27,1349.4,16.4853,10.8284,14,8,4,forward
orz300d,28,458.6,11.8995,9.65685,9,0,4,forward
orz300d,29,724.6,14.7279,11.8995,11,0,4,forward
orz300d,30,1608.6,18.0711,14.0711,16,4,4,forward
orz300d,31,860.2,15.6569,13.4142,14,2,4,forward
orz300d,32,923.6,17.1421,12.3137,13,1,4,forward
orz300d,33,1291.2,13.6569,13.6569,12,7,4,forward
orz300d,34,573.8,13.8995,12.2426,11,0,4,forward
