map,scenid,tcost,distance,expect,steps,access,r,itype
orz601d,0,457.8,2,1,2,2,4,backward
orz601d,1,539,8.82843,3.82843,8,2,4,backward
orz601d,2,442,8.82843,3.82843,8,2,4,backward
orz601d,3,293.4,2.41421,2.41421,2,1,4,backward
orz601d,4,351.6,6.24264,1.41421,5,2,4,backward
orz601d,5,360.2,5.24264,1,4,2,4,backward
orz601d,6,405,6.82843,2.82843,6,2,4,backward
orz601d,7,319.4,4,2.82843,4,2,4,backward
orz601d,8,263.2,3,3,3,2,4,backward
orz601d,9,355.6,3.41421,1,3,2,4,backward
orz601d,10,266.8,5.65685,4,4,2,4,backward
orz601d,11,391.8,7,6.41421,7,2,4,backward
orz601d,12,420.8,10.4853,7.24264,8,2,4,backward
orz601d,13,363.6,6.24264,4.82843,5,2,4,backward
orz601d,14,353.6,8.65685,6.65685,7,2,4,backward
orz601d,15,377.2,5.82843,4.41421,5,2,4,backward
orz601d,16,385.4,7.82843,6.41421,7,2,4,backward
orz601d,17,297.2,5.41421,4.82843,5,2,4,backward
orz601d,18,410.6,9.24264,4.24264,8,2,4,backward
orz601d,19,284.6,7.65685,7.65685,6,1,4,backward
orz601d,20,408.2,10.6569,9,9,2,4,backward
orz601d,21,978.8,13.6569,11.6569,12,8,4,backward
orz601d,22,535.4,12.0711,10.6569,10,2,4,backward
orz601d,23,454.2,9.82843,9.82843,9,2,4,backward
orz601d,24,457.4,12.0711,9.24264,10,2,4,backward
orz601d,25,876.2,12,10,12,7,4,backward
orz601d,26,410.6,10.4853,8.24264,8,2,4,backward
orz601d,27,435.6,9.82843,8.41421,9,2,4,backward
orz601d,28,366.2,9.07107,9.07107,7,1,4,backward
orz601d,29,592.8,12.8284,8.82843,12,2,4,backward
orz601d,30,773.8,17.0711,15.8995,15,3,4,backward
orz601d,31,593.2,14.2426,13.4142,13,2,4,backward
orz601d,32,813.6,12.6569,12.0711,11,6,4,backward
orz601d,33,750,15.0711,14.4853,13,5,4,backward
orz601d,34,819.4,15.4853,14.6569,13,6,4,backward
orz601d,35,550.6,12.8284,12.8284,12,2,4,backward
orz601d,36,989.2,19.7279,14.4853,16,9,4,backward
orz601d,37,763.2,15.4853,14.6569,13,6,4,backward
orz601d,38,704.8,13.6569,12,12,5,4,backward
orz601d,39,754.8,14.6569,14.0711,13,6,4,backward
orz601d,40,662.6,16.0711,16.0711,14,4,4,backward
orz601d,41,745.8,19.3137,19.3137,16,3,4,backward
orz601d,42,751.8,18.0711,18.0711,16,4,4,backward
orz601d,43,1039,22.0711,18.6569,20,6,4,backward
orz601d,44,795,17.8995,17.8995,15,6,4,backward
orz601d,45,965.4,20.0711,17.2426,18,8,4,backward
orz601d,46,881.4,18.0711,16.4142,16,7,4,backward
orz601d,47,748.8,20.3137,18.6569,17,7,4,backward
orz601d,48,578,16.0711,16.0711,14,5,4,backward
orz601d,49,808,17.2426,16.4142,16,7,4,backward
orz601d,50,777.2,21.3137,21.3137,18,3,4,backward
orz601d,51,930,23.7279,22.5563,20,5,4,backward
orz601d,52,906.4,24.5563,23.7279,20,8,4,backward
orz601d,53,956.6,21.1421,21.1421,17,7,4,backward
orz601d,54,882,23.1421,21.9706,19,7,4,backward
orz601d,55,864.4,20.8995,20.8995,18,7,4,backward
orz601d,56,981.8,23.9706,23.9706,19,7,4,backward
orz601d,57,1147.2,24.0711,22.8995,22,7,4,backward
orz601d,58,1046.2,25.7279,23.4853,22,10,4,backward
orz601d,59,1024,23.3137,23.3137,20,7,4,backward
orz601d,60,1485.4,29.7279,26.3137,26,11,4,backward
orz601d,61,965.8,30.5563,26.5563,26,6,4,backward
orz601d,62,823,27.5563,27.5563,23,7,4,backward
orz601d,63,1078.2,25.0711,25.0711,23,7,4,backward
orz601d,64,1058,26.7279,26.7279,23,6,4,backward
orz601d,65,1014.2,27.7279,27.7279,24,6,4,backward
orz601d,66,991.2,30.1421,24.1421,26,8,4,backward
orz601d,67,1000.2,28.1421,26.7279,24,10,4,backward
orz601d,68,885.8,26.7279,24.4853,23,10,4,backward
orz601d,69,1171.6,29.3848,25.5563,24,9,4,backward
orz601d,70,923.8,28.5563,28.5563,24,5,4,backward
orz601d,71,852.8,31.5563,28.3848,27,6,4,backward
orz601d,72,1219.4,28.0711,28.0711,26,7,4,backward
orz601d,73,1490.8,32.3137,29.8995,29,11,4,backward
orz601d,74,1095.4,33.9706,29.9706,29,8,4,backward
orz601d,75,976.6,31.1421,31.1421,27,7,4,backward
orz601d,76,1071.6,32.5563,31.3848,28,7,4,backward
orz601d,77,1077.8,34.9706,30.3848,30,8,4,backward
orz601d,78,847,29.799,29.799,24,8,4,backward
orz601d,79,776.6,30.2132,29.3848,24,8,4,backward
orz601d,80,1544.4,34.8995,33.2426,32,11,4,backward
orz601d,81,977.8,32.1421,32.1421,28,8,4,backward
orz601d,82,1714.4,35.5563,35.5563,31,12,4,backward
orz601d,83,1773,36.8995,35.8995,34,16,4,backward
orz601d,84,1609.8,36.4853,35.8995,34,12,4,backward
orz601d,85,1127.6,32.5563,32.5563,28,7,4,backward
orz601d,86,1510.4,33.1421,32.5563,29,12,4,backward
orz601d,87,1545.6,35.8995,34.8995,33,16,4,backward
orz601d,88,1459.6,35.0711,35.0711,33,13,4,backward
orz601d,89,1469,35.6569,35.6569,34,12,4,backward
orz601d,90,1462.6,42.4853,39.6569,40,12,4,backward
orz601d,91,1443.4,37.4853,37.4853,35,13,4,backward
orz601d,92,1544.4,39.0711,38.4853,37,14,4,backward
orz601d,93,1495.2,41.4853,38.6569,39,14,4,backward
orz601d,94,1544.2,41.8995,39.6569,39,15,4,backward
orz601d,95,1760.8,41.3137,39.3137,38,16,4,backward
orz601d,96,1545.6,39.8995,38.2426,37,15,4,backward
orz601d,97,1390.6,37.4853,36.6569,35,13,4,backward
orz601d,98,1491.2,36.3137,36.3137,33,13,4,backward
orz601d,99,1520.2,41.8995,36.6569,39,16,4,backward
orz601d,100,1247.4,40.3137,40.3137,37,13,4,backward
orz601d,101,1798.8,41.3137,41.3137,38,16,4,backward
orz601d,102,1647.4,40.0711,40.0711,38,15,4,backward
orz601d,103,1549.4,43.0711,41.3137,41,16,4,backward
orz601d,104,1557.6,44.1421,42.4853,40,17,4,backward
orz601d,105,1558.2,42.3137,41.4853,39,17,4,backward
orz601d,106,1971.4,46.0711,43.8284,44,18,4,backward
orz601d,107,1405,40.4853,40.4853,38,13,4,backward
orz601d,108,1594.8,44.3137,42.6569,41,17,4,backward
orz601d,109,1573.8,41.8284,40.0711,41,16,4,backward
orz601d,110,1605,49.1421,47.7279,45,13,4,backward
orz601d,111,1659.4,46.8995,46.3137,44,15,4,backward
orz601d,112,1803,47.3137,47.3137,44,15,4,backward
orz601d,113,1698.4,46.7279,45.8995,43,18,4,backward
orz601d,114,1785,47.0711,46.4853,45,18,4,backward
orz601d,115,2106,47.7279,45.3137,44,18,4,backward
orz601d,116,1794.4,47.4853,45.2426,45,19,4,backward
orz601d,117,1662.2,45.4853,44.6569,43,18,4,backward
orz601d,118,1497.2,45.0711,45.0711,43,18,4,backward
orz601d,119,1430.8,45.4853,45.4853,43,18,4,backward
orz601d,120,1791.6,52.1421,50.7279,48,16,4,backward
orz601d,121,2225.2,53.5563,48.7279,49,19,4,backward
orz601d,122,1503.6,50.1421,50.1421,46,15,4,backward
orz601d,123,2007.4,52.4853,51.3137,50,18,4,backward
orz601d,124,1810.2,51.1421,48.3137,47,18,4,backward
orz601d,125,6989.4,51.3848,51.3848,46,14,4,backward
orz601d,126,1982,51.799,50.3848,46,15,4,backward
orz601d,127,2077.8,52.7279,50.3137,49,21,4,backward
orz601d,128,1704.2,48.6569,48.0711,47,18,4,backward
orz601d,129,1647.2,50.6569,48.8995,49,18,4,backward
orz601d,130,1661,52.4853,52.4853,50,17,4,backward
orz601d,131,1697.8,54.4853,53.3137,52,17,4,backward
orz601d,132,1972.4,53.6569,53.6569,52,16,4,backward
orz601d,133,2385.8,58.7279,55.8995,55,20,4,backward
orz601d,134,1711,52.0711,52.0711,50,18,4,backward
orz601d,135,1982.2,54.7279,54.7279,51,19,4,backward
orz601d,136,1671,55.5563,55.5563,51,19,4,backward
orz601d,137,2119.8,57.7279,54.8995,54,22,4,backward
orz601d,138,2121,57.8995,55.6569,55,23,4,backward
orz601d,139,1896.6,56.9706,52.9706,52,19,4,backward
orz601d,140,2091,60.8995,59.2426,58,24,4,backward
orz601d,141,2159.2,57.7279,57.7279,54,21,4,backward
orz601d,142,1964.8,59.8995,59.3137,57,21,4,backward
orz601d,143,2510.8,59.8995,59.8995,57,25,4,backward
orz601d,144,2040.4,59.8284,59.8284,59,23,4,backward
orz601d,145,2224,60.4853,57.6569,58,25,4,backward
orz601d,146,2130.8,59.4853,59.4853,57,25,4,backward
orz601d,147,1904.6,58.8995,57.2426,56,24,4,backward
orz601d,148,1794.8,62.0711,59.2426,60,24,4,backward
orz601d,149,2086.8,60.2426,59.6569,59,21,4,backward
orz601d,150,1673,60.0711,60.0711,58,21,4,backward
orz601d,151,1872.2,62.8995,62.3137,60,26,4,backward
orz601d,152,2290.4,69.1421,62.4853,65,26,4,backward
orz601d,153,1854.8,64.0711,61.2426,62,24,4,backward
orz601d,154,1958.6,63.0711,62.4853,61,22,4,backward
orz601d,155,1911.4,65.0711,63.3137,63,22,4,backward
orz601d,156,1838.8,64.4853,63.6569,62,25,4,backward
orz601d,157,1729.4,63.4853,60.6569,61,23,4,backward
orz601d,158,1677,62.4853,61.6569,60,24,4,backward
orz601d,159,1825.6,63.0711,63.0711,61,25,4,backward
orz601d,160,1879.4,69.7279,64.4853,66,25,4,backward
orz601d,161,1685.4,67.3137,66.3137,64,23,4,backward
orz601d,162,1728.8,68.3137,65.8995,65,24,4,backward
orz601d,163,2028.2,64.8995,64.8995,62,24,4,backward
orz601d,164,2107.2,65.0711,64.2426,63,25,4,backward
orz601d,165,1872.8,67.0711,64.2426,65,25,4,backward
orz601d,166,2335.6,66.6569,66.6569,65,25,4,backward
orz601d,167,1854,66.2426,66.2426,65,25,4,backward
orz601d,168,2011.4,67.0711,67.0711,65,24,4,backward
orz601d,169,2106.6,68.2426,67.4142,67,26,4,backward
orz601d,170,2275.2,70.0711,70.0711,68,24,4,backward
orz601d,171,2498.2,71.5563,71.5563,67,25,4,backward
orz601d,172,2151,68.8995,68.8995,66,25,4,backward
orz601d,173,2340.6,69.7279,69.7279,66,26,4,backward
orz601d,174,2165,72.4853,71.3137,70,25,4,backward
orz601d,175,2174.6,72.8995,70.6569,70,27,4,backward
orz601d,176,2205.2,71.6569,71.6569,70,23,4,backward
orz601d,177,2659.8,69.7279,69.7279,66,26,4,backward
orz601d,178,2585.2,74.7279,70.7279,71,22,4,backward
orz601d,179,2343.4,71.7279,71.7279,68,25,4,backward
orz601d,180,2709,76.1421,75.1421,72,25,4,backward
orz601d,181,2270,77.5563,74.5563,73,25,4,backward
orz601d,182,2269.4,78.5563,74.3137,74,22,4,backward
orz601d,183,2114,73.5563,73.5563,69,24,4,backward
orz601d,184,2000.8,74.1421,74.1421,70,24,4,backward
orz601d,185,2154.6,74.0711,72.3137,72,24,4,backward
orz601d,186,2021.2,73.0711,73.0711,71,24,4,backward
orz601d,187,2596.2,75.9706,75.9706,71,24,4,backward
orz601d,188,2306.8,78.9706,72.7279,74,24,4,backward
orz601d,189,1981.2,72.4853,72.4853,70,25,4,backward
orz601d,190,2198,76.1421,76.1421,72,24,4,backward
orz601d,191,2786.2,79.9706,79.9706,75,24,4,backward
orz601d,192,2298.6,79.9706,77.1421,75,24,4,backward
orz601d,193,2797.4,78.9706,78.3848,74,28,4,backward
orz601d,194,2600.2,79.0711,79.0711,77,27,4,backward
orz601d,195,2840.8,81.5563,76.7279,77,25,4,backward
orz601d,196,2734,80.5563,79.9706,76,24,4,backward
orz601d,197,2585.2,81.9706,77.3848,77,23,4,backward
orz601d,198,2335.8,79.8995,79.8995,77,27,4,backward
orz601d,199,2391.6,78.1421,76.7279,74,23,4,backward
orz601d,200,2530.4,80.0711,80.0711,78,29,4,backward
