map,scenid,tcost,distance,expect,steps,access,r,itype
orz700d,0,733.8,2.41421,2.41421,2,1,0,backward
orz700d,1,634,2.41421,2.41421,2,1,0,backward
orz700d,2,753.4,3.82843,3.82843,3,1,0,backward
orz700d,3,888.2,2.82843,2.82843,2,2,0,backward
orz700d,4,712.6,2.41421,2.41421,2,1,0,backward
orz700d,5,607.4,2.41421,2.41421,2,1,0,backward
orz700d,6,581.6,2,2,2,1,0,backward
orz700d,7,710.4,3.82843,3.82843,3,1,0,backward
orz700d,8,678.2,3.82843,3.82843,3,1,0,backward
orz700d,9,489.6,2.41421,2.41421,2,1,0,backward
orz700d,10,544.4,4.41421,4.41421,4,1,0,backward
orz700d,11,544.4,6.82843,6.82843,6,1,0,backward
orz700d,12,528,6.82843,6.82843,6,1,0,backward
orz700d,13,632.8,7.24264,7.24264,6,1,0,backward
orz700d,14,554,5.65685,5.65685,4,1,0,backward
orz700d,15,701,4,4,4,1,0,backward
orz700d,16,711.8,4.24264,4.24264,3,2,0,backward
orz700d,17,742.4,7.41421,7.41421,7,1,0,backward
orz700d,18,556.6,4.41421,4.41421,4,1,0,backward
orz700d,19,1041.8,6,6,6,2,0,backward
orz700d,20,692.2,8.24264,8.24264,7,1,0,backward
orz700d,21,915.4,11.6569,11.6569,10,1,0,backward
orz700d,22,635.8,11.6569,11.6569,10,1,0,backward
orz700d,23,1344.2,11.8284,11.8284,11,3,0,backward
orz700d,24,588.8,8,8,8,1,0,backward
orz700d,25,825.4,11,11,11,1,0,backward
orz700d,26,797.2,10.0711,10.0711,8,1,0,backward
orz700d,27,770.4,11.8284,11.8284,11,1,0,backward
orz700d,28,696.8,8.65685,8.65685,7,1,0,backward
orz700d,29,679,9.82843,9.82843,9,1,0,backward
orz700d,30,1013.2,14.6569,14.6569,13,2,0,backward
orz700d,31,730,13.2426,13.2426,12,1,0,backward
orz700d,32,815.2,12.8284,12.8284,12,1,0,backward
orz700d,33,617.8,15.8995,15.8995,13,1,0,backward
orz700d,34,919.4,13.0711,13.0711,11,2,0,backward
orz700d,35,1452.2,14.4853,14.4853,12,6,0,backward
orz700d,36,1085,15.4853,15.4853,13,4,0,backward
orz700d,37,1074.4,13.6569,13.6569,12,3,0,backward
orz700d,38,849.4,13.8995,13.8995,11,2,0,backward
orz700d,39,909.8,12.8284,12.8284,12,1,0,backward
orz700d,40,949.2,18.1421,18.1421,14,1,0,backward
orz700d,41,774,19.4142,19.4142,19,1,0,backward
orz700d,42,695.6,17.2426,17.2426,16,1,0,backward
orz700d,43,802,16.7279,16.7279,13,2,0,backward
orz700d,44,794.6,18.9706,18.9706,14,1,0,backward
orz700d,45,868,17.5563,17.5563,13,1,0,backward
orz700d,46,664.6,19.7279,19.7279,16,1,0,backward
orz700d,47,989.2,18.8995,18.8995,16,2,0,backward
orz700d,48,850.8,19.799,19.799,14,2,0,backward
orz700d,49,947.6,19.3137,19.3137,16,1,0,backward
orz700d,50,1807.8,22.5563,22.5563,18,6,0,backward
orz700d,51,1049.2,23.4853,23.4853,21,3,0,backward
orz700d,52,1040.6,21.2426,21.2426,20,2,0,backward
orz700d,53,787.6,20.5563,20.5563,16,2,0,backward
orz700d,54,688.6,21.3848,21.3848,16,1,0,backward
orz700d,55,779.4,20.8284,20.8284,20,1,0,backward
orz700d,56,820,20.799,20.799,15,1,0,backward
orz700d,57,780.6,23.6569,23.6569,22,2,0,backward
orz700d,58,1612,23.4142,23.4142,23,12,0,backward
orz700d,59,1370.4,21.2426,21.2426,20,2,0,backward
orz700d,60,727.6,25.4142,25.4142,25,1,0,backward
orz700d,61,1475.4,27.0711,27.0711,25,4,0,backward
orz700d,62,1019.2,25.3137,25.3137,22,2,0,backward
orz700d,63,1045.4,27.6569,27.6569,26,2,0,backward
orz700d,64,964,26.4853,26.4853,24,2,0,backward
orz700d,65,1204.2,27.3137,27.3137,24,4,0,backward
orz700d,66,1221,24.8284,24.8284,24,2,0,backward
orz700d,67,1101.4,24.8284,24.8284,24,2,0,backward
orz700d,68,1476,26.9706,26.9706,22,8,0,backward
orz700d,69,1123.2,25.2132,25.2132,19,4,0,backward
orz700d,70,1564.6,28.8701,28.8701,21,4,0,backward
orz700d,71,755.4,29.4558,29.4558,22,1,0,backward
orz700d,72,886,31.2132,31.2132,25,2,0,backward
orz700d,73,1231,30.6274,30.6274,24,4,0,backward
orz700d,74,867.8,31.0416,31.0416,24,2,0,backward
orz700d,75,1012.8,30.5563,30.5563,26,3,0,backward
orz700d,76,702.8,28.9706,28.9706,24,2,0,backward
orz700d,77,1209.2,29.6274,29.6274,23,5,0,backward
orz700d,78,770.8,29.6274,29.6274,23,1,0,backward
orz700d,79,1164,30.799,30.799,25,5,0,backward
orz700d,80,1018.2,35.3137,35.3137,32,2,0,backward
orz700d,81,927.8,35.4142,35.4142,35,2,0,backward
orz700d,82,900.4,34.6274,34.6274,28,2,0,backward
orz700d,83,1103,35.7279,35.7279,32,5,0,backward
orz700d,84,1486.8,34.0711,34.0711,32,11,0,backward
orz700d,85,653.4,33.1127,33.1127,24,2,0,backward
orz700d,86,791.6,34.1127,34.1127,25,1,0,backward
orz700d,87,1555,34.5563,34.5563,30,4,0,backward
orz700d,88,1163.8,35.3848,35.3848,30,5,0,backward
orz700d,89,1293.8,32.4558,32.4558,25,6,0,backward
orz700d,90,1090.8,38.8995,38.8995,36,3,0,backward
orz700d,91,1708.6,39.4142,39.4142,39,4,0,backward
orz700d,92,1083.8,39.7696,39.7696,29,2,0,backward
orz700d,93,1924.8,37,37,37,11,0,backward
orz700d,94,1143.4,36.4853,36.4853,34,4,0,backward
orz700d,95,1479.4,37.3848,37.3848,32,7,0,backward
orz700d,96,2077.6,37.8995,37.8995,35,13,0,backward
orz700d,97,1626.2,37.1421,37.1421,33,10,0,backward
orz700d,98,1253.4,36.1127,36.1127,27,4,0,backward
orz700d,99,1913.2,37.5563,37.5563,33,9,0,backward
orz700d,100,1872.6,43.2132,43.2132,37,5,0,backward
orz700d,101,1011.4,43.7696,43.7696,33,2,0,backward
orz700d,102,1621.2,43.4558,43.4558,36,12,0,backward
orz700d,103,1809.4,40.9411,40.9411,31,7,0,backward
orz700d,104,1085.6,42.1838,42.1838,31,2,0,backward
orz700d,105,1689.6,41.4142,41.4142,41,10,0,backward
orz700d,106,1542.4,43.8995,43.8995,41,8,0,backward
