map,scenid,tcost,distance,expect,steps,access,r,itype
random-100-33,0,1073.2,6.82843,6.82843,6,6,4,forward
random-100-33,1,700.8,7.41421,6,7,6,4,forward
random-100-33,2,377.8,4.82843,4.82843,4,3,4,forward
random-100-33,3,694.6,9.24264,6.41421,8,7,4,forward
random-100-33,4,318.8,5.41421,4.24264,5,1,4,forward
random-100-33,5,1042.2,11.6569,7.82843,10,9,4,forward
random-100-33,6,812.6,7.82843,7.82843,7,7,4,forward
random-100-33,7,780.2,7.41421,7.41421,7,7,4,forward
random-100-33,8,964.4,8.82843,7.41421,8,8,4,forward
random-100-33,9,425.8,6.41421,5.82843,6,6,4,forward
random-100-33,10,1043.8,13.4142,11.4142,13,15,4,forward
random-100-33,11,874.8,9.24264,9.24264,8,7,4,forward
random-100-33,12,572.2,9,9,9,8,4,forward
random-100-33,13,1373.4,13.8284,10.4142,13,15,4,forward
random-100-33,14,801.8,10.6569,10.6569,9,8,4,forward
random-100-33,15,911.2,10.4142,8,10,11,4,forward
random-100-33,16,1348.6,12,8,12,16,4,forward
random-100-33,17,906.8,10.4142,9.41421,10,9,4,forward
random-100-33,18,837.4,11.4142,11.4142,11,10,4,forward
random-100-33,19,870.2,11.6569,9.65685,10,10,4,forward
random-100-33,20,1290.8,14,12.4142,14,13,4,forward
random-100-33,21,1383.6,15.8284,13.4142,15,14,4,forward
random-100-33,22,1100.4,14,14,14,13,4,forward
random-100-33,23,1216.4,15.2426,15.2426,14,14,4,forward
random-100-33,24,1320.4,15.4142,15.4142,15,14,4,forward
random-100-33,25,939,18.2426,14.8284,17,15,4,forward
random-100-33,26,857.8,15.2426,14.6569,14,13,4,forward
random-100-33,27,1521,15.4142,15.4142,15,14,4,forward
random-100-33,28,1625,17.8284,14.8284,17,20,4,forward
random-100-33,29,849.4,14.2426,14.2426,13,11,4,forward
random-100-33,30,978.6,17.2426,17.2426,16,15,4,forward
random-100-33,31,1161.2,20.0711,18.0711,18,16,4,forward
random-100-33,32,1055.2,19.4142,19.4142,19,18,4,forward
random-100-33,33,984.2,19.4853,19.4853,17,15,4,forward
random-100-33,34,1493.2,19.2426,18.6569,18,17,4,forward
random-100-33,35,1253,17.8995,17.0711,15,14,4,forward
random-100-33,36,1352,18.8284,17.8284,18,17,4,forward
random-100-33,37,1440.8,18.4142,18.4142,18,17,4,forward
random-100-33,38,1325.2,18.8284,18.2426,18,16,4,forward
random-100-33,39,3134.6,20.2426,19.2426,19,18,4,forward
random-100-33,40,1361.6,21.4142,21.4142,21,21,4,forward
random-100-33,41,940.2,20.4142,20.4142,20,20,4,forward
random-100-33,42,1659.6,23.2426,23.2426,22,22,4,forward
random-100-33,43,1455.4,24.6569,20.8284,23,23,4,forward
random-100-33,44,1120.2,23.2426,22.6569,22,20,4,forward
random-100-33,45,1455.2,23.6569,22.2426,22,21,4,forward
random-100-33,46,1614.6,23.2426,23.2426,22,22,4,forward
random-100-33,47,1457,22.2426,22.2426,21,20,4,forward
random-100-33,48,1552,24.4853,23.6569,22,20,4,forward
random-100-33,49,1500.6,25.6569,20.8284,24,24,4,forward
random-100-33,50,1714.4,27.6569,27.6569,26,25,4,forward
random-100-33,51,1754.8,29.4853,27.4853,27,29,4,forward
random-100-33,52,1717,27.2426,27.2426,26,25,4,forward
random-100-33,53,1686,27.8995,27.8995,25,23,4,forward
random-100-33,54,2029.8,29.2426,27.8284,28,28,4,forward
random-100-33,55,1292.4,24.6569,24.6569,23,22,4,forward
random-100-33,56,1979.6,28.8284,24.8284,28,32,4,forward
random-100-33,57,1781.4,25.2426,25.2426,24,23,4,forward
random-100-33,58,1651.8,25.2426,25.2426,24,24,4,forward
random-100-33,59,1178,27.4853,27.4853,25,25,4,forward
random-100-33,60,1352.8,29.6569,29.0711,28,27,4,forward
random-100-33,61,2085.4,35.4853,31.4853,33,37,4,forward
random-100-33,62,1675.2,28.4853,28.4853,26,25,4,forward
random-100-33,63,1932,32.2426,30.8284,31,32,4,forward
random-100-33,64,1839.8,30.0711,29.4853,28,26,4,forward
random-100-33,65,1724.4,31.0711,30.2426,29,29,4,forward
random-100-33,66,2113.4,29.3137,28.4853,26,25,4,forward
random-100-33,67,1571.8,33.7279,31.5563,30,29,4,forward
random-100-33,68,1555.4,28.0711,28.0711,26,26,4,forward
random-100-33,69,1590.6,32.1421,31.5563,28,28,4,forward
random-100-33,70,2038.6,36.4853,35.8995,34,33,4,forward
random-100-33,71,2041.4,37.1421,35.7279,33,32,4,forward
random-100-33,72,1792.8,33.0711,33.0711,31,31,4,forward
random-100-33,73,1836.4,34.8995,32.6569,32,29,4,forward
random-100-33,74,1782,37.3137,35.8995,34,33,4,forward
random-100-33,75,1553.4,34.4853,34.4853,32,31,4,forward
random-100-33,76,1666.6,32.6569,32.6569,31,29,4,forward
random-100-33,77,2035.4,33.4853,32.8995,31,31,4,forward
random-100-33,78,1806.4,37.4853,34.4853,35,38,4,forward
random-100-33,79,2473.8,37.8995,35.8995,35,34,4,forward
random-100-33,80,1679.8,38.8995,37.8995,36,36,4,forward
random-100-33,81,1909.2,37.0711,37.0711,35,34,4,forward
random-100-33,82,2304.8,39.4853,39.4853,37,37,4,forward
random-100-33,83,2666.4,42.8995,38.4853,40,43,4,forward
random-100-33,84,2225.8,38.6569,38.0711,37,36,4,forward
random-100-33,85,1664.4,36.4142,36.4142,36,35,4,forward
random-100-33,86,1658.6,39.6569,37.6569,38,37,4,forward
random-100-33,87,1781.2,37.8995,36.3137,35,36,4,forward
