map,scenid,tcost,distance,expect,steps,access,r,itype
random-100-33,0,620.2,6.82843,6.82843,6,6,16,forward
random-100-33,1,1184.4,17.6569,6,16,25,16,forward
random-100-33,2,1045.6,15.6569,4.82843,14,22,16,forward
random-100-33,3,426.2,7,6.41421,7,7,16,forward
random-100-33,4,875.6,16.6569,4.24264,15,14,16,forward
random-100-33,5,1759.6,17.8995,7.82843,15,23,16,forward
random-100-33,6,655.4,8.41421,7.82843,8,8,16,forward
random-100-33,7,889.6,17.8284,7.41421,17,22,16,forward
random-100-33,8,1768,28.8995,7.41421,26,29,16,forward
random-100-33,9,548.8,12.8284,5.82843,12,17,16,forward
random-100-33,10,1282.6,19.4142,11.4142,19,27,16,forward
random-100-33,11,1786.2,22.8995,9.24264,20,31,16,forward
random-100-33,12,808.4,14.4142,9,14,16,16,forward
random-100-33,13,685.4,11.8284,10.4142,11,10,16,forward
random-100-33,14,684.2,15.2426,10.6569,14,13,16,forward
random-100-33,15,611.4,9.41421,8,9,8,16,forward
random-100-33,16,726.8,11.4142,8,11,11,16,forward
random-100-33,17,927.6,15.8284,9.41421,15,17,16,forward
random-100-33,18,644.2,11.4142,11.4142,11,11,16,forward
random-100-33,19,2010.2,27.0711,9.65685,25,34,16,forward
random-100-33,20,1358,19.4142,12.4142,19,22,16,forward
random-100-33,21,1379.8,27.6569,13.4142,26,26,16,forward
random-100-33,22,721,14,14,14,13,16,forward
random-100-33,23,877,16.6569,15.2426,15,15,16,forward
random-100-33,24,1496.2,25.0711,15.4142,23,28,16,forward
random-100-33,25,1302.2,22.6569,14.8284,21,26,16,forward
random-100-33,26,632,14.6569,14.6569,13,11,16,forward
random-100-33,27,899,15.4142,15.4142,15,14,16,forward
random-100-33,28,1357,26.4853,14.8284,24,22,16,forward
random-100-33,29,1839.4,29.6569,14.2426,28,37,16,forward
random-100-33,30,771.2,18.4142,17.2426,18,16,16,forward
random-100-33,31,1281.4,26.8995,18.0711,24,28,16,forward
random-100-33,32,1742,38.8995,19.4142,36,41,16,forward
random-100-33,33,1472.2,29.0711,19.4853,27,36,16,forward
random-100-33,34,948.8,19.4853,18.6569,17,16,16,forward
random-100-33,35,1405.4,25.0711,17.0711,23,21,16,forward
random-100-33,36,1078.6,17.8284,17.8284,17,17,16,forward
random-100-33,37,1048.2,18.4142,18.4142,18,18,16,forward
random-100-33,38,1450.2,27.0711,18.2426,25,25,16,forward
random-100-33,39,1112.4,25.0711,19.2426,23,21,16,forward
random-100-33,40,1067.4,21.4142,21.4142,21,21,16,forward
random-100-33,41,717.6,20.4142,20.4142,20,20,16,forward
random-100-33,42,1404.6,29.2426,23.2426,28,32,16,forward
random-100-33,43,1271.2,27.8284,20.8284,27,28,16,forward
random-100-33,44,1811,33.6569,22.6569,32,38,16,forward
random-100-33,45,2089.8,37.4853,22.2426,35,47,16,forward
random-100-33,46,1400.6,27.2426,23.2426,26,26,16,forward
random-100-33,47,1096.2,23.6569,22.2426,22,22,16,forward
random-100-33,48,1233.2,27.0711,23.6569,25,23,16,forward
random-100-33,49,954,29.6569,20.8284,28,28,16,forward
random-100-33,50,1841.6,38.0711,27.6569,36,37,16,forward
random-100-33,51,1659.6,33.8284,27.4853,33,33,16,forward
random-100-33,52,1674.8,30.6569,27.2426,29,31,16,forward
random-100-33,53,1348.6,30.0711,27.8995,28,27,16,forward
random-100-33,54,2161,44.6569,27.8284,43,49,16,forward
random-100-33,55,775.2,25.2426,24.6569,24,24,16,forward
random-100-33,56,1110.8,24.8284,24.8284,24,24,16,forward
random-100-33,57,1588.8,31.6569,25.2426,30,33,16,forward
random-100-33,58,1771.8,40.3137,25.2426,37,40,16,forward
random-100-33,59,950.6,27.4853,27.4853,25,23,16,forward
random-100-33,60,1604.2,37.6569,29.0711,36,35,16,forward
random-100-33,61,1693,35.8995,31.4853,33,37,16,forward
random-100-33,62,2131.6,39.7279,28.4853,36,45,16,forward
random-100-33,63,1341.6,30.8284,30.8284,30,30,16,forward
random-100-33,64,1322.8,29.4853,29.4853,27,26,16,forward
random-100-33,65,1297.4,31.6569,30.2426,30,29,16,forward
random-100-33,66,1750.2,31.6569,28.4853,30,29,16,forward
random-100-33,67,1588.4,35.1421,31.5563,31,34,16,forward
random-100-33,68,1195.8,28.0711,28.0711,26,25,16,forward
random-100-33,69,1344,32.7279,31.5563,29,29,16,forward
random-100-33,70,1573.6,36.4853,35.8995,34,33,16,forward
random-100-33,71,1937.4,38.4853,35.7279,36,37,16,forward
random-100-33,72,1353,33.0711,33.0711,31,31,16,forward
random-100-33,73,2388.8,44.0711,32.6569,42,53,16,forward
random-100-33,74,1750.6,44.3137,35.8995,41,44,16,forward
random-100-33,75,1488.2,37.3137,34.4853,34,32,16,forward
random-100-33,76,1686,39.0711,32.6569,37,39,16,forward
random-100-33,77,1589,34.4853,32.8995,32,33,16,forward
random-100-33,78,1391.6,35.8995,34.4853,33,33,16,forward
random-100-33,79,1626,35.8995,35.8995,33,31,16,forward
random-100-33,80,2308.8,50.3137,37.8995,47,52,16,forward
random-100-33,81,1570.2,38.4853,37.0711,36,34,16,forward
random-100-33,82,1671.4,39.4853,39.4853,37,37,16,forward
random-100-33,83,2386.6,52.3137,38.4853,49,52,16,forward
random-100-33,84,2112.4,50.3137,38.0711,47,49,16,forward
random-100-33,85,1846.6,49.8995,36.4142,47,52,16,forward
random-100-33,86,1664.4,43.0711,37.6569,41,42,16,forward
random-100-33,87,2470.8,57.1421,36.3137,53,53,16,forward
random-100-33,88,1493.2,40.7279,38.7279,37,35,16,forward
random-100-33,89,1590.2,38.6569,36.0711,37,35,16,forward
random-100-33,90,2645.6,53.8995,43.4853,51,52,16,forward
random-100-33,91,2128,44.0711,43.4853,42,42,16,forward
random-100-33,92,2085.8,46.8995,43.4853,44,42,16,forward
random-100-33,93,1956.8,42.4853,40.4853,40,39,16,forward
random-100-33,94,1937,43.8995,41.8995,41,39,16,forward
random-100-33,95,1452.2,42.2426,41.6569,41,41,16,forward
random-100-33,96,2058,48.5563,42.7279,44,46,16,forward
random-100-33,97,2974.2,57.5563,43.3137,53,66,16,forward
random-100-33,98,1977.8,44.3137,41.1421,41,41,16,forward
