map,scenid,tcost,distance,expect,steps,access,r,itype
random-400-33,0,5416.2,52.5563,7.41421,48,36,64,backward
random-400-33,1,4871.2,55.7279,7.82843,52,42,64,backward
random-400-33,2,3549.2,59.799,7.82843,54,31,64,backward
random-400-33,3,5709.2,62.0416,7,55,41,64,backward
random-400-33,4,3666.4,46.3137,6.41421,43,25,64,backward
random-400-33,5,4144.2,62.1421,7.41421,58,37,64,backward
random-400-33,6,5377.4,58.6274,7.24264,52,40,64,backward
random-400-33,7,3956.2,40.3137,4,37,24,64,backward
random-400-33,8,3834,30.4142,7.41421,30,36,64,backward
random-400-33,9,2011.2,18.6569,7,17,14,64,backward
random-400-33,10,3567.4,40.4853,11.8284,38,21,64,backward
random-400-33,11,4910.6,72.1421,8,68,42,64,backward
random-400-33,12,3852.8,39.7279,9.82843,36,29,64,backward
random-400-33,13,2391.8,9.82843,9.24264,9,5,64,backward
random-400-33,14,2685.8,51.5563,11.4142,47,17,64,backward
random-400-33,15,1818.2,11.8284,10.4142,11,3,64,backward
random-400-33,16,3105.8,36.7279,11.8284,33,22,64,backward
random-400-33,17,1360.8,15.2426,11.8284,14,6,64,backward
random-400-33,18,2526.6,28.6569,9.41421,27,14,64,backward
random-400-33,19,4375.4,42.4853,11,40,31,64,backward
random-400-33,20,2791,31.0711,12.0711,29,18,64,backward
random-400-33,21,6185.6,73.5563,15.2426,69,38,64,backward
random-400-33,22,2784.2,30.3137,13.8284,27,15,64,backward
random-400-33,23,2485.8,31.6569,12.2426,30,11,64,backward
random-400-33,24,3195.8,70.1421,12,66,14,64,backward
random-400-33,25,3629,65.5563,15.0711,61,20,64,backward
random-400-33,26,7189.6,117.698,15.0711,109,50,64,backward
random-400-33,27,4931.2,66.4558,13.4142,59,35,64,backward
random-400-33,28,3170.4,40.3137,13.2426,37,27,64,backward
random-400-33,29,1954.4,33.3137,13.8284,30,10,64,backward
random-400-33,30,4799.8,73.8995,19.2426,71,31,64,backward
random-400-33,31,2000,28.6569,19.2426,27,9,64,backward
random-400-33,32,3105.8,34.6569,16,33,18,64,backward
random-400-33,33,4302.6,61.5563,17.6569,57,37,64,backward
random-400-33,34,3858.8,40.0711,16.4142,38,31,64,backward
random-400-33,35,3855.8,67.6274,18.2426,61,23,64,backward
random-400-33,36,3343,71.0416,17.0711,64,20,64,backward
random-400-33,37,2097,37.4853,18.6569,35,14,64,backward
random-400-33,38,7561,62.3137,16,59,51,64,backward
random-400-33,39,4401.4,99.8701,18.8284,92,27,64,backward
random-400-33,40,4608.4,66.5563,21.2426,62,36,64,backward
random-400-33,41,4696.6,79.799,20.2426,74,31,64,backward
random-400-33,42,2579.2,22.2426,22.2426,21,7,64,backward
random-400-33,43,6678.6,81.5563,22.4142,77,53,64,backward
random-400-33,44,2754.4,23.8284,23.2426,23,11,64,backward
random-400-33,45,4649.2,56.7279,23.0711,53,40,64,backward
random-400-33,46,5188,72.799,20.6569,67,39,64,backward
random-400-33,47,5421.8,86.0416,22.2426,79,41,64,backward
random-400-33,48,3945.2,69.9706,20.6569,65,32,64,backward
random-400-33,49,3674.8,47.8995,20.2426,45,16,64,backward
random-400-33,50,1711.6,25.6569,24.0711,24,9,64,backward
random-400-33,51,3555,63.1421,24.6569,59,25,64,backward
random-400-33,52,2936.6,45.3137,27.8284,42,15,64,backward
random-400-33,53,3265.4,26.2426,24.8284,25,15,64,backward
random-400-33,54,2704.4,37.2426,26.4853,36,20,64,backward
random-400-33,55,3869.8,45.3137,27.8995,42,23,64,backward
random-400-33,56,4830.8,122.456,24.0711,115,39,64,backward
random-400-33,57,3422.8,68.7279,26.0711,65,31,64,backward
random-400-33,58,5528.8,142.184,26.7279,131,38,64,backward
random-400-33,59,2348,38.4853,26.4142,36,13,64,backward
random-400-33,60,5442.8,57.3137,30.0711,54,33,64,backward
random-400-33,61,2166,32.0711,30.0711,30,9,64,backward
random-400-33,62,1669.2,31.8995,29.6569,29,10,64,backward
random-400-33,63,5303,91.0416,28.2426,84,46,64,backward
random-400-33,64,4159.4,86.0416,29.6569,79,33,64,backward
random-400-33,65,5789,81.8701,30.0711,74,40,64,backward
random-400-33,66,2302.8,32.0711,31.8284,30,10,64,backward
random-400-33,67,2852.2,53.5563,28.6569,49,37,64,backward
random-400-33,68,2834,49.7279,29.6569,46,19,64,backward
random-400-33,69,2782,43.8995,31.8995,41,25,64,backward
random-400-33,70,3460.6,64.5563,32.7279,60,21,64,backward
random-400-33,71,4567.4,74.0416,32.4853,67,31,64,backward
random-400-33,72,6352.4,88.5563,34.2426,84,47,64,backward
random-400-33,73,2260.6,34.6569,32.6569,33,9,64,backward
random-400-33,74,3125.2,73.799,35.7279,68,17,64,backward
random-400-33,75,3908.2,64.5563,32.3137,60,21,64,backward
random-400-33,76,4411,55.3137,35.8995,52,26,64,backward
random-400-33,77,4758.2,120.87,34.6569,113,32,64,backward
random-400-33,78,6774.2,104.941,32.0711,95,49,64,backward
random-400-33,79,4014.2,67.1421,32.4853,63,26,64,backward
random-400-33,80,3092.2,43.8995,38.1421,41,21,64,backward
random-400-33,81,5134.8,75.3848,36.4853,70,48,64,backward
random-400-33,82,4216,74.5563,36.6569,70,20,64,backward
random-400-33,83,5293.8,113.627,36.8995,107,46,64,backward
random-400-33,84,2770,37.7279,37.1421,34,14,64,backward
random-400-33,85,3722.2,78.6274,39.5563,72,33,64,backward
random-400-33,86,3775.4,37.7279,37.7279,34,13,64,backward
random-400-33,87,4330,98.5563,39.7279,94,25,64,backward
random-400-33,88,5271,129.284,39.7279,121,24,64,backward
random-400-33,89,7486.4,83.6274,38.7279,77,43,64,backward
random-400-33,90,3383,55.8995,43.0711,53,21,64,backward
random-400-33,91,4201.2,92.6274,42.8995,86,33,64,backward
random-400-33,92,8049.2,132.698,40.6569,124,50,64,backward
random-400-33,93,2686.6,48.3137,40.4853,45,19,64,backward
random-400-33,94,3106.6,60.3848,42.7279,55,20,64,backward
random-400-33,95,2951.2,68.3848,41.7279,63,24,64,backward
random-400-33,96,5616,83.9706,41.8284,79,35,64,backward
random-400-33,97,4699.2,102.456,43.4853,95,35,64,backward
random-400-33,98,4927.2,66.5563,41.8284,62,22,64,backward
random-400-33,99,4208.8,82.9706,42.5563,78,29,64,backward
random-400-33,100,2983.2,63.5563,47.3848,59,19,64,backward
random-400-33,101,5453.8,126.527,45.7279,117,54,64,backward
