map,scenid,tcost,distance,expect,steps,access,r,itype
room-100-10,0,1104.6,8.65685,6.65685,7,4,8,forward
room-100-10,1,462,10.6569,4.41421,9,4,8,forward
room-100-10,2,492.2,7.82843,7.82843,7,4,8,forward
room-100-10,3,822.8,12.0711,4.82843,10,7,8,forward
room-100-10,4,483.2,9.82843,6.65685,9,3,8,forward
room-100-10,5,825,13.6569,5.41421,12,7,8,forward
room-100-10,6,500.2,7,6.41421,7,6,8,forward
room-100-10,7,390.4,5.82843,5.82843,5,1,8,forward
room-100-10,8,438.4,6.24264,6.24264,5,2,8,forward
room-100-10,9,862,18.7279,6.82843,15,9,8,forward
room-100-10,10,583,9.82843,9.82843,9,4,8,forward
room-100-10,11,716.4,16.8995,11.2426,14,8,8,forward
room-100-10,12,652.6,11.0711,11.0711,9,5,8,forward
room-100-10,13,533,11.4142,11.4142,11,7,8,forward
room-100-10,14,559.4,14.4853,9.65685,12,8,8,forward
room-100-10,15,749.6,11.8284,10.8284,11,10,8,forward
room-100-10,16,1125,16.8284,11.6569,16,14,8,forward
room-100-10,17,1243,24.4853,11.6569,22,19,8,forward
room-100-10,18,637,15.0711,11.4142,13,7,8,forward
room-100-10,19,643.6,9.82843,9.82843,9,5,8,forward
room-100-10,20,849.2,14.8284,12.2426,14,9,8,forward
room-100-10,21,879,16.6569,15.6569,15,13,8,forward
room-100-10,22,1073.8,16.6569,15.6569,15,13,8,forward
room-100-10,23,802,19.2426,14.2426,18,19,8,forward
room-100-10,24,1301,18.4853,12.8995,16,17,8,forward
room-100-10,25,688.2,15.8995,15.8995,13,10,8,forward
room-100-10,26,989.4,15.4853,12.4853,13,11,8,forward
room-100-10,27,831.6,15.4853,13.6569,13,9,8,forward
room-100-10,28,1077.4,16.8284,14.8284,16,12,8,forward
room-100-10,29,1011.8,20.0711,15.6569,18,19,8,forward
room-100-10,30,775.2,16.0711,16.0711,14,12,8,forward
room-100-10,31,1589,27.0711,18.6569,25,30,8,forward
room-100-10,32,812.8,20.7279,19.3137,17,16,8,forward
room-100-10,33,1369.8,23.8995,17.6569,21,20,8,forward
room-100-10,34,758.8,25.5563,17.4853,21,14,8,forward
room-100-10,35,1461,28.7279,18.8284,25,20,8,forward
room-100-10,36,918.4,21.7279,16.0711,18,11,8,forward
room-100-10,37,921.4,21.3137,17.2426,18,14,8,forward
room-100-10,38,833.2,19.2426,19.2426,18,16,8,forward
room-100-10,39,486,17.8995,17.8995,15,11,8,forward
room-100-10,40,1184.6,28.1421,21.3137,24,19,8,forward
room-100-10,41,1134,20.8284,20.8284,20,16,8,forward
room-100-10,42,1251,21.0711,21.0711,19,15,8,forward
room-100-10,43,1168.6,27.1421,20.7279,23,24,8,forward
room-100-10,44,1717.6,29.7279,23.2426,26,21,8,forward
room-100-10,45,2730.4,28.8995,20.8995,26,20,8,forward
room-100-10,46,1468.2,30.0711,23.8284,28,23,8,forward
