map,scenid,tcost,distance,expect,steps,access,r,itype
room-100-10,0,1573,6.65685,6.65685,5,1,0,backward
room-100-10,1,371.4,4.41421,4.41421,4,1,0,backward
room-100-10,2,576.4,7.82843,7.82843,7,2,0,backward
room-100-10,3,371,4.82843,4.82843,4,1,0,backward
room-100-10,4,404.6,6.65685,6.65685,5,1,0,backward
room-100-10,5,459.4,5.41421,5.41421,5,1,0,backward
room-100-10,6,491.8,6.41421,6.41421,6,1,0,backward
room-100-10,7,432,5.82843,5.82843,5,1,0,backward
room-100-10,8,425.4,6.24264,6.24264,5,1,0,backward
room-100-10,9,495.6,6.82843,6.82843,6,2,0,backward
room-100-10,10,574,9.82843,9.82843,9,2,0,backward
room-100-10,11,710,11.2426,11.2426,10,4,0,backward
room-100-10,12,501.4,11.0711,11.0711,9,1,0,backward
room-100-10,13,671.4,11.4142,11.4142,11,3,0,backward
room-100-10,14,436.2,9.65685,9.65685,8,2,0,backward
room-100-10,15,650.8,10.8284,10.8284,10,3,0,backward
room-100-10,16,594.4,11.6569,11.6569,10,2,0,backward
room-100-10,17,762.2,11.6569,11.6569,10,5,0,backward
room-100-10,18,526.2,11.4142,11.4142,11,2,0,backward
room-100-10,19,663.2,9.82843,9.82843,9,4,0,backward
room-100-10,20,635.6,12.2426,12.2426,11,3,0,backward
room-100-10,21,876.4,15.6569,15.6569,14,5,0,backward
room-100-10,22,800.6,15.6569,15.6569,14,7,0,backward
room-100-10,23,760.4,14.2426,14.2426,13,5,0,backward
room-100-10,24,630.4,12.8995,12.8995,10,5,0,backward
room-100-10,25,610.8,15.8995,15.8995,13,5,0,backward
room-100-10,26,687.8,12.4853,12.4853,10,3,0,backward
room-100-10,27,905,13.6569,13.6569,12,7,0,backward
room-100-10,28,757.8,14.8284,14.8284,14,8,0,backward
room-100-10,29,608.8,15.6569,15.6569,14,2,0,backward
room-100-10,30,617,16.0711,16.0711,14,2,0,backward
room-100-10,31,911,18.6569,18.6569,17,7,0,backward
room-100-10,32,676.6,19.3137,19.3137,16,5,0,backward
room-100-10,33,760.8,17.6569,17.6569,16,6,0,backward
room-100-10,34,746.2,17.4853,17.4853,15,3,0,backward
room-100-10,35,972.8,18.8284,18.8284,18,9,0,backward
room-100-10,36,666,16.0711,16.0711,14,4,0,backward
room-100-10,37,822.2,17.2426,17.2426,16,7,0,backward
room-100-10,38,728.6,19.2426,19.2426,18,2,0,backward
room-100-10,39,640.6,17.8995,17.8995,15,4,0,backward
room-100-10,40,854.4,21.3137,21.3137,18,5,0,backward
room-100-10,41,623.6,20.8284,20.8284,20,3,0,backward
room-100-10,42,716,21.0711,21.0711,19,5,0,backward
room-100-10,43,996.4,20.7279,20.7279,17,8,0,backward
room-100-10,44,938,23.2426,23.2426,22,6,0,backward
room-100-10,45,955.6,20.8995,20.8995,18,6,0,backward
room-100-10,46,934.4,23.8284,23.8284,23,8,0,backward
room-100-10,47,723.6,21.4853,21.4853,19,6,0,backward
room-100-10,48,1050.6,21.6569,21.6569,20,9,0,backward
room-100-10,49,590.4,21.8995,21.8995,19,2,0,backward
room-100-10,50,1133.4,27.4853,27.4853,25,10,0,backward
room-100-10,51,854.8,27.5563,27.5563,23,6,0,backward
room-100-10,52,752,26.8995,26.8995,24,8,0,backward
room-100-10,53,935.4,26.3137,26.3137,23,10,0,backward
room-100-10,54,1049,27.5563,27.5563,23,8,0,backward
room-100-10,55,1035.6,24.3137,24.3137,21,8,0,backward
room-100-10,56,810.8,26.4853,26.4853,24,8,0,backward
room-100-10,57,1186.4,26.7279,26.7279,23,11,0,backward
room-100-10,58,674.6,25.8995,25.8995,23,4,0,backward
room-100-10,59,1195.8,27.3137,27.3137,24,11,0,backward
room-100-10,60,1208.8,31.8995,31.8995,29,12,0,backward
room-100-10,61,974.4,31.799,31.799,26,8,0,backward
room-100-10,62,778,28.9706,28.9706,24,5,0,backward
room-100-10,63,786.8,29.7279,29.7279,26,9,0,backward
room-100-10,64,985.8,28.0711,28.0711,26,7,0,backward
room-100-10,65,889,28.3137,28.3137,25,5,0,backward
room-100-10,66,1071.4,29.1421,29.1421,25,10,0,backward
room-100-10,67,1106.4,29.7279,29.7279,26,9,0,backward
room-100-10,68,1044.6,31.3137,31.3137,28,11,0,backward
room-100-10,69,1136.6,28.4853,28.4853,26,9,0,backward
room-100-10,70,953.4,32.9706,32.9706,28,9,0,backward
room-100-10,71,1071.8,33.1421,33.1421,29,14,0,backward
room-100-10,72,1225.6,35.5563,35.5563,31,11,0,backward
room-100-10,73,1104.4,32.3137,32.3137,29,13,0,backward
room-100-10,74,1286.4,32.3137,32.3137,29,8,0,backward
room-100-10,75,908.4,33.9706,33.9706,29,9,0,backward
room-100-10,76,775,33.3848,33.3848,28,6,0,backward
room-100-10,77,1112.8,33.9706,33.9706,29,9,0,backward
room-100-10,78,1322.2,34.1421,34.1421,30,12,0,backward
room-100-10,79,814.8,32.799,32.799,27,8,0,backward
room-100-10,80,1377.2,39.5563,39.5563,35,15,0,backward
room-100-10,81,1048.6,39.6274,39.6274,33,11,0,backward
room-100-10,82,1030.2,39.1421,39.1421,35,10,0,backward
room-100-10,83,1403.8,36.799,36.799,31,12,0,backward
room-100-10,84,1168.4,38.7279,38.7279,35,13,0,backward
room-100-10,85,1342.8,36.1421,36.1421,32,14,0,backward
room-100-10,86,1067.2,37.799,37.799,32,13,0,backward
room-100-10,87,886.8,36.7279,36.7279,33,9,0,backward
room-100-10,88,1236,36.3848,36.3848,31,14,0,backward
room-100-10,89,1313,39.6274,39.6274,33,19,0,backward
room-100-10,90,1110.4,41.5563,41.5563,37,7,0,backward
room-100-10,91,1380,41.3137,41.3137,38,14,0,backward
room-100-10,92,1291.4,42.1421,42.1421,38,12,0,backward
room-100-10,93,1560,42.3137,42.3137,39,18,0,backward
room-100-10,94,1358.8,42.5563,42.5563,38,13,0,backward
room-100-10,95,1256.8,40.3848,40.3848,35,10,0,backward
