map,scenid,tcost,distance,expect,steps,access,r,itype
room-400-40,0,2834.2,31.5563,4.82843,27,13,64,backward
room-400-40,1,4184,54.1838,4,43,29,64,backward
room-400-40,2,1582,42.6569,6.65685,41,2,64,backward
room-400-40,3,3706,58.7696,5.82843,48,28,64,backward
room-400-40,4,2433.2,62.8406,7.65685,50,14,64,backward
room-400-40,5,3631.4,64.4558,4.82843,57,18,64,backward
room-400-40,6,887.4,15.4853,6.41421,13,2,64,backward
room-400-40,7,3532.2,93.5563,6.65685,89,13,64,backward
room-400-40,8,993.2,21.3137,6.82843,18,8,64,backward
room-400-40,9,2247.6,43.1421,7.41421,39,8,64,backward
room-400-40,10,1869.2,42.3137,10.8995,39,3,64,backward
room-400-40,11,2750.6,92.7107,11.8995,72,17,64,backward
room-400-40,12,2956.4,88.9117,10.8284,74,15,64,backward
room-400-40,13,1488.8,50.7279,10.6569,47,2,64,backward
room-400-40,14,3799.2,90.8822,9.41421,71,27,64,backward
room-400-40,15,1765.6,34.9706,9.89949,30,3,64,backward
room-400-40,16,1083.8,21.8995,10.4142,19,2,64,backward
room-400-40,17,2134.4,71.8406,9.24264,59,15,64,backward
room-400-40,18,2460.4,52.6569,10.8284,51,10,64,backward
room-400-40,19,2730.4,48.3553,8.41421,38,6,64,backward
room-400-40,20,1348.2,36.7279,12.3137,33,2,64,backward
room-400-40,21,2997.2,70.669,13.4142,57,10,64,backward
room-400-40,22,5498.8,83.4558,14,76,49,64,backward
room-400-40,23,757.8,20.8284,15.6569,20,3,64,backward
room-400-40,24,3461.6,75.6985,12.4142,67,23,64,backward
room-400-40,25,1811,46.799,15.0711,41,3,64,backward
room-400-40,26,1803.4,43.8995,15.8995,41,9,64,backward
room-400-40,27,2513.6,69.5685,13.3137,53,16,64,backward
room-400-40,28,784.4,29.1421,13.4142,25,2,64,backward
room-400-40,29,3020.4,113.296,13.4142,93,14,64,backward
room-400-40,30,3276.6,72.0833,18.4142,58,17,64,backward
room-400-40,31,3102,58.6985,18.8995,50,23,64,backward
room-400-40,32,2316,88.5391,19.4853,67,12,64,backward
room-400-40,33,836.6,18.6569,18.6569,17,3,64,backward
room-400-40,34,2213.6,97.8701,19,90,5,64,backward
room-400-40,35,2530.2,73.4853,17.4853,71,5,64,backward
room-400-40,36,2946,119.77,17.1421,109,13,64,backward
room-400-40,37,818.8,24.2426,16.4853,23,2,64,backward
room-400-40,38,1516.4,26.2426,19.8995,25,5,64,backward
room-400-40,39,2129.4,37.6274,18.4142,31,11,64,backward
room-400-40,40,3410.4,115.113,22,106,8,64,backward
room-400-40,41,2135,48.9411,21.3137,39,6,64,backward
room-400-40,42,2686.4,59.1127,23.4142,50,22,64,backward
room-400-40,43,1887.4,39.3137,20,36,15,64,backward
room-400-40,44,3043,86.4558,20.4853,79,24,64,backward
room-400-40,45,1768.8,36.6985,23.9706,28,4,64,backward
room-400-40,46,1928.2,68.7696,22.4853,58,6,64,backward
room-400-40,47,2901.6,37.0711,20.6569,35,22,64,backward
room-400-40,48,2883.6,125.426,22.5563,113,16,64,backward
room-400-40,49,3555.4,87.1249,23.1421,66,21,64,backward
room-400-40,50,4683,100.468,26.9706,81,29,64,backward
room-400-40,51,1543.6,64.9706,24,60,8,64,backward
room-400-40,52,3170.4,90.1249,27.1421,69,13,64,backward
room-400-40,53,1465,28.3848,24.3848,23,3,64,backward
room-400-40,54,2326,87.5269,25.8995,78,12,64,backward
room-400-40,55,2640.4,143.853,27.0711,119,17,64,backward
room-400-40,56,3062,99.3553,26.2426,89,10,64,backward
room-400-40,57,3914.2,87.7696,26.7279,77,23,64,backward
room-400-40,58,2035.4,53.8995,26.8995,51,6,64,backward
room-400-40,59,937.2,36.7279,24.799,33,8,64,backward
room-400-40,60,4418.6,91.5563,28.7279,87,25,64,backward
room-400-40,61,3450.2,101.841,31.799,89,16,64,backward
room-400-40,62,3319.4,102.255,29.2426,89,12,64,backward
room-400-40,63,1533.2,33.4853,31.7279,31,12,64,backward
room-400-40,64,1203,40.7279,28.7279,37,3,64,backward
room-400-40,65,3050.4,102.74,28.8995,87,24,64,backward
room-400-40,66,1881.6,59.598,29.0711,48,10,64,backward
room-400-40,67,1496.8,54.6985,30.8995,46,4,64,backward
room-400-40,68,2009,47.3553,31.4558,37,14,64,backward
room-400-40,69,2051,39.2843,30.6274,31,15,64,backward
room-400-40,70,2847.2,112.971,32.9706,108,9,64,backward
room-400-40,71,2594.4,61.4558,33.5563,54,21,64,backward
room-400-40,72,3662.2,83.9411,34.0711,74,15,64,backward
room-400-40,73,3777.4,87.8406,32.6569,75,35,64,backward
room-400-40,74,2091.4,59.5563,34.799,55,11,64,backward
room-400-40,75,3933,91.1421,32.0711,87,28,64,backward
room-400-40,76,3515.4,117.296,32.3848,97,22,64,backward
room-400-40,77,3338.6,83.2132,32.5563,77,19,64,backward
room-400-40,78,2655,86.1543,33.1421,70,11,64,backward
room-400-40,79,1979.4,49.2843,32.4142,41,7,64,backward
room-400-40,80,1715.8,53.8406,39.799,41,9,64,backward
room-400-40,81,4202,120.355,37.0416,110,37,64,backward
room-400-40,82,2548.8,65.2132,39.4853,59,9,64,backward
room-400-40,83,4273.6,109.284,36.6274,101,42,64,backward
room-400-40,84,2749.8,88.5685,38.4853,72,10,64,backward
room-400-40,85,2120.4,60.4975,39.1421,46,4,64,backward
room-400-40,86,1868.8,63.3848,39.4853,58,12,64,backward
room-400-40,87,1995.8,53.5269,38.4142,44,14,64,backward
room-400-40,88,1356.4,39.7279,39.7279,36,6,64,backward
room-400-40,89,2620.2,74.799,39.3137,69,25,64,backward
room-400-40,90,2298.8,90.0122,42.5563,78,13,64,backward
room-400-40,91,4112.6,86.9117,40.9706,72,27,64,backward
room-400-40,92,3141.4,91.1543,40.4853,75,31,64,backward
room-400-40,93,2593.6,77.669,43.7279,64,19,64,backward
room-400-40,94,4789.2,98.1249,43.6274,77,44,64,backward
room-400-40,95,1311.4,43.2843,43.2843,35,8,64,backward
room-400-40,96,3656.6,93.9117,42.8701,79,26,64,backward
room-400-40,97,2904,97.3848,41.5563,92,21,64,backward
room-400-40,98,2722,75.6274,40.6985,69,14,64,backward
room-400-40,99,2079.6,44.3553,43.5269,34,14,64,backward
room-400-40,100,3313.4,101.912,46.4264,87,23,64,backward
room-400-40,101,1691.4,44.799,44.799,39,6,64,backward
room-400-40,102,1496,71.1838,47.669,60,9,64,backward
room-400-40,103,1942.8,82.1421,44.0711,78,8,64,backward
room-400-40,104,2316.8,78.598,45.1127,67,9,64,backward
room-400-40,105,2918.4,115.456,46.9706,108,8,64,backward
room-400-40,106,2647.8,81.799,47.9411,76,17,64,backward
room-400-40,107,2133.8,52.7279,45.3137,49,7,64,backward
room-400-40,108,2649.8,85.3259,47.2843,70,14,64,backward
room-400-40,109,2835.6,89.2843,47.7279,81,3,64,backward
room-400-40,110,2526.2,73.8112,48.7279,56,22,64,backward
room-400-40,111,2282.6,61.6985,51.799,53,15,64,backward
room-400-40,112,1740.8,73.3553,48.2843,63,8,64,backward
room-400-40,113,1593.8,67.2843,49.6274,59,6,64,backward
room-400-40,114,2554.2,109.225,50.6985,91,12,64,backward
room-400-40,115,3575.6,112.326,48.598,97,11,64,backward
room-400-40,116,1283,50.9706,50.9706,46,5,64,backward
room-400-40,117,1840,90.1127,50.799,81,3,64,backward
room-400-40,118,3595.2,97.669,49.4558,84,18,64,backward
room-400-40,119,2444.6,100.77,50.5269,90,15,64,backward
room-400-40,120,3550.4,107.456,52.7696,100,36,64,backward
room-400-40,121,3579.8,92.2548,52.6985,79,21,64,backward
room-400-40,122,2436.8,79.799,52.5269,74,16,64,backward
room-400-40,123,1855.6,57.5563,52.6274,53,8,64,backward
room-400-40,124,3147.4,132.841,55.0711,120,19,64,backward
room-400-40,125,1804,64.9828,53.9411,48,10,64,backward
room-400-40,126,2952.2,69.598,52.8701,58,16,64,backward
room-400-40,127,2601.6,74.669,53.2843,61,18,64,backward
room-400-40,128,5103,104.87,55.4264,97,15,64,backward
room-400-40,129,2911.6,81.4558,53.4558,74,21,64,backward
room-400-40,130,2262.6,96.6274,57.598,90,13,64,backward
