map,scenid,tcost,distance,expect,steps,access,r,itype
room-400-40,0,2498.8,33.1421,4.82843,29,32,64,forward
room-400-40,1,3060.4,54.1838,4,43,44,64,forward
room-400-40,2,1460.8,28.6569,6.65685,27,7,64,forward
room-400-40,3,4265.8,61.9411,5.82843,52,83,64,forward
room-400-40,4,3002.4,62.8406,7.65685,50,47,64,forward
room-400-40,5,4109.2,77.4558,4.82843,70,84,64,forward
room-400-40,6,497.2,15.4853,6.41421,13,0,64,forward
room-400-40,7,4103.2,85.3848,6.65685,80,80,64,forward
room-400-40,8,1227.8,21.3137,6.82843,18,23,64,forward
room-400-40,9,2363.6,54.3137,7.41421,51,34,64,forward
room-400-40,10,1588.2,39.3137,10.8995,36,22,64,forward
room-400-40,11,3390.6,107.61,11.8995,84,48,64,forward
room-400-40,12,4081.8,88.9117,10.8284,74,63,64,forward
room-400-40,13,1352.4,38.7279,10.6569,35,10,64,forward
room-400-40,14,4307.6,98.1249,9.41421,77,53,64,forward
room-400-40,15,1559.6,40.0416,9.89949,33,8,64,forward
room-400-40,16,1137,21.8995,10.4142,19,16,64,forward
room-400-40,17,4780.4,71.8406,9.24264,59,103,64,forward
room-400-40,18,2611.8,50.4853,10.8284,48,30,64,forward
room-400-40,19,3044,48.3553,8.41421,38,37,64,forward
room-400-40,20,1217.2,33.7279,12.3137,30,5,64,forward
room-400-40,21,3596,70.669,13.4142,57,38,64,forward
room-400-40,22,6441.6,74.799,14,69,118,64,forward
room-400-40,23,752,20.8284,15.6569,20,11,64,forward
room-400-40,24,5218.2,70.0416,12.4142,63,97,64,forward
room-400-40,25,1801.8,44.2132,15.0711,38,13,64,forward
room-400-40,26,2189.8,42.8995,15.8995,40,37,64,forward
room-400-40,27,2818.2,76.5685,13.3137,60,66,64,forward
room-400-40,28,748.4,33.3848,13.4142,28,3,64,forward
room-400-40,29,4463.6,113.296,13.4142,93,65,64,forward
room-400-40,30,3234.6,51.6985,18.4142,43,42,64,forward
room-400-40,31,4242,58.6985,18.8995,50,80,64,forward
room-400-40,32,3413.2,88.5391,19.4853,67,46,64,forward
room-400-40,33,669.8,18.6569,18.6569,17,6,64,forward
room-400-40,34,4110.6,93.8701,19,86,76,64,forward
room-400-40,35,3276.8,60.4853,17.4853,58,66,64,forward
room-400-40,36,6402.4,125.77,17.1421,115,115,64,forward
room-400-40,37,870.4,24.2426,16.4853,23,11,64,forward
room-400-40,38,1582,25.2426,19.8995,24,15,64,forward
room-400-40,39,1727.4,37.6274,18.4142,31,25,64,forward
room-400-40,40,5027,114.113,22,105,90,64,forward
room-400-40,41,2147,51.7696,21.3137,41,25,64,forward
room-400-40,42,3649.8,58.1127,23.4142,49,46,64,forward
room-400-40,43,2138.2,44.7279,20,41,40,64,forward
room-400-40,44,3831,82.4558,20.4853,75,50,64,forward
room-400-40,45,1989.8,36.6985,23.9706,28,15,64,forward
room-400-40,46,2690.2,68.7696,22.4853,58,45,64,forward
room-400-40,47,2794.4,37.0711,20.6569,35,49,64,forward
room-400-40,48,5098,125.426,22.5563,113,102,64,forward
room-400-40,49,3989.4,80.6396,23.1421,62,69,64,forward
room-400-40,50,4829.6,100.468,26.9706,81,72,64,forward
room-400-40,51,2802,57.8995,24,55,70,64,forward
room-400-40,52,5120.6,90.1249,27.1421,69,66,64,forward
room-400-40,53,1474.8,27.3848,24.3848,22,8,64,forward
room-400-40,54,3432.8,82.5269,25.8995,73,57,64,forward
room-400-40,55,5369.8,143.853,27.0711,119,99,64,forward
room-400-40,56,4150.8,96.3553,26.2426,86,73,64,forward
room-400-40,57,5683.4,87.7696,26.7279,77,80,64,forward
