map,scenid,tcost,distance,expect,steps,access,r,itype
w_blightlands,0,1410.6,36.3137,7.82843,33,28,32,forward
w_blightlands,1,570.2,13.6569,5.82843,12,10,32,forward
w_blightlands,2,372.4,9.82843,4.41421,9,5,32,forward
w_blightlands,3,459.2,20.5563,5.41421,16,2,32,forward
w_blightlands,4,386,12.0711,6.65685,10,0,32,forward
w_blightlands,5,271.2,8.65685,7.82843,7,1,32,forward
w_blightlands,6,354.6,19.1421,5,15,0,32,forward
w_blightlands,7,1310.8,56.669,7.07107,43,14,32,forward
w_blightlands,8,953.8,49.2548,6.82843,36,4,32,forward
w_blightlands,9,198.2,8.65685,4.41421,7,0,32,forward
w_blightlands,10,432.4,17.2426,8.24264,16,0,32,forward
w_blightlands,11,348.4,19.8995,11.4142,17,0,32,forward
w_blightlands,12,433.4,15.4853,10.4853,13,0,32,forward
w_blightlands,13,414.6,30.6274,10.8284,24,0,32,forward
w_blightlands,14,850.6,28.0711,8.24264,26,3,32,forward
w_blightlands,15,427,22.7279,9,19,0,32,forward
w_blightlands,16,496.6,17.6569,11.6569,16,2,32,forward
w_blightlands,17,374.6,21.8995,9.89949,19,0,32,forward
w_blightlands,18,1151.4,35.5563,8,31,14,32,forward
w_blightlands,19,1575.8,46.4558,10.8284,39,30,32,forward
w_blightlands,20,983.4,42.9411,12.2426,33,10,32,forward
w_blightlands,21,386.4,16.2426,12,15,7,32,forward
w_blightlands,22,619.6,25.7279,14.2426,22,9,32,forward
w_blightlands,23,440.2,27.8995,15.8995,25,0,32,forward
w_blightlands,24,1144.2,37.4853,15.6569,35,15,32,forward
w_blightlands,25,639.8,24.4853,14.4853,22,2,32,forward
w_blightlands,26,540.2,16.1421,15.3137,12,2,32,forward
w_blightlands,27,1218,41.5563,13.2426,37,9,32,forward
w_blightlands,28,1038.4,51.1838,15.8284,40,14,32,forward
w_blightlands,29,672.4,30.3848,13.8284,25,2,32,forward
w_blightlands,30,267,19.3848,17.1421,14,0,32,forward
w_blightlands,31,646.4,30.1421,19.3137,26,4,32,forward
w_blightlands,32,1307,59.1838,18.4853,48,27,32,forward
w_blightlands,33,1218.6,53.1127,16.8995,44,19,32,forward
w_blightlands,34,1134,41.8995,17.8995,39,3,32,forward
w_blightlands,35,1049,28.8995,19.3848,26,18,32,forward
