map,scenid,tcost,distance,expect,steps,access,r,itype
w_bonepit,0,1132,29.0711,6.41421,27,6,16,backward
w_bonepit,1,594.2,15.6569,7.07107,14,3,16,backward
w_bonepit,2,581,19.7279,5.24264,16,2,16,backward
w_bonepit,3,782.4,23.3137,6.65685,20,2,16,backward
w_bonepit,4,527.2,8,4,8,3,16,backward
w_bonepit,5,688.8,24.0711,6.65685,22,2,16,backward
w_bonepit,6,296,5.41421,5.41421,5,1,16,backward
w_bonepit,7,575.8,9.82843,4.82843,9,6,16,backward
w_bonepit,8,703.8,17.0711,7.41421,15,4,16,backward
w_bonepit,9,681.2,22.4853,5.41421,20,2,16,backward
w_bonepit,10,873.6,27.6569,10.2426,26,2,16,backward
w_bonepit,11,911.6,30.6569,8.41421,29,8,16,backward
w_bonepit,12,871.2,28.8701,9.07107,21,9,16,backward
w_bonepit,13,953.8,26.1421,10.0711,22,2,16,backward
w_bonepit,14,908.4,30.7279,10.2426,27,4,16,backward
w_bonepit,15,510.8,14.4142,10.4142,14,2,16,backward
w_bonepit,16,1070.6,28.6569,8.82843,27,6,16,backward
w_bonepit,17,513.2,13.4853,8.48528,11,4,16,backward
w_bonepit,18,564.4,17.4853,8.48528,15,2,16,backward
w_bonepit,19,423.6,9.41421,8.82843,9,2,16,backward
w_bonepit,20,641.6,16.8995,15.1421,14,4,16,backward
w_bonepit,21,712.8,19.0711,15.4142,17,4,16,backward
w_bonepit,22,509.2,17.8284,12.6569,17,2,16,backward
w_bonepit,23,485.8,12.3137,12.3137,9,2,16,backward
w_bonepit,24,783.8,31.9706,14.0711,27,5,16,backward
w_bonepit,25,620.8,24.3137,12.0711,21,4,16,backward
w_bonepit,26,868.6,25.7279,13.0711,22,2,16,backward
w_bonepit,27,659,18.8284,13.0711,18,3,16,backward
w_bonepit,28,504.6,16.1421,14.7279,12,2,16,backward
w_bonepit,29,455.2,18.1421,15.1421,14,2,16,backward
w_bonepit,30,681.6,22.8284,16.4142,22,2,16,backward
w_bonepit,31,587.6,22.0711,16.5563,20,3,16,backward
w_bonepit,32,720.2,19.1421,19.1421,15,7,16,backward
w_bonepit,33,779.8,19.9706,16.8995,15,6,16,backward
w_bonepit,34,882,29.7279,17.4853,26,2,16,backward
w_bonepit,35,889.2,27.2426,19.3848,26,3,16,backward
w_bonepit,36,590.6,18.8995,18.8995,16,2,16,backward
w_bonepit,37,628.6,23.0711,17.0711,21,2,16,backward
w_bonepit,38,771.2,38.2132,19.1421,32,2,16,backward
w_bonepit,39,682,25.3848,16.3137,20,4,16,backward
w_bonepit,40,679,26.0711,22.4142,24,2,16,backward
w_bonepit,41,573.6,24.5563,20.4142,20,4,16,backward
w_bonepit,42,726.8,22.799,22.799,17,7,16,backward
w_bonepit,43,581.8,20.4853,20.4853,18,3,16,backward
w_bonepit,44,643.6,24.9706,23.9706,20,4,16,backward
w_bonepit,45,890.4,25.8995,22.9706,23,3,16,backward
w_bonepit,46,831.6,33.2132,22.1421,27,3,16,backward
w_bonepit,47,616,23.2132,23.2132,17,5,16,backward
w_bonepit,48,1119,32.5563,23.1421,28,17,16,backward
w_bonepit,49,1208,38.4853,22.4142,36,2,16,backward
w_bonepit,50,957,43.3137,27.8995,40,4,16,backward
w_bonepit,51,982,40.1421,27.3137,36,5,16,backward
w_bonepit,52,1025.8,46.6985,24.0711,38,4,16,backward
w_bonepit,53,953.2,36.5563,26.5563,32,6,16,backward
w_bonepit,54,842.4,30.4853,27.6569,28,4,16,backward
w_bonepit,55,1012.8,44.5269,27.1421,35,5,16,backward
w_bonepit,56,607.8,28.1421,25.6569,24,4,16,backward
w_bonepit,57,795,26.8995,26.3137,24,7,16,backward
w_bonepit,58,1181.6,42.6985,27.4853,34,4,16,backward
w_bonepit,59,697.8,27.0711,26.2426,25,2,16,backward
w_bonepit,60,964.8,40.2843,30.1421,32,4,16,backward
w_bonepit,61,679.4,30.2132,30.2132,24,2,16,backward
w_bonepit,62,981.4,47.4558,31.4558,40,4,16,backward
w_bonepit,63,710,31.5563,29.2132,27,3,16,backward
w_bonepit,64,744.2,31.6569,31.6569,30,4,16,backward
w_bonepit,65,924.4,37.8701,30.6274,30,2,16,backward
w_bonepit,66,1090.8,40.0711,28.5563,38,8,16,backward
w_bonepit,67,864.6,38.6569,31.4853,37,2,16,backward
w_bonepit,68,694.6,28.8284,28.8284,28,2,16,backward
w_bonepit,69,989,38.2426,31.6569,37,8,16,backward
w_bonepit,70,1100.2,35.5563,34.9706,31,9,16,backward
w_bonepit,71,918.2,37.6274,34.1127,31,5,16,backward
w_bonepit,72,967,33.3848,33.3848,28,3,16,backward
w_bonepit,73,1299.8,54.2843,35.2843,46,11,16,backward
w_bonepit,74,1172,45.8995,35.3137,43,7,16,backward
w_bonepit,75,693.6,40.7279,32.2426,37,7,16,backward
w_bonepit,76,1010,34.6569,34.6569,33,2,16,backward
w_bonepit,77,883.8,34.6569,34.6569,33,5,16,backward
w_bonepit,78,954.4,36.2132,32.8995,30,7,16,backward
w_bonepit,79,1367,50.1421,34.7279,46,3,16,backward
w_bonepit,80,996.2,43.7696,38.3553,33,8,16,backward
w_bonepit,81,1100.2,50.2843,38.2843,42,7,16,backward
w_bonepit,82,1283.8,52.8701,38.2843,45,16,16,backward
w_bonepit,83,952.8,41.5269,39.1838,32,4,16,backward
w_bonepit,84,887.4,40.4853,39.6569,38,2,16,backward
