map,scenid,tcost,distance,expect,steps,access,r,itype
w_bonepitdestroyed_a3,0,1746.2,43.2843,6.41421,35,2,64,backward
w_bonepitdestroyed_a3,1,2886.2,109.385,7.65685,104,2,64,backward
w_bonepitdestroyed_a3,2,892,14.2426,6.65685,13,5,64,backward
w_bonepitdestroyed_a3,3,443.4,8.65685,6.41421,7,2,64,backward
w_bonepitdestroyed_a3,4,1990.2,73.3848,6.24264,68,4,64,backward
w_bonepitdestroyed_a3,5,1946.2,88.0711,6.65685,86,2,64,backward
w_bonepitdestroyed_a3,6,1471.6,54.1838,6.65685,43,4,64,backward
w_bonepitdestroyed_a3,7,2115,63.4975,7,49,4,64,backward
w_bonepitdestroyed_a3,8,1472.6,51.5269,5.82843,42,4,64,backward
w_bonepitdestroyed_a3,9,2054.6,64.2548,6.24264,51,2,64,backward
w_bonepitdestroyed_a3,10,2009,55.1127,8.24264,46,15,64,backward
w_bonepitdestroyed_a3,11,1885.2,76.799,9.41421,71,2,64,backward
w_bonepitdestroyed_a3,12,888.4,24.6569,11.4853,23,3,64,backward
w_bonepitdestroyed_a3,13,1410,67.4264,11,55,6,64,backward
w_bonepitdestroyed_a3,14,1062.6,38.8995,9.48528,36,3,64,backward
w_bonepitdestroyed_a3,15,3047,89.1838,11.4853,78,52,64,backward
w_bonepitdestroyed_a3,16,993.2,34.4853,9.41421,32,2,64,backward
w_bonepitdestroyed_a3,17,494.4,10.8284,8,10,2,64,backward
w_bonepitdestroyed_a3,18,1691.6,68.2548,10.8284,55,4,64,backward
w_bonepitdestroyed_a3,19,1298.8,38.3137,9.48528,35,4,64,backward
w_bonepitdestroyed_a3,20,1884.8,74.0711,14.6569,72,9,64,backward
w_bonepitdestroyed_a3,21,1428,46.4558,13.4853,39,2,64,backward
w_bonepitdestroyed_a3,22,1899.2,72.1543,14.6569,56,4,64,backward
w_bonepitdestroyed_a3,23,1621,84.1421,12.0711,80,4,64,backward
w_bonepitdestroyed_a3,24,2274,103.243,14.2426,102,5,64,backward
w_bonepitdestroyed_a3,25,1437.8,72.3848,13.0711,67,4,64,backward
w_bonepitdestroyed_a3,26,1050.2,48.0416,13.4142,41,4,64,backward
w_bonepitdestroyed_a3,27,1898.6,100.799,15.3137,95,4,64,backward
w_bonepitdestroyed_a3,28,2296.4,105.213,14.2426,99,2,64,backward
w_bonepitdestroyed_a3,29,722.2,33.7279,13.8995,30,3,64,backward
w_bonepitdestroyed_a3,30,2025.2,108.556,19.8995,104,4,64,backward
w_bonepitdestroyed_a3,31,1157.6,43.8995,19.8995,41,3,64,backward
w_bonepitdestroyed_a3,32,766.4,57.4264,16.8995,45,4,64,backward
w_bonepitdestroyed_a3,33,980.6,49.0416,16.7279,42,2,64,backward
w_bonepitdestroyed_a3,34,2123.4,106.284,16.6569,98,2,64,backward
w_bonepitdestroyed_a3,35,1771.6,68.7279,18.7279,65,10,64,backward
w_bonepitdestroyed_a3,36,1146.6,57.7696,19.8284,47,16,64,backward
w_bonepitdestroyed_a3,37,719,21.4853,17.4853,19,2,64,backward
w_bonepitdestroyed_a3,38,1374.6,50.0833,17.5563,36,4,64,backward
w_bonepitdestroyed_a3,39,1662.6,81.397,19.4142,64,2,64,backward
w_bonepitdestroyed_a3,40,1710.6,100.853,23.0711,76,4,64,backward
w_bonepitdestroyed_a3,41,543,32.9706,21.6569,28,2,64,backward
w_bonepitdestroyed_a3,42,1550.4,77.1838,21.6569,66,2,64,backward
w_bonepitdestroyed_a3,43,1493.8,61.2843,22.0711,53,2,64,backward
