map,scenid,tcost,distance,expect,steps,access,r,itype
w_bonepitmining_a2,0,347.8,8.65685,7.82843,7,0,16,forward
w_bonepitmining_a2,1,1196,23.0711,7.82843,21,23,16,forward
w_bonepitmining_a2,2,301.8,10.4142,7.24264,10,0,16,forward
w_bonepitmining_a2,3,533.6,19.7279,5.41421,16,2,16,forward
w_bonepitmining_a2,4,468.8,21.9706,5.24264,17,1,16,forward
w_bonepitmining_a2,5,546.2,28.799,7.24264,23,0,16,forward
w_bonepitmining_a2,6,477.6,22.8995,6.65685,20,3,16,forward
w_bonepitmining_a2,7,182.4,6,4.82843,6,0,16,forward
w_bonepitmining_a2,8,208.6,7.41421,6,7,0,16,forward
w_bonepitmining_a2,9,395.8,15.3137,6.82843,12,1,16,forward
w_bonepitmining_a2,10,424.6,21.3137,8.82843,18,0,16,forward
w_bonepitmining_a2,11,323.4,11.8995,9.07107,9,1,16,forward
w_bonepitmining_a2,12,571.8,26.3137,8.65685,23,6,16,forward
w_bonepitmining_a2,13,415.2,19.7279,8.65685,16,0,16,forward
w_bonepitmining_a2,14,764,25.0711,10.0711,23,4,16,forward
w_bonepitmining_a2,15,378.6,17.7279,9.41421,14,0,16,forward
w_bonepitmining_a2,16,178.6,9.65685,9.65685,8,0,16,forward
w_bonepitmining_a2,17,537.6,24.6569,10.6569,23,1,16,forward
w_bonepitmining_a2,18,357.4,14,10,14,0,16,forward
w_bonepitmining_a2,19,294.6,11.4853,10.4853,9,0,16,forward
w_bonepitmining_a2,20,255.2,16.3137,14.8995,13,0,16,forward
w_bonepitmining_a2,21,559.2,19.8284,12.8995,19,0,16,forward
w_bonepitmining_a2,22,777.2,29.5563,15.4142,25,13,16,forward
w_bonepitmining_a2,23,397.8,17.7279,15.7279,14,0,16,forward
w_bonepitmining_a2,24,392,24.3137,12.4142,21,0,16,forward
w_bonepitmining_a2,25,381.8,21.4853,14.6569,19,0,16,forward
w_bonepitmining_a2,26,815.4,24.0711,12.0711,22,9,16,forward
w_bonepitmining_a2,27,411,22.0711,15.7279,20,1,16,forward
w_bonepitmining_a2,28,888.2,30.5563,13.4853,26,4,16,forward
w_bonepitmining_a2,29,848.6,27.3848,15.6569,22,13,16,forward
w_bonepitmining_a2,30,877.4,35.2132,17.2426,29,14,16,forward
w_bonepitmining_a2,31,435.2,19.7279,16.6569,16,3,16,forward
w_bonepitmining_a2,32,1136.8,35.3137,18.8284,32,22,16,forward
w_bonepitmining_a2,33,567.2,31.0711,19.5563,29,0,16,forward
w_bonepitmining_a2,34,541,34.8701,16.7279,27,0,16,forward
w_bonepitmining_a2,35,359.8,19.0711,17.0711,17,0,16,forward
w_bonepitmining_a2,36,1176.4,36.8284,16.8284,36,28,16,forward
w_bonepitmining_a2,37,649.8,42.5269,18.4853,33,0,16,forward
w_bonepitmining_a2,38,932.8,33.799,16.8284,28,15,16,forward
w_bonepitmining_a2,39,890.8,33.3137,18.4853,30,13,16,forward
w_bonepitmining_a2,40,959.6,41.799,22,36,15,16,forward
w_bonepitmining_a2,41,775.8,30.3137,22.3137,27,4,16,forward
w_bonepitmining_a2,42,834.2,44.8701,23.6569,37,6,16,forward
w_bonepitmining_a2,43,725.8,23.2426,23.2426,22,7,16,forward
w_bonepitmining_a2,44,481.8,27.9706,23.8284,23,2,16,forward
w_bonepitmining_a2,45,353.4,23.799,22.3848,18,0,16,forward
w_bonepitmining_a2,46,939.6,32.0711,20.2426,30,11,16,forward
w_bonepitmining_a2,47,1260.4,31.1421,23.7279,27,32,16,forward
w_bonepitmining_a2,48,321.6,20.5563,20.5563,16,0,16,forward
w_bonepitmining_a2,49,1455.2,51.1127,23.6569,42,25,16,forward
w_bonepitmining_a2,50,830.2,39.0416,24.3137,32,18,16,forward
w_bonepitmining_a2,51,635.8,29.1421,27.9706,25,4,16,forward
w_bonepitmining_a2,52,767.4,25.8995,25.8995,23,17,16,forward
w_bonepitmining_a2,53,1061.8,38.4558,27.9706,31,25,16,forward
w_bonepitmining_a2,54,364.6,25.2132,25.2132,19,0,16,forward
w_bonepitmining_a2,55,581,28.2426,24.2426,27,1,16,forward
w_bonepitmining_a2,56,923.2,35.6569,27.0711,34,13,16,forward
w_bonepitmining_a2,57,580.8,31.8701,26.0711,24,3,16,forward
w_bonepitmining_a2,58,641.4,36.2843,27.4558,28,0,16,forward
