map,scenid,tcost,distance,expect,steps,access,r,itype
w_bonepitmining_a2,0,660.4,12.2426,7.82843,11,2,32,backward
w_bonepitmining_a2,1,1394.2,33.0416,7.82843,26,8,32,backward
w_bonepitmining_a2,2,541.4,10.4142,7.24264,10,3,32,backward
w_bonepitmining_a2,3,623.2,14.0711,5.41421,12,2,32,backward
w_bonepitmining_a2,4,348.2,10.2426,5.24264,9,2,32,backward
w_bonepitmining_a2,5,773.2,22.6569,7.24264,21,5,32,backward
w_bonepitmining_a2,6,644,19.4853,6.65685,17,3,32,backward
w_bonepitmining_a2,7,393.8,6,4.82843,6,3,32,backward
w_bonepitmining_a2,8,348.6,7.41421,6,7,2,32,backward
w_bonepitmining_a2,9,624.8,15.3137,6.82843,12,5,32,backward
w_bonepitmining_a2,10,1150.2,42.5563,8.82843,38,4,32,backward
w_bonepitmining_a2,11,603.8,11.8995,9.07107,9,6,32,backward
w_bonepitmining_a2,12,632.8,25.4853,8.65685,23,2,32,backward
w_bonepitmining_a2,13,789,21.3137,8.65685,18,6,32,backward
w_bonepitmining_a2,14,1625.2,69.4853,10.0711,67,4,32,backward
w_bonepitmining_a2,15,1025.6,31.0711,9.41421,29,3,32,backward
w_bonepitmining_a2,16,408.8,15.3137,9.65685,12,3,32,backward
w_bonepitmining_a2,17,969.8,45.5269,10.6569,36,7,32,backward
w_bonepitmining_a2,18,962.6,45.3553,10,35,5,32,backward
w_bonepitmining_a2,19,419.4,11.4853,10.4853,9,3,32,backward
w_bonepitmining_a2,20,372.2,16.3137,14.8995,13,3,32,backward
w_bonepitmining_a2,21,618.6,24.0711,12.8995,22,2,32,backward
w_bonepitmining_a2,22,894.6,29.5563,15.4142,25,9,32,backward
w_bonepitmining_a2,23,1304.6,32.2132,15.7279,26,9,32,backward
w_bonepitmining_a2,24,748.2,24.3137,12.4142,21,8,32,backward
w_bonepitmining_a2,25,1134.8,41.4558,14.6569,34,6,32,backward
w_bonepitmining_a2,26,1556,42.1421,12.0711,38,9,32,backward
w_bonepitmining_a2,27,1084,49.2843,15.7279,41,13,32,backward
w_bonepitmining_a2,28,714.8,21.3137,13.4853,18,2,32,backward
w_bonepitmining_a2,29,728,27.8995,15.6569,25,4,32,backward
w_bonepitmining_a2,30,1129.8,53.2843,17.2426,45,6,32,backward
w_bonepitmining_a2,31,390.4,19.7279,16.6569,16,2,32,backward
w_bonepitmining_a2,32,933.2,37.6274,18.8284,31,6,32,backward
w_bonepitmining_a2,33,843.8,35.3137,19.5563,32,2,32,backward
w_bonepitmining_a2,34,952,38.8701,16.7279,31,12,32,backward
w_bonepitmining_a2,35,774.6,40.2132,17.0711,34,2,32,backward
w_bonepitmining_a2,36,837.6,41.8284,16.8284,41,7,32,backward
w_bonepitmining_a2,37,900.6,42.5269,18.4853,33,4,32,backward
w_bonepitmining_a2,38,483.6,19.3137,16.8284,16,3,32,backward
w_bonepitmining_a2,39,953.2,33.3137,18.4853,30,9,32,backward
w_bonepitmining_a2,40,1414.4,66.6274,22,60,7,32,backward
w_bonepitmining_a2,41,878,30.3137,22.3137,27,4,32,backward
w_bonepitmining_a2,42,1335.4,56.9411,23.6569,47,4,32,backward
w_bonepitmining_a2,43,767,23.2426,23.2426,22,4,32,backward
w_bonepitmining_a2,44,624,31.6274,23.8284,25,2,32,backward
w_bonepitmining_a2,45,630.4,36.0416,22.3848,29,3,32,backward
w_bonepitmining_a2,46,842.4,31.0711,20.2426,29,4,32,backward
w_bonepitmining_a2,47,1418.6,52.2843,23.7279,44,14,32,backward
w_bonepitmining_a2,48,541,20.5563,20.5563,16,4,32,backward
w_bonepitmining_a2,49,1241.2,57.598,23.6569,46,8,32,backward
w_bonepitmining_a2,50,686.4,37.6274,24.3137,31,7,32,backward
w_bonepitmining_a2,51,921.2,40.0711,27.9706,38,2,32,backward
w_bonepitmining_a2,52,1494.6,68.0833,25.8995,54,11,32,backward
w_bonepitmining_a2,53,755.8,41.9706,27.9706,37,5,32,backward
w_bonepitmining_a2,54,1473.2,76.0416,25.2132,69,6,32,backward
w_bonepitmining_a2,55,963.2,44.2426,24.2426,43,2,32,backward
w_bonepitmining_a2,56,933.2,37.0711,27.0711,35,2,32,backward
w_bonepitmining_a2,57,673,30.3137,26.0711,27,3,32,backward
w_bonepitmining_a2,58,1693.6,67.3553,27.4558,57,10,32,backward
w_bonepitmining_a2,59,907.6,51.3848,26.799,46,3,32,backward
w_bonepitmining_a2,60,829.8,40.6274,30.4853,34,5,32,backward
w_bonepitmining_a2,61,1038.6,47.799,28.3848,42,6,32,backward
w_bonepitmining_a2,62,740.2,42.5269,29.8995,33,2,32,backward
w_bonepitmining_a2,63,1423.2,55.6985,29.799,47,22,32,backward
w_bonepitmining_a2,64,1603,72.598,30.2132,61,15,32,backward
w_bonepitmining_a2,65,1181.8,47.3848,30.0711,42,7,32,backward
w_bonepitmining_a2,66,954.4,43.5269,31.3848,34,5,32,backward
w_bonepitmining_a2,67,1546.4,68.3848,30.9706,63,7,32,backward
w_bonepitmining_a2,68,1008.6,41.5563,29.7279,37,10,32,backward
w_bonepitmining_a2,69,1218.2,66.6985,30.6985,58,3,32,backward
w_bonepitmining_a2,70,1243.2,42.6985,34.6569,34,8,32,backward
w_bonepitmining_a2,71,1231.4,52.6985,32.1127,44,11,32,backward
w_bonepitmining_a2,72,1418,68.9411,32.6985,59,8,32,backward
w_bonepitmining_a2,73,1268,54.6274,32.0711,48,15,32,backward
w_bonepitmining_a2,74,1420.8,71.4975,35.799,57,10,32,backward
w_bonepitmining_a2,75,657.2,33.0711,33.0711,31,2,32,backward
