map,scenid,tcost,distance,expect,steps,access,r,itype
w_encounter1,0,354.2,5,5,5,1,0,backward
w_encounter1,1,220.2,5.41421,5.41421,5,1,0,backward
w_encounter1,2,215.2,5.82843,5.82843,5,1,0,backward
w_encounter1,3,292,4.41421,4.41421,4,2,0,backward
w_encounter1,4,313.4,5.65685,5.65685,4,2,0,backward
w_encounter1,5,232,7.24264,7.24264,6,1,0,backward
w_encounter1,6,257,7.41421,7.41421,7,1,0,backward
w_encounter1,7,253.2,4.82843,4.82843,4,1,0,backward
w_encounter1,8,172,5.24264,5.24264,4,1,0,backward
w_encounter1,9,311.8,7.82843,7.82843,7,2,0,backward
w_encounter1,10,271.8,9.89949,9.89949,7,1,0,backward
w_encounter1,11,327,11.4142,11.4142,11,1,0,backward
w_encounter1,12,368.8,10.8995,10.8995,8,2,0,backward
w_encounter1,13,303,9.65685,9.65685,8,2,0,backward
w_encounter1,14,240,8.41421,8.41421,8,1,0,backward
w_encounter1,15,375.6,10.6569,10.6569,9,2,0,backward
w_encounter1,16,471.8,9.65685,9.65685,8,2,0,backward
w_encounter1,17,449.2,11.8284,11.8284,11,4,0,backward
w_encounter1,18,370.8,10.8284,10.8284,10,3,0,backward
w_encounter1,19,355.2,10.2426,10.2426,9,2,0,backward
w_encounter1,20,476,14.8284,14.8284,14,4,0,backward
w_encounter1,21,328.8,15.7279,15.7279,12,1,0,backward
w_encounter1,22,290.4,12.8995,12.8995,10,1,0,backward
w_encounter1,23,348.8,13.8284,13.8284,13,1,0,backward
w_encounter1,24,274.4,12.7279,12.7279,9,1,0,backward
w_encounter1,25,398,13.8284,13.8284,13,3,0,backward
w_encounter1,26,328.8,12.8284,12.8284,12,1,0,backward
w_encounter1,27,370.8,13.4142,13.4142,13,1,0,backward
w_encounter1,28,285.4,12.8995,12.8995,10,1,0,backward
w_encounter1,29,434.8,15.4142,15.4142,15,4,0,backward
w_encounter1,30,389.2,17.0711,17.0711,15,2,0,backward
w_encounter1,31,357.8,16.2426,16.2426,15,2,0,backward
w_encounter1,32,381.2,17.4853,17.4853,15,2,0,backward
w_encounter1,33,422.8,18.2426,18.2426,17,1,0,backward
w_encounter1,34,399.8,16.6569,16.6569,15,1,0,backward
w_encounter1,35,341.8,18.1421,18.1421,14,1,0,backward
w_encounter1,36,483.4,18.2426,18.2426,17,1,0,backward
w_encounter1,37,389.2,16.2426,16.2426,15,2,0,backward
w_encounter1,38,358.8,16.3137,16.3137,13,2,0,backward
w_encounter1,39,525.6,19.5563,19.5563,15,8,0,backward
w_encounter1,40,518.8,21.8284,21.8284,21,3,0,backward
w_encounter1,41,477.4,20.7279,20.7279,17,4,0,backward
w_encounter1,42,408.6,22.5563,22.5563,18,1,0,backward
w_encounter1,43,508.6,20.3848,20.3848,15,5,0,backward
w_encounter1,44,451.4,22.4142,22.4142,22,2,0,backward
w_encounter1,45,434.6,20.5563,20.5563,16,2,0,backward
w_encounter1,46,436,21.6569,21.6569,20,2,0,backward
w_encounter1,47,454.8,21.1421,21.1421,17,2,0,backward
w_encounter1,48,470.8,23.6274,23.6274,17,3,0,backward
w_encounter1,49,569.4,22.4853,22.4853,20,5,0,backward
w_encounter1,50,479.8,25.6274,25.6274,19,3,0,backward
w_encounter1,51,485.8,26.7279,26.7279,23,3,0,backward
w_encounter1,52,520.6,24.2426,24.2426,23,4,0,backward
w_encounter1,53,516.4,25.3848,25.3848,20,4,0,backward
w_encounter1,54,535.8,27.799,27.799,22,2,0,backward
w_encounter1,55,386.4,27.4853,27.4853,25,3,0,backward
w_encounter1,56,588.4,25.8284,25.8284,25,3,0,backward
w_encounter1,57,591.6,24.9706,24.9706,20,5,0,backward
w_encounter1,58,393.4,24.0711,24.0711,22,2,0,backward
w_encounter1,59,461.4,24.4142,24.4142,24,2,0,backward
w_encounter1,60,711.8,28.1421,28.1421,24,5,0,backward
w_encounter1,61,488.4,28.0416,28.0416,21,1,0,backward
w_encounter1,62,664.4,31.9706,31.9706,27,4,0,backward
w_encounter1,63,731.4,31.2426,31.2426,30,4,0,backward
w_encounter1,64,581,28.6569,28.6569,27,4,0,backward
w_encounter1,65,912.6,31.799,31.799,26,12,0,backward
w_encounter1,66,501.6,28.6569,28.6569,27,4,0,backward
w_encounter1,67,535.2,31.9706,31.9706,27,3,0,backward
w_encounter1,68,572.8,28.0416,28.0416,21,3,0,backward
w_encounter1,69,455.4,29.799,29.799,24,2,0,backward
w_encounter1,70,738.8,35.3848,35.3848,30,5,0,backward
w_encounter1,71,700.2,35.4558,35.4558,28,6,0,backward
w_encounter1,72,929,34.8995,34.8995,32,8,0,backward
w_encounter1,73,546.8,32.4853,32.4853,30,7,0,backward
w_encounter1,74,679.8,32.2426,32.2426,31,2,0,backward
w_encounter1,75,657.6,33.799,33.799,28,3,0,backward
w_encounter1,76,771.4,35.8995,35.8995,33,3,0,backward
w_encounter1,77,831.8,33.4558,33.4558,26,13,0,backward
w_encounter1,78,668.4,35.9706,35.9706,31,6,0,backward
w_encounter1,79,640,33.4853,33.4853,31,2,0,backward
w_encounter1,80,686.6,37.7279,37.7279,34,4,0,backward
w_encounter1,81,573.2,37.0711,37.0711,35,3,0,backward
w_encounter1,82,646.4,37.799,37.799,32,5,0,backward
w_encounter1,83,699.4,39.799,39.799,34,5,0,backward
w_encounter1,84,714,39.2132,39.2132,33,2,0,backward
w_encounter1,85,724.6,39.0416,39.0416,32,3,0,backward
w_encounter1,86,732.8,36.3848,36.3848,31,9,0,backward
w_encounter1,87,719.2,38.2426,38.2426,37,4,0,backward
w_encounter1,88,753.4,37.9411,37.9411,28,5,0,backward
w_encounter1,89,786.6,37.6274,37.6274,31,7,0,backward
w_encounter1,90,507,43.1127,43.1127,34,3,0,backward
w_encounter1,91,651.2,43.6274,43.6274,37,2,0,backward
w_encounter1,92,782.2,41.8701,41.8701,34,8,0,backward
w_encounter1,93,964,43.7279,43.7279,40,12,0,backward
w_encounter1,94,807.6,41.2132,41.2132,35,5,0,backward
w_encounter1,95,759.4,43.7696,43.7696,33,5,0,backward
w_encounter1,96,785.6,43.9411,43.9411,34,4,0,backward
w_encounter1,97,742.6,43.799,43.799,38,5,0,backward
w_encounter1,98,599.2,40.1127,40.1127,31,7,0,backward
w_encounter1,99,664.4,40.2132,40.2132,34,6,0,backward
w_encounter1,100,800.2,46.7696,46.7696,36,10,0,backward
w_encounter1,101,1269.4,47.7279,47.7279,44,20,0,backward
w_encounter1,102,724.6,44.4264,44.4264,32,4,0,backward
w_encounter1,103,626.6,45.799,45.799,40,6,0,backward
w_encounter1,104,687.6,44.6569,44.6569,43,10,0,backward
w_encounter1,105,487.2,47.0416,47.0416,40,3,0,backward
w_encounter1,106,839.4,44.2132,44.2132,38,3,0,backward
w_encounter1,107,902.8,46.3137,46.3137,43,5,0,backward
w_encounter1,108,874.2,45.7696,45.7696,35,5,0,backward
w_encounter1,109,763.8,44.799,44.799,39,6,0,backward
w_encounter1,110,696.8,51.0122,51.0122,39,8,0,backward
w_encounter1,111,947.8,50.8284,50.8284,50,1,0,backward
w_encounter1,112,845,48.0416,48.0416,41,4,0,backward
w_encounter1,113,748,49.799,49.799,44,5,0,backward
w_encounter1,114,985.4,50.0833,50.0833,36,11,0,backward
w_encounter1,115,759.8,49.8701,49.8701,42,3,0,backward
w_encounter1,116,733.8,50.7696,50.7696,40,3,0,backward
w_encounter1,117,856.6,48.3848,48.3848,43,9,0,backward
w_encounter1,118,807.4,51.3848,51.3848,46,5,0,backward
w_encounter1,119,891.6,48.0416,48.0416,41,12,0,backward
w_encounter1,120,882.8,52.2843,52.2843,44,7,0,backward
w_encounter1,121,748.8,52.5563,52.5563,48,4,0,backward
w_encounter1,122,1060.2,53.598,53.598,42,9,0,backward
w_encounter1,123,839,53.8995,53.8995,51,4,0,backward
w_encounter1,124,690.4,55.799,55.799,50,5,0,backward
w_encounter1,125,812.8,54.7696,54.7696,44,8,0,backward
w_encounter1,126,1220.2,52.0122,52.0122,40,15,0,backward
w_encounter1,127,851.2,52.2548,52.2548,39,11,0,backward
w_encounter1,128,1091.8,55.5269,55.5269,46,15,0,backward
w_encounter1,129,785,55.0416,55.0416,48,9,0,backward
w_encounter1,130,1098.2,57.4975,57.4975,43,9,0,backward
w_encounter1,131,1082.4,56.669,56.669,43,9,0,backward
w_encounter1,132,826.2,57.7696,57.7696,47,10,0,backward
w_encounter1,133,1178.4,57.9706,57.9706,53,16,0,backward
w_encounter1,134,896.8,59.1838,59.1838,48,12,0,backward
w_encounter1,135,766.6,59.598,59.598,48,6,0,backward
w_encounter1,136,1035.4,59.7279,59.7279,56,2,0,backward
w_encounter1,137,835.4,58.8701,58.8701,51,12,0,backward
w_encounter1,138,1004.4,59.8701,59.8701,52,4,0,backward
w_encounter1,139,966,57.799,57.799,52,2,0,backward
w_encounter1,140,1072.2,63.9411,63.9411,54,12,0,backward
w_encounter1,141,1306.2,61.5269,61.5269,52,10,0,backward
w_encounter1,142,940.2,63.4558,63.4558,56,14,0,backward
w_encounter1,143,1170.4,62.7696,62.7696,52,9,0,backward
w_encounter1,144,989.4,61.9411,61.9411,52,8,0,backward
w_encounter1,145,892.8,63.9411,63.9411,54,7,0,backward
w_encounter1,146,1260.4,62.0416,62.0416,55,18,0,backward
w_encounter1,147,857.2,63.2843,63.2843,55,3,0,backward
w_encounter1,148,1097.4,60.9411,60.9411,51,16,0,backward
w_encounter1,149,1037.2,60.2843,60.2843,52,8,0,backward
w_encounter1,150,976.4,66.598,66.598,55,10,0,backward
