map,scenid,tcost,distance,expect,steps,access,r,itype
w_encounter1,0,210.6,5,5,5,0,0,forward
w_encounter1,1,124.4,5.41421,5.41421,5,0,0,forward
w_encounter1,2,137.2,5.82843,5.82843,5,0,0,forward
w_encounter1,3,99.6,4.41421,4.41421,4,0,0,forward
w_encounter1,4,106.6,5.65685,5.65685,4,0,0,forward
w_encounter1,5,140.2,7.24264,7.24264,6,0,0,forward
w_encounter1,6,167,7.41421,7.41421,7,0,0,forward
w_encounter1,7,109.8,4.82843,4.82843,4,0,0,forward
w_encounter1,8,107.8,5.24264,5.24264,4,0,0,forward
w_encounter1,9,294.4,7.82843,7.82843,7,1,0,forward
w_encounter1,10,165.2,9.89949,9.89949,7,0,0,forward
w_encounter1,11,237.4,11.4142,11.4142,11,0,0,forward
w_encounter1,12,203,10.8995,10.8995,8,0,0,forward
w_encounter1,13,187.2,9.65685,9.65685,8,0,0,forward
w_encounter1,14,130.4,8.41421,8.41421,8,0,0,forward
w_encounter1,15,256,10.6569,10.6569,9,1,0,forward
w_encounter1,16,334.8,9.65685,9.65685,8,3,0,forward
w_encounter1,17,204.4,11.8284,11.8284,11,0,0,forward
w_encounter1,18,386.6,10.8284,10.8284,10,6,0,forward
w_encounter1,19,169.4,10.2426,10.2426,9,0,0,forward
w_encounter1,20,472,14.8284,14.8284,14,9,0,forward
w_encounter1,21,214.2,15.7279,15.7279,12,0,0,forward
w_encounter1,22,427,12.8995,12.8995,10,6,0,forward
w_encounter1,23,440.2,13.8284,13.8284,13,11,0,forward
w_encounter1,24,173,12.7279,12.7279,9,0,0,forward
w_encounter1,25,457,13.8284,13.8284,13,7,0,forward
w_encounter1,26,255.6,12.8284,12.8284,12,1,0,forward
w_encounter1,27,221.2,13.4142,13.4142,13,0,0,forward
w_encounter1,28,195,12.8995,12.8995,10,0,0,forward
w_encounter1,29,237.8,15.4142,15.4142,15,0,0,forward
w_encounter1,30,484.2,17.0711,17.0711,15,10,0,forward
w_encounter1,31,235.6,16.2426,16.2426,15,0,0,forward
w_encounter1,32,457.4,17.4853,17.4853,15,8,0,forward
w_encounter1,33,331.6,18.2426,18.2426,17,1,0,forward
w_encounter1,34,657.6,16.6569,16.6569,15,10,0,forward
w_encounter1,35,398.2,18.1421,18.1421,14,5,0,forward
w_encounter1,36,336,18.2426,18.2426,17,0,0,forward
w_encounter1,37,493,16.2426,16.2426,15,8,0,forward
w_encounter1,38,215,16.3137,16.3137,13,0,0,forward
w_encounter1,39,356.4,19.5563,19.5563,15,2,0,forward
w_encounter1,40,304.8,21.8284,21.8284,21,0,0,forward
w_encounter1,41,246.4,20.7279,20.7279,17,0,0,forward
w_encounter1,42,485.4,22.5563,22.5563,18,11,0,forward
w_encounter1,43,398.6,20.3848,20.3848,15,3,0,forward
w_encounter1,44,335.4,22.4142,22.4142,22,0,0,forward
w_encounter1,45,287.6,20.5563,20.5563,16,0,0,forward
w_encounter1,46,839,21.6569,21.6569,20,16,0,forward
w_encounter1,47,367.8,21.1421,21.1421,17,3,0,forward
w_encounter1,48,246.4,23.6274,23.6274,17,0,0,forward
w_encounter1,49,312.2,22.4853,22.4853,20,0,0,forward
w_encounter1,50,573,25.6274,25.6274,19,9,0,forward
w_encounter1,51,437.2,26.7279,26.7279,23,3,0,forward
w_encounter1,52,353.4,24.2426,24.2426,23,0,0,forward
w_encounter1,53,415.2,25.3848,25.3848,20,4,0,forward
w_encounter1,54,620.2,27.799,27.799,22,5,0,forward
w_encounter1,55,617.6,27.4853,27.4853,25,9,0,forward
w_encounter1,56,348.8,25.8284,25.8284,25,0,0,forward
w_encounter1,57,401,24.9706,24.9706,20,3,0,forward
w_encounter1,58,295.2,24.0711,24.0711,22,0,0,forward
w_encounter1,59,514.2,24.4142,24.4142,24,6,0,forward
w_encounter1,60,787.6,28.1421,28.1421,24,16,0,forward
w_encounter1,61,436.4,28.0416,28.0416,21,2,0,forward
w_encounter1,62,757.4,31.9706,31.9706,27,18,0,forward
w_encounter1,63,803.6,31.2426,31.2426,30,19,0,forward
w_encounter1,64,498.2,28.6569,28.6569,27,5,0,forward
w_encounter1,65,843,31.799,31.799,26,11,0,forward
w_encounter1,66,841.6,28.6569,28.6569,27,19,0,forward
w_encounter1,67,1081.2,31.9706,31.9706,27,17,0,forward
w_encounter1,68,349.2,28.0416,28.0416,21,0,0,forward
w_encounter1,69,723.8,29.799,29.799,24,19,0,forward
w_encounter1,70,927,35.3848,35.3848,30,24,0,forward
w_encounter1,71,667.4,35.4558,35.4558,28,24,0,forward
w_encounter1,72,1002.8,34.8995,34.8995,32,21,0,forward
w_encounter1,73,951.2,32.4853,32.4853,30,17,0,forward
w_encounter1,74,664.2,32.2426,32.2426,31,17,0,forward
w_encounter1,75,842,33.799,33.799,28,13,0,forward
w_encounter1,76,1108.4,35.8995,35.8995,33,25,0,forward
w_encounter1,77,722.4,33.4558,33.4558,26,15,0,forward
w_encounter1,78,730.6,35.9706,35.9706,31,15,0,forward
w_encounter1,79,816.8,33.4853,33.4853,31,22,0,forward
w_encounter1,80,974.4,37.7279,37.7279,34,25,0,forward
w_encounter1,81,1132.6,37.0711,37.0711,35,31,0,forward
w_encounter1,82,935,37.799,37.799,32,14,0,forward
w_encounter1,83,971,39.799,39.799,34,24,0,forward
w_encounter1,84,666.6,39.2132,39.2132,33,11,0,forward
w_encounter1,85,747.8,39.0416,39.0416,32,7,0,forward
w_encounter1,86,537.4,36.3848,36.3848,31,3,0,forward
w_encounter1,87,923.4,38.2426,38.2426,37,27,0,forward
w_encounter1,88,874.4,37.9411,37.9411,28,13,0,forward
w_encounter1,89,1018.6,37.6274,37.6274,31,24,0,forward
w_encounter1,90,1081.8,43.1127,43.1127,34,21,0,forward
w_encounter1,91,897.2,43.6274,43.6274,37,14,0,forward
w_encounter1,92,1171.2,41.8701,41.8701,34,27,0,forward
w_encounter1,93,1236.6,43.7279,43.7279,40,31,0,forward
w_encounter1,94,774.4,41.2132,41.2132,35,19,0,forward
w_encounter1,95,879.8,43.7696,43.7696,33,15,0,forward
w_encounter1,96,1005,43.9411,43.9411,34,19,0,forward
w_encounter1,97,914.2,43.799,43.799,38,17,0,forward
w_encounter1,98,798,40.1127,40.1127,31,24,0,forward
w_encounter1,99,763.2,40.2132,40.2132,34,24,0,forward
w_encounter1,100,862,46.7696,46.7696,36,21,0,forward
w_encounter1,101,1342,47.7279,47.7279,44,30,0,forward
w_encounter1,102,818.6,44.4264,44.4264,32,15,0,forward
w_encounter1,103,1362.2,45.799,45.799,40,30,0,forward
w_encounter1,104,1128.2,44.6569,44.6569,43,23,0,forward
w_encounter1,105,1166,47.0416,47.0416,40,27,0,forward
w_encounter1,106,825.8,44.2132,44.2132,38,9,0,forward
w_encounter1,107,1349.4,46.3137,46.3137,43,37,0,forward
w_encounter1,108,798.6,45.7696,45.7696,35,6,0,forward
w_encounter1,109,833.4,44.799,44.799,39,18,0,forward
w_encounter1,110,1153.8,51.0122,51.0122,39,23,0,forward
w_encounter1,111,735.2,50.8284,50.8284,50,2,0,forward
