map,scenid,tcost,distance,expect,steps,access,r,itype
w_encounter2,0,337.6,5.41421,4.82843,5,0,2,forward
w_encounter2,1,249.6,6.65685,5.24264,5,0,2,forward
w_encounter2,2,283,10.4853,7.65685,8,0,2,forward
w_encounter2,3,191.8,5.41421,4,5,0,2,forward
w_encounter2,4,158.4,4,4,4,0,2,forward
w_encounter2,5,251.2,6.65685,6.65685,5,0,2,forward
w_encounter2,6,231,7.82843,5,7,0,2,forward
w_encounter2,7,168.4,5,5,5,0,2,forward
w_encounter2,8,175,6.24264,6.24264,5,0,2,forward
w_encounter2,9,668.2,7.82843,7.24264,7,4,2,forward
w_encounter2,10,345.2,10.4142,9.82843,10,0,2,forward
w_encounter2,11,347.8,10.4853,9.89949,8,0,2,forward
w_encounter2,12,411.4,11.4142,10.4142,11,0,2,forward
w_encounter2,13,365.6,12.8995,11.4853,10,0,2,forward
w_encounter2,14,320.2,10.8284,8,10,0,2,forward
w_encounter2,15,276.6,9.48528,9.48528,7,0,2,forward
w_encounter2,16,315.6,10.4853,9.07107,8,0,2,forward
w_encounter2,17,281.6,11.2426,9.24264,10,0,2,forward
w_encounter2,18,338.8,10.0711,9.24264,8,0,2,forward
w_encounter2,19,366.8,11.8995,10.4853,9,0,2,forward
w_encounter2,20,416.6,13.6569,13.0711,12,0,2,forward
w_encounter2,21,541.8,15.1421,13.7279,11,1,2,forward
w_encounter2,22,653.2,16.0711,15.0711,14,4,2,forward
w_encounter2,23,429.4,15.8284,15.8284,15,0,2,forward
w_encounter2,24,434,14.8995,14.0711,12,0,2,forward
w_encounter2,25,396,14.8995,13.8995,12,0,2,forward
w_encounter2,26,410.4,17.2426,15.8284,16,0,2,forward
w_encounter2,27,281.4,14.4142,14.4142,14,0,2,forward
w_encounter2,28,333.6,15.6569,14.8284,14,0,2,forward
w_encounter2,29,372.2,15.2426,13.8284,14,0,2,forward
w_encounter2,30,352.2,21.2426,19.2426,20,0,2,forward
w_encounter2,31,385.4,20.1421,17.3137,16,0,2,forward
w_encounter2,32,603.6,19.0711,19.0711,17,1,2,forward
w_encounter2,33,370.6,18.0711,17.4853,16,0,2,forward
w_encounter2,34,477.2,19.3848,17.9706,14,0,2,forward
w_encounter2,35,475.4,18.4853,18.4853,16,0,2,forward
w_encounter2,36,531,18.8284,17.8284,18,0,2,forward
w_encounter2,37,400.2,18.5563,17.1421,14,0,2,forward
w_encounter2,38,548.6,17.7279,17.7279,14,0,2,forward
w_encounter2,39,928.8,19.0711,19.0711,17,13,2,forward
w_encounter2,40,627.4,21,21,21,0,2,forward
w_encounter2,41,818.6,23.8995,23.8995,21,5,2,forward
w_encounter2,42,541,24.799,21.9706,19,0,2,forward
w_encounter2,43,594.6,21.3137,20.4853,18,0,2,forward
w_encounter2,44,485,23.799,22.3848,18,0,2,forward
w_encounter2,45,566,21.799,20.9706,16,0,2,forward
w_encounter2,46,425.6,21.3848,21.3848,16,0,2,forward
w_encounter2,47,411.8,24.4853,23.8995,22,0,2,forward
w_encounter2,48,439.8,22.8995,21.4853,20,0,2,forward
