map,scenid,tcost,distance,expect,steps,access,r,itype
w_encounter2,0,715.2,7.41421,4.82843,7,2,4,backward
w_encounter2,1,592.6,10.6569,5.24264,9,2,4,backward
w_encounter2,2,375.6,7.65685,7.65685,6,1,4,backward
w_encounter2,3,372,5.41421,4,5,2,4,backward
w_encounter2,4,395.2,5.65685,4,4,2,4,backward
w_encounter2,5,521.8,10.8995,6.65685,8,2,4,backward
w_encounter2,6,435.2,7.82843,5,7,2,4,backward
w_encounter2,7,2955.2,5,5,5,2,4,backward
w_encounter2,8,431.4,6.24264,6.24264,5,2,4,backward
w_encounter2,9,684,11.2426,7.24264,10,3,4,backward
w_encounter2,10,600.4,12.4142,9.82843,12,2,4,backward
w_encounter2,11,599.8,12.8995,9.89949,10,2,4,backward
w_encounter2,12,608.2,12.4142,10.4142,12,2,4,backward
w_encounter2,13,686.8,18.5563,11.4853,14,4,4,backward
w_encounter2,14,575.4,11.4142,8,11,2,4,backward
w_encounter2,15,433.6,10.0711,9.48528,8,3,4,backward
w_encounter2,16,474.6,13.8995,9.07107,11,2,4,backward
w_encounter2,17,510.2,12.4142,9.24264,12,2,4,backward
w_encounter2,18,516.2,10.0711,9.24264,8,2,4,backward
w_encounter2,19,548.4,11.8995,10.4853,9,2,4,backward
w_encounter2,20,807,16.0711,13.0711,14,4,4,backward
w_encounter2,21,695.6,18.1421,13.7279,14,2,4,backward
w_encounter2,22,758.8,17.0711,15.0711,15,2,4,backward
w_encounter2,23,672,16.4142,15.8284,16,2,4,backward
w_encounter2,24,563.2,14.0711,14.0711,12,1,4,backward
w_encounter2,25,678.2,19.1421,13.8995,15,2,4,backward
w_encounter2,26,561.6,18.8995,15.8284,16,2,4,backward
w_encounter2,27,527.6,14.4142,14.4142,14,2,4,backward
w_encounter2,28,591.6,18.4853,14.8284,16,2,4,backward
w_encounter2,29,681.2,15.2426,13.8284,14,4,4,backward
w_encounter2,30,646.4,24.2426,19.2426,23,2,4,backward
w_encounter2,31,575.6,18.7279,17.3137,15,2,4,backward
w_encounter2,32,791.2,23.0711,19.0711,21,2,4,backward
w_encounter2,33,568.4,18.0711,17.4853,16,2,4,backward
w_encounter2,34,865.6,25.0416,17.9706,18,3,4,backward
w_encounter2,35,711.2,18.4853,18.4853,16,2,4,backward
w_encounter2,36,786.2,22.0711,17.8284,20,2,4,backward
w_encounter2,37,548,19.5563,17.1421,15,2,4,backward
w_encounter2,38,709.4,17.7279,17.7279,14,2,4,backward
w_encounter2,39,796.4,23.0711,19.0711,21,3,4,backward
w_encounter2,40,969.6,26.6569,21,25,8,4,backward
w_encounter2,41,841.8,27.8995,23.8995,25,2,4,backward
w_encounter2,42,679.6,26.3848,21.9706,21,3,4,backward
w_encounter2,43,845,21.3137,20.4853,18,2,4,backward
w_encounter2,44,787,26.6274,22.3848,20,4,4,backward
w_encounter2,45,733.6,20.9706,20.9706,16,3,4,backward
w_encounter2,46,768,21.3848,21.3848,16,5,4,backward
w_encounter2,47,729.2,24.4853,23.8995,22,4,4,backward
w_encounter2,48,661.4,28.5563,21.4853,24,2,4,backward
w_encounter2,49,737.6,21.7279,21.7279,18,4,4,backward
w_encounter2,50,983.6,27.4853,25.2426,25,2,4,backward
w_encounter2,51,783.6,24.7279,24.7279,21,4,4,backward
w_encounter2,52,632.8,26.4558,26.4558,19,3,4,backward
w_encounter2,53,1056.8,31.4142,26.4142,31,8,4,backward
w_encounter2,54,1088.6,28.5563,27.5563,24,9,4,backward
w_encounter2,55,989,32.4853,27.4853,30,3,4,backward
w_encounter2,56,770,25.8995,25.8995,23,2,4,backward
w_encounter2,57,747,28.2132,26.799,22,4,4,backward
w_encounter2,58,928.4,30.4853,25.2426,28,6,4,backward
w_encounter2,59,942.4,25.3137,24.4853,22,3,4,backward
w_encounter2,60,889.4,33.2843,30.2132,25,4,4,backward
w_encounter2,61,808.6,29.1421,28.5563,25,2,4,backward
w_encounter2,62,972.2,36.6569,30.6569,35,2,4,backward
w_encounter2,63,809.8,30.3848,29.5563,25,2,4,backward
w_encounter2,64,904.2,34.4853,28.8284,32,5,4,backward
w_encounter2,65,866.4,29.2132,28.6274,23,5,4,backward
w_encounter2,66,730.8,33.8284,30.4142,33,2,4,backward
w_encounter2,67,790.4,30.0416,28.2843,23,5,4,backward
w_encounter2,68,767.8,28.3137,28.3137,25,6,4,backward
w_encounter2,69,937.8,31.2843,29.2843,23,5,4,backward
w_encounter2,70,930.4,35.1421,35.1421,31,4,4,backward
w_encounter2,71,992.2,34.5269,34.5269,25,3,4,backward
w_encounter2,72,1009.8,34.2132,32.799,28,4,4,backward
w_encounter2,73,834.4,34.4558,32.4558,27,4,4,backward
w_encounter2,74,948.6,38.2132,33.6274,32,2,4,backward
w_encounter2,75,1090,36.4853,33.4853,34,5,4,backward
w_encounter2,76,1245.4,37.5269,33.2843,28,7,4,backward
w_encounter2,77,838.8,33.0416,32.0416,26,2,4,backward
w_encounter2,78,1067.8,34.6569,34.0711,33,2,4,backward
w_encounter2,79,980.2,36.8995,35.1421,34,3,4,backward
w_encounter2,80,1243,37.8995,36.4853,35,8,4,backward
w_encounter2,81,1215.8,42.1421,36.1421,38,4,4,backward
w_encounter2,82,1277.8,37.5269,37.5269,28,9,4,backward
w_encounter2,83,776.4,40.1838,37.3553,29,2,4,backward
w_encounter2,84,1093.6,39.5269,37.7696,30,10,4,backward
w_encounter2,85,1154.4,42.6985,37.6985,34,3,4,backward
w_encounter2,86,836.8,38.8995,38.8995,36,2,4,backward
w_encounter2,87,1060.8,41.8995,37.6569,39,4,4,backward
w_encounter2,88,1056,37.6569,36.4853,36,4,4,backward
w_encounter2,89,882.8,42.5563,38.5563,38,6,4,backward
w_encounter2,90,1132.8,43.799,40.3848,38,3,4,backward
w_encounter2,91,898.6,41.598,41.598,30,1,4,backward
w_encounter2,92,1078,46.2426,41.8284,45,2,4,backward
