map,scenid,tcost,distance,expect,steps,access,r,itype
w_encounter2_camp,0,631.4,12.8284,4.82843,12,0,16,forward
w_encounter2_camp,1,332.8,9.65685,7.65685,8,0,16,forward
w_encounter2_camp,2,813.6,22.9706,5,18,7,16,forward
w_encounter2_camp,3,382.6,11.4853,7.65685,9,0,16,forward
w_encounter2_camp,4,630.4,14.2426,7.07107,13,4,16,forward
w_encounter2_camp,5,623.8,30.2132,7.24264,24,0,16,forward
w_encounter2_camp,6,532.2,19.3137,6,16,0,16,forward
w_encounter2_camp,7,613.8,14.2426,7.24264,13,1,16,forward
w_encounter2_camp,8,256.2,9.07107,7.07107,7,0,16,forward
w_encounter2_camp,9,428.4,11.4142,4.41421,11,0,16,forward
w_encounter2_camp,10,684.8,16.2426,11.4142,15,7,16,forward
w_encounter2_camp,11,683.2,23.799,10.4853,18,1,16,forward
w_encounter2_camp,12,552.2,21.0711,10.2426,19,0,16,forward
w_encounter2_camp,13,748.6,39.3553,11.4853,29,0,16,forward
w_encounter2_camp,14,949.6,24.0711,9.07107,22,2,16,forward
w_encounter2_camp,15,270,16.0711,9,14,0,16,forward
w_encounter2_camp,16,409.2,16.1421,10.4853,12,0,16,forward
w_encounter2_camp,17,256.6,8.65685,8.65685,7,0,16,forward
w_encounter2_camp,18,319.4,12.8995,8.65685,10,0,16,forward
w_encounter2_camp,19,329.2,15.8995,9.24264,13,0,16,forward
w_encounter2_camp,20,343,14.3137,13.7279,11,0,16,forward
w_encounter2_camp,21,597.4,27.3848,14.6569,22,0,16,forward
w_encounter2_camp,22,402.2,15.4853,13.8284,13,0,16,forward
w_encounter2_camp,23,472.8,14.0711,14.0711,12,0,16,forward
w_encounter2_camp,24,1017.2,24.5563,14,20,9,16,forward
w_encounter2_camp,25,395,21.5563,15.4142,17,1,16,forward
w_encounter2_camp,26,687.4,34.8701,15.7279,27,0,16,forward
w_encounter2_camp,27,416.8,17.2426,14.4142,16,0,16,forward
w_encounter2_camp,28,707,21.1421,12.3137,17,1,16,forward
w_encounter2_camp,29,817.4,22.4853,13.4853,20,0,16,forward
w_encounter2_camp,30,526.4,18.5563,18.5563,14,0,16,forward
w_encounter2_camp,31,402.2,20.1421,18.4853,16,0,16,forward
w_encounter2_camp,32,1408.2,32.8995,16.4142,30,27,16,forward
w_encounter2_camp,33,427.6,17.3137,16.1421,14,0,16,forward
w_encounter2_camp,34,388.4,20.3848,16.2426,15,0,16,forward
w_encounter2_camp,35,424,18.3137,18.3137,15,0,16,forward
w_encounter2_camp,36,528.2,21.8284,18.6569,21,1,16,forward
w_encounter2_camp,37,536.4,33.2132,18.2426,27,0,16,forward
w_encounter2_camp,38,710,23.4142,16.1421,23,3,16,forward
w_encounter2_camp,39,693.4,26.8995,19.7279,24,2,16,forward
w_encounter2_camp,40,611.4,24.8284,20.4853,24,0,16,forward
w_encounter2_camp,41,951.8,35.6569,23.6569,34,2,16,forward
w_encounter2_camp,42,826.6,34.6274,22.2426,28,0,16,forward
w_encounter2_camp,43,1247,48.598,23.9706,37,7,16,forward
w_encounter2_camp,44,473,24.4853,20.3848,22,0,16,forward
w_encounter2_camp,45,399.6,21.799,21.799,16,0,16,forward
w_encounter2_camp,46,965.6,26.799,22.799,21,6,16,forward
w_encounter2_camp,47,869.6,38.7279,23.0711,35,0,16,forward
w_encounter2_camp,48,500,23.1421,21.3848,19,0,16,forward
w_encounter2_camp,49,856.6,38.3848,23.0711,33,9,16,forward
w_encounter2_camp,50,965.6,34.4558,24.3137,27,8,16,forward
w_encounter2_camp,51,776,31.6569,25.6569,30,4,16,forward
w_encounter2_camp,52,687.2,27.2132,26.2132,21,0,16,forward
w_encounter2_camp,53,908.2,28.3137,27.7279,25,7,16,forward
w_encounter2_camp,54,1505.4,40.6274,27.8995,34,24,16,forward
w_encounter2_camp,55,1071.6,46.2843,27.4558,38,10,16,forward
w_encounter2_camp,56,773.6,44.5563,24.8995,40,0,16,forward
w_encounter2_camp,57,941.4,40.0416,27.799,33,2,16,forward
w_encounter2_camp,58,683.2,30.8701,25.8995,23,0,16,forward
w_encounter2_camp,59,480.4,28.7279,27.5563,25,0,16,forward
w_encounter2_camp,60,810,32.1421,30.3848,28,10,16,forward
w_encounter2_camp,61,410,30.5563,29.3848,26,0,16,forward
w_encounter2_camp,62,1218,40.3848,31.3848,35,18,16,forward
w_encounter2_camp,63,858.4,35.2132,29.4142,29,3,16,forward
w_encounter2_camp,64,1582,43.5563,28.7279,39,24,16,forward
w_encounter2_camp,65,496.6,31.7279,29.2426,28,0,16,forward
w_encounter2_camp,66,1184.2,45.7279,31.7279,42,21,16,forward
w_encounter2_camp,67,1092.8,54.5269,29.0711,45,1,16,forward
w_encounter2_camp,68,731.8,41.7279,31.2426,38,2,16,forward
w_encounter2_camp,69,780.2,37.5563,28.8284,33,18,16,forward
w_encounter2_camp,70,1090.6,40.7279,32.1421,37,11,16,forward
w_encounter2_camp,71,727.4,33.4853,33.4853,31,5,16,forward
w_encounter2_camp,72,1211.2,37.3848,35.3848,32,16,16,forward
w_encounter2_camp,73,864,35.8284,35.8284,35,12,16,forward
w_encounter2_camp,74,897.2,37.799,34.8701,32,1,16,forward
w_encounter2_camp,75,1242.6,53.0416,33.0711,46,26,16,forward
w_encounter2_camp,76,978.6,54.4264,35.0416,42,10,16,forward
w_encounter2_camp,77,893.4,47.9706,35.2426,43,0,16,forward
w_encounter2_camp,78,779.8,44.7279,33.5563,41,0,16,forward
w_encounter2_camp,79,1102.4,37,32.8995,37,9,16,forward
w_encounter2_camp,80,1336.4,57.799,39.2132,52,24,16,forward
w_encounter2_camp,81,759.4,47.9706,39.9706,43,0,16,forward
w_encounter2_camp,82,1813.4,62.0122,37.3553,50,18,16,forward
w_encounter2_camp,83,977.8,36.799,36.799,31,12,16,forward
w_encounter2_camp,84,1009.4,50.4264,36.6985,38,5,16,forward
w_encounter2_camp,85,667.4,44.1838,36.1421,33,0,16,forward
w_encounter2_camp,86,1841.6,52.3137,37.4853,49,36,16,forward
w_encounter2_camp,87,1160,44.4853,36,42,5,16,forward
w_encounter2_camp,88,834,52.4264,38.9706,40,0,16,forward
w_encounter2_camp,89,681.2,40.3553,39.7696,30,0,16,forward
w_encounter2_camp,90,1227.6,42.799,42.799,37,0,16,forward
w_encounter2_camp,91,1413.4,43.4853,41.0711,41,27,16,forward
w_encounter2_camp,92,1534.4,51.5269,43.2843,42,11,16,forward
w_encounter2_camp,93,1452.2,48.3137,40.0711,45,25,16,forward
w_encounter2_camp,94,1558.4,67.4264,41.2843,55,30,16,forward
w_encounter2_camp,95,914.6,42.9706,41.799,38,7,16,forward
w_encounter2_camp,96,1291.4,68.4975,40.2132,54,3,16,forward
w_encounter2_camp,97,937.4,42.2132,40.5563,36,17,16,forward
w_encounter2_camp,98,1456.4,43.4853,42.3137,41,30,16,forward
w_encounter2_camp,99,1421.8,51.5563,43.0711,47,28,16,forward
w_encounter2_camp,100,1094.2,56.9117,47.1838,42,0,16,forward
w_encounter2_camp,101,1767.8,64.4558,46.0711,57,32,16,forward
w_encounter2_camp,102,1043.8,59.9706,46.4142,55,0,16,forward
w_encounter2_camp,103,1355.2,55.4558,44.2843,48,25,16,forward
w_encounter2_camp,104,1594,51.4558,44.4558,44,26,16,forward
w_encounter2_camp,105,882.8,53.6569,47.4142,52,10,16,forward
w_encounter2_camp,106,2234.8,64.9411,47.6274,55,43,16,forward
w_encounter2_camp,107,1221.8,48.0711,46.0711,46,25,16,forward
w_encounter2_camp,108,1222.4,45.7279,45.7279,42,31,16,forward
w_encounter2_camp,109,1077.6,52.4558,46.1127,45,2,16,forward
w_encounter2_camp,110,1457.6,58.669,50.8701,45,23,16,forward
w_encounter2_camp,111,1711,66.3259,49.0833,51,17,16,forward
w_encounter2_camp,112,1997.4,49.1421,49.1421,45,36,16,forward
w_encounter2_camp,113,1719.6,61.2843,50.2843,53,24,16,forward
w_encounter2_camp,114,1713.6,63,48,63,13,16,forward
w_encounter2_camp,115,1798.4,68.6985,49.5269,60,12,16,forward
w_encounter2_camp,116,1484.6,60.0833,48.1838,46,21,16,forward
w_encounter2_camp,117,1644.6,59.4264,50.4264,47,25,16,forward
w_encounter2_camp,118,1424.2,68.1127,51.1421,59,28,16,forward
w_encounter2_camp,119,1229,51.669,50.8406,38,6,16,forward
w_encounter2_camp,120,1486,63.3848,52.2132,58,32,16,forward
w_encounter2_camp,121,1881.4,69.9411,52.3848,60,37,16,forward
w_encounter2_camp,122,1508,61.799,55.6985,56,23,16,forward
w_encounter2_camp,123,1181.2,62.3553,53.1838,52,7,16,forward
w_encounter2_camp,124,1702,62.3848,52.8701,57,31,16,forward
w_encounter2_camp,125,1310.6,56.8406,55.1838,44,24,16,forward
w_encounter2_camp,126,1061.4,58.1838,52.5269,47,9,16,forward
w_encounter2_camp,127,1100.6,55.3137,52,52,21,16,forward
w_encounter2_camp,128,1564.2,69.3553,53.799,59,28,16,forward
w_encounter2_camp,129,1592.2,70.8406,55.3553,58,23,16,forward
w_encounter2_camp,130,1693.4,66.2843,59.3553,58,33,16,forward
w_encounter2_camp,131,1240.2,67.0711,57.0711,65,23,16,forward
w_encounter2_camp,132,2411.8,68.2132,56.1421,62,56,16,forward
w_encounter2_camp,133,1560.2,66.0122,58.8406,54,23,16,forward
w_encounter2_camp,134,1244.2,57.8406,56.0833,45,8,16,forward
w_encounter2_camp,135,1284.2,71.8406,59.9411,59,35,16,forward
w_encounter2_camp,136,1529.8,75.5685,56.1543,59,10,16,forward
w_encounter2_camp,137,921.8,69.7401,58.4264,54,0,16,forward
w_encounter2_camp,138,1577.8,62.0833,57.0833,48,23,16,forward
w_encounter2_camp,139,1282,63.7696,57.3259,53,7,16,forward
w_encounter2_camp,140,2285.6,71.2843,60.799,63,46,16,forward
w_encounter2_camp,141,1824,62.8406,61.8406,50,23,16,forward
w_encounter2_camp,142,1776.4,75.3848,60.0711,70,43,16,forward
w_encounter2_camp,143,1214.6,64.0122,61.0833,52,13,16,forward
