map,scenid,tcost,distance,expect,steps,access,r,itype
w_encounter2_camp,0,1532.4,7.41421,4.82843,7,3,4,backward
w_encounter2_camp,1,1210,11.6569,7.65685,10,2,4,backward
w_encounter2_camp,2,1018.6,6,5,6,2,4,backward
w_encounter2_camp,3,1348.6,10.0711,7.65685,8,2,4,backward
w_encounter2_camp,4,1120.8,10.2426,7.07107,9,2,4,backward
w_encounter2_camp,5,1060.2,8.41421,7.24264,8,2,4,backward
w_encounter2_camp,6,868.4,6,6,6,1,4,backward
w_encounter2_camp,7,1092,11.2426,7.24264,10,2,4,backward
w_encounter2_camp,8,935.8,9.07107,7.07107,7,2,4,backward
w_encounter2_camp,9,983,8.41421,4.41421,8,2,4,backward
w_encounter2_camp,10,1506,16.2426,11.4142,15,3,4,backward
w_encounter2_camp,11,1394.8,13.4853,10.4853,11,2,4,backward
w_encounter2_camp,12,1235.8,11.0711,10.2426,9,4,4,backward
w_encounter2_camp,13,964.6,11.4853,11.4853,9,2,4,backward
w_encounter2_camp,14,1207,13.0711,9.07107,11,2,4,backward
w_encounter2_camp,15,810.8,9.82843,9,9,2,4,backward
w_encounter2_camp,16,902.4,10.4853,10.4853,8,2,4,backward
w_encounter2_camp,17,1007.4,8.65685,8.65685,7,2,4,backward
w_encounter2_camp,18,1248,14.3137,8.65685,11,2,4,backward
w_encounter2_camp,19,1379,13.0711,9.24264,11,3,4,backward
w_encounter2_camp,20,1593.4,14.8995,13.7279,12,3,4,backward
w_encounter2_camp,21,1279.6,15.4853,14.6569,13,2,4,backward
w_encounter2_camp,22,1247.2,16.6569,13.8284,15,2,4,backward
w_encounter2_camp,23,1663,14.0711,14.0711,12,4,4,backward
w_encounter2_camp,24,1245.8,14.8284,14,14,2,4,backward
w_encounter2_camp,25,1217,18.8284,15.4142,18,2,4,backward
w_encounter2_camp,26,1544,18.1421,15.7279,14,2,4,backward
w_encounter2_camp,27,1434.6,18.4142,14.4142,18,2,4,backward
w_encounter2_camp,28,1219.2,15.7279,12.3137,12,2,4,backward
w_encounter2_camp,29,1825.2,18.4853,13.4853,16,4,4,backward
w_encounter2_camp,30,1519.8,18.5563,18.5563,14,2,4,backward
w_encounter2_camp,31,1252.2,18.4853,18.4853,16,2,4,backward
w_encounter2_camp,32,1933.2,20.8284,16.4142,20,2,4,backward
w_encounter2_camp,33,1576,16.1421,16.1421,12,3,4,backward
w_encounter2_camp,34,1310,17.0711,16.2426,15,2,4,backward
w_encounter2_camp,35,1242.4,18.3137,18.3137,15,2,4,backward
w_encounter2_camp,36,1506.4,18.6569,18.6569,17,5,4,backward
w_encounter2_camp,37,1299.4,21.8995,18.2426,19,2,4,backward
w_encounter2_camp,38,1554.2,17.3137,16.1421,14,3,4,backward
w_encounter2_camp,39,1840,23.9706,19.7279,19,3,4,backward
w_encounter2_camp,40,1985,21.6569,20.4853,20,3,4,backward
w_encounter2_camp,41,1714.6,27.6569,23.6569,26,2,4,backward
w_encounter2_camp,42,1795.8,23.8995,22.2426,21,2,4,backward
w_encounter2_camp,43,1742,27.9706,23.9706,23,3,4,backward
w_encounter2_camp,44,1310.6,20.3848,20.3848,15,2,4,backward
w_encounter2_camp,45,1693.6,21.799,21.799,16,4,4,backward
w_encounter2_camp,46,1926.8,27.2132,22.799,21,3,4,backward
w_encounter2_camp,47,1986.4,23.0711,23.0711,21,2,4,backward
w_encounter2_camp,48,1492.2,21.3848,21.3848,16,2,4,backward
w_encounter2_camp,49,1797.6,23.8995,23.0711,21,2,4,backward
w_encounter2_camp,50,1716.6,24.3137,24.3137,21,3,4,backward
w_encounter2_camp,51,1948.2,29.6569,25.6569,28,2,4,backward
