map,scenid,tcost,distance,expect,steps,access,r,itype
w_sundermount,0,1064.4,25.4853,6.82843,23,3,16,forward
w_sundermount,1,938,29.6274,5.24264,23,2,16,forward
w_sundermount,2,1119.2,31.4558,4.82843,24,7,16,forward
w_sundermount,3,502.6,16.4853,6.41421,14,0,16,forward
w_sundermount,4,602,15.6569,7.65685,14,2,16,forward
w_sundermount,5,365.6,8.65685,4.82843,7,0,16,forward
w_sundermount,6,1034.4,24.9706,4.24264,20,8,16,forward
w_sundermount,7,704.8,15.4853,7.65685,13,4,16,forward
w_sundermount,8,247,5.82843,5.82843,5,0,16,forward
w_sundermount,9,368.8,13.0711,5.41421,11,0,16,forward
w_sundermount,10,759.2,17.6569,10.8284,16,5,16,forward
w_sundermount,11,771.8,21.0711,10.0711,19,0,16,forward
w_sundermount,12,354.2,8.41421,8.41421,8,1,16,forward
w_sundermount,13,620,18.3137,11.2426,15,0,16,forward
w_sundermount,14,280.6,9.24264,8.07107,8,0,16,forward
w_sundermount,15,1002.2,35.0416,10.4142,28,0,16,forward
w_sundermount,16,454,14.8284,10.8284,14,1,16,forward
w_sundermount,17,860,28.5563,9.48528,24,1,16,forward
w_sundermount,18,827.8,17.3137,9.24264,14,1,16,forward
w_sundermount,19,484.8,15.2426,8.24264,14,0,16,forward
w_sundermount,20,801.8,26.4853,12.8284,24,6,16,forward
w_sundermount,21,349.8,19.8284,15.1421,19,0,16,forward
w_sundermount,22,948.8,28.3848,14.6569,23,8,16,forward
w_sundermount,23,1398.8,32.4142,14.4142,32,27,16,forward
w_sundermount,24,788.6,23.7279,12.8284,20,2,16,forward
w_sundermount,25,937.8,20.6569,12.0711,19,4,16,forward
w_sundermount,26,921,39.1127,13.6569,30,12,16,forward
w_sundermount,27,844.4,19.1421,13,15,1,16,forward
w_sundermount,28,1372.8,37.6274,12.8284,31,6,16,forward
w_sundermount,29,556.6,15.6569,14.8284,14,0,16,forward
w_sundermount,30,706.2,24.0711,17.9706,22,0,16,forward
w_sundermount,31,675,24.3848,19.799,19,0,16,forward
w_sundermount,32,955.6,26.0711,16.6569,24,0,16,forward
w_sundermount,33,790.2,20.4853,18.1421,18,0,16,forward
w_sundermount,34,751,25.8995,16.4142,23,0,16,forward
