map,scenid,tcost,distance,expect,steps,access,r,itype
w_woundedcoast,0,831.6,10.8284,5.41421,10,3,8,backward
w_woundedcoast,1,684,14.7279,4.82843,11,2,8,backward
w_woundedcoast,2,929.6,15.4853,6.41421,13,4,8,backward
w_woundedcoast,3,953.4,16.4853,5.82843,14,6,8,backward
w_woundedcoast,4,608.8,6.82843,6,6,3,8,backward
w_woundedcoast,5,694,14.6569,6.82843,13,4,8,backward
w_woundedcoast,6,649.6,11.0711,6.24264,9,3,8,backward
w_woundedcoast,7,734.6,11.4142,4.41421,11,3,8,backward
w_woundedcoast,8,418.6,6.65685,5.24264,5,3,8,backward
w_woundedcoast,9,427.8,6.82843,5.65685,6,2,8,backward
w_woundedcoast,10,705.2,18.0711,9.07107,16,2,8,backward
w_woundedcoast,11,778.2,12.8284,10.8284,12,5,8,backward
w_woundedcoast,12,850.6,24.1421,11.2426,20,5,8,backward
w_woundedcoast,13,552.8,10.8284,9.07107,10,2,8,backward
w_woundedcoast,14,801,11.6569,10.2426,10,8,8,backward
w_woundedcoast,15,718.2,17.0711,11.4142,15,2,8,backward
w_woundedcoast,16,926.8,19.4853,8.65685,17,3,8,backward
w_woundedcoast,17,534.4,11.0711,11.0711,9,3,8,backward
w_woundedcoast,18,438.6,9.41421,9.41421,9,2,8,backward
w_woundedcoast,19,771.8,12.4853,8.07107,10,6,8,backward
w_woundedcoast,20,1059.6,21.3848,15.7279,16,6,8,backward
w_woundedcoast,21,976,16.6569,13.8284,15,4,8,backward
w_woundedcoast,22,818.2,14.6569,14.6569,13,1,8,backward
w_woundedcoast,23,809,17,14.0711,17,3,8,backward
w_woundedcoast,24,502.8,14.4853,14.4853,12,2,8,backward
w_woundedcoast,25,1112.8,23.6569,13.6569,22,5,8,backward
w_woundedcoast,26,698.6,13.4142,13.4142,13,3,8,backward
w_woundedcoast,27,894.6,22.5563,13.4853,18,6,8,backward
w_woundedcoast,28,637,15.4853,15.4853,13,2,8,backward
w_woundedcoast,29,754.4,14.3137,14.3137,11,3,8,backward
w_woundedcoast,30,1466.4,33.2132,19.8995,27,10,8,backward
w_woundedcoast,31,812.2,16.7279,16.1421,13,2,8,backward
w_woundedcoast,32,901.8,24.2426,17,23,2,8,backward
w_woundedcoast,33,888.4,24.3848,17.3137,19,2,8,backward
w_woundedcoast,34,1289.2,22.2132,19.3848,16,6,8,backward
w_woundedcoast,35,1054.2,20.1421,17.9706,16,5,8,backward
w_woundedcoast,36,1138,26.3137,17.7279,23,7,8,backward
w_woundedcoast,37,618.6,16.4142,16.4142,16,2,8,backward
w_woundedcoast,38,581.6,19.0711,18.4853,17,4,8,backward
w_woundedcoast,39,1142,25.5563,19.7279,21,9,8,backward
w_woundedcoast,40,1370.4,34.3137,21.8995,31,9,8,backward
w_woundedcoast,41,1066.6,25.4142,21.0711,25,2,8,backward
w_woundedcoast,42,886.4,22.5563,22.5563,18,5,8,backward
w_woundedcoast,43,628,21.8284,20.8284,21,7,8,backward
w_woundedcoast,44,1305.4,26.7279,21.7279,23,11,8,backward
w_woundedcoast,45,753.8,32.0711,21.0711,30,3,8,backward
w_woundedcoast,46,868.6,25.1421,21.8284,21,6,8,backward
w_woundedcoast,47,1164.2,28.3848,20.9706,23,12,8,backward
w_woundedcoast,48,809.4,26.0711,21.9706,24,7,8,backward
w_woundedcoast,49,890,20.9706,20.3848,16,5,8,backward
w_woundedcoast,50,969,25.5563,25.5563,21,3,8,backward
w_woundedcoast,51,1550.4,31.9706,25.9706,27,6,8,backward
w_woundedcoast,52,1164.4,26.3137,25.7279,23,3,8,backward
w_woundedcoast,53,766,30.799,26.3137,25,4,8,backward
w_woundedcoast,54,1013.2,34.6274,25.2132,28,3,8,backward
w_woundedcoast,55,1013,26.0711,26.0711,24,2,8,backward
w_woundedcoast,56,759.6,24.0711,24.0711,22,2,8,backward
w_woundedcoast,57,828.8,30.4142,27.4853,30,3,8,backward
w_woundedcoast,58,756.8,28.1421,27.5563,24,4,8,backward
w_woundedcoast,59,1109,34.2132,25.4853,28,4,8,backward
w_woundedcoast,60,761.4,32.4142,29.8284,32,5,8,backward
w_woundedcoast,61,1268.6,36.6274,29.5563,30,5,8,backward
w_woundedcoast,62,1333.8,31.799,29.3848,26,9,8,backward
w_woundedcoast,63,1144.2,34.7279,31.8995,31,9,8,backward
w_woundedcoast,64,1367.6,37.2843,28.2132,29,7,8,backward
w_woundedcoast,65,1128.6,29.9706,29.9706,25,8,8,backward
w_woundedcoast,66,1576.8,34.799,30.9706,29,15,8,backward
w_woundedcoast,67,1146.4,34.6985,29.0416,26,6,8,backward
w_woundedcoast,68,951.2,35.2843,31.8701,27,3,8,backward
w_woundedcoast,69,847,33.2426,30.4142,32,3,8,backward
w_woundedcoast,70,1239.2,40.2426,33.6569,39,3,8,backward
w_woundedcoast,71,1288.2,32.9706,32.9706,28,11,8,backward
w_woundedcoast,72,1153.2,36.4558,35.0416,29,11,8,backward
w_woundedcoast,73,1018.6,35.3137,33.6569,32,3,8,backward
w_woundedcoast,74,933,34.7279,32.7279,31,6,8,backward
w_woundedcoast,75,801.2,32.7279,32.7279,29,5,8,backward
w_woundedcoast,76,1195,37.2132,34.3848,31,7,8,backward
w_woundedcoast,77,1483,43.799,33.3848,38,4,8,backward
w_woundedcoast,78,1302,38.2132,33.0416,32,9,8,backward
w_woundedcoast,79,1287,38.5563,33.9706,34,8,8,backward
w_woundedcoast,80,1281,38.8995,37.1421,36,16,8,backward
w_woundedcoast,81,1297,42.1421,39.8995,38,14,8,backward
w_woundedcoast,82,1314.6,43.598,36.9411,32,2,8,backward
w_woundedcoast,83,917.2,40.4558,37.0416,33,4,8,backward
w_woundedcoast,84,894.8,39.8284,39,39,5,8,backward
w_woundedcoast,85,1717.8,45.2426,37.2426,44,6,8,backward
w_woundedcoast,86,1369.2,38.799,38.799,33,4,8,backward
w_woundedcoast,87,1028.6,37.2426,37.2426,36,3,8,backward
w_woundedcoast,88,869.8,37.1421,36.5563,33,5,8,backward
w_woundedcoast,89,1463.6,41.0416,37.5269,34,10,8,backward
w_woundedcoast,90,1529.8,51.3848,41.3848,46,11,8,backward
w_woundedcoast,91,1429.2,44.8701,41.9411,37,2,8,backward
w_woundedcoast,92,1145.4,44.1421,43.5563,40,4,8,backward
w_woundedcoast,93,999,42.6274,41.799,36,2,8,backward
w_woundedcoast,94,1213.2,50.1127,42.0416,41,5,8,backward
w_woundedcoast,95,1237.8,43.4558,43.4558,36,8,8,backward
w_woundedcoast,96,1328.2,43.2132,43.2132,37,7,8,backward
w_woundedcoast,97,1539.2,47.8995,42.1421,45,12,8,backward
w_woundedcoast,98,1506.2,48.0416,42.799,41,12,8,backward
w_woundedcoast,99,1196,48.8995,43.8995,46,12,8,backward
w_woundedcoast,100,1666,48.1838,44.1127,37,15,8,backward
w_woundedcoast,101,1184.8,47.799,47.2132,42,8,8,backward
w_woundedcoast,102,1498.6,53.4558,46.3848,46,8,8,backward
w_woundedcoast,103,1309.8,48.598,46.8406,37,4,8,backward
w_woundedcoast,104,1297.4,47.4853,46.3137,45,12,8,backward
w_woundedcoast,105,1028.2,46.4558,45.8701,39,6,8,backward
w_woundedcoast,106,1114.6,49.8701,45.5269,42,3,8,backward
w_woundedcoast,107,1544.6,48.8701,47.2132,41,6,8,backward
w_woundedcoast,108,1097.6,47.669,47.669,34,2,8,backward
w_woundedcoast,109,1777.2,56.6985,47.6274,48,15,8,backward
w_woundedcoast,110,1453.8,49.9706,48.2132,45,6,8,backward
w_woundedcoast,111,1292.2,48.7279,48.7279,45,2,8,backward
w_woundedcoast,112,1197.6,56.6274,48.5563,50,2,8,backward
w_woundedcoast,113,1307.6,50.3848,48.0416,45,5,8,backward
w_woundedcoast,114,1457.4,57.4558,48.9706,50,7,8,backward
w_woundedcoast,115,1613.4,61.3848,51.3848,56,8,8,backward
w_woundedcoast,116,1193.2,51.6985,48.6985,43,4,8,backward
w_woundedcoast,117,1660.8,58.8701,51.4558,51,7,8,backward
w_woundedcoast,118,1165,50.9411,48.4558,41,3,8,backward
w_woundedcoast,119,1589.2,50.3848,48.7279,45,18,8,backward
w_woundedcoast,120,824.2,53.0711,53.0711,51,4,8,backward
w_woundedcoast,121,1638,56.4264,54.4264,44,13,8,backward
