map,scenid,tcost,distance,expect,steps,access,r,itype
w_woundedcoast,0,606,12.2426,5.41421,11,0,8,forward
w_woundedcoast,1,664.4,16.1421,4.82843,12,3,8,forward
w_woundedcoast,2,627.6,15.4853,6.41421,13,1,8,forward
w_woundedcoast,3,556,16.4853,5.82843,14,2,8,forward
w_woundedcoast,4,274.8,6.82843,6,6,0,8,forward
w_woundedcoast,5,805.4,14.6569,6.82843,13,12,8,forward
w_woundedcoast,6,389.6,9.07107,6.24264,7,0,8,forward
w_woundedcoast,7,298.4,8.41421,4.41421,8,0,8,forward
w_woundedcoast,8,300.8,6.65685,5.24264,5,0,8,forward
w_woundedcoast,9,202,6.82843,5.65685,6,0,8,forward
w_woundedcoast,10,604.8,18.0711,9.07107,16,1,8,forward
w_woundedcoast,11,909,12.8284,10.8284,12,10,8,forward
w_woundedcoast,12,820.2,24.5563,11.2426,20,5,8,forward
w_woundedcoast,13,492,10.8284,9.07107,10,2,8,forward
w_woundedcoast,14,523.2,11.6569,10.2426,10,4,8,forward
w_woundedcoast,15,679,17.0711,11.4142,15,0,8,forward
w_woundedcoast,16,952.4,21.3137,8.65685,18,7,8,forward
w_woundedcoast,17,283.2,11.0711,11.0711,9,0,8,forward
w_woundedcoast,18,364.6,9.41421,9.41421,9,3,8,forward
w_woundedcoast,19,382.6,11.4853,8.07107,9,0,8,forward
w_woundedcoast,20,666.4,21.3848,15.7279,16,4,8,forward
w_woundedcoast,21,1091,16.6569,13.8284,15,2,8,forward
w_woundedcoast,22,720.2,14.6569,14.6569,13,0,8,forward
w_woundedcoast,23,821.8,17,14.0711,17,8,8,forward
w_woundedcoast,24,219.8,14.4853,14.4853,12,0,8,forward
w_woundedcoast,25,648,20.6569,13.6569,19,0,8,forward
w_woundedcoast,26,435,13.4142,13.4142,13,4,8,forward
w_woundedcoast,27,1196,22.5563,13.4853,18,7,8,forward
w_woundedcoast,28,476,15.4853,15.4853,13,0,8,forward
w_woundedcoast,29,709.6,14.3137,14.3137,11,1,8,forward
w_woundedcoast,30,1264.8,33.2132,19.8995,27,13,8,forward
w_woundedcoast,31,731.8,16.7279,16.1421,13,1,8,forward
w_woundedcoast,32,820,28.4853,17,26,4,8,forward
w_woundedcoast,33,835.8,24.3848,17.3137,19,1,8,forward
w_woundedcoast,34,725.6,23.6274,19.3848,17,1,8,forward
w_woundedcoast,35,787.2,20.1421,17.9706,16,4,8,forward
w_woundedcoast,36,921.8,26.3137,17.7279,23,2,8,forward
w_woundedcoast,37,563.2,16.4142,16.4142,16,0,8,forward
w_woundedcoast,38,375.6,19.0711,18.4853,17,4,8,forward
w_woundedcoast,39,1230.6,25.5563,19.7279,21,14,8,forward
w_woundedcoast,40,1493.6,32.3137,21.8995,29,20,8,forward
w_woundedcoast,41,1014.6,25.4142,21.0711,25,7,8,forward
w_woundedcoast,42,629.8,22.5563,22.5563,18,3,8,forward
w_woundedcoast,43,828.4,21.8284,20.8284,21,13,8,forward
w_woundedcoast,44,1230.8,26.7279,21.7279,23,17,8,forward
w_woundedcoast,45,927.6,27.0711,21.0711,25,14,8,forward
w_woundedcoast,46,877.4,25.1421,21.8284,21,5,8,forward
w_woundedcoast,47,698.2,27.799,20.9706,22,1,8,forward
w_woundedcoast,48,730.2,26.0711,21.9706,24,5,8,forward
w_woundedcoast,49,525,20.9706,20.3848,16,0,8,forward
w_woundedcoast,50,1098.4,25.5563,25.5563,21,5,8,forward
w_woundedcoast,51,1181.8,31.9706,25.9706,27,18,8,forward
w_woundedcoast,52,1083.4,26.3137,25.7279,23,3,8,forward
