map,scenid,total,20move,distance,path_size,hLevel
den200n,0,400,345,3.82843,4,1
den200n,1,151,122,2,3,1
den200n,2,202,193,2.82843,3,1
den200n,3,194,154,1.41421,2,1
den200n,4,179,149,1,2,1
den200n,5,246,229,3.41421,4,1
den200n,6,171,159,3,4,1
den200n,7,148,144,2,3,1
den200n,8,260,253,3.41421,4,1
den200n,9,164,138,3,4,1
den200n,10,158,158,4,5,1
den200n,11,230,246,6.41421,7,1
den200n,12,360,317,4.82843,5,1
den200n,13,404,363,6.65685,6,1
den200n,14,159,161,7,8,1
den200n,15,217,203,6.65685,6,1
den200n,16,282,279,4.82843,5,1
den200n,17,310,299,7.41421,8,1
den200n,18,341,312,7.24264,7,1
den200n,19,199,183,5.24264,5,1
den200n,20,285,298,11.2426,11,1
den200n,21,289,278,8.48528,7,1
den200n,22,138,133,8,9,1
den200n,23,185,175,8.41421,9,1
den200n,24,219,219,9.24264,9,1
den200n,25,297,290,8.07107,7,1
den200n,26,266,257,11.8284,12,1
den200n,27,241,249,9.07107,8,1
den200n,28,232,227,8.41421,9,1
den200n,29,276,265,9.24264,9,1
den200n,30,234,207,12.8995,11,1
den200n,31,654,542,14.8995,13,1
den200n,32,236,239,12.3137,10,1
den200n,33,376,390,13.4853,12,1
den200n,34,354,341,15.8995,14,1
den200n,35,351,364,14.0711,13,1
den200n,36,244,261,14.8284,15,1
den200n,37,503,494,15.8995,14,1
den200n,38,229,239,14.2426,14,1
den200n,39,459,463,15.7279,13,1
den200n,40,291,278,16.9706,13,1
den200n,41,631,612,17.4853,16,1
den200n,42,252,262,18.3137,16,1
den200n,43,417,393,19.799,15,1
den200n,44,214,201,16.2426,16,1
den200n,45,773,781,19.5563,16,1
den200n,46,620,668,18.3137,16,1
den200n,47,147,143,17,18,1
den200n,48,600,565,17.8995,16,1
den200n,49,192,207,17.8995,16,1
den200n,50,372,376,22.3137,20,1
den200n,51,382,393,22.8995,21,1
den200n,52,609,623,21.8995,20,1
den200n,53,216,205,20.5563,17,1
den200n,54,556,554,20.0711,19,1
den200n,55,564,511,21.7279,19,1
den200n,56,218,233,22.4853,21,1
den200n,57,544,511,20.0711,19,1
den200n,58,457,441,23.1421,20,1
den200n,59,402,387,22.2426,22,1
den200n,60,681,700,27.0416,21,1
den200n,61,196,177,26.3137,24,1
den200n,62,817,804,24.3848,20,1
den200n,63,434,404,27.4142,28,1
den200n,64,535,544,26.1421,23,1
den200n,65,503,484,26.7279,24,1
den200n,66,326,311,26.3137,24,1
den200n,67,340,328,27.9706,24,1
den200n,68,701,681,24.2132,19,1
den200n,69,230,232,25.6569,25,1
den200n,70,432,340,30.4853,29,1
den200n,71,317,310,29.8995,28,1
den200n,72,676,417,30.7279,28,1
den200n,73,455,464,29.0711,28,1
den200n,74,583,430,31.3137,29,1
den200n,75,783,372,31.6569,31,1
den200n,76,359,370,30.6569,30,1
den200n,77,646,638,30.0416,24,1
den200n,78,704,615,30.6985,23,1
den200n,79,550,551,31.5563,28,1
den200n,80,436,451,35.3137,33,1
den200n,81,774,441,35.8995,34,1
den200n,82,233,240,33.5563,30,1
den200n,83,1013,573,35.6985,28,1
den200n,84,580,609,35.9706,32,1
den200n,85,870,470,32.1421,29,1
den200n,86,531,545,33.0711,32,1
den200n,87,581,492,32.1421,29,1
den200n,88,423,221,34.4853,33,1
den200n,89,905,937,32.6274,27,1
den200n,90,688,532,37.8995,36,1
den200n,91,827,413,36.5563,33,1
den200n,92,357,365,37.6569,37,1
den200n,93,635,381,39.0711,38,1
den200n,94,441,230,36.2426,36,1
den200n,95,729,467,37.8995,36,1
den200n,96,781,594,36.9706,33,1
den200n,97,500,211,38.7279,36,1
