map,scenid,total,20move,distance,path_size,hLevel
den407d,0,244,207,2.82843,3,1
den407d,1,279,283,2.41421,3,1
den407d,2,167,171,1,2,1
den407d,3,188,164,1.41421,2,1
den407d,4,275,263,2,3,1
den407d,5,301,292,2.41421,3,1
den407d,6,341,370,3.82843,4,1
den407d,7,255,231,3.41421,4,1
den407d,8,283,259,2.41421,3,1
den407d,9,168,175,1,2,1
den407d,10,251,243,5.24264,5,1
den407d,11,361,316,7.24264,7,1
den407d,12,252,246,7.82843,8,1
den407d,13,238,234,5.24264,5,1
den407d,14,257,245,6.24264,6,1
den407d,15,331,294,6.82843,7,1
den407d,16,157,137,5,6,1
den407d,17,584,578,7.24264,7,1
den407d,18,340,293,5.65685,5,1
den407d,19,243,251,6.65685,6,1
den407d,20,341,363,11.0711,10,1
den407d,21,282,238,11.4142,12,1
den407d,22,277,285,9.41421,10,1
den407d,23,227,227,10.4142,11,1
den407d,24,282,318,11.4142,12,1
den407d,25,213,230,9.41421,10,1
den407d,26,270,244,11.8284,12,1
den407d,27,257,246,10.4142,11,1
den407d,28,225,239,9.82843,10,1
den407d,29,617,638,10.2426,10,1
den407d,30,362,398,14.3137,12,1
den407d,31,559,543,14.4853,13,1
den407d,32,614,612,15.8995,14,1
den407d,33,384,372,12.4853,11,1
den407d,34,258,228,13.2426,13,1
den407d,35,200,220,14,15,1
den407d,36,157,148,13,14,1
den407d,37,239,228,14.2426,14,1
den407d,38,329,315,15.2426,15,1
den407d,39,281,295,12,13,1
den407d,40,728,688,16.7279,14,1
den407d,41,352,315,17.3137,15,1
den407d,42,373,345,16.2426,16,1
den407d,43,578,509,17.4853,16,1
den407d,44,682,641,18.8995,17,1
den407d,45,494,520,17.0711,16,1
den407d,46,496,508,17.3137,15,1
den407d,47,546,560,16.0711,15,1
den407d,48,481,479,18.0711,17,1
den407d,49,421,423,18.3137,16,1
den407d,50,214,259,23.6569,23,1
den407d,51,237,238,20,21,1
den407d,52,417,477,20.0711,19,1
den407d,53,312,329,21.7279,19,1
den407d,54,403,361,21.5563,18,1
den407d,55,581,570,21.1421,18,1
den407d,56,552,606,20.6569,20,1
den407d,57,364,348,23.8995,22,1
den407d,58,249,248,21.8284,22,1
den407d,59,742,765,21.3137,19,1
den407d,60,522,479,26.9706,23,1
den407d,61,366,288,26.0711,25,1
den407d,62,706,721,26.6274,21,1
den407d,63,557,589,25.7279,23,1
den407d,64,596,500,24.4853,23,1
den407d,65,587,566,24.6274,19,1
den407d,66,492,530,26.3137,24,1
den407d,67,466,487,26.2426,26,1
den407d,68,610,643,27.3848,23,1
den407d,69,515,526,24.3137,22,1
den407d,70,430,264,31.7279,29,1
den407d,71,645,276,29.6569,29,1
den407d,72,487,420,28.0711,27,1
den407d,73,715,524,29.0416,23,1
den407d,74,412,351,29.6569,29,1
den407d,75,680,437,30.5563,27,1
den407d,76,659,698,31.0416,25,1
den407d,77,383,378,28.0711,27,1
den407d,78,362,347,30.7279,28,1
den407d,79,304,290,31.0711,30,1
den407d,80,522,355,32.3137,30,1
den407d,81,580,554,32.9706,29,1
den407d,82,479,470,33.2426,33,1
den407d,83,716,532,35.8701,29,1
den407d,84,404,263,34.4853,33,1
den407d,85,384,330,32.3137,30,1
den407d,86,446,299,32.9706,29,1
den407d,87,628,375,33.3848,29,1
den407d,88,344,330,32.9706,29,1
den407d,89,316,272,33.0711,32,1
den407d,90,402,251,38.3137,36,1
den407d,91,434,260,38.3137,36,1
den407d,92,671,323,36.3137,34,1
den407d,93,345,173,36.0711,35,1
den407d,94,717,387,36.1421,33,1
den407d,95,230,273,37,38,1
den407d,96,538,543,38.0711,37,1
den407d,97,514,244,37.1421,34,1
den407d,98,552,422,37.9706,34,1
den407d,99,346,126,37.8284,38,1
den407d,100,871,555,42.6274,37,1
den407d,101,701,368,41.3848,37,1
den407d,102,339,162,42.8995,41,1
den407d,103,803,487,41.799,37,1
den407d,104,399,296,41.0711,40,1
den407d,105,646,370,42.2843,35,1
den407d,106,1060,509,43.799,39,1
den407d,107,482,219,40.0711,39,1
den407d,108,564,426,41.8995,40,1
den407d,109,474,314,41.8995,40,1
den407d,110,813,460,45.8995,44,1
den407d,111,588,365,46.2132,41,1
den407d,112,777,382,44.7279,42,1
den407d,113,581,276,44.5563,41,1
den407d,114,665,271,44.5563,41,1
den407d,115,490,432,45.2426,45,1
den407d,116,596,263,46.8701,40,1
den407d,117,323,178,44.8995,43,1
den407d,118,600,525,45.8701,39,1
den407d,119,726,340,44.5563,41,1
den407d,120,806,409,49.2132,44,1
den407d,121,741,447,48.5563,45,1
den407d,122,520,234,51.2132,46,1
den407d,123,587,291,50.2843,43,1
den407d,124,460,315,48.0711,47,1
den407d,125,542,191,50.5563,47,1
den407d,126,589,472,48.6274,43,1
den407d,127,717,362,48.9706,45,1
den407d,128,521,291,48.799,44,1
den407d,129,419,179,48.3848,44,1
den407d,130,725,413,52.2132,47,1
den407d,131,468,373,52.2426,52,1
den407d,132,521,308,52.8995,51,1
den407d,133,712,288,52.3137,50,1
den407d,134,614,328,52.1421,49,1
den407d,135,597,336,52.0711,51,1
den407d,136,512,273,52.3848,48,1
den407d,137,737,299,52.0416,46,1
den407d,138,752,451,52.1421,49,1
den407d,139,604,435,53.2132,48,1
