map,scenid,tcost,distance,expect,steps,r
AcrosstheCape,0,8228,6.24264,6.24264,6,32
AcrosstheCape,1,4329.6,6.24264,6.24264,6,32
AcrosstheCape,2,5607.8,6.41421,6.41421,7,32
AcrosstheCape,3,4747.8,6.24264,6.24264,6,32
AcrosstheCape,4,7283.8,6.65685,6.65685,6,32
AcrosstheCape,5,5523.2,7,7,8,32
AcrosstheCape,6,4192.8,6.65685,6.65685,6,32
AcrosstheCape,7,3982.8,6.24264,6.24264,6,32
AcrosstheCape,8,2466,4.41421,4.41421,5,32
AcrosstheCape,9,3174.2,7.41421,7.41421,8,32
AcrosstheCape,10,6307.2,8.65685,8.65685,8,32
AcrosstheCape,11,8384.2,11.0711,11.0711,10,32
AcrosstheCape,12,7417.8,8.07107,8.07107,7,32
AcrosstheCape,13,8484.8,10.4142,10.4142,11,32
AcrosstheCape,14,5829.4,9.65685,9.65685,9,32
AcrosstheCape,15,4735.4,9.82843,9.82843,10,32
AcrosstheCape,16,4688.2,9.24264,9.24264,9,32
AcrosstheCape,17,5467.4,8.65685,8.65685,8,32
AcrosstheCape,18,7895.4,10.6569,10.6569,10,32
AcrosstheCape,19,5299.8,10.6569,10.6569,10,32
AcrosstheCape,20,11111.8,13.6569,13.6569,13,32
AcrosstheCape,21,11030.8,14.8995,14.8995,13,32
AcrosstheCape,22,13153,15.2426,15.2426,15,32
AcrosstheCape,23,8799,12.8995,12.8995,11,32
AcrosstheCape,24,9775,13.7279,13.7279,11,32
AcrosstheCape,25,6209.2,15.0711,15.0711,14,32
AcrosstheCape,26,11289.8,15.2426,15.2426,15,32
AcrosstheCape,27,4482.4,15,15,16,32
AcrosstheCape,28,7062.6,12.0711,12.0711,11,32
AcrosstheCape,29,4976,13.8284,13.8284,14,32
AcrosstheCape,30,6719,17.8284,17.8284,18,32
AcrosstheCape,31,5182.8,19,19,20,32
AcrosstheCape,32,12664.8,19.9706,19.9706,16,32
AcrosstheCape,33,12563.4,18.0711,18.0711,17,32
AcrosstheCape,34,6268,18.2426,18.2426,18,32
AcrosstheCape,35,11306.8,18.3848,18.3848,14,32
AcrosstheCape,36,6503.2,19.2426,19.2426,19,32
AcrosstheCape,37,12411.8,17.5563,17.5563,14,32
AcrosstheCape,38,9669.4,16.3137,16.3137,14,32
AcrosstheCape,39,9434.8,18.0711,18.0711,17,32
AcrosstheCape,40,10521,22.4853,22.4853,21,32
AcrosstheCape,41,16709.4,21.0711,21.0711,20,32
AcrosstheCape,42,14611.8,20.3137,20.3137,18,32
AcrosstheCape,43,13684.6,21.8995,21.8995,20,32
AcrosstheCape,44,10878.6,20.7279,20.7279,18,32
AcrosstheCape,45,13295.2,20.0711,20.0711,19,32
AcrosstheCape,46,24455.8,23.9706,23.9706,20,32
AcrosstheCape,47,19181.8,23.8284,23.8284,24,32
AcrosstheCape,48,11898.2,23.1421,23.1421,20,32
AcrosstheCape,49,15403.2,21.9706,21.9706,18,32
AcrosstheCape,50,19491.2,26.799,26.799,22,32
AcrosstheCape,51,20761,25.2426,25.2426,25,32
AcrosstheCape,52,8996.4,26.6569,26.6569,26,32
AcrosstheCape,53,18179,24.3137,24.3137,22,32
AcrosstheCape,54,12534.4,26.799,26.799,22,32
AcrosstheCape,55,18754.2,26.4142,26.4142,27,32
AcrosstheCape,56,12243.6,27.1421,27.1421,24,32
AcrosstheCape,57,15198.2,26.4558,26.4558,20,32
AcrosstheCape,58,12011.6,25.3848,25.3848,21,32
AcrosstheCape,59,16886.4,24.8284,24.8284,25,32
AcrosstheCape,60,17836,29.9706,29.9706,26,32
AcrosstheCape,61,20526,28.6569,28.6569,28,32
AcrosstheCape,62,15273.6,31.6274,31.6274,26,32
AcrosstheCape,63,18371.6,28.7279,28.7279,26,32
AcrosstheCape,64,20571,30.6274,30.6274,25,32
AcrosstheCape,65,21566.4,31.9706,31.9706,28,32
AcrosstheCape,66,20798,28.3848,28.3848,24,32
AcrosstheCape,67,14421.2,31.4853,31.4853,30,32
AcrosstheCape,68,18027.8,28.6274,28.6274,23,32
AcrosstheCape,69,24566.6,30.5563,30.5563,27,32
AcrosstheCape,70,12791.2,34.4142,34.4142,35,32
AcrosstheCape,71,23259.6,32.8701,32.8701,26,32
AcrosstheCape,72,16046.6,34.799,34.799,30,32
AcrosstheCape,73,16815.8,33.799,33.799,29,32
AcrosstheCape,74,18717.2,34.6985,34.6985,27,32
AcrosstheCape,75,21162.2,32.6985,32.6985,25,32
AcrosstheCape,76,8402.4,32.6569,32.6569,32,32
AcrosstheCape,77,26239.8,35.0711,35.0711,34,32
AcrosstheCape,78,16210,32.2132,32.2132,27,32
AcrosstheCape,79,15748,33.3137,33.3137,31,32
AcrosstheCape,80,26054.8,37.2843,37.2843,30,32
AcrosstheCape,81,18657,39.799,39.799,35,32
AcrosstheCape,82,11121.2,36.2426,36.2426,36,32
AcrosstheCape,83,25208.2,38.6985,38.6985,31,32
AcrosstheCape,84,26659.8,37.4142,37.4142,38,32
AcrosstheCape,85,21076.2,37.4558,37.4558,31,32
AcrosstheCape,86,26441.6,39.6274,39.6274,34,32
AcrosstheCape,87,21087,37.7696,37.7696,28,32
AcrosstheCape,88,19302.4,38.2132,38.2132,33,32
AcrosstheCape,89,22108.4,38.9411,38.9411,30,32
AcrosstheCape,90,28125.4,42.8995,42.8995,41,32
AcrosstheCape,91,27898,43.1127,43.1127,35,32
AcrosstheCape,92,27620,41.5563,41.5563,38,32
AcrosstheCape,93,28630.6,46.6274,40.4853,41,32
AcrosstheCape,94,37095.2,43,43,44,32
AcrosstheCape,95,18821.4,40.0416,40.0416,34,32
AcrosstheCape,96,24306.4,40.3553,40.3553,31,32
AcrosstheCape,97,29151.6,43.4558,43.4558,37,32
AcrosstheCape,98,23830.6,41.3553,41.3553,32,32
AcrosstheCape,99,29269.4,40.2132,40.2132,35,32
AcrosstheCape,100,22286.8,44.9411,44.9411,36,32
AcrosstheCape,101,23168.8,46.1127,46.1127,38,32
AcrosstheCape,102,23962,45.0122,45.0122,34,32
AcrosstheCape,103,28947.4,47.1127,47.1127,39,32
AcrosstheCape,104,33882.2,47.1421,47.1421,44,32
AcrosstheCape,105,24799.6,46.2843,46.2843,39,32
AcrosstheCape,106,15903.6,44.3137,44.3137,42,32
AcrosstheCape,107,36572.6,46.598,46.598,36,32
AcrosstheCape,108,30828.8,47.4264,47.4264,36,32
AcrosstheCape,109,27929.8,46.598,46.598,36,32
AcrosstheCape,110,29591.8,48.669,48.669,36,32
AcrosstheCape,111,33937.8,51.9117,51.9117,38,32
AcrosstheCape,112,39103.6,51.2132,51.2132,46,32
AcrosstheCape,113,31207,49.4975,49.4975,36,32
AcrosstheCape,114,15300.2,50.2426,50.2426,50,32
AcrosstheCape,115,36694.4,48.3137,48.3137,46,32
AcrosstheCape,116,35244.8,49.1421,49.1421,46,32
AcrosstheCape,117,38325,54.5269,51.598,46,32
AcrosstheCape,118,30603.8,51.598,51.598,41,32
AcrosstheCape,119,24029.6,49.7279,49.7279,47,32
AcrosstheCape,120,18417.2,52.8995,52.8995,51,32
AcrosstheCape,121,16423.4,54.8995,54.8995,53,32
