map,scenid,tcost,distance,expect,steps,r
Aftershock,0,3265.6,7.41421,7.41421,8,32
Aftershock,1,2117.2,5.82843,5.82843,6,32
Aftershock,2,2475.8,7.65685,7.65685,7,32
Aftershock,3,1986.2,4.82843,4.82843,5,32
Aftershock,4,1176.2,4.41421,4.41421,5,32
Aftershock,5,2586.8,7.65685,7.65685,7,32
Aftershock,6,1777,4.82843,4.82843,5,32
Aftershock,7,1577.2,4.82843,4.82843,5,32
Aftershock,8,2488.8,6.41421,6.41421,7,32
Aftershock,9,1955.2,6.65685,6.65685,6,32
Aftershock,10,2934.6,8.82843,8.82843,9,32
Aftershock,11,2410.2,9.24264,9.24264,9,32
Aftershock,12,3171,9.41421,9.41421,10,32
Aftershock,13,1950.4,9.41421,9.41421,10,32
Aftershock,14,1614.4,8,8,9,32
Aftershock,15,2584.4,8.65685,8.65685,8,32
Aftershock,16,2366.6,9.24264,9.24264,9,32
Aftershock,17,1726.6,10,10,11,32
Aftershock,18,2272,8.82843,8.82843,9,32
Aftershock,19,2389.2,9.07107,9.07107,8,32
Aftershock,20,6135.6,15.4853,15.4853,14,32
Aftershock,21,4054.6,15.1421,15.1421,12,32
Aftershock,22,3640.2,15.6569,15.6569,15,32
Aftershock,23,4802,14.6569,14.6569,14,32
Aftershock,24,3215.2,15.2426,15.2426,15,32
Aftershock,25,4892.2,14.3137,14.3137,12,32
Aftershock,26,4195,12.7279,12.7279,10,32
Aftershock,27,4040.8,15.0711,15.0711,14,32
Aftershock,28,2802.6,15.6569,15.6569,15,32
Aftershock,29,5646.2,14.1421,14.1421,11,32
Aftershock,30,4300.2,16.7279,16.7279,14,32
Aftershock,31,3455.6,18.8284,18.8284,19,32
Aftershock,32,6226.8,18.5563,18.5563,15,32
Aftershock,33,4168.2,16.4853,16.4853,15,32
Aftershock,34,4816.8,19.8995,19.8995,18,32
Aftershock,35,3492,16.0711,16.0711,15,32
Aftershock,36,6014,17.6569,17.6569,17,32
Aftershock,37,6152.6,19.3848,19.3848,15,32
Aftershock,38,3091,16.2426,16.2426,16,32
Aftershock,39,4930.8,16.4853,16.4853,15,32
Aftershock,40,4611.8,23.6569,23.6569,23,32
Aftershock,41,6887.2,20.8995,20.8995,19,32
Aftershock,42,9051.2,26.9706,23.3137,23,32
Aftershock,43,6294.6,20.8284,20.8284,21,32
Aftershock,44,6496.6,21.8995,21.8995,20,32
Aftershock,45,6471.2,20.3137,20.3137,18,32
Aftershock,46,5611.4,21.2426,21.2426,21,32
Aftershock,47,5393.2,20.2426,20.2426,20,32
Aftershock,48,5458.2,23.1421,23.1421,20,32
Aftershock,49,5852.8,22.8995,22.8995,21,32
Aftershock,50,7755.8,27.8284,27.8284,28,32
Aftershock,51,8865.4,24.4142,24.4142,25,32
Aftershock,52,6654.2,28.3848,25.8995,24,32
Aftershock,53,9533.4,30.2132,24.8995,25,32
Aftershock,54,7526,25.0416,25.0416,19,32
Aftershock,55,7573.6,24.1421,24.1421,21,32
Aftershock,56,8037.6,25.6274,25.6274,20,32
Aftershock,57,9674.2,25.8284,25.8284,26,32
Aftershock,58,6260.8,26.0711,26.0711,25,32
Aftershock,59,8481.6,25.0416,25.0416,19,32
Aftershock,60,8372.4,31.6274,31.6274,26,32
Aftershock,61,6105.6,29.6569,29.6569,29,32
Aftershock,62,9848.6,30.8701,30.8701,24,32
Aftershock,63,5788,29.2426,29.2426,29,32
Aftershock,64,8907.4,29.0416,29.0416,23,32
Aftershock,65,8376.8,28.3848,28.3848,24,32
Aftershock,66,8260.4,28.2132,28.2132,23,32
Aftershock,67,5642.4,29.6569,29.6569,29,32
Aftershock,68,4256.4,29,29,30,32
Aftershock,69,5568,29.4853,29.4853,28,32
Aftershock,70,5865.6,34.2426,34.2426,34,32
Aftershock,71,12302.4,35.4853,35.4853,34,32
Aftershock,72,7549.2,32.7279,32.7279,30,32
Aftershock,73,11388.8,35.6985,35.6985,28,32
Aftershock,74,12603.4,35,35,36,32
Aftershock,75,10803.2,33.3137,33.3137,31,32
Aftershock,76,11924.8,34.8701,34.8701,28,32
Aftershock,77,8499.8,35.5563,35.5563,32,32
Aftershock,78,10781.6,33.5269,33.5269,25,32
Aftershock,79,11120,35.0416,33.3848,29,32
Aftershock,80,13071.4,38.5269,38.5269,30,32
Aftershock,81,12368.8,37,37,38,32
Aftershock,82,12592.8,36.799,36.799,32,32
Aftershock,83,13402.6,38.3137,38.3137,36,32
Aftershock,84,9302,37.1421,37.1421,34,32
Aftershock,85,13221.8,36.6569,36.6569,36,32
Aftershock,86,11930.2,37.3137,37.3137,35,32
Aftershock,87,8250.6,36.5563,36.5563,33,32
Aftershock,88,6429.4,36.4142,36.4142,37,32
Aftershock,89,13851,39.9706,39.9706,36,32
Aftershock,90,9970,40.9706,40.9706,37,32
Aftershock,91,14557.8,42.4853,42.4853,41,32
Aftershock,92,12607.2,43.7696,43.7696,34,32
Aftershock,93,12125.2,41.4142,41.4142,42,32
Aftershock,94,7395.4,40.6569,40.6569,40,32
Aftershock,95,10757.2,42.7696,42.7696,33,32
Aftershock,96,9668.2,40.3848,40.3848,36,32
Aftershock,97,13497.2,42.1838,42.1838,32,32
Aftershock,98,13187.2,43.6274,43.6274,38,32
Aftershock,99,15040.6,43.7279,43.7279,41,32
Aftershock,100,15526.2,46.7696,46.7696,37,32
Aftershock,101,15025.6,47.2548,47.2548,35,32
Aftershock,102,8858.8,44.8284,44.8284,45,32
Aftershock,103,15672.2,47.6569,47.6569,47,32
Aftershock,104,16112.8,47.3848,47.3848,43,32
Aftershock,105,15337,45.2132,45.2132,40,32
Aftershock,106,17970.6,47.8995,47.8995,46,32
Aftershock,107,13411.6,45.2843,45.2843,38,32
Aftershock,108,16750.4,46.2843,46.2843,39,32
Aftershock,109,13315.6,44.3553,44.3553,35,32
Aftershock,110,12263.8,51.5563,51.5563,48,32
Aftershock,111,15165.4,48.2548,48.2548,36,32
Aftershock,112,20090.8,51.0416,49.6274,45,32
Aftershock,113,11676.4,51.1421,51.1421,48,32
Aftershock,114,11731.2,48.4558,48.4558,42,32
Aftershock,115,18539.4,51.1421,51.1421,48,32
Aftershock,116,11953.6,51.4558,51.4558,45,32
Aftershock,117,8450.4,48.8284,48.8284,49,32
Aftershock,118,14788,50.598,50.598,40,32
Aftershock,119,16923,51.2843,51.2843,44,32
Aftershock,120,12971,52.3553,52.3553,43,32
Aftershock,121,18363.8,54.0416,54.0416,48,32
Aftershock,122,15121.6,53.5563,53.5563,50,32
Aftershock,123,17863.8,55.3259,55.3259,41,32
Aftershock,124,18034.8,52.7696,52.7696,43,32
Aftershock,125,90977.4,62.2548,55.5269,50,32
Aftershock,126,19776,56.6985,53.8701,49,32
Aftershock,127,19529.8,55.2843,55.2843,48,32
Aftershock,128,12539,55.5563,55.5563,52,32
Aftershock,129,17306.4,53.799,53.799,49,32
Aftershock,130,17661.8,59.0833,59.0833,46,32
Aftershock,131,15545.6,56.1127,56.1127,48,32
Aftershock,132,17794.2,57.799,57.799,53,32
Aftershock,133,20160.4,59.8284,59.8284,60,32
Aftershock,134,19927.8,59.5685,59.5685,44,32
Aftershock,135,19333.4,56.0711,56.0711,55,32
Aftershock,136,10768.2,56.2426,56.2426,56,32
Aftershock,137,38117.2,59.2843,59.2843,52,32
Aftershock,138,20851,56.2843,56.2843,49,32
Aftershock,139,15708,59.2548,59.2548,47,32
Aftershock,140,23412.4,62.0416,62.0416,56,32
Aftershock,141,17455.6,61.1543,61.1543,46,32
Aftershock,142,16896.6,61.7696,61.7696,52,32
Aftershock,143,20492.2,62.7401,62.7401,48,32
Aftershock,144,21067.6,60.2843,60.2843,53,32
Aftershock,145,18794,61.1838,60.3553,51,32
Aftershock,146,21203.2,63.4264,63.4264,52,32
Aftershock,147,12203,62.2426,62.2426,62,32
Aftershock,148,16292.4,60.598,60.598,50,32
Aftershock,149,20257,61.397,61.397,45,32
Aftershock,150,78424.6,73.6396,66.669,56,32
Aftershock,151,19201.4,64.6396,64.6396,47,32
Aftershock,152,23935.6,66.799,66.799,62,32
Aftershock,153,20531.6,67.2254,67.2254,50,32
Aftershock,154,20039.6,69.6985,66.6274,62,32
Aftershock,155,22440.4,67.6985,67.6985,60,32
Aftershock,156,20384.6,64.5685,64.5685,49,32
Aftershock,157,13601.8,67.8995,67.8995,66,32
Aftershock,158,897864,71.1127,67.6985,63,32
Aftershock,159,15042.6,66.8995,66.8995,65,32
Aftershock,160,39958.4,81.4975,69.0122,68,32
Aftershock,161,21088.2,71.6985,71.6985,64,32
Aftershock,162,20109,77.3553,68.6274,68,32
Aftershock,163,20278.6,69.3553,69.3553,60,32
Aftershock,164,26939.6,72.8406,71.669,61,32
Aftershock,165,18040.2,72.3259,69.0122,58,32
Aftershock,166,37728.2,69.0833,69.0833,56,32
Aftershock,167,18342.2,70.5269,70.5269,62,32
Aftershock,168,27847.6,70.7279,70.7279,68,32
Aftershock,169,16915.2,76.9411,69.3848,68,32
Aftershock,170,23210.8,74.0122,74.0122,63,32
Aftershock,171,24580.4,73.8112,73.8112,57,32
Aftershock,172,31019.2,77.4264,74.9411,66,32
Aftershock,173,24216.6,75.9828,75.9828,60,32
Aftershock,174,23239.4,74.0538,74.0538,56,32
Aftershock,175,21222.4,75.6985,75.6985,68,32
Aftershock,176,18432.8,74.6985,74.6985,67,32
Aftershock,177,787957,80.7401,72.9828,66,32
Aftershock,178,21549.6,73.0122,73.0122,62,32
Aftershock,179,30346.4,76.9411,72.2132,68,32
Aftershock,180,27435,77.1543,77.1543,62,32
Aftershock,181,16410.4,76.4853,76.4853,75,32
Aftershock,182,27171,79.0538,79.0538,61,32
Aftershock,183,20267.8,76.3848,76.3848,72,32
Aftershock,184,27274.6,78.397,78.397,62,32
Aftershock,185,29727,78.3137,78.3137,76,32
Aftershock,186,27677.6,76.4558,76.4558,70,32
Aftershock,187,26242.8,79.0833,79.0833,66,32
Aftershock,188,26973.4,78.3553,78.3553,69,32
Aftershock,189,24043.2,76.1543,76.1543,61,32
Aftershock,190,19993.2,83.4853,83.4853,82,32
Aftershock,191,28929.4,82.0122,82.0122,71,32
Aftershock,192,19907,80.6274,80.6274,75,32
Aftershock,193,28885.2,84.8112,82.3259,68,32
Aftershock,194,22087.2,80.3553,80.3553,71,32
Aftershock,195,22065.6,83.0416,83.0416,77,32
Aftershock,196,44933.8,102.439,81.669,79,32
