map,scenid,tcost,distance,expect,steps,r
Archipelago,0,3449.8,5.82843,5.82843,6,8
Archipelago,1,2665.8,6.24264,6.24264,6,8
Archipelago,2,2912.2,8.24264,6.82843,8,8
Archipelago,3,1253.8,4.41421,4.41421,5,8
Archipelago,4,1901.8,5,5,6,8
Archipelago,5,1730.4,5.65685,5.65685,5,8
Archipelago,6,2080,6.65685,6.65685,6,8
Archipelago,7,2113.6,6.41421,6.41421,7,8
Archipelago,8,1668.6,5.82843,5.82843,6,8
Archipelago,9,1756.8,4.82843,4.82843,5,8
Archipelago,10,3665.8,10.0711,10.0711,9,8
Archipelago,11,3649.8,11.8284,11.8284,12,8
Archipelago,12,2827.4,9.07107,9.07107,8,8
Archipelago,13,3087.8,11.0711,11.0711,10,8
Archipelago,14,1747,8.41421,8.41421,9,8
Archipelago,15,2727.4,11.8284,11.8284,12,8
Archipelago,16,2983.4,10.0711,10.0711,9,8
Archipelago,17,2878.4,9.48528,9.48528,8,8
Archipelago,18,2081.2,8.41421,8.41421,9,8
Archipelago,19,2227.8,8.82843,8.82843,9,8
Archipelago,20,4775.2,14.6569,14.6569,14,8
Archipelago,21,4014.4,12.8995,12.8995,11,8
Archipelago,22,4304.4,13.2426,13.2426,13,8
Archipelago,23,4497.2,15.5563,15.5563,12,8
Archipelago,24,2897.6,14.8284,14.8284,15,8
Archipelago,25,4382.2,15.3137,15.3137,13,8
Archipelago,26,4116.2,13.3137,13.3137,11,8
Archipelago,27,3550.2,14.8995,14.8995,13,8
Archipelago,28,4107.6,15.7279,15.7279,13,8
Archipelago,29,4317.6,14.0711,14.0711,13,8
Archipelago,30,4690,16.1421,16.1421,13,8
Archipelago,31,3228.6,17.0711,17.0711,16,8
Archipelago,32,6561.6,19.8995,19.8995,18,8
Archipelago,33,6562.6,19.4142,19.4142,20,8
Archipelago,34,3533,19.2426,19.2426,19,8
Archipelago,35,4884.4,19.3848,19.3848,15,8
Archipelago,36,3256.2,16.0711,16.0711,15,8
Archipelago,37,3746,19.4853,19.4853,18,8
Archipelago,38,3631,16.7279,16.7279,14,8
Archipelago,39,5671.6,17.9706,17.9706,14,8
Archipelago,40,5148,22.8995,22.8995,21,8
Archipelago,41,4997.8,21.8995,21.8995,20,8
Archipelago,42,7691,23.2426,23.2426,23,8
Archipelago,43,7726.4,23.5563,23.5563,20,8
Archipelago,44,5567.6,23.3137,22.7279,21,8
Archipelago,45,4130.4,20.3848,20.3848,16,8
Archipelago,46,6844.4,21.0711,21.0711,20,8
Archipelago,47,4896.8,22.2426,22.2426,22,8
Archipelago,48,4932,23.8995,23.8995,22,8
Archipelago,49,7388.2,22.2426,22.2426,22,8
Archipelago,50,7469.2,27.8701,27.8701,21,8
Archipelago,51,7332.6,26.4558,26.4558,20,8
Archipelago,52,5163,24.4853,24.4853,23,8
Archipelago,53,5497.4,27.4853,27.4853,26,8
Archipelago,54,6242.8,26,26,27,8
Archipelago,55,5645.4,24.6274,24.6274,19,8
Archipelago,56,5325.8,26.0416,26.0416,20,8
Archipelago,57,4793,24.4853,24.4853,23,8
Archipelago,58,8820.2,27.2132,27.2132,22,8
Archipelago,59,6488.4,27.3848,27.3848,23,8
Archipelago,60,7224.8,29.4558,29.4558,23,8
Archipelago,61,7024.6,28.5563,28.5563,25,8
Archipelago,62,9005,30.6274,30.6274,25,8
Archipelago,63,6373.6,30.6274,30.6274,25,8
Archipelago,64,7070,29.9706,29.9706,26,8
Archipelago,65,6029.2,28.0416,28.0416,22,8
Archipelago,66,5155,30.2426,30.2426,30,8
Archipelago,67,10116.6,29.7279,29.7279,27,8
Archipelago,68,9826.8,31.8701,31.8701,25,8
Archipelago,69,8881.4,30.2132,30.2132,25,8
Archipelago,70,9792,33.0416,33.0416,27,8
Archipelago,71,11833.2,35.3137,35.3137,33,8
Archipelago,72,8288.2,33.5563,33.5563,30,8
Archipelago,73,7520.8,34.799,34.799,30,8
Archipelago,74,8756.4,32.4853,32.4853,31,8
Archipelago,75,26142.4,37.9706,34.8995,34,8
Archipelago,76,6573,32.8284,32.8284,33,8
Archipelago,77,8996.2,33.8701,33.8701,27,8
Archipelago,78,9182.8,35.4853,35.4853,34,8
Archipelago,79,10035.2,32.6569,32.6569,32,8
Archipelago,80,8805.8,37.799,37.799,33,8
Archipelago,81,12025,38.3848,38.3848,34,8
Archipelago,82,10570,38.0416,38.0416,32,8
Archipelago,83,6867.8,37.8995,37.8995,36,8
Archipelago,84,7792.8,39.5563,39.5563,36,8
Archipelago,85,20705.6,44.1421,38.2426,41,8
Archipelago,86,12027.8,39.8701,37.6274,33,8
Archipelago,87,9548.6,36.7696,36.7696,27,8
Archipelago,88,11807.6,36.7279,36.7279,34,8
Archipelago,89,10504.4,41.1421,38.8995,38,8
Archipelago,90,12272,42.5269,42.5269,34,8
Archipelago,91,10978,41.1127,41.1127,33,8
Archipelago,92,10076.2,43.1421,43.1421,40,8
Archipelago,93,11789.6,43.0416,43.0416,37,8
Archipelago,94,13270.6,43.1127,43.1127,35,8
Archipelago,95,9070.4,40.1421,40.1421,37,8
Archipelago,96,12067.6,43.2843,43.2843,36,8
Archipelago,97,12721.6,41.1127,41.1127,33,8
Archipelago,98,9985.4,42.2132,42.2132,37,8
Archipelago,99,9500.2,43.799,43.799,39,8
Archipelago,100,12452.2,47.2843,47.2843,40,8
Archipelago,101,189226,47.2132,47.2132,42,8
Archipelago,102,14388,44.3553,44.3553,35,8
Archipelago,103,13771.8,45.0416,45.0416,39,8
Archipelago,104,11128.8,45.5563,44.7279,42,8
Archipelago,105,12957.2,44.1838,44.1838,34,8
Archipelago,106,15975.4,44.8995,44.8995,43,8
Archipelago,107,8195.4,46.8284,46.8284,47,8
Archipelago,108,12616.8,45.7696,45.7696,36,8
Archipelago,109,9655.6,44.5563,44.5563,41,8
Archipelago,110,10906.2,49.5563,49.5563,46,8
Archipelago,111,15301.4,49.598,49.598,39,8
Archipelago,112,15531.4,51.7279,51.7279,49,8
Archipelago,113,16234,49.7696,49.7696,40,8
Archipelago,114,16564.8,50.4558,49.6274,44,8
Archipelago,115,16546.2,58.2843,50.9706,51,8
Archipelago,116,11758.6,51.2132,51.2132,46,8
Archipelago,117,265787,52.8701,50.3848,46,8
Archipelago,118,15181.2,50.2548,50.2548,38,8
Archipelago,119,14146.8,49.3553,49.3553,40,8
Archipelago,120,19274.4,56.8406,52.9411,45,8
Archipelago,121,10140.6,54.2426,54.2426,54,8
Archipelago,122,19559.8,57.598,55.9411,47,8
Archipelago,123,15295.8,53.1838,53.1838,43,8
Archipelago,124,13485.2,54.8701,54.8701,48,8
Archipelago,125,82524.8,54.8701,53.6985,48,8
Archipelago,126,10094.8,52.2426,52.2426,52,8
Archipelago,127,15653.4,56.9411,53.2843,48,8
Archipelago,128,12779.8,54.4558,54.4558,48,8
Archipelago,129,15950.6,54.2132,54.2132,49,8
Archipelago,130,41408.8,59.3553,59.3553,50,8
Archipelago,131,12635.2,56.4853,56.4853,55,8
Archipelago,132,12214.4,57.8995,57.8995,56,8
Archipelago,133,133364,59.9411,56.8701,51,8
Archipelago,134,20081.8,59.799,59.799,55,8
Archipelago,135,18779.4,58.8995,56.6569,57,8
Archipelago,136,17900.4,57.8701,57.0416,51,8
Archipelago,137,16728.4,59.7401,59.7401,45,8
Archipelago,138,77353.8,56.2843,56.2843,49,8
Archipelago,139,18808.4,62.2548,57.7696,50,8
Archipelago,140,12119.2,62.8284,62.8284,63,8
Archipelago,141,17587.4,61.7279,61.7279,59,8
Archipelago,142,22338.2,62.3848,60.1421,58,8
Archipelago,143,17467,64.4264,62.1838,53,8
Archipelago,144,19090.2,63.7279,60.6569,61,8
Archipelago,145,19489.2,62.0833,62.0833,49,8
Archipelago,146,19783.4,62.2843,62.2843,55,8
Archipelago,147,86810.4,70.598,63.0416,60,8
Archipelago,148,18100.4,60.598,60.598,50,8
Archipelago,149,23580.4,62.8701,62.8701,56,8
Archipelago,150,19733.2,66.0122,66.0122,55,8
Archipelago,151,14283.8,67.2426,67.2426,67,8
Archipelago,152,21094.6,66.1838,66.1838,56,8
Archipelago,153,542011,67.0122,67.0122,56,8
Archipelago,154,20093,64.3553,64.3553,55,8
Archipelago,155,52349.4,68.4975,67.669,55,8
Archipelago,156,17302.8,66.7696,66.7696,57,8
Archipelago,157,20954.6,64.1127,64.1127,56,8
Archipelago,158,19773.6,66.0538,66.0538,48,8
Archipelago,159,14419.6,67.4853,67.4853,66,8
Archipelago,160,22080.2,70.2426,70.2426,70,8
Archipelago,161,16061.6,71.3848,71.3848,67,8
Archipelago,162,16864.4,68.6985,68.6985,61,8
Archipelago,163,18167.6,71.0833,71.0833,58,8
Archipelago,164,12800.6,70,70,71,8
Archipelago,165,50762.2,78.2965,71.3259,59,8
Archipelago,166,55140.4,76.1543,71.669,61,8
Archipelago,167,16982.4,71.3848,71.3848,67,8
Archipelago,168,83554.8,76.7401,68.9411,62,8
Archipelago,169,23437.8,72.9117,68.4264,59,8
Archipelago,170,51754.8,74.4264,74.4264,63,8
Archipelago,171,22160.6,73.468,73.468,55,8
Archipelago,172,25339.4,77.0538,74.8112,59,8
Archipelago,173,22281.4,73.0538,72.2254,55,8
Archipelago,174,43794.4,73.9117,72.2548,60,8
Archipelago,175,16556.6,76.8701,75.4558,70,8
Archipelago,176,21523.2,73.8822,73.8822,55,8
Archipelago,177,22806.2,73.397,73.397,57,8
Archipelago,178,17608.8,72.1421,72.1421,69,8
Archipelago,179,24710,75.0122,75.0122,64,8
Archipelago,180,26368.8,79.5391,78.7107,59,8
Archipelago,181,27435,86.9828,79.4264,71,8
Archipelago,182,19224,77.9706,77.1421,74,8
Archipelago,183,25172.6,77.8822,77.8822,59,8
Archipelago,184,21864.6,79.0538,76.8112,61,8
Archipelago,185,26365.4,77.397,77.397,61,8
Archipelago,186,24662.4,79.1421,79.1421,76,8
Archipelago,187,87553.4,77.7401,77.7401,63,8
Archipelago,188,24098.4,78.7107,76.2254,59,8
Archipelago,189,22641.6,76.2132,76.2132,71,8
Archipelago,190,47868.8,83.1127,83.1127,75,8
Archipelago,191,24761.2,80.5391,80.5391,60,8
Archipelago,192,25422,83.8112,81.3259,67,8
Archipelago,193,19228.2,84.2132,81.9706,79,8
Archipelago,194,24532.6,80.7817,80.7817,59,8
Archipelago,195,22773,82.8406,82.8406,71,8
Archipelago,196,345104,81.9117,81.9117,68,8
Archipelago,197,76604.2,80.4853,80.4853,79,8
Archipelago,198,160067,82.598,82.598,72,8
Archipelago,199,34262.6,84.2965,83.468,65,8
Archipelago,200,28289,84.5269,84.5269,76,8
Archipelago,201,26510.6,87.7696,87.7696,78,8
Archipelago,202,31564.6,85.4558,85.4558,79,8
Archipelago,203,24317.8,85.9411,85.9411,77,8
Archipelago,204,29637.8,85.2965,85.2965,66,8
Archipelago,205,334216,87.397,84.0833,71,8
Archipelago,206,27110,86.4975,86.4975,73,8
Archipelago,207,2.08186e+06,84.5391,84.5391,64,8
Archipelago,208,47478.2,85.9828,85.9828,70,8
Archipelago,209,23647,87.0122,87.0122,76,8
Archipelago,210,121085,91.2254,91.2254,74,8
Archipelago,211,1.18231e+06,91.6985,91.6985,84,8
Archipelago,212,29457.2,91.196,91.196,69,8
Archipelago,213,408270,89.5269,89.5269,81,8
Archipelago,214,31322.2,88.6396,88.6396,71,8
Archipelago,215,25873,93.6396,89.1543,76,8
Archipelago,216,32590.6,90.0538,90.0538,72,8
Archipelago,217,1.49734e+06,94.8112,89.8406,78,8
Archipelago,218,31360.8,91.9117,91.3259,78,8
Archipelago,219,31504.8,90.0538,90.0538,72,8
Archipelago,220,29117,94.0244,94.0244,71,8
Archipelago,221,30190.6,92.2965,92.2965,73,8
Archipelago,222,46783,96.6274,93.799,91,8
Archipelago,223,20016.8,92.8284,92.8284,93,8
Archipelago,224,104848,93.3259,93.3259,79,8
Archipelago,225,31688.2,92.799,92.799,88,8
Archipelago,226,24274.8,93.799,93.799,89,8
Archipelago,227,27790.8,99.7696,92.2132,90,8
Archipelago,228,22726.2,94.7279,94.7279,92,8
Archipelago,229,31827.6,93.3553,92.7696,84,8
Archipelago,230,33406.6,99.1421,99.1421,96,8
Archipelago,231,27198.6,98.598,98.598,88,8
Archipelago,232,32546.2,96.4264,96.4264,85,8
