map,scenid,tcost,distance,expect,steps,r
BigGameHunters,0,3561.6,5.41421,5.41421,6,64
BigGameHunters,1,2307.8,5.24264,5.24264,5,64
BigGameHunters,2,2745,6,6,7,64
BigGameHunters,3,2074.2,5.41421,5.41421,6,64
BigGameHunters,4,1905.8,7.41421,7.41421,8,64
BigGameHunters,5,1582.4,5.41421,5.41421,6,64
BigGameHunters,6,2022.6,7.41421,7.41421,8,64
BigGameHunters,7,1239.4,4,4,5,64
BigGameHunters,8,1448.8,5,5,6,64
BigGameHunters,9,2623.6,6.65685,6.65685,6,64
BigGameHunters,10,1904.6,8,8,9,64
BigGameHunters,11,3766.6,10.0711,10.0711,9,64
BigGameHunters,12,4316.6,10.8995,10.8995,9,64
BigGameHunters,13,2462.4,11.4142,11.4142,12,64
BigGameHunters,14,3485,9.65685,9.65685,9,64
BigGameHunters,15,3726.2,10.8995,10.8995,9,64
BigGameHunters,16,2871.8,8.07107,8.07107,7,64
BigGameHunters,17,2726.8,9.24264,9.24264,9,64
BigGameHunters,18,2357.8,9.82843,9.82843,10,64
BigGameHunters,19,4190.4,11.2426,11.2426,11,64
BigGameHunters,20,4591,14.3137,14.3137,12,64
BigGameHunters,21,5249,15.2426,15.2426,15,64
BigGameHunters,22,5739.2,14.6569,14.6569,14,64
BigGameHunters,23,5523.4,13.8995,13.8995,12,64
BigGameHunters,24,6019,15.3137,15.3137,13,64
BigGameHunters,25,4852,13.7279,13.7279,11,64
BigGameHunters,26,5226.4,15.4853,15.4853,14,64
BigGameHunters,27,2890.2,12.2426,12.2426,12,64
BigGameHunters,28,4822.4,12.8284,12.8284,13,64
BigGameHunters,29,2623,13.8284,13.8284,14,64
BigGameHunters,30,6433.2,18.0711,18.0711,17,64
BigGameHunters,31,4964.4,18,18,19,64
BigGameHunters,32,3744.8,19,19,20,64
BigGameHunters,33,6208.2,17.0711,17.0711,16,64
BigGameHunters,34,4971.4,18.3137,18.3137,16,64
BigGameHunters,35,6570.6,19,19,20,64
BigGameHunters,36,5959,18.5563,18.5563,15,64
BigGameHunters,37,6048.8,16.4853,16.4853,15,64
BigGameHunters,38,6470.4,18.3137,18.3137,16,64
BigGameHunters,39,6197.6,17.1421,17.1421,14,64
BigGameHunters,40,7856.6,20.1421,20.1421,17,64
BigGameHunters,41,10575.2,24.1421,23.3137,21,64
BigGameHunters,42,8044.6,23.2426,23.2426,23,64
BigGameHunters,43,5103.2,20.6569,20.6569,20,64
BigGameHunters,44,3747.4,21.6569,21.6569,21,64
BigGameHunters,45,5892.2,23.7279,23.7279,21,64
BigGameHunters,46,7926,22.4142,22.4142,23,64
BigGameHunters,47,9022.2,22.799,22.799,18,64
BigGameHunters,48,6133.8,23.7279,23.7279,21,64
BigGameHunters,49,7073.4,21.9706,21.9706,18,64
BigGameHunters,50,8765.2,26.8701,26.8701,20,64
BigGameHunters,51,6452.6,27.6569,27.6569,27,64
BigGameHunters,52,9650.8,27.4853,27.4853,26,64
BigGameHunters,53,6435.6,24.7279,24.7279,22,64
BigGameHunters,54,7500.4,26.4853,26.4853,25,64
BigGameHunters,55,6998.6,24.9706,24.9706,21,64
BigGameHunters,56,9036.4,25.0711,25.0711,24,64
BigGameHunters,57,4715.8,24.2426,24.2426,24,64
BigGameHunters,58,6860.2,24.9706,24.9706,21,64
BigGameHunters,59,9153.8,27.9706,27.9706,24,64
BigGameHunters,60,9575,28.8701,28.8701,22,64
BigGameHunters,61,7543.4,29.9706,29.9706,26,64
BigGameHunters,62,5556.2,28,28,29,64
BigGameHunters,63,11687.8,35.0416,31.7279,29,64
BigGameHunters,64,8288.4,31.3848,31.3848,27,64
BigGameHunters,65,9592.8,28.5563,28.5563,25,64
BigGameHunters,66,9123.8,30.799,30.799,26,64
BigGameHunters,67,5537.4,31.8284,31.8284,32,64
BigGameHunters,68,8107.6,29.9706,29.9706,26,64
BigGameHunters,69,11086.6,30.2426,30.2426,30,64
BigGameHunters,70,11188.2,32.5563,32.5563,29,64
BigGameHunters,71,8125.4,32.9706,32.9706,29,64
BigGameHunters,72,7290,33.7279,33.7279,31,64
BigGameHunters,73,10165.4,35.2132,35.2132,30,64
BigGameHunters,74,12526.8,36.3137,35.7279,34,64
BigGameHunters,75,10730.2,34.5269,34.5269,26,64
BigGameHunters,76,11804.8,35.2132,35.2132,30,64
BigGameHunters,77,7061,34.8995,34.8995,33,64
BigGameHunters,78,9432.6,33.2843,33.2843,26,64
BigGameHunters,79,11024.2,35.3553,35.3553,26,64
BigGameHunters,80,14057.2,39.0711,39.0711,38,64
BigGameHunters,81,12796.8,36.1421,36.1421,33,64
BigGameHunters,82,10248,38.2426,38.2426,38,64
BigGameHunters,83,9952,37.2132,37.2132,32,64
BigGameHunters,84,9627.2,39.5563,39.5563,36,64
BigGameHunters,85,11700.4,38.1127,38.1127,30,64
BigGameHunters,86,9265.6,38.799,37.9706,34,64
BigGameHunters,87,8010.4,37.8995,37.8995,36,64
BigGameHunters,88,10912,37.6274,37.6274,32,64
BigGameHunters,89,12570.4,37.2426,37.2426,37,64
BigGameHunters,90,12365.4,41.1838,41.1838,31,64
BigGameHunters,91,8919.6,43.8995,43.8995,42,64
BigGameHunters,92,10214.6,40.0416,40.0416,34,64
BigGameHunters,93,13262.4,42.1838,42.1838,32,64
BigGameHunters,94,13193,43.5269,43.5269,35,64
BigGameHunters,95,11479.2,43.1127,43.1127,35,64
BigGameHunters,96,10790.2,41.2843,41.2843,34,64
BigGameHunters,97,14503,43.1127,43.1127,35,64
BigGameHunters,98,8623.6,41.4853,41.4853,40,64
BigGameHunters,99,9701,40.8995,40.8995,39,64
BigGameHunters,100,16307.6,45.0122,45.0122,34,64
BigGameHunters,101,10817.6,47.3848,47.3848,43,64
BigGameHunters,102,13268.8,45.7696,45.7696,36,64
BigGameHunters,103,14901.6,44.5269,44.5269,36,64
BigGameHunters,104,15506,45.598,45.598,35,64
BigGameHunters,105,9936.6,44.1421,44.1421,41,64
BigGameHunters,106,7149.8,45,45,46,64
BigGameHunters,107,16308.8,47.598,47.598,37,64
BigGameHunters,108,16084.2,46.7696,46.7696,37,64
BigGameHunters,109,14175.4,46.598,46.598,36,64
BigGameHunters,110,14337,49.6985,49.6985,42,64
BigGameHunters,111,13924.4,51.8701,51.8701,45,64
BigGameHunters,112,13227.2,48.0833,48.0833,35,64
BigGameHunters,113,13088.2,48.8701,48.8701,42,64
BigGameHunters,114,19214.2,52.4558,51.6274,46,64
BigGameHunters,115,10590.2,51.6569,51.6569,51,64
BigGameHunters,116,17075.6,51.5269,51.5269,43,64
BigGameHunters,117,16283.8,51.3553,51.3553,42,64
BigGameHunters,118,15112.8,51.5269,51.5269,43,64
BigGameHunters,119,15045.6,49.598,49.598,39,64
BigGameHunters,120,17944,54.4558,54.4558,48,64
BigGameHunters,121,14762,55.1127,55.1127,47,64
BigGameHunters,122,13220.8,54.2132,54.2132,49,64
BigGameHunters,123,18333.2,54.8701,54.8701,48,64
BigGameHunters,124,16315.2,55.4264,55.4264,44,64
BigGameHunters,125,14415.6,55.2843,55.2843,48,64
BigGameHunters,126,11734.2,52.5563,52.5563,49,64
BigGameHunters,127,18345.2,54.1127,54.1127,46,64
BigGameHunters,128,15072.8,55.9411,55.9411,47,64
BigGameHunters,129,17438.4,52.0122,52.0122,41,64
BigGameHunters,130,18734,64.1838,56.0416,54,64
BigGameHunters,131,14225,56.6985,56.6985,49,64
BigGameHunters,132,22343.2,69.3259,59.5269,55,64
BigGameHunters,133,22858.4,61.7696,58.9411,52,64
BigGameHunters,134,20724.4,59.8701,59.8701,53,64
BigGameHunters,135,17416.6,59.7401,59.7401,45,64
BigGameHunters,136,20486,57.2548,57.2548,45,64
BigGameHunters,137,20507.6,61.0711,59.4142,60,64
BigGameHunters,138,19941.6,58.6985,58.1127,51,64
BigGameHunters,139,11214.8,59.4142,59.4142,60,64
BigGameHunters,140,22440.4,60.5685,60.5685,45,64
BigGameHunters,141,18964.2,61.8701,61.0416,55,64
BigGameHunters,142,19332.6,60.1543,60.1543,45,64
BigGameHunters,143,13975.6,63.1421,63.1421,60,64
BigGameHunters,144,18854,63.1127,63.1127,55,64
BigGameHunters,145,19522,63.4975,63.4975,50,64
BigGameHunters,146,18654.8,62.8701,62.8701,56,64
BigGameHunters,147,23148.6,61.8284,61.8284,62,64
