map,scenid,tcost,distance,expect,steps,r
BlackLotus,0,1764.4,6,6,7,0
BlackLotus,1,2402,5.24264,5.24264,5,0
BlackLotus,2,2102,6.65685,6.65685,6,0
BlackLotus,3,2449,6.24264,6.24264,6,0
BlackLotus,4,2403.6,6.82843,6.82843,7,0
BlackLotus,5,1533.2,7.41421,7.41421,8,0
BlackLotus,6,1757.8,6.24264,6.24264,6,0
BlackLotus,7,1384.4,4.41421,4.41421,5,0
BlackLotus,8,2112,7.24264,7.24264,7,0
BlackLotus,9,1928.2,5.24264,5.24264,5,0
BlackLotus,10,2137,8.24264,8.24264,8,0
BlackLotus,11,2195.2,10.2426,10.2426,10,0
BlackLotus,12,3552.4,11.0711,11.0711,10,0
BlackLotus,13,2934.8,8.24264,8.24264,8,0
BlackLotus,14,2231.4,10.4142,10.4142,11,0
BlackLotus,15,2342,10.2426,10.2426,10,0
BlackLotus,16,3692.8,10,10,11,0
BlackLotus,17,4385.4,11.6569,11.6569,11,0
BlackLotus,18,3537.8,8.82843,8.82843,9,0
BlackLotus,19,2668.2,10.0711,10.0711,9,0
BlackLotus,20,4989.6,14.8995,14.8995,13,0
BlackLotus,21,4365.6,15.8995,15.8995,14,0
BlackLotus,22,4946.8,15.3137,15.3137,13,0
BlackLotus,23,3348.6,15.8284,15.8284,16,0
BlackLotus,24,3566.2,14.1421,14.1421,11,0
BlackLotus,25,4951,15.2426,15.2426,15,0
BlackLotus,26,3315.2,12.6569,12.6569,12,0
BlackLotus,27,4897.2,15.4853,15.4853,14,0
BlackLotus,28,4531.2,15.3137,15.3137,13,0
BlackLotus,29,2047.4,12.8284,12.8284,13,0
BlackLotus,30,2473.6,19.8284,19.8284,20,0
BlackLotus,31,5955.4,19.1421,19.1421,16,0
BlackLotus,32,4654.4,16.3137,16.3137,14,0
BlackLotus,33,4074.2,18.3137,18.3137,16,0
BlackLotus,34,6055.2,18.9706,18.9706,15,0
BlackLotus,35,4492.4,16.7279,16.7279,14,0
BlackLotus,36,5015,16.5563,16.5563,13,0
BlackLotus,37,3876.2,16.7279,16.7279,14,0
BlackLotus,38,5204.8,18.5563,18.5563,15,0
BlackLotus,39,3186.8,16.2426,16.2426,16,0
BlackLotus,40,5549.8,20.7279,20.7279,18,0
BlackLotus,41,3762.2,23.6569,23.6569,23,0
BlackLotus,42,3600.4,22.4142,22.4142,23,0
BlackLotus,43,6602.4,20.799,20.799,16,0
BlackLotus,44,6071.2,20.799,20.799,16,0
BlackLotus,45,6392,21.2426,21.2426,21,0
BlackLotus,46,5391,21.3137,21.3137,19,0
BlackLotus,47,5516.8,23.1421,23.1421,20,0
BlackLotus,48,10343.4,20.8995,20.8995,19,0
BlackLotus,49,3962.6,21.2426,21.2426,21,0
BlackLotus,50,6754.2,27.799,27.799,23,0
BlackLotus,51,6670.8,25.0416,25.0416,19,0
BlackLotus,52,9317.6,27.3137,27.3137,25,0
BlackLotus,53,4348.2,26.4853,26.4853,25,0
BlackLotus,54,6810.6,24.3848,24.3848,20,0
BlackLotus,55,7161.8,26.1421,26.1421,23,0
BlackLotus,56,6396.8,25.5563,25.5563,22,0
BlackLotus,57,4124.6,24.4853,24.4853,23,0
BlackLotus,58,8200.2,25.6274,25.6274,20,0
BlackLotus,59,7341.4,27.0416,27.0416,21,0
BlackLotus,60,9256.4,30.8701,30.8701,24,0
BlackLotus,61,8065,30.6274,30.6274,25,0
BlackLotus,62,8839.4,31.4142,31.4142,32,0
BlackLotus,63,7227.6,29.0416,29.0416,23,0
BlackLotus,64,5275,29.3137,29.3137,27,0
BlackLotus,65,3646,28.8284,28.8284,29,0
BlackLotus,66,9245.4,29.4853,29.4853,28,0
BlackLotus,67,8752,29.8701,29.8701,23,0
BlackLotus,68,8989.6,30.2426,30.2426,30,0
BlackLotus,69,8584.2,28.6274,28.6274,23,0
BlackLotus,70,9670,33.5269,33.5269,25,0
BlackLotus,71,7872.2,32.2132,32.2132,27,0
BlackLotus,72,10047,34.5269,34.5269,26,0
BlackLotus,73,12413,33.4853,33.4853,32,0
BlackLotus,74,7808,32.9706,32.9706,29,0
BlackLotus,75,10657.6,33.6569,33.6569,33,0
BlackLotus,76,9326.6,35.1127,35.1127,27,0
BlackLotus,77,10032,34.2132,34.2132,29,0
BlackLotus,78,10644.4,33.7279,33.7279,31,0
BlackLotus,79,13519.2,33.3137,33.3137,31,0
BlackLotus,80,17729.2,39.7279,39.7279,37,0
BlackLotus,81,9407.2,36.2843,36.2843,29,0
BlackLotus,82,11606,36.2132,36.2132,31,0
BlackLotus,83,11322.4,39.0711,39.0711,38,0
BlackLotus,84,4155,38.2426,38.2426,38,0
BlackLotus,85,11259.6,36.0711,36.0711,35,0
BlackLotus,86,10646.2,39.2843,39.2843,32,0
BlackLotus,87,12275.6,38.2843,38.2843,31,0
BlackLotus,88,11109.8,37.2132,37.2132,32,0
BlackLotus,89,7231.6,37.1421,37.1421,34,0
BlackLotus,90,11261.6,40.5563,40.5563,37,0
BlackLotus,91,4997.8,40.2426,40.2426,40,0
BlackLotus,92,10476,43.8701,43.8701,37,0
BlackLotus,93,9491.4,40.4558,40.4558,34,0
BlackLotus,94,4220,42.4142,42.4142,43,0
BlackLotus,95,12585.2,42.8284,42.8284,43,0
BlackLotus,96,12324,40.7696,40.7696,31,0
BlackLotus,97,9513.8,41,41,42,0
BlackLotus,98,11952.4,41.3848,41.3848,37,0
BlackLotus,99,13020.8,42.0122,42.0122,31,0
BlackLotus,100,13730.4,45.6985,45.6985,38,0
BlackLotus,101,14415.6,46.5563,46.5563,43,0
BlackLotus,102,13612.4,46.2132,46.2132,41,0
BlackLotus,103,9057.6,45.6274,45.6274,40,0
BlackLotus,104,11887,47.2843,47.2843,40,0
BlackLotus,105,44486.8,47.2843,47.2843,40,0
BlackLotus,106,15139.6,47.5563,47.5563,44,0
BlackLotus,107,10578,45.0416,45.0416,39,0
BlackLotus,108,12824.4,46.1127,46.1127,38,0
BlackLotus,109,8646.2,46.669,46.669,34,0
BlackLotus,110,13304,49.1838,49.1838,39,0
BlackLotus,111,9820.8,49.0416,49.0416,43,0
BlackLotus,112,22949,50.1127,50.1127,42,0
BlackLotus,113,15832.8,49.0833,49.0833,36,0
BlackLotus,114,16773.8,51.8284,51.8284,52,0
BlackLotus,115,13252,50.7696,50.7696,41,0
BlackLotus,116,5379.6,51.2426,51.2426,51,0
BlackLotus,117,11946.6,50.9117,50.9117,37,0
BlackLotus,118,12806.8,48.598,48.598,38,0
BlackLotus,119,12327.4,49.5269,49.5269,41,0
BlackLotus,120,14446.4,55.4264,55.4264,44,0
BlackLotus,121,16080.8,52.0122,52.0122,41,0
BlackLotus,122,23020.8,54.3848,54.3848,50,0
BlackLotus,123,4542.6,53.4142,53.4142,54,0
BlackLotus,124,14247.6,52.4142,52.4142,53,0
BlackLotus,125,11656,53.6985,53.6985,46,0
BlackLotus,126,21068.8,54.7279,54.7279,52,0
BlackLotus,127,14598.4,52.0833,52.0833,39,0
BlackLotus,128,20439.8,53.598,53.598,43,0
BlackLotus,129,17151,55.3137,55.3137,53,0
BlackLotus,130,16882.8,57.799,57.799,53,0
BlackLotus,131,12178,58.0416,58.0416,52,0
BlackLotus,132,12864.8,56.3553,56.3553,47,0
BlackLotus,133,13102.8,57.1127,57.1127,49,0
BlackLotus,134,15023.4,58.8406,58.8406,47,0
BlackLotus,135,6727,59.4142,59.4142,60,0
BlackLotus,136,8460.4,58.3137,58.3137,56,0
BlackLotus,137,11275.4,56.0416,56.0416,50,0
BlackLotus,138,15392.4,57.669,57.669,45,0
BlackLotus,139,10392.6,57.6274,57.6274,52,0
BlackLotus,140,15573.2,62.0833,62.0833,49,0
BlackLotus,141,41429.4,63.8701,63.8701,57,0
BlackLotus,142,65971.8,62.9411,62.9411,54,0
BlackLotus,143,18837.6,61.8995,61.8995,60,0
BlackLotus,144,10729,60.7279,60.7279,58,0
BlackLotus,145,7732.4,60.4853,60.4853,59,0
BlackLotus,146,14738.2,62.3259,62.3259,48,0
BlackLotus,147,13511,60.3553,60.3553,51,0
BlackLotus,148,14040.2,62.2254,62.2254,45,0
BlackLotus,149,17556.4,62.2548,62.2548,50,0
BlackLotus,150,20284.6,67.7279,67.7279,65,0
BlackLotus,151,8537,66.3137,66.3137,64,0
BlackLotus,152,20131,67.8112,67.8112,51,0
BlackLotus,153,9595,67.3848,67.3848,63,0
BlackLotus,154,20702.8,67.6985,67.6985,60,0
BlackLotus,155,15244,66.9411,66.9411,58,0
BlackLotus,156,11452.8,66.1838,66.1838,56,0
BlackLotus,157,6539.2,66.8284,66.8284,67,0
BlackLotus,158,49519,66.2843,66.2843,59,0
BlackLotus,159,11866.4,65.6274,65.6274,60,0
BlackLotus,160,50233.8,71.8701,71.8701,65,0
BlackLotus,161,11928.2,70.9706,70.9706,67,0
BlackLotus,162,6387,68.2426,68.2426,68,0
BlackLotus,163,23111.4,71.8701,71.8701,65,0
BlackLotus,164,82509,69.7696,69.7696,60,0
BlackLotus,165,21897.6,71.8112,71.8112,55,0
BlackLotus,166,21798.8,71.8112,71.8112,55,0
BlackLotus,167,19799.8,68.1838,68.1838,58,0
BlackLotus,168,14721.2,69.2843,69.2843,62,0
BlackLotus,169,21306.6,70.4558,70.4558,64,0
BlackLotus,170,21269.8,73.6569,73.6569,73,0
BlackLotus,171,22497.6,74.1249,74.1249,54,0
BlackLotus,172,23333.6,72.9828,72.9828,57,0
BlackLotus,173,20454.2,74.5391,74.5391,54,0
BlackLotus,174,10793.6,72.3137,72.3137,70,0
BlackLotus,175,24558.6,72.2548,72.2548,60,0
BlackLotus,176,18808.2,72.4975,72.4975,59,0
BlackLotus,177,18980.8,73.9411,73.9411,65,0
BlackLotus,178,49619.6,75.0538,75.0538,57,0
BlackLotus,179,6112.6,75.4142,75.4142,76,0
BlackLotus,180,10655.6,79.1421,79.1421,76,0
BlackLotus,181,8741.8,77.4853,77.4853,76,0
BlackLotus,182,154320,79.2254,79.2254,62,0
BlackLotus,183,9543,77.8995,77.8995,76,0
BlackLotus,184,32750.4,78.8701,78.8701,72,0
BlackLotus,185,169530,79.3848,79.3848,75,0
BlackLotus,186,24335.4,76.3137,76.3137,74,0
BlackLotus,187,18509.8,79.7401,79.7401,65,0
BlackLotus,188,17369.8,79.3553,79.3553,70,0
BlackLotus,189,25223.4,78.1421,78.1421,75,0
BlackLotus,190,14208.6,83.4558,83.4558,77,0
BlackLotus,191,24521,81.5269,81.5269,73,0
BlackLotus,192,8159.2,83.0711,83.0711,82,0
BlackLotus,193,119311,80.0833,80.0833,67,0
BlackLotus,194,89049.6,82.5685,82.5685,67,0
BlackLotus,195,10253.6,83.7279,83.7279,81,0
BlackLotus,196,20636.2,82.4975,82.4975,69,0
BlackLotus,197,193836,81.598,81.598,71,0
BlackLotus,198,24219.2,80.4853,80.4853,79,0
BlackLotus,199,21933,81.2254,81.2254,64,0
BlackLotus,200,27921.8,85.9533,85.9533,65,0
BlackLotus,201,12679.2,86.5563,86.5563,83,0
BlackLotus,202,19562.8,87.3259,87.3259,73,0
BlackLotus,203,116264,85.7696,85.7696,76,0
BlackLotus,204,81577.4,86.3553,86.3553,77,0
BlackLotus,205,44358.6,87.8701,87.8701,81,0
BlackLotus,206,16337.8,86.2843,86.2843,79,0
BlackLotus,207,30416.8,85.5269,85.5269,77,0
BlackLotus,208,114319,86.1127,86.1127,78,0
BlackLotus,209,89467,85.0833,85.0833,72,0
BlackLotus,210,29543.6,89.1249,89.1249,69,0
BlackLotus,211,14766,89.2843,89.2843,82,0
BlackLotus,212,27941,89.9117,89.9117,76,0
BlackLotus,213,64467.4,89.0416,89.0416,83,0
BlackLotus,214,194307,90.4975,90.4975,77,0
BlackLotus,215,29242,90.9706,90.9706,87,0
BlackLotus,216,75876.2,88.3553,88.3553,79,0
BlackLotus,217,28426.2,89.0244,89.0244,66,0
BlackLotus,218,140622,88.5269,88.5269,80,0
BlackLotus,219,179302,88.4264,88.4264,77,0
BlackLotus,220,38262.2,93.799,93.799,89,0
BlackLotus,221,73664.8,92.2132,92.2132,87,0
BlackLotus,222,21547.6,95.9117,95.9117,82,0
BlackLotus,223,88090.2,92.7696,92.7696,83,0
BlackLotus,224,10120.8,94.8284,94.8284,95,0
BlackLotus,225,24603.2,93.397,93.397,77,0
BlackLotus,226,28112.4,92.7817,92.7817,71,0
BlackLotus,227,9391.2,94.2426,94.2426,94,0
BlackLotus,228,32055.4,95.468,95.468,77,0
BlackLotus,229,30935.2,95.7401,95.7401,81,0
BlackLotus,230,14803.4,99.4558,99.4558,93,0
BlackLotus,231,25093.8,98.9411,98.9411,90,0
BlackLotus,232,96388.2,97.7401,97.7401,83,0
BlackLotus,233,82576.2,96.598,96.598,86,0
BlackLotus,234,30708,96.1249,96.1249,76,0
BlackLotus,235,33591,96.9828,96.9828,81,0
BlackLotus,236,17516.4,97.5269,97.5269,89,0
BlackLotus,237,30212.6,97.9533,97.9533,77,0
BlackLotus,238,24054.4,96.1249,96.1249,76,0
BlackLotus,239,16122.8,97.1127,97.1127,89,0
BlackLotus,240,29560.6,103.698,103.698,96,0
BlackLotus,241,29036.2,100.439,100.439,77,0
BlackLotus,242,74118.4,103.497,103.497,90,0
BlackLotus,243,157774,103.255,103.255,91,0
BlackLotus,244,186619,103.184,103.184,93,0
BlackLotus,245,169753,101.882,101.882,83,0
BlackLotus,246,31064.2,102.51,102.51,77,0
BlackLotus,247,34429.8,103.154,103.154,88,0
BlackLotus,248,213863,102.983,102.983,87,0
BlackLotus,249,26432.4,101.569,101.569,86,0
BlackLotus,250,141490,107.385,107.385,103,0
BlackLotus,251,30261.8,107.368,107.368,86,0
BlackLotus,252,25139.4,107.154,107.154,92,0
BlackLotus,253,209999,105.941,105.941,97,0
BlackLotus,254,29777.8,106.971,106.971,103,0
BlackLotus,255,15741.4,105.355,105.355,96,0
BlackLotus,256,122921,107.74,107.74,93,0
BlackLotus,257,246152,105.255,105.255,93,0
BlackLotus,258,39864.8,107.368,107.368,86,0
BlackLotus,259,190473,104.983,104.983,89,0
BlackLotus,260,38087,109.113,109.113,101,0
BlackLotus,261,64595.6,110.924,110.924,85,0
BlackLotus,262,79353.4,109.64,109.64,92,0
BlackLotus,263,27794.8,110.314,110.314,108,0
BlackLotus,264,41235.2,111.799,111.799,107,0
BlackLotus,265,34384.6,111.397,111.397,95,0
BlackLotus,266,325218,108.024,108.024,85,0
BlackLotus,267,33488,111.983,111.983,96,0
BlackLotus,268,89943.2,110.87,110.87,104,0
BlackLotus,269,41340.4,109.042,109.042,103,0
BlackLotus,270,32337.6,114.711,114.711,95,0
BlackLotus,271,73910.8,115.87,115.87,109,0
BlackLotus,272,68291,115.355,115.355,106,0
BlackLotus,273,32543,112.983,112.983,97,0
BlackLotus,274,66993.2,112.326,112.326,98,0
BlackLotus,275,53657.4,112.456,112.456,106,0
BlackLotus,276,30535.6,112.409,112.409,84,0
BlackLotus,277,29125.2,112.899,112.899,111,0
BlackLotus,278,28116,113.882,113.882,95,0
BlackLotus,279,115808,112.456,112.456,106,0
BlackLotus,280,187621,116.61,116.61,94,0
BlackLotus,281,30044.2,119.225,119.225,102,0
BlackLotus,282,120554,117.539,117.539,97,0
BlackLotus,283,25353.6,119.154,119.154,104,0
BlackLotus,284,19880.4,116.77,116.77,107,0
BlackLotus,285,21866.4,116.941,116.941,108,0
BlackLotus,286,404809,119.64,119.64,102,0
BlackLotus,287,23850,117.355,117.355,108,0
BlackLotus,288,18486.4,116.971,116.971,113,0
BlackLotus,289,172503,118.196,118.196,96,0
BlackLotus,290,42969.6,123.054,123.054,105,0
BlackLotus,291,36923.6,121.551,121.551,89,0
BlackLotus,292,30492.6,122.439,122.439,99,0
BlackLotus,293,29480.2,123.569,123.569,108,0
BlackLotus,294,159144,123.468,123.468,105,0
BlackLotus,295,235510,121.338,121.338,95,0
BlackLotus,296,281713,121.267,121.267,97,0
BlackLotus,297,99156.8,120.652,120.652,91,0
BlackLotus,298,168035,122.983,122.983,107,0
BlackLotus,299,38872.4,120.167,120.167,93,0
BlackLotus,300,36243,126.284,126.284,119,0
BlackLotus,301,112711,124.61,124.61,102,0
BlackLotus,302,241288,124.752,124.752,98,0
BlackLotus,303,41341.2,126.426,126.426,115,0
BlackLotus,304,567015,126.468,126.468,108,0
BlackLotus,305,34954.2,126.485,126.485,125,0
BlackLotus,306,36273.8,125.238,125.238,96,0
BlackLotus,307,21448.2,124.569,124.569,109,0
BlackLotus,308,150839,126.338,126.338,100,0
BlackLotus,309,407088,127.255,127.255,115,0
BlackLotus,310,60863.6,130.598,130.598,120,0
BlackLotus,311,283226,128.267,128.267,104,0
BlackLotus,312,17841.4,131.971,131.971,128,0
BlackLotus,313,38982.2,128.723,128.723,97,0
BlackLotus,314,31748.2,128.296,128.296,109,0
BlackLotus,315,15905.2,128.213,128.213,123,0
