map,scenid,tcost,distance,expect,steps,r
BlastFurnace,0,4593.8,5.41421,5.41421,6,4
BlastFurnace,1,3580,7.65685,7.65685,7,4
BlastFurnace,2,3107.8,7.65685,7.65685,7,4
BlastFurnace,3,2191,4.82843,4.82843,5,4
BlastFurnace,4,2657.8,7.65685,7.65685,7,4
BlastFurnace,5,3306.6,7.65685,7.65685,7,4
BlastFurnace,6,2900.6,6.65685,6.65685,6,4
BlastFurnace,7,2462,7.65685,7.65685,7,4
BlastFurnace,8,2580.8,5.41421,5.41421,6,4
BlastFurnace,9,2789.8,6,6,7,4
BlastFurnace,10,3198.2,8.07107,8.07107,7,4
BlastFurnace,11,3104,8.07107,8.07107,7,4
BlastFurnace,12,4931.2,11.8995,11.8995,10,4
BlastFurnace,13,3067,8.48528,8.48528,7,4
BlastFurnace,14,3438,9.89949,9.89949,8,4
BlastFurnace,15,3135.8,10.8284,10.8284,11,4
BlastFurnace,16,4499,11.4853,11.4853,10,4
BlastFurnace,17,2553,8.82843,8.82843,9,4
BlastFurnace,18,3780.8,11.4853,11.4853,10,4
BlastFurnace,19,3698.4,10.0711,10.0711,9,4
BlastFurnace,20,5402.8,13.4853,13.4853,12,4
BlastFurnace,21,4505,14.3137,14.3137,12,4
BlastFurnace,22,4316,12.7279,12.7279,10,4
BlastFurnace,23,3927.4,12.4853,12.4853,11,4
BlastFurnace,24,3667.8,14.6569,14.6569,14,4
BlastFurnace,25,5650,15.4853,15.4853,14,4
BlastFurnace,26,5256.4,14.0711,14.0711,13,4
BlastFurnace,27,4956,14.4853,14.4853,13,4
BlastFurnace,28,3285.2,14.2426,14.2426,14,4
BlastFurnace,29,6331.6,15.8284,15.8284,16,4
BlastFurnace,30,6690.6,18.4853,18.4853,17,4
BlastFurnace,31,5778.8,16.4142,16.4142,17,4
BlastFurnace,32,5612.2,17.7279,17.7279,15,4
BlastFurnace,33,6749,19.3848,19.3848,15,4
BlastFurnace,34,5297.6,19.3137,19.3137,17,4
BlastFurnace,35,4996,17.3137,17.3137,15,4
BlastFurnace,36,7164.8,19.8995,19.8995,18,4
BlastFurnace,37,6466.2,18.3137,18.3137,16,4
BlastFurnace,38,5875.6,16.6569,16.6569,16,4
BlastFurnace,39,4313.4,17.2426,17.2426,17,4
BlastFurnace,40,8032.8,21,21,22,4
BlastFurnace,41,9064.8,23.4142,23.4142,24,4
BlastFurnace,42,6227.4,20.7279,20.7279,18,4
BlastFurnace,43,6211.6,21.1421,21.1421,18,4
BlastFurnace,44,6015.6,22.5563,22.5563,19,4
BlastFurnace,45,5474.4,22.3137,22.3137,20,4
BlastFurnace,46,10361.6,22.799,22.799,18,4
BlastFurnace,47,6493.2,23.1421,23.1421,20,4
BlastFurnace,48,8008.8,20.4142,20.4142,21,4
BlastFurnace,49,7752.8,23.6274,23.6274,18,4
BlastFurnace,50,4713.6,24.2426,24.2426,24,4
BlastFurnace,51,9746.8,25.8284,25.8284,26,4
BlastFurnace,52,7644.4,24.9706,24.9706,21,4
BlastFurnace,53,9997.2,27.5563,27.5563,24,4
BlastFurnace,54,4470,27,27,28,4
BlastFurnace,55,9502.6,27.8701,27.8701,21,4
BlastFurnace,56,8649,24.0416,24.0416,18,4
BlastFurnace,57,9171.8,27.2132,27.2132,22,4
BlastFurnace,58,9621.4,25.2426,25.2426,25,4
BlastFurnace,59,7289.2,25.1421,25.1421,22,4
BlastFurnace,60,11341.6,30.6569,30.6569,30,4
BlastFurnace,61,10446,30.4558,30.4558,24,4
BlastFurnace,62,10130.6,29.2843,29.2843,22,4
BlastFurnace,63,9649,30.2132,30.2132,25,4
BlastFurnace,64,7805.8,28.5563,28.5563,25,4
BlastFurnace,65,9356.6,29.4558,29.4558,23,4
BlastFurnace,66,10717,30.2132,30.2132,25,4
BlastFurnace,67,11194.2,31.6274,31.6274,26,4
BlastFurnace,68,13698.4,33.1421,30.0711,30,4
BlastFurnace,69,12369.4,31.8995,31.8995,30,4
BlastFurnace,70,11867.8,33.9411,33.9411,25,4
BlastFurnace,71,10901.4,35.0416,35.0416,29,4
BlastFurnace,72,12019.6,33.0416,33.0416,27,4
BlastFurnace,73,6586.8,34.2426,34.2426,34,4
BlastFurnace,74,6341.2,34.6569,34.6569,34,4
BlastFurnace,75,13847.8,35.3848,35.3848,31,4
BlastFurnace,76,12105.4,35.5269,35.5269,27,4
BlastFurnace,77,8945.6,34.9706,34.9706,31,4
BlastFurnace,78,11962.2,33.0416,33.0416,27,4
BlastFurnace,79,12092.2,35.5269,35.5269,27,4
BlastFurnace,80,13135.6,37.5563,37.5563,34,4
BlastFurnace,81,14585.4,38.9706,38.9706,35,4
BlastFurnace,82,10704,39.7279,39.7279,37,4
BlastFurnace,83,9172.6,37.5563,37.5563,34,4
BlastFurnace,84,13874.8,39.6985,39.6985,32,4
BlastFurnace,85,14082.8,39.1127,39.1127,31,4
BlastFurnace,86,15809.4,38.6569,38.6569,38,4
BlastFurnace,87,12385,37.1127,37.1127,29,4
BlastFurnace,88,12631.2,38.9411,38.9411,30,4
BlastFurnace,89,16409.6,38.5563,37.7279,35,4
BlastFurnace,90,19737.2,46.9706,43.8995,43,4
BlastFurnace,91,15423.6,40.3848,40.3848,36,4
BlastFurnace,92,15490.6,41.3137,41.3137,39,4
BlastFurnace,93,10198.4,41.0711,41.0711,40,4
BlastFurnace,94,12834,44.0416,42.3848,38,4
BlastFurnace,95,9815.4,44.1421,43.3137,41,4
BlastFurnace,96,10417.8,43.1421,43.1421,40,4
BlastFurnace,97,13461.4,40.7696,40.7696,31,4
BlastFurnace,98,6964.2,40.4142,40.4142,41,4
BlastFurnace,99,15232.4,40.3848,40.3848,36,4
BlastFurnace,100,21854.4,50.2843,46.3848,43,4
BlastFurnace,101,11134,46.3137,46.3137,44,4
BlastFurnace,102,19455.4,46.4264,46.4264,35,4
BlastFurnace,103,18391.8,47.3848,47.3848,43,4
BlastFurnace,104,11303.8,46.8995,46.8995,45,4
BlastFurnace,105,16398.6,44.3553,44.3553,35,4
BlastFurnace,106,16917.2,45.6985,45.6985,38,4
BlastFurnace,107,14520.2,47.6985,47.6985,40,4
BlastFurnace,108,18427,47.799,47.799,43,4
BlastFurnace,109,14948.2,45.4264,45.4264,34,4
BlastFurnace,110,18181.4,52.669,51.8406,40,4
BlastFurnace,111,18342.6,51.8406,51.8406,40,4
BlastFurnace,112,15747,50.3553,50.3553,41,4
