map,scenid,tcost,distance,expect,steps,r
Brushfire,0,2965,5.82843,5.82843,6,32
Brushfire,1,2658.8,6.65685,6.65685,6,32
Brushfire,2,2569.6,7.82843,7.82843,8,32
Brushfire,3,2501.4,5.41421,5.41421,6,32
Brushfire,4,1961,4.82843,4.82843,5,32
Brushfire,5,2851.8,6.41421,6.41421,7,32
Brushfire,6,1892.8,4.82843,4.82843,5,32
Brushfire,7,1740.4,7.82843,7.82843,8,32
Brushfire,8,1598.6,4.82843,4.82843,5,32
Brushfire,9,2235,7.07107,7.07107,6,32
Brushfire,10,2960.6,9.89949,9.89949,8,32
Brushfire,11,3815.6,11.0711,11.0711,10,32
Brushfire,12,3377.8,10.0711,10.0711,9,32
Brushfire,13,3717.6,10.4142,10.4142,11,32
Brushfire,14,2256.8,10,10,11,32
Brushfire,15,2543.8,10.6569,10.6569,10,32
Brushfire,16,2241.2,10.8284,10.8284,11,32
Brushfire,17,2408.6,9.07107,9.07107,8,32
Brushfire,18,3953.2,11.4142,11.4142,12,32
Brushfire,19,2310.4,11.8284,11,12,32
Brushfire,20,3759.2,15.4853,15.4853,14,32
Brushfire,21,4219.6,14.1421,14.1421,11,32
Brushfire,22,4784,13.4142,13.4142,14,32
Brushfire,23,4746.4,13.6569,13.6569,13,32
Brushfire,24,3222.2,12,12,13,32
Brushfire,25,4793.2,15.6569,15.6569,15,32
Brushfire,26,4265,14.7279,14.7279,12,32
Brushfire,27,3290.2,12.4853,12.4853,11,32
Brushfire,28,4003.4,13.8995,13.8995,12,32
Brushfire,29,3772.6,15.2426,15.2426,15,32
Brushfire,30,5574.8,19.5563,19.5563,16,32
Brushfire,31,4634,16.3137,16.3137,14,32
Brushfire,32,5968.2,19.4142,19.4142,20,32
Brushfire,33,3889.8,16.4142,16.4142,17,32
Brushfire,34,4966.4,17.6569,17.6569,17,32
Brushfire,35,2558,17,17,18,32
Brushfire,36,5750.4,17,17,18,32
Brushfire,37,5683.2,19.5563,19.5563,16,32
Brushfire,38,4547.4,17.1421,17.1421,14,32
Brushfire,39,4722.2,16.4142,16.4142,17,32
Brushfire,40,3246.4,21.8284,21.8284,22,32
Brushfire,41,3761.4,21.2426,21.2426,21,32
Brushfire,42,6940.6,20.2426,20.2426,20,32
Brushfire,43,3227.6,20.2426,20.2426,20,32
Brushfire,44,5979,20.3848,20.3848,16,32
Brushfire,45,7143,23.3137,23.3137,21,32
Brushfire,46,6548.6,23.9706,23.9706,20,32
Brushfire,47,4984,23.7279,23.7279,21,32
Brushfire,48,5712.6,22.5563,22.5563,19,32
Brushfire,49,4154.8,22.0711,22.0711,21,32
Brushfire,50,9477.6,27.4558,27.4558,21,32
Brushfire,51,6579.6,24.5563,24.5563,21,32
Brushfire,52,4343.2,26.6569,26.6569,26,32
Brushfire,53,6304.2,25.3848,25.3848,21,32
Brushfire,54,6484,25.7279,25.7279,23,32
Brushfire,55,7586.6,26.4558,26.4558,20,32
Brushfire,56,6721.4,25.3137,25.3137,23,32
Brushfire,57,4567,26.4142,26.4142,27,32
Brushfire,58,5985,27.799,27.799,23,32
Brushfire,59,5815.2,27.4853,27.4853,26,32
Brushfire,60,7516.4,29.9706,29.9706,26,32
Brushfire,61,9666.8,31.8701,31.8701,25,32
Brushfire,62,8065.4,30.5563,30.5563,27,32
Brushfire,63,9457.2,29.4853,29.4853,28,32
Brushfire,64,4948,29.2426,29.2426,29,32
Brushfire,65,7867.8,31.1421,31.1421,28,32
Brushfire,66,9317,30.8284,30.8284,31,32
Brushfire,67,6264.4,30.4142,30.4142,31,32
Brushfire,68,7955.8,29.8701,29.8701,23,32
Brushfire,69,9189.8,28.1421,28.1421,25,32
Brushfire,70,8223.4,34.2843,34.2843,27,32
Brushfire,71,9209.8,33.799,33.799,29,32
Brushfire,72,11167.6,35.6274,35.6274,30,32
Brushfire,73,9856,34.9411,34.9411,26,32
Brushfire,74,10585.2,34.6274,34.6274,29,32
Brushfire,75,7415,34.1421,34.1421,31,32
Brushfire,76,7295,34.5563,34.5563,31,32
Brushfire,77,10368.6,32.6569,32.6569,32,32
Brushfire,78,6972.6,34.8284,34.8284,35,32
Brushfire,79,10607.6,33.4558,33.4558,27,32
Brushfire,80,9639.8,37.2132,36.6274,32,32
Brushfire,81,9171.6,37.3848,37.3848,33,32
Brushfire,82,6239.6,39,39,40,32
Brushfire,83,13063,38.8701,38.8701,32,32
Brushfire,84,11642.4,36.8284,36.8284,37,32
Brushfire,85,11484,39.2843,39.2843,32,32
Brushfire,86,5911,37.4142,37.4142,38,32
Brushfire,87,7589,38.3848,38.3848,34,32
Brushfire,88,7797.2,39.8284,39.8284,40,32
Brushfire,89,10813,39.6274,39.6274,34,32
Brushfire,90,8673,40.9706,40.9706,37,32
Brushfire,91,13905,43.1421,43.1421,40,32
Brushfire,92,12604.2,40.7696,40.7696,31,32
Brushfire,93,11534.6,41.9706,41.9706,38,32
Brushfire,94,12204,42.598,42.598,32,32
Brushfire,95,9305.8,41.2132,40.0416,36,32
Brushfire,96,12564.6,40.6985,40.6985,33,32
Brushfire,97,10663.4,43.2843,43.2843,36,32
Brushfire,98,7714,43.2426,43.2426,43,32
Brushfire,99,11615.4,43.9411,43.9411,35,32
Brushfire,100,10357.2,47.5563,47.5563,44,32
Brushfire,101,9287,45.7279,45.7279,43,32
Brushfire,102,12404.4,44.6985,44.6985,37,32
Brushfire,103,14905.2,46.8284,46.8284,47,32
Brushfire,104,12653.6,46.9411,46.9411,38,32
Brushfire,105,8594.4,44.3137,44.3137,42,32
Brushfire,106,10614.4,44.9706,44.9706,41,32
Brushfire,107,14122,44.4264,44.4264,33,32
Brushfire,108,11360.4,44.4264,44.4264,33,32
Brushfire,109,8724,45.7279,45.7279,43,32
Brushfire,110,10767.8,48.7279,48.7279,46,32
Brushfire,111,16799,51.3553,51.3553,42,32
Brushfire,112,15174.6,51.9117,51.9117,38,32
Brushfire,113,16620.6,53.799,51.3137,49,32
Brushfire,114,12909.2,50.4558,50.4558,44,32
Brushfire,115,14897,51.4264,51.4264,40,32
Brushfire,116,13639.4,49.8701,49.0416,43,32
Brushfire,117,9447.8,49.4853,49.4853,48,32
Brushfire,118,9289,48.4142,48.4142,49,32
Brushfire,119,9772.2,49.1421,49.1421,46,32
Brushfire,120,15623.4,55.6985,55.6985,48,32
Brushfire,121,16273.4,53.598,53.598,43,32
Brushfire,122,16192,55.1838,55.1838,45,32
Brushfire,123,12900.6,55.5563,55.5563,52,32
Brushfire,124,14422.2,55.7696,55.7696,46,32
Brushfire,125,14819.2,52.8406,52.8406,41,32
Brushfire,126,17459.8,55.6274,55.6274,50,32
Brushfire,127,16357,54.7696,54.7696,45,32
Brushfire,128,13190.4,52.9117,52.9117,39,32
Brushfire,129,8608,52,52,53,32
Brushfire,130,36200.2,68.2548,57.2843,56,32
Brushfire,131,12370.8,56.1421,56.1421,53,32
Brushfire,132,17463.6,56.3259,56.3259,42,32
Brushfire,133,12935.8,59.0711,59.0711,58,32
Brushfire,134,18635.6,58.5269,58.5269,50,32
Brushfire,135,15690.8,59.598,59.598,49,32
Brushfire,136,16326.2,57.0416,57.0416,51,32
Brushfire,137,25635,56.1127,56.1127,48,32
Brushfire,138,16031,59.3553,59.3553,50,32
Brushfire,139,17270.2,56.3137,56.3137,54,32
Brushfire,140,20022.2,63.4975,63.4975,50,32
Brushfire,141,11671.6,63.4142,63.4142,64,32
Brushfire,142,14565.2,60.9411,60.1127,52,32
Brushfire,143,13564.2,63.6569,63.6569,63,32
Brushfire,144,20806.2,62.2426,62.2426,62,32
Brushfire,145,15514.8,62.5563,62.5563,59,32
Brushfire,146,15133,63.6274,63.6274,58,32
Brushfire,147,18723.8,62.7401,62.7401,48,32
Brushfire,148,16582.6,62.669,62.669,50,32
