map,scenid,tcost,distance,expect,steps,r
ca_cave,0,2169,5.24264,5.24264,5,128
ca_cave,1,1747.8,7.07107,7.07107,6,128
ca_cave,2,1548.4,7.41421,7.41421,8,128
ca_cave,3,1178.8,6,6,7,128
ca_cave,4,1392.6,5.82843,5.82843,6,128
ca_cave,5,1451.6,7.24264,7.24264,7,128
ca_cave,6,1495.8,7.65685,7.65685,7,128
ca_cave,7,1608.4,7.41421,7.41421,8,128
ca_cave,8,1332.2,7.24264,7.24264,7,128
ca_cave,9,1295.4,6.65685,6.65685,6,128
ca_cave,10,2209.4,10.4853,10.4853,9,128
ca_cave,11,3019.2,11.4853,11.4853,10,128
ca_cave,12,2061.4,10.6569,10.6569,10,128
ca_cave,13,1552.8,9.48528,9.48528,8,128
ca_cave,14,1637.8,11.2426,11.2426,11,128
ca_cave,15,1496.4,8.41421,8.41421,9,128
ca_cave,16,1698.4,10.4853,10.4853,9,128
ca_cave,17,2123,10.8995,10.8995,9,128
ca_cave,18,1868,9.65685,9.65685,9,128
ca_cave,19,1894.6,11.4853,11.4853,10,128
ca_cave,20,2333,13.7279,13.7279,11,128
ca_cave,21,2149,12.8995,12.8995,11,128
ca_cave,22,1806.8,13.2426,13.2426,13,128
ca_cave,23,2029.2,13.4853,13.4853,12,128
ca_cave,24,2290.2,12.2426,12.2426,12,128
ca_cave,25,2866.2,15.6569,15.6569,15,128
ca_cave,26,1806.6,14.2426,14.2426,14,128
ca_cave,27,2340,14.8995,14.8995,13,128
ca_cave,28,2361.6,14.4142,14.4142,15,128
ca_cave,29,1758.4,13.6569,13.6569,13,128
ca_cave,30,2562.4,16.3137,16.3137,14,128
ca_cave,31,3342,17.6569,17.6569,17,128
ca_cave,32,2542.2,17.6569,17.6569,17,128
ca_cave,33,2575.2,16.3137,16.3137,14,128
ca_cave,34,2635.4,19.0711,19.0711,18,128
ca_cave,35,2644.6,16.3137,16.3137,14,128
ca_cave,36,2618.8,17.1421,17.1421,14,128
ca_cave,37,2835.6,18.2426,18.2426,18,128
ca_cave,38,3905.6,19.8995,19.0711,18,128
ca_cave,39,3136.2,19.4142,19.4142,20,128
ca_cave,40,4200.8,23.6274,23.6274,18,128
ca_cave,41,3849,23.8995,23.8995,22,128
ca_cave,42,3609.4,21.3848,21.3848,17,128
ca_cave,43,4078.6,23.5563,23.5563,20,128
ca_cave,44,3359,20.2426,20.2426,20,128
ca_cave,45,3366.4,21.4853,21.4853,20,128
ca_cave,46,3698.6,21.4142,21.4142,22,128
ca_cave,47,3336.8,23.0711,23.0711,22,128
ca_cave,48,4086.4,22.3137,22.3137,20,128
ca_cave,49,3072,21.3848,21.3848,17,128
ca_cave,50,3743.8,24.2426,24.2426,24,128
ca_cave,51,4009.2,25.3137,25.3137,23,128
ca_cave,52,5220.6,27.799,27.799,23,128
ca_cave,53,3918.4,25.1421,25.1421,22,128
ca_cave,54,5056.4,27.3848,27.3848,23,128
ca_cave,55,5545,29.6274,27.9706,24,128
ca_cave,56,4269.8,25.8995,25.8995,24,128
ca_cave,57,4136,25.5563,25.5563,22,128
ca_cave,58,3987.4,26.2426,26.2426,26,128
ca_cave,59,3672,27.2426,27.2426,27,128
ca_cave,60,5000.8,31.4853,31.4853,30,128
ca_cave,61,5576.4,30.4558,30.4558,24,128
ca_cave,62,4671,29.4558,29.4558,23,128
ca_cave,63,5023.2,29.0416,29.0416,23,128
ca_cave,64,4201,29.0416,29.0416,23,128
ca_cave,65,4738.2,28.799,28.799,24,128
ca_cave,66,4822.4,29.4853,29.4853,28,128
ca_cave,67,4070,28.3137,28.3137,26,128
ca_cave,68,4397.4,28.1421,28.1421,25,128
ca_cave,69,5129.4,29.2843,29.2843,22,128
ca_cave,70,5861.8,34.1127,34.1127,26,128
ca_cave,71,5590.8,32.5563,32.5563,29,128
ca_cave,72,5611.2,32.6985,32.6985,25,128
ca_cave,73,6120.8,34.9411,34.9411,26,128
ca_cave,74,5704,32.799,32.799,28,128
ca_cave,75,5229.6,32.1421,32.1421,29,128
ca_cave,76,5630,32.8701,32.8701,26,128
ca_cave,77,6118,37.4558,34.9706,31,128
ca_cave,78,6456.8,32.4853,32.4853,31,128
ca_cave,79,6597,35.8701,35.8701,29,128
ca_cave,80,7085.8,41.3137,39.0711,39,128
ca_cave,81,7054.4,38.2843,38.2843,31,128
ca_cave,82,5638.4,36.2426,36.2426,36,128
ca_cave,83,6455.8,39.4558,38.6274,33,128
ca_cave,84,6528,38.0416,37.2132,32,128
ca_cave,85,5884.2,37.4558,37.4558,31,128
ca_cave,86,6695.8,39.7696,39.7696,30,128
ca_cave,87,6452,39.3848,39.3848,35,128
ca_cave,88,6155.4,36.1127,36.1127,28,128
ca_cave,89,6769.4,40.8701,38.6274,34,128
ca_cave,90,6862.4,42.8284,42.8284,43,128
ca_cave,91,6548.4,42.2426,41.4142,42,128
ca_cave,92,8863,45.8995,43.6569,44,128
ca_cave,93,7476.6,42.2132,42.2132,37,128
ca_cave,94,8193,40.7696,40.7696,31,128
ca_cave,95,7720.8,44.9706,41.6569,41,128
ca_cave,96,7458.8,43.1838,43.1838,33,128
ca_cave,97,22139.2,48.1127,42.6985,40,128
ca_cave,98,7198.4,40.2132,40.2132,35,128
ca_cave,99,7764.2,46.2132,43.1421,41,128
ca_cave,100,8439.2,44.4558,44.4558,38,128
ca_cave,101,8937.4,47.7696,47.7696,38,128
ca_cave,102,8109,44.4558,44.4558,38,128
ca_cave,103,7996,44.4558,44.4558,38,128
ca_cave,104,7920,45.0122,45.0122,34,128
ca_cave,105,8704.6,46.4558,44.799,40,128
ca_cave,106,14176.2,54.2843,47.799,47,128
ca_cave,107,8244,49.799,46.7279,45,128
ca_cave,108,8001.6,44.6985,44.6985,37,128
ca_cave,109,7268,47.9706,46.3137,44,128
ca_cave,110,20038.8,58.2843,51.5563,51,128
ca_cave,111,9474.4,48.4558,48.4558,42,128
ca_cave,112,8311.2,49.8284,49.8284,50,128
ca_cave,113,8529.4,50.2843,50.2843,43,128
ca_cave,114,8720.8,48.6985,48.1127,41,128
ca_cave,115,99516.4,51.3848,50.799,47,128
ca_cave,116,9383.2,50.1838,50.1838,40,128
ca_cave,117,10212.6,50.7696,50.7696,41,128
ca_cave,118,10669.6,48.6274,48.6274,43,128
ca_cave,119,22355.6,50.6274,50.6274,45,128
ca_cave,120,11170,55.3553,55.3553,46,128
ca_cave,121,10549,52.8701,52.0416,46,128
ca_cave,122,48159.4,101.569,52.1127,86,128
ca_cave,123,80007.4,90.0122,54.3553,79,128
ca_cave,124,68037.2,55.598,54.7696,45,128
ca_cave,125,10570.6,54.6274,52.1421,49,128
ca_cave,126,10996.6,58.669,55.598,46,128
ca_cave,127,8471.4,54.1421,52.4853,51,128
ca_cave,128,34987.4,55.2843,53.5269,48,128
ca_cave,129,10938,54.799,54.799,50,128
ca_cave,130,59504.6,67.9411,58.2426,59,128
ca_cave,131,11514,58.4558,58.4558,52,128
ca_cave,132,10801.2,56.9706,56.9706,53,128
ca_cave,133,16961.4,69.4264,56.2132,58,128
