map,scenid,tcost,distance,expect,steps,r
ca_cavern1_haunted,0,4352.8,7.07107,7.07107,6,4
ca_cavern1_haunted,1,1954.4,5.65685,4.82843,5,4
ca_cavern1_haunted,2,1924.2,5.65685,4,5,4
ca_cavern1_haunted,3,1916.4,5.65685,4.82843,5,4
ca_cavern1_haunted,4,2179.6,8.48528,6,7,4
ca_cavern1_haunted,5,2056,7.07107,5.41421,6,4
ca_cavern1_haunted,6,1369.6,5.65685,4,5,4
ca_cavern1_haunted,7,2255.4,6.65685,5,6,4
ca_cavern1_haunted,8,3715.6,5.24264,5.24264,5,4
ca_cavern1_haunted,9,3777,8.07107,7.24264,7,4
ca_cavern1_haunted,10,2465.4,11.3137,8.82843,9,4
ca_cavern1_haunted,11,4328.2,12.7279,11.0711,10,4
ca_cavern1_haunted,12,3515,9.48528,8.65685,8,4
ca_cavern1_haunted,13,3167.6,8.07107,8.07107,7,4
ca_cavern1_haunted,14,2646.2,11.3137,8.24264,9,4
ca_cavern1_haunted,15,2574.4,9.89949,8.24264,8,4
ca_cavern1_haunted,16,4205,11.3137,8.82843,9,4
ca_cavern1_haunted,17,3383.6,12.3137,11.4853,10,4
ca_cavern1_haunted,18,4414.2,12.3137,11.4853,10,4
ca_cavern1_haunted,19,2580,9.89949,8.24264,8,4
ca_cavern1_haunted,20,4301,16.5563,14.8995,13,4
ca_cavern1_haunted,21,4629.6,17.9706,15.4853,14,4
ca_cavern1_haunted,22,4095,18.3848,15.0711,14,4
ca_cavern1_haunted,23,4603.2,15.1421,14.3137,12,4
ca_cavern1_haunted,24,4420.2,18.3848,15.8995,14,4
ca_cavern1_haunted,25,3574.4,16.9706,13.6569,13,4
ca_cavern1_haunted,26,3709.2,15.5563,15.5563,12,4
ca_cavern1_haunted,27,5586,15.5563,15.5563,12,4
ca_cavern1_haunted,28,4091.6,16.5563,14.8995,13,4
ca_cavern1_haunted,29,4138,17.9706,15.4853,14,4
ca_cavern1_haunted,30,4298.6,19.7279,17.2426,17,4
ca_cavern1_haunted,31,4002.2,20.5563,17.2426,17,4
ca_cavern1_haunted,32,5432.6,17.9706,17.1421,14,4
ca_cavern1_haunted,33,5425.6,23.2132,19.8995,18,4
ca_cavern1_haunted,34,8112.4,17.9706,17.9706,14,4
