map,scenid,tcost,distance,expect,steps,r
ca_caverns2,0,3133.4,7.07107,7.07107,6,128
ca_caverns2,1,2188.6,6.82843,6.82843,7,128
ca_caverns2,2,1793,7.24264,7.24264,7,128
ca_caverns2,3,1548.6,7.07107,7.07107,6,128
ca_caverns2,4,830.8,4.41421,4.41421,5,128
ca_caverns2,5,1305,5,5,6,128
ca_caverns2,6,709.6,5,5,6,128
ca_caverns2,7,1754.2,7.41421,7.41421,8,128
ca_caverns2,8,1725.4,7.24264,7.24264,7,128
ca_caverns2,9,1303.8,6.82843,6.82843,7,128
ca_caverns2,10,2222.2,9.65685,9.65685,9,128
ca_caverns2,11,2378.4,11.8995,11.8995,10,128
ca_caverns2,12,2319.8,10.6569,10.6569,10,128
ca_caverns2,13,1789.6,10.8284,10.8284,11,128
ca_caverns2,14,1994.2,10.4853,10.4853,9,128
ca_caverns2,15,1519,9.65685,9.65685,9,128
ca_caverns2,16,2209.6,10.6569,10.6569,10,128
ca_caverns2,17,2426.6,9.65685,9.65685,9,128
ca_caverns2,18,1591.6,9.07107,9.07107,8,128
ca_caverns2,19,1545.2,8.82843,8.82843,9,128
ca_caverns2,20,2455.8,14.2426,14.2426,14,128
ca_caverns2,21,2553.6,13.8284,13.8284,14,128
ca_caverns2,22,2373.8,15.0711,15.0711,14,128
ca_caverns2,23,4207.4,17.0711,15.8995,16,128
ca_caverns2,24,2781.6,15.8995,15.8995,14,128
ca_caverns2,25,2499.6,15.6569,15.6569,15,128
ca_caverns2,26,2479.6,12.4853,12.4853,11,128
ca_caverns2,27,2895.4,13.4853,13.4853,12,128
ca_caverns2,28,7200.6,15.4853,15.4853,14,128
ca_caverns2,29,1974.4,12.0711,12.0711,11,128
ca_caverns2,30,2477.2,17.2426,17.2426,17,128
ca_caverns2,31,3459.2,19.4142,19.4142,20,128
ca_caverns2,32,5285,19.6569,19.6569,19,128
ca_caverns2,33,2952.8,18.6569,18.6569,18,128
ca_caverns2,34,4630.6,22.4853,19.6569,21,128
ca_caverns2,35,3641.2,19.8284,19.8284,20,128
ca_caverns2,36,3009,18.3137,18.3137,16,128
ca_caverns2,37,3420.8,19.3848,19.3848,15,128
ca_caverns2,38,3254.4,17.4853,17.4853,16,128
ca_caverns2,39,3277,16.8995,16.0711,15,128
ca_caverns2,40,3601.4,23.8995,23.8995,22,128
ca_caverns2,41,3130,23.2426,23.2426,23,128
ca_caverns2,42,3628,23.1421,23.1421,20,128
ca_caverns2,43,5031.6,27.3137,23.6569,25,128
ca_caverns2,44,4039.6,25.7279,23.4853,23,128
ca_caverns2,45,3962.8,22.4853,22.4853,21,128
ca_caverns2,46,4539.4,21.5563,21.5563,18,128
ca_caverns2,47,3282.8,20.3137,20.3137,18,128
ca_caverns2,48,3779.6,23.1421,20.0711,20,128
ca_caverns2,49,3275.8,21.3137,21.3137,19,128
ca_caverns2,50,4454.6,24.4142,24.4142,25,128
ca_caverns2,51,4013.4,25.4853,25.4853,24,128
ca_caverns2,52,5767,28.799,26.5563,24,128
ca_caverns2,53,3960.6,25.4853,25.4853,24,128
ca_caverns2,54,4299.2,25.8995,25.8995,24,128
ca_caverns2,55,5324.4,27.2132,27.2132,22,128
ca_caverns2,56,4615.4,27.3848,27.3848,23,128
ca_caverns2,57,4246,27.3137,26.4853,25,128
ca_caverns2,58,4290.2,28.1421,25.6569,25,128
ca_caverns2,59,4482.6,24.3137,24.3137,22,128
ca_caverns2,60,7123.2,32.4853,30.2426,31,128
ca_caverns2,61,5380.8,32.0711,31.2426,31,128
ca_caverns2,62,4684.6,29.9706,29.9706,26,128
ca_caverns2,63,5858.6,28.9706,28.9706,25,128
ca_caverns2,64,5758.2,31.1421,31.1421,28,128
ca_caverns2,65,6155.2,32.4853,30.8284,31,128
ca_caverns2,66,5598.8,30.3848,30.3848,26,128
ca_caverns2,67,8668.8,35.6274,31.1421,30,128
ca_caverns2,68,8708,36.9706,31.0711,33,128
ca_caverns2,69,5209,28.7279,28.7279,26,128
ca_caverns2,70,40541.4,36.3848,32.9706,32,128
ca_caverns2,71,6078.6,34.1421,34.1421,31,128
ca_caverns2,72,19485.8,32.5563,32.5563,29,128
ca_caverns2,73,5975.2,34.799,33.9706,30,128
ca_caverns2,74,5689.6,33.3848,33.3848,29,128
ca_caverns2,75,8484.8,38.2132,34.8995,33,128
ca_caverns2,76,5580.4,32.6569,32.6569,32,128
ca_caverns2,77,4961,32.8284,32.8284,33,128
ca_caverns2,78,5794.4,37.1421,34.0711,34,128
ca_caverns2,79,5966.6,34.6569,34.6569,34,128
ca_caverns2,80,6851.8,37.5563,37.5563,34,128
ca_caverns2,81,10647,36.799,36.799,32,128
ca_caverns2,82,6625.4,37.0416,37.0416,31,128
ca_caverns2,83,6039.4,37.4142,37.4142,38,128
ca_caverns2,84,8329.6,41.6274,36.3137,36,128
ca_caverns2,85,19528.8,43.799,39.4558,39,128
ca_caverns2,86,8938.4,36.5563,36.5563,33,128
ca_caverns2,87,5648,38.6569,38.6569,38,128
ca_caverns2,88,8282.8,39.9411,39.9411,31,128
ca_caverns2,89,19497.8,41.5563,38.4853,38,128
ca_caverns2,90,8178.8,42.4853,42.4853,41,128
ca_caverns2,91,6406.6,41.6569,41.6569,41,128
ca_caverns2,92,6806.4,43.8995,43.8995,42,128
ca_caverns2,93,38014,47.2843,42.799,40,128
ca_caverns2,94,8187.4,42.6985,42.6985,35,128
ca_caverns2,95,22815.4,41.0711,41.0711,40,128
ca_caverns2,96,28824.8,51.6985,42.8701,44,128
ca_caverns2,97,7500.6,40.6274,40.6274,35,128
ca_caverns2,98,38573.2,54.5269,42.7279,46,128
ca_caverns2,99,9051.6,45.4558,40.9706,39,128
ca_caverns2,100,8908,46.8284,46.8284,47,128
ca_caverns2,101,6980.8,47.1421,44.6569,44,128
ca_caverns2,102,7756.6,44.6569,44.6569,44,128
ca_caverns2,103,14652.2,52.2843,47.6985,45,128
ca_caverns2,104,7858.6,44.8284,44.8284,45,128
ca_caverns2,105,9278.8,49.6985,47.3553,42,128
ca_caverns2,106,19739.6,53.6274,45.9706,48,128
ca_caverns2,107,8099.8,44.9706,44.1421,41,128
ca_caverns2,108,16301.2,52.3848,45.0711,48,128
ca_caverns2,109,8985.4,46.4264,46.4264,35,128
ca_caverns2,110,270822,53.1838,49.8701,43,128
ca_caverns2,111,10208.2,56.2132,51.1421,51,128
ca_caverns2,112,16979.6,61.1838,48.3137,51,128
ca_caverns2,113,12174.2,53.5269,51.2843,45,128
ca_caverns2,114,22224.8,58.3553,51.3848,49,128
ca_caverns2,115,9359,50.7696,50.7696,41,128
ca_caverns2,116,25114,53.6274,50.799,48,128
ca_caverns2,117,9428.4,50.9411,50.9411,42,128
ca_caverns2,118,10369.2,48.5563,48.5563,45,128
ca_caverns2,119,9747,51.2132,50.3848,46,128
ca_caverns2,120,12408.6,53.598,52.7696,43,128
ca_caverns2,121,15609.8,56.2132,53.7279,51,128
ca_caverns2,122,13422.4,57.1421,54.8995,54,128
ca_caverns2,123,261018,54.799,52.2132,50,128
ca_caverns2,124,39377.2,66.4264,53.799,55,128
ca_caverns2,125,32570,61.5269,53.6274,53,128
ca_caverns2,126,15780.8,57.2843,52.799,50,128
ca_caverns2,127,10114,53.3137,52.4853,51,128
ca_caverns2,128,20813.6,56.9706,54.9706,53,128
ca_caverns2,129,118164,69.3553,55.9411,60,128
ca_caverns2,130,16629,58.1421,57.5563,55,128
ca_caverns2,131,11016,57.2132,57.2132,52,128
ca_caverns2,132,71516.4,61.5269,59.0416,53,128
ca_caverns2,133,12146.2,62.1127,59.2843,54,128
ca_caverns2,134,12033.2,58.6274,56.9706,53,128
ca_caverns2,135,10301.8,57.6985,57.6985,50,128
ca_caverns2,136,16232,60.9411,57.6274,52,128
ca_caverns2,137,27416.8,63.0416,57.1421,57,128
ca_caverns2,138,11696.4,59.0122,59.0122,48,128
ca_caverns2,139,11785.8,58.5269,56.2843,50,128
ca_caverns2,140,12094.6,62.5269,62.5269,54,128
ca_caverns2,141,14825.4,62.9411,62.1127,54,128
ca_caverns2,142,13219.4,62.4264,61.598,51,128
ca_caverns2,143,21145,70.1127,63.9706,62,128
ca_caverns2,144,12574.8,60.6274,60.6274,55,128
ca_caverns2,145,13372.8,63.2843,63.2843,56,128
ca_caverns2,146,37188.6,72.3553,63.2843,63,128
ca_caverns2,147,12643.2,63.8406,63.8406,52,128
ca_caverns2,148,13907.2,62.9706,62.3848,59,128
ca_caverns2,149,18255.8,72.8406,60.4558,61,128
ca_caverns2,150,13400.2,69.1838,67.7696,59,128
ca_caverns2,151,69076.6,79.4975,66.0416,66,128
ca_caverns2,152,13030.8,69.8701,64.3137,63,128
ca_caverns2,153,13434.4,66.0122,65.1838,55,128
ca_caverns2,154,143852,67.2132,64.7279,62,128
ca_caverns2,155,30819.4,68.8701,64.9706,62,128
ca_caverns2,156,12824.8,67.2132,64.1421,62,128
ca_caverns2,157,22187.8,69.4264,65.7696,58,128
ca_caverns2,158,13368,65.8406,65.0122,54,128
ca_caverns2,159,25848.2,66.9706,66.9706,63,128
ca_caverns2,160,14371.4,70.5563,70.5563,67,128
ca_caverns2,161,27528.8,71.5563,71.5563,68,128
ca_caverns2,162,1.58231e+06,71.4558,71.4558,65,128
ca_caverns2,163,17859.4,70.8701,69.4558,64,128
ca_caverns2,164,85793.6,71.9411,69.1127,63,128
ca_caverns2,165,19277,77.5269,69.3848,69,128
ca_caverns2,166,157011,71.799,69.8995,67,128
ca_caverns2,167,14913,72.0416,71.2132,66,128
ca_caverns2,168,26778.4,75.0833,69.4264,62,128
ca_caverns2,169,123278,68.2548,68.2548,56,128
ca_caverns2,170,123237,84.8406,75.9706,73,128
ca_caverns2,171,28096,87.1127,75.8995,79,128
ca_caverns2,172,14272.8,77.4853,75.2426,76,128
ca_caverns2,173,33848.4,73.5269,72.9411,65,128
ca_caverns2,174,14655.6,78.1127,75.0416,70,128
ca_caverns2,175,21305.4,75.1421,74.3137,72,128
ca_caverns2,176,65275,90.0833,75.799,77,128
ca_caverns2,177,14387.6,77.1127,74.0416,69,128
ca_caverns2,178,88356.6,80.4264,75.8406,69,128
ca_caverns2,179,15661.6,75.598,75.598,65,128
ca_caverns2,180,16788,81.9706,79.3848,78,128
ca_caverns2,181,18171.2,81.1127,76.6274,73,128
ca_caverns2,182,16335.8,79.6569,79.6569,79,128
ca_caverns2,183,100417,92.0538,77.7696,74,128
ca_caverns2,184,18459.6,81.2843,77.9706,74,128
ca_caverns2,185,26088,84.6274,78.7279,79,128
ca_caverns2,186,14653.4,80.1127,76.799,72,128
ca_caverns2,187,71566.4,82.9411,79.1838,74,128
ca_caverns2,188,2.5983e+06,76.2843,76.2843,69,128
ca_caverns2,189,51504.8,94.0122,78.8995,83,128
ca_caverns2,190,18233.6,88.7696,81.799,79,128
ca_caverns2,191,64706.6,85.598,82.2843,75,128
ca_caverns2,192,287607,81.5685,81.5685,66,128
ca_caverns2,193,35642,89.0833,82.9411,76,128
ca_caverns2,194,18485.4,86.7401,83.669,72,128
ca_caverns2,195,22627.6,83.6985,80.6274,76,128
ca_caverns2,196,16538.4,87.8701,83.9706,81,128
ca_caverns2,197,18413,81.3259,80.4975,67,128
ca_caverns2,198,173432,83.8112,83.8112,67,128
ca_caverns2,199,77587.2,90.2548,83.5269,78,128
ca_caverns2,200,17317.8,86.9117,86.0833,73,128
ca_caverns2,201,253070,94.2548,87.1838,82,128
ca_caverns2,202,18712.6,87.6274,87.6274,82,128
ca_caverns2,203,42447,101.841,87.4558,90,128
ca_caverns2,204,18968,90.2548,86.3553,78,128
ca_caverns2,205,763672,91.5685,87.9117,76,128
ca_caverns2,206,137473,85.6274,85.6274,80,128
ca_caverns2,207,34379.6,86.5269,84.2843,78,128
ca_caverns2,208,22644.2,89.8112,87.3259,73,128
ca_caverns2,209,30550.2,89.4264,87.1838,78,128
ca_caverns2,210,20181.2,96.3553,88.2132,87,128
ca_caverns2,211,1.78526e+06,90.0538,90.0538,72,128
ca_caverns2,212,28680.8,93.5269,88.5563,85,128
ca_caverns2,213,560607,92.4264,89.4975,81,128
ca_caverns2,214,160662,88.0833,88.0833,75,128
ca_caverns2,215,242603,105.083,91.0416,92,128
ca_caverns2,216,539662,94.0122,90.9411,83,128
ca_caverns2,217,21526.4,96.4264,89.6985,85,128
ca_caverns2,218,28792,95.1127,90.9706,87,128
ca_caverns2,219,21746,91.6274,90.799,86,128
ca_caverns2,220,35285,107.983,93.6985,92,128
ca_caverns2,221,24961.4,96.8406,94.598,85,128
ca_caverns2,222,72131.4,106.74,93.2843,92,128
ca_caverns2,223,39568.6,96.3259,95.7401,82,128
ca_caverns2,224,19508,97.8701,95.2843,91,128
ca_caverns2,225,167704,106.569,94.6274,91,128
ca_caverns2,226,22038.8,100.012,95.5269,89,128
ca_caverns2,227,182328,105.669,93.7696,93,128
ca_caverns2,228,19901.4,92.3848,92.3848,88,128
ca_caverns2,229,60213.6,103.255,94.0416,91,128
ca_caverns2,230,23052.8,98.3259,96.669,84,128
ca_caverns2,231,179508,114.497,99.5269,101,128
ca_caverns2,232,263496,105.74,98.1838,91,128
ca_caverns2,233,564305,107.284,96.2132,100,128
ca_caverns2,234,26549.6,104.326,99.0122,90,128
ca_caverns2,235,27001.6,102.841,96.9411,91,128
ca_caverns2,236,25325.2,100.983,98.397,85,128
ca_caverns2,237,66786.2,100.284,97.799,93,128
ca_caverns2,238,41066.4,99.8701,97.6274,93,128
ca_caverns2,239,40627.8,96.8406,96.2548,85,128
ca_caverns2,240,46997.2,112.64,101.426,95,128
ca_caverns2,241,22272,105.355,102.527,96,128
ca_caverns2,242,28199.2,110.941,101.385,102,128
ca_caverns2,243,26242.6,109.355,102.87,100,128
ca_caverns2,244,36690.8,109.012,101.799,98,128
ca_caverns2,245,22473.8,103.882,101.397,85,128
ca_caverns2,246,475339,101.397,101.397,85,128
ca_caverns2,247,169910,105.569,100.012,90,128
ca_caverns2,248,84881.4,106.355,101.627,97,128
ca_caverns2,249,179816,105.912,102.74,92,128
ca_caverns2,250,49666.2,110.255,104.355,98,128
ca_caverns2,251,882131,110.497,107.184,97,128
ca_caverns2,252,138006,108.497,104.355,95,128
ca_caverns2,253,25525.8,112.912,106.77,99,128
ca_caverns2,254,61297.4,121.468,106.598,103,128
ca_caverns2,255,52951.8,113.468,107.326,95,128
ca_caverns2,256,22626.4,108.64,104.74,91,128
ca_caverns2,257,570043,114.912,105.355,101,128
ca_caverns2,258,96481.4,118.225,105.598,101,128
ca_caverns2,259,197279,114.912,104.627,101,128
ca_caverns2,260,235427,119.811,110.355,103,128
ca_caverns2,261,353782,109.054,109.054,91,128
ca_caverns2,262,27595,113.569,110.497,98,128
ca_caverns2,263,1.18307e+06,125.296,109.213,106,128
ca_caverns2,264,46875.4,115.355,109.799,106,128
ca_caverns2,265,73277,121.983,109.113,106,128
ca_caverns2,266,730049,109.912,109.912,96,128
ca_caverns2,267,38470.4,116.811,111.397,100,128
ca_caverns2,268,65548.6,118.811,108.426,102,128
ca_caverns2,269,31129.8,113.355,108.042,104,128
ca_caverns2,270,29962.2,120.569,115.255,105,128
ca_caverns2,271,106953,125.397,112.77,109,128
ca_caverns2,272,230717,116.255,112.355,104,128
ca_caverns2,273,29366.6,121.983,115.598,106,128
ca_caverns2,274,154783,124.326,113.456,110,128
ca_caverns2,275,29645.4,115.255,113.012,103,128
ca_caverns2,276,29967.2,117.912,114.598,104,128
ca_caverns2,277,165933,116.083,112.184,103,128
ca_caverns2,278,97564.6,125.497,113.456,112,128
ca_caverns2,279,34751.6,119.77,113.971,110,128
ca_caverns2,280,62919.2,131.953,119.326,111,128
ca_caverns2,281,169026,119.983,119.154,104,128
ca_caverns2,282,914161,117.083,117.083,104,128
ca_caverns2,283,88638.4,143.853,118.255,120,128
ca_caverns2,284,131723,130.711,118.326,111,128
ca_caverns2,285,44052.4,138.296,118.698,119,128
ca_caverns2,286,189038,134.569,119.841,119,128
ca_caverns2,287,44935.2,121.61,117.711,99,128
ca_caverns2,288,33617.6,126.326,119.941,112,128
ca_caverns2,289,36624.4,124.983,118.255,109,128
ca_caverns2,290,38489.2,128.012,123.284,117,128
ca_caverns2,291,53165.4,125.468,122.054,107,128
ca_caverns2,292,189089,123.456,122.627,117,128
ca_caverns2,293,42560,125.669,120.113,113,128
ca_caverns2,294,35496.8,126.225,120.912,109,128
ca_caverns2,295,32108,128.225,122.083,111,128
ca_caverns2,296,30174.4,130.012,120.799,119,128
ca_caverns2,297,72297.8,126.841,123.527,115,128
ca_caverns2,298,33056.6,127.225,121.912,110,128
ca_caverns2,299,32885.6,127.154,123.255,112,128
ca_caverns2,300,213767,130.397,126.882,114,128
ca_caverns2,301,34027.2,128.184,126.527,118,128
ca_caverns2,302,92049.4,148.196,124.113,126,128
