map,scenid,tcost,distance,expect,steps,r
dr_0_deeproads,0,3104.4,7.82843,7.82843,8,8
dr_0_deeproads,1,1355.6,4,4,5,8
dr_0_deeproads,2,2680.2,7.41421,7.41421,8,8
dr_0_deeproads,3,1182,4.82843,4.82843,5,8
dr_0_deeproads,4,2023.6,5,5,6,8
dr_0_deeproads,5,1648.2,6,6,7,8
dr_0_deeproads,6,1584.2,7,7,8,8
dr_0_deeproads,7,1360.6,5.65685,5.65685,5,8
dr_0_deeproads,8,1966.2,5.82843,5.82843,6,8
dr_0_deeproads,9,2093,6.24264,6.24264,6,8
dr_0_deeproads,10,2375.6,9.24264,9.24264,9,8
dr_0_deeproads,11,2153,10.4142,10.4142,11,8
dr_0_deeproads,12,2100.4,8.82843,8.82843,9,8
dr_0_deeproads,13,2228,8.07107,8.07107,7,8
dr_0_deeproads,14,2788.6,11.2426,11.2426,11,8
dr_0_deeproads,15,2651.6,10.6569,10.6569,10,8
dr_0_deeproads,16,3120.4,11.4853,11.4853,10,8
dr_0_deeproads,17,2820.6,11.3137,11.3137,9,8
dr_0_deeproads,18,2904.8,9.65685,9.65685,9,8
dr_0_deeproads,19,2113.2,10.8284,10.8284,11,8
dr_0_deeproads,20,3587.2,13.3137,13.3137,11,8
dr_0_deeproads,21,2592,14.2426,14.2426,14,8
dr_0_deeproads,22,2328.2,12.8284,12.8284,13,8
dr_0_deeproads,23,3963.2,12.8284,12.8284,13,8
dr_0_deeproads,24,3300.2,13.7279,13.7279,11,8
dr_0_deeproads,25,3957,14.4853,14.4853,13,8
dr_0_deeproads,26,2949.8,12.8995,12.8995,11,8
dr_0_deeproads,27,3611,14.2426,14.2426,14,8
dr_0_deeproads,28,2666.8,14.0711,14.0711,13,8
dr_0_deeproads,29,4039.4,15.8284,15.8284,16,8
dr_0_deeproads,30,2490.4,16,16,17,8
dr_0_deeproads,31,2754.2,17.4142,17.4142,18,8
dr_0_deeproads,32,4692.8,19.9706,19.9706,16,8
dr_0_deeproads,33,3896.6,16.8995,16.3137,15,8
dr_0_deeproads,34,4211.4,16.4142,16.4142,17,8
dr_0_deeproads,35,3147,19.8284,19.8284,20,8
dr_0_deeproads,36,2739,17.8284,17.8284,18,8
dr_0_deeproads,37,4159.8,18.0711,18.0711,17,8
dr_0_deeproads,38,3934.4,16.8284,16.8284,17,8
dr_0_deeproads,39,4305.4,17.5563,17.5563,14,8
dr_0_deeproads,40,4171,20.2426,20.2426,20,8
dr_0_deeproads,41,4304.8,22,22,23,8
dr_0_deeproads,42,5252,25.3848,23.1421,21,8
dr_0_deeproads,43,4981,22.8995,22.8995,21,8
dr_0_deeproads,44,4869.2,20.5563,20.5563,17,8
dr_0_deeproads,45,5206.8,22.7279,22.7279,20,8
dr_0_deeproads,46,5307.8,22.4853,22.4853,21,8
dr_0_deeproads,47,4939.8,21.3848,21.3848,17,8
dr_0_deeproads,48,4867.8,22.5563,22.5563,19,8
dr_0_deeproads,49,4815,20.3848,20.3848,16,8
dr_0_deeproads,50,7396.6,25.9706,25.9706,22,8
dr_0_deeproads,51,5614.4,24.799,24.799,20,8
dr_0_deeproads,52,5885.4,25.5563,25.5563,22,8
dr_0_deeproads,53,6883.2,27.4853,27.4853,26,8
dr_0_deeproads,54,4083.2,24.2426,24.2426,24,8
dr_0_deeproads,55,5840,25.5563,25.5563,22,8
dr_0_deeproads,56,7632.2,27.4142,27.4142,28,8
dr_0_deeproads,57,43898.8,27.4853,27.4853,26,8
dr_0_deeproads,58,5840.4,26.0416,26.0416,20,8
dr_0_deeproads,59,7157.2,24.0711,24.0711,23,8
dr_0_deeproads,60,7178.6,29.2426,29.2426,29,8
dr_0_deeproads,61,7284.2,29.2843,29.2843,22,8
dr_0_deeproads,62,6263.4,28.7279,28.7279,26,8
dr_0_deeproads,63,5310.2,28.6569,28.6569,28,8
dr_0_deeproads,64,7919.2,30.1421,29.3137,27,8
dr_0_deeproads,65,5983.2,30.6569,30.6569,30,8
dr_0_deeproads,66,6011.4,28.799,28.799,24,8
dr_0_deeproads,67,6153,29.6274,29.6274,24,8
dr_0_deeproads,68,6941.8,30.799,29.9706,26,8
dr_0_deeproads,69,7831.4,28.3137,28.3137,26,8
dr_0_deeproads,70,8411.6,36.3848,35.5563,32,8
dr_0_deeproads,71,8275.2,32.799,32.799,28,8
dr_0_deeproads,72,9149.8,35.8995,35.8995,34,8
dr_0_deeproads,73,8670.2,33.6274,32.799,28,8
dr_0_deeproads,74,11103,33.799,32.6274,29,8
dr_0_deeproads,75,8135.8,35.1421,35.1421,32,8
dr_0_deeproads,76,8247,35.6569,35.6569,35,8
dr_0_deeproads,77,7216,34.5563,34.5563,31,8
dr_0_deeproads,78,7601.2,34.8701,34.8701,28,8
dr_0_deeproads,79,19815.8,37.4558,35.2132,31,8
dr_0_deeproads,80,9594.4,39.6569,39.6569,39,8
dr_0_deeproads,81,6645.8,37.0711,37.0711,36,8
dr_0_deeproads,82,10140,38.2426,38.2426,38,8
dr_0_deeproads,83,8371,37.9706,37.9706,34,8
dr_0_deeproads,84,12114.6,40.7279,37.0711,38,8
dr_0_deeproads,85,9985.6,37.7696,37.7696,28,8
dr_0_deeproads,86,8975.2,37.1421,37.1421,34,8
dr_0_deeproads,87,9981.8,40.9706,37.8995,37,8
dr_0_deeproads,88,6228.2,38.6569,38.6569,38,8
dr_0_deeproads,89,7751.6,38.3553,38.3553,29,8
dr_0_deeproads,90,9134.6,43.0122,43.0122,32,8
dr_0_deeproads,91,17980.2,42.3553,41.5269,33,8
dr_0_deeproads,92,10113,43.8995,43.8995,42,8
dr_0_deeproads,93,22372.2,42.0416,42.0416,36,8
dr_0_deeproads,94,30302,46.6985,42.5563,39,8
dr_0_deeproads,95,8440.2,42.1421,42.1421,39,8
dr_0_deeproads,96,10795.2,43.3848,41.1421,39,8
dr_0_deeproads,97,8875.2,44.2843,42.6274,37,8
dr_0_deeproads,98,8727.6,41.2132,40.3848,36,8
dr_0_deeproads,99,7891.2,42.4853,42.4853,41,8
dr_0_deeproads,100,12905,50.2843,47.799,43,8
dr_0_deeproads,101,10111.4,45.5563,45.5563,42,8
dr_0_deeproads,102,11026.8,46.1127,46.1127,38,8
dr_0_deeproads,103,11239.6,45.4853,45.4853,44,8
dr_0_deeproads,104,12296,46.2426,46.2426,46,8
dr_0_deeproads,105,7381.8,45.4142,45.4142,46,8
dr_0_deeproads,106,138157,52.0122,45.3848,41,8
dr_0_deeproads,107,14223.6,51.9411,47.2132,43,8
dr_0_deeproads,108,10044,46.2426,46.2426,46,8
dr_0_deeproads,109,9984,44.1838,44.1838,34,8
dr_0_deeproads,110,6899.8,51,51,52,8
dr_0_deeproads,111,43091.2,51.3553,51.3553,42,8
dr_0_deeproads,112,231468,52.2132,50.5563,47,8
dr_0_deeproads,113,316150,48.3848,48.3848,44,8
dr_0_deeproads,114,121085,48.0416,48.0416,42,8
dr_0_deeproads,115,15296,54.0711,51.8284,53,8
dr_0_deeproads,116,158050,49.8995,49.8995,48,8
dr_0_deeproads,117,20911.6,56.3553,49.0416,47,8
dr_0_deeproads,118,12181.2,51,51,52,8
dr_0_deeproads,119,13431.2,48.4264,48.4264,37,8
dr_0_deeproads,120,13066.8,54.4853,54.4853,53,8
dr_0_deeproads,121,37393,54.1421,54.1421,51,8
dr_0_deeproads,122,44005.6,52.1421,52.1421,49,8
dr_0_deeproads,123,12309.6,55.7279,55.7279,53,8
dr_0_deeproads,124,12009.6,52.0416,52.0416,46,8
dr_0_deeproads,125,596811,52.9706,52.9706,49,8
dr_0_deeproads,126,27312.6,62.2843,55.3137,55,8
dr_0_deeproads,127,302764,53.7279,53.7279,51,8
dr_0_deeproads,128,45728.8,52.4853,52.4853,51,8
dr_0_deeproads,129,220283,56.7696,55.9411,47,8
dr_0_deeproads,130,89132.8,59.0711,59.0711,58,8
dr_0_deeproads,131,14478.4,58.2426,58.2426,58,8
dr_0_deeproads,132,14661,58.5563,56.0711,55,8
dr_0_deeproads,133,235332,62.4264,59.1127,51,8
