map,scenid,tcost,distance,expect,steps,r
dr_dungeon,0,1689.6,7.41421,7.41421,8,0
dr_dungeon,1,1335,7.41421,7.41421,8,0
dr_dungeon,2,1266.8,5.82843,5.82843,6,0
dr_dungeon,3,963.6,6.41421,6.41421,7,0
dr_dungeon,4,1055.2,5.82843,5.82843,6,0
dr_dungeon,5,1090.8,6.41421,6.41421,7,0
dr_dungeon,6,1530,7.65685,7.65685,7,0
dr_dungeon,7,1404.2,7.65685,7.65685,7,0
dr_dungeon,8,1071.8,6.24264,6.24264,6,0
dr_dungeon,9,948,6.65685,6.65685,6,0
dr_dungeon,10,1643.2,11.6569,11.6569,11,0
dr_dungeon,11,1372.2,10.2426,10.2426,10,0
dr_dungeon,12,1657.2,9.48528,9.48528,8,0
dr_dungeon,13,1183.4,8.24264,8.24264,8,0
dr_dungeon,14,1345.4,8.07107,8.07107,7,0
dr_dungeon,15,1212.6,10,10,11,0
dr_dungeon,16,1347.6,10.6569,10.6569,10,0
dr_dungeon,17,2129.8,11.8995,11.8995,10,0
dr_dungeon,18,1159.8,9.82843,9.82843,10,0
dr_dungeon,19,1235,10.0711,10.0711,9,0
dr_dungeon,20,1590.6,13.2426,13.2426,13,0
dr_dungeon,21,1627.8,15,15,16,0
dr_dungeon,22,1717.8,12.7279,12.7279,10,0
dr_dungeon,23,2758.2,15.1421,15.1421,12,0
dr_dungeon,24,1428.4,14,14,15,0
dr_dungeon,25,2070.8,13.0711,13.0711,12,0
dr_dungeon,26,2475.6,15.4853,15.4853,14,0
dr_dungeon,27,2662,15.4142,15.4142,16,0
dr_dungeon,28,1906,15.8284,15.8284,16,0
dr_dungeon,29,2104.6,12.3137,12.3137,10,0
dr_dungeon,30,4545.4,19.9706,19.9706,16,0
dr_dungeon,31,2117.6,19.0711,19.0711,18,0
dr_dungeon,32,3529.6,19.3137,19.3137,17,0
dr_dungeon,33,2369.4,17.2426,17.2426,17,0
dr_dungeon,34,1741,17.4142,17.4142,18,0
dr_dungeon,35,2222.6,16.2426,16.2426,16,0
dr_dungeon,36,1812.2,16.0711,16.0711,15,0
dr_dungeon,37,4953.8,17.1421,17.1421,14,0
dr_dungeon,38,4570.8,16.6569,16.6569,16,0
dr_dungeon,39,11785.2,19.8284,19.8284,20,0
dr_dungeon,40,3261.8,22.0711,22.0711,21,0
dr_dungeon,41,3796.2,21.799,21.799,17,0
dr_dungeon,42,2583.8,21.2426,21.2426,21,0
dr_dungeon,43,2489,22.0711,22.0711,21,0
dr_dungeon,44,2600.4,22.4853,22.4853,21,0
dr_dungeon,45,6438.2,23.0711,23.0711,22,0
dr_dungeon,46,4402.2,23.799,23.799,19,0
dr_dungeon,47,2836.8,20.8995,20.8995,19,0
dr_dungeon,48,3148.2,21.7279,21.7279,19,0
dr_dungeon,49,2471.4,22.4142,22.4142,23,0
dr_dungeon,50,10702,26.3848,26.3848,22,0
dr_dungeon,51,3996.8,24.3848,24.3848,20,0
dr_dungeon,52,4218.6,26.6274,26.6274,21,0
dr_dungeon,53,3523.2,27.4853,27.4853,26,0
dr_dungeon,54,2840.6,25.4142,25.4142,26,0
dr_dungeon,55,3286.4,24.7279,24.7279,22,0
dr_dungeon,56,2131.8,24.4142,24.4142,25,0
dr_dungeon,57,7850.8,25.9706,25.9706,22,0
dr_dungeon,58,3020.8,26.0711,26.0711,25,0
dr_dungeon,59,2502.4,24.0711,24.0711,23,0
dr_dungeon,60,4499.8,30.3137,30.3137,28,0
dr_dungeon,61,4073.2,30.5563,30.5563,27,0
dr_dungeon,62,3328.8,29.4142,29.4142,30,0
dr_dungeon,63,3425.6,29.3137,29.3137,27,0
dr_dungeon,64,18020,30.8995,30.8995,29,0
dr_dungeon,65,3051.6,30.8284,30.8284,31,0
dr_dungeon,66,3116.4,28.4142,28.4142,29,0
dr_dungeon,67,12916.2,30.799,30.799,26,0
