map,scenid,tcost,distance,expect,steps,r
dr_primevalentrance,0,1138,4.41421,4.41421,5,0
dr_primevalentrance,1,1273,7.41421,7.41421,8,0
dr_primevalentrance,2,1354.6,6.24264,6.24264,6,0
dr_primevalentrance,3,820,5.24264,5.24264,5,0
dr_primevalentrance,4,817.2,5.41421,5.41421,6,0
dr_primevalentrance,5,927.2,5.41421,5.41421,6,0
dr_primevalentrance,6,1018,6.41421,6.41421,7,0
dr_primevalentrance,7,709.2,5.24264,5.24264,5,0
dr_primevalentrance,8,833,5.41421,5.41421,6,0
dr_primevalentrance,9,1050.8,7.41421,7.41421,8,0
dr_primevalentrance,10,1972,9.48528,9.48528,8,0
dr_primevalentrance,11,1344,11,11,12,0
dr_primevalentrance,12,1209.8,11.3137,11.3137,9,0
dr_primevalentrance,13,1658.6,11.4853,11.4853,10,0
dr_primevalentrance,14,1347,8.24264,8.24264,8,0
dr_primevalentrance,15,1098.2,8.48528,8.48528,7,0
dr_primevalentrance,16,1633.2,11.2426,11.2426,11,0
dr_primevalentrance,17,899.6,8.24264,8.24264,8,0
dr_primevalentrance,18,1280.6,9.65685,9.65685,9,0
dr_primevalentrance,19,1377.4,9.07107,9.07107,8,0
dr_primevalentrance,20,1728.6,14.4142,14.4142,15,0
dr_primevalentrance,21,2468.8,14.7279,14.7279,12,0
dr_primevalentrance,22,1864.2,12.4142,12.4142,13,0
dr_primevalentrance,23,1671.8,14.2426,14.2426,14,0
dr_primevalentrance,24,1778.6,14.4853,14.4853,13,0
dr_primevalentrance,25,1708,15.4853,15.4853,14,0
dr_primevalentrance,26,2726.8,15.7279,15.7279,13,0
dr_primevalentrance,27,2193.4,13.4853,13.4853,12,0
dr_primevalentrance,28,1863.2,15.8284,15.8284,16,0
dr_primevalentrance,29,1466,12.6569,12.6569,12,0
dr_primevalentrance,30,2726.4,17.1421,17.1421,14,0
dr_primevalentrance,31,2704.4,18.7279,18.7279,16,0
dr_primevalentrance,32,2476.4,16.1421,16.1421,13,0
dr_primevalentrance,33,2646.6,17.3137,17.3137,15,0
dr_primevalentrance,34,2568.6,18.8995,18.8995,17,0
dr_primevalentrance,35,1940.2,17.0711,17.0711,16,0
dr_primevalentrance,36,1955.4,16.6569,16.6569,16,0
dr_primevalentrance,37,2045.8,18.2426,18.2426,18,0
dr_primevalentrance,38,2656.8,18.9706,18.9706,15,0
dr_primevalentrance,39,2472.8,18.0711,18.0711,17,0
dr_primevalentrance,40,2134,20.4142,20.4142,21,0
dr_primevalentrance,41,1966,20.4142,20.4142,21,0
dr_primevalentrance,42,2433.6,23.2426,23.2426,23,0
dr_primevalentrance,43,2292.6,23.0711,23.0711,22,0
dr_primevalentrance,44,3384.8,20.9706,20.9706,17,0
dr_primevalentrance,45,6760,23.3137,23.3137,21,0
dr_primevalentrance,46,2638,22.0711,22.0711,21,0
dr_primevalentrance,47,3240.8,22.5563,22.5563,19,0
dr_primevalentrance,48,3166.8,22.2132,22.2132,17,0
dr_primevalentrance,49,2153.8,20.2426,20.2426,20,0
dr_primevalentrance,50,3956.4,26.3848,26.3848,22,0
dr_primevalentrance,51,3269.4,24.4142,24.4142,25,0
dr_primevalentrance,52,2577.8,24.6569,24.6569,24,0
dr_primevalentrance,53,2378.4,25.2426,25.2426,25,0
dr_primevalentrance,54,2757.8,25.0711,25.0711,24,0
dr_primevalentrance,55,3670.4,25.5563,25.5563,22,0
dr_primevalentrance,56,3536.4,24.1421,24.1421,21,0
dr_primevalentrance,57,3253.2,24.2132,24.2132,19,0
dr_primevalentrance,58,2745.6,27.6569,27.6569,27,0
dr_primevalentrance,59,8176.6,27.8995,27.8995,26,0
dr_primevalentrance,60,3051.6,30.2426,30.2426,30,0
dr_primevalentrance,61,6550.8,29.6274,29.6274,24,0
dr_primevalentrance,62,2942.8,30.8284,30.8284,31,0
dr_primevalentrance,63,4815.8,29.799,29.799,25,0
dr_primevalentrance,64,4920.2,30.3848,30.3848,26,0
dr_primevalentrance,65,3037.8,31.1127,31.1127,23,0
dr_primevalentrance,66,6245.4,29.1421,29.1421,26,0
dr_primevalentrance,67,26491.2,28.5563,28.5563,25,0
dr_primevalentrance,68,5674.2,30.6569,30.6569,30,0
dr_primevalentrance,69,7263.6,29.2132,29.2132,24,0
dr_primevalentrance,70,6147.6,35.1127,35.1127,27,0
dr_primevalentrance,71,3865.8,35.4853,35.4853,34,0
dr_primevalentrance,72,9577.8,32.4558,32.4558,26,0
dr_primevalentrance,73,12899,34.8995,34.8995,33,0
dr_primevalentrance,74,13342.2,35.7279,35.7279,33,0
dr_primevalentrance,75,8725.8,35.7279,35.7279,33,0
dr_primevalentrance,76,29082.2,33.0711,33.0711,32,0
dr_primevalentrance,77,5657.8,32.4558,32.4558,26,0
dr_primevalentrance,78,5040.4,33.0416,33.0416,27,0
dr_primevalentrance,79,4870.6,32.3848,32.3848,28,0
dr_primevalentrance,80,16733.6,37.8995,37.8995,36,0
dr_primevalentrance,81,5351.2,37.3848,37.3848,33,0
dr_primevalentrance,82,4231.4,38.0711,38.0711,37,0
dr_primevalentrance,83,21056.8,37.5563,37.5563,34,0
dr_primevalentrance,84,3028,36.4142,36.4142,37,0
dr_primevalentrance,85,5472,36.2132,36.2132,31,0
dr_primevalentrance,86,5497,38.9706,38.9706,35,0
dr_primevalentrance,87,3835.4,39.2426,39.2426,39,0
dr_primevalentrance,88,3677.2,37.2426,37.2426,37,0
dr_primevalentrance,89,3629.6,36.7696,36.7696,27,0
dr_primevalentrance,90,13272.2,41.9706,41.9706,38,0
dr_primevalentrance,91,6378.6,42.3848,42.3848,38,0
dr_primevalentrance,92,23692.6,40.9706,40.9706,37,0
dr_primevalentrance,93,6589.8,41.0416,41.0416,35,0
dr_primevalentrance,94,6500.8,40.9411,40.9411,32,0
