map,scenid,tcost,distance,expect,steps,r
dr_primevaltomb,0,2466,4.82843,4.82843,5,4
dr_primevaltomb,1,2039,7.65685,7.65685,7,4
dr_primevaltomb,2,1526.2,6.41421,6.41421,7,4
dr_primevaltomb,3,1735.6,7.41421,7.41421,8,4
dr_primevaltomb,4,827.2,4,4,5,4
dr_primevaltomb,5,1078.4,4,4,5,4
dr_primevaltomb,6,1898,7.24264,7.24264,7,4
dr_primevaltomb,7,1405.6,5.24264,5.24264,5,4
dr_primevaltomb,8,1160.6,5.41421,5.41421,6,4
dr_primevaltomb,9,1344.4,6.41421,6.41421,7,4
dr_primevaltomb,10,1705.4,8.24264,8.24264,8,4
dr_primevaltomb,11,1837.4,9.82843,9.82843,10,4
dr_primevaltomb,12,1847.2,9.24264,9.24264,9,4
dr_primevaltomb,13,1242.8,8.24264,8.24264,8,4
dr_primevaltomb,14,1979.6,11.8284,11.8284,12,4
dr_primevaltomb,15,1695.6,8.82843,8.82843,9,4
dr_primevaltomb,16,1556.4,8.82843,8.82843,9,4
dr_primevaltomb,17,3024.2,11.8995,11.8995,10,4
dr_primevaltomb,18,1621.8,8.82843,8.82843,9,4
dr_primevaltomb,19,1762,8.82843,8.82843,9,4
dr_primevaltomb,20,3195.2,15.7279,15.7279,13,4
dr_primevaltomb,21,2033,13.2426,13.2426,13,4
dr_primevaltomb,22,2573.8,14.7279,14.7279,12,4
dr_primevaltomb,23,9635.2,13.0711,13.0711,12,4
dr_primevaltomb,24,2302.4,14.8284,14.8284,15,4
dr_primevaltomb,25,2291.8,14.6569,14.6569,14,4
dr_primevaltomb,26,2005.4,14,14,15,4
dr_primevaltomb,27,2865.4,17.4853,15.4853,16,4
dr_primevaltomb,28,2067.2,14.4142,14.4142,15,4
dr_primevaltomb,29,2146,14.0711,13.2426,13,4
dr_primevaltomb,30,3137.2,19.6569,19.6569,19,4
dr_primevaltomb,31,3272.2,19.3137,19.3137,17,4
dr_primevaltomb,32,3352.8,19.8284,19.8284,20,4
dr_primevaltomb,33,2447.4,18.4142,18.4142,19,4
