map,scenid,tcost,distance,expect,steps,r
ht_0_hightown,0,2760.8,6,6,7,4
ht_0_hightown,1,1922.8,5.82843,5.82843,6,4
ht_0_hightown,2,1424.8,5,5,6,4
ht_0_hightown,3,1948.4,7.41421,7.41421,8,4
ht_0_hightown,4,1757.4,6.65685,6.65685,6,4
ht_0_hightown,5,1650.4,6.24264,6.24264,6,4
ht_0_hightown,6,1213.8,4.41421,4.41421,5,4
ht_0_hightown,7,1550.2,5.82843,5.82843,6,4
ht_0_hightown,8,1612.2,6.82843,6.82843,7,4
ht_0_hightown,9,1718.4,5.24264,5.24264,5,4
ht_0_hightown,10,2361.8,9,9,10,4
ht_0_hightown,11,3071.2,10.8995,10.8995,9,4
ht_0_hightown,12,3064.2,10.6569,10.6569,10,4
ht_0_hightown,13,2906,10.6569,10.6569,10,4
ht_0_hightown,14,2464.8,10.0711,10.0711,9,4
ht_0_hightown,15,1930.2,8.41421,8.41421,9,4
ht_0_hightown,16,2465.6,10,10,11,4
ht_0_hightown,17,2682.6,10.0711,10.0711,9,4
ht_0_hightown,18,2553.4,11.8995,11.8995,10,4
ht_0_hightown,19,1855.6,10,10,11,4
ht_0_hightown,20,2970.8,14.2426,14.2426,14,4
ht_0_hightown,21,3265.8,14.3137,14.3137,12,4
ht_0_hightown,22,2611.6,12.8284,12.8284,13,4
ht_0_hightown,23,2292.6,15,15,16,4
ht_0_hightown,24,2091.2,14.8284,14.8284,15,4
ht_0_hightown,25,3005.4,14.4142,14.4142,15,4
ht_0_hightown,26,1908,13.8284,13.8284,14,4
ht_0_hightown,27,2707.2,15.4142,15.4142,16,4
ht_0_hightown,28,2813,12.6569,12.6569,12,4
ht_0_hightown,29,3713.6,15.1421,15.1421,12,4
ht_0_hightown,30,2472.4,17,17,18,4
ht_0_hightown,31,4195.6,16.3137,16.3137,14,4
ht_0_hightown,32,3978.4,16.6569,16.6569,16,4
ht_0_hightown,33,3268.6,17.4142,17.4142,18,4
ht_0_hightown,34,25592.8,19.3137,19.3137,17,4
ht_0_hightown,35,3888,19.4853,19.4853,18,4
ht_0_hightown,36,3798,17.1421,17.1421,14,4
ht_0_hightown,37,4000.6,18.3137,18.3137,16,4
ht_0_hightown,38,3383,17.2426,17.2426,17,4
ht_0_hightown,39,4602,19.4142,19.4142,20,4
ht_0_hightown,40,7538.8,21.3137,21.3137,19,4
ht_0_hightown,41,4525.6,23.6569,23.6569,23,4
ht_0_hightown,42,4143.4,22.2426,22.2426,22,4
ht_0_hightown,43,5079.8,21.8284,21.8284,22,4
ht_0_hightown,44,5257.8,23.1421,23.1421,20,4
ht_0_hightown,45,4463.2,23.3137,23.3137,21,4
ht_0_hightown,46,3849,20.7279,20.7279,18,4
ht_0_hightown,47,5504.2,23.4142,23.4142,24,4
ht_0_hightown,48,5715.6,23,23,24,4
ht_0_hightown,49,4636,20.7279,20.7279,18,4
ht_0_hightown,50,5841.8,26.4853,25.6569,25,4
ht_0_hightown,51,6116.8,27.5563,26.1421,24,4
ht_0_hightown,52,5421.8,26.7279,26.7279,24,4
ht_0_hightown,53,5868.6,26.4558,26.4558,20,4
ht_0_hightown,54,6416.8,25.9706,25.9706,22,4
ht_0_hightown,55,5155.6,24.4853,24.4853,23,4
ht_0_hightown,56,4901.6,24.799,24.799,20,4
ht_0_hightown,57,4091.4,24.2132,24.2132,19,4
ht_0_hightown,58,3975.2,24.2426,24.2426,24,4
ht_0_hightown,59,4245,26.6569,26.6569,26,4
ht_0_hightown,60,6452.8,30.5563,30.5563,27,4
ht_0_hightown,61,8505.8,31.3848,30.5563,27,4
ht_0_hightown,62,6462.4,31.1127,31.1127,23,4
ht_0_hightown,63,6768.8,30.2843,30.2843,23,4
ht_0_hightown,64,6448,30.0416,30.0416,24,4
ht_0_hightown,65,5451.4,31.2132,31.2132,26,4
ht_0_hightown,66,8960.8,33.7279,31.3848,31,4
ht_0_hightown,67,7808.8,30.6569,30.6569,30,4
ht_0_hightown,68,6788,30.2843,30.2843,23,4
ht_0_hightown,69,7921.8,31.8284,31.8284,32,4
ht_0_hightown,70,7122.2,32.8995,32.8995,31,4
ht_0_hightown,71,8395,35.8284,35.8284,36,4
ht_0_hightown,72,6166.8,32.8284,32.8284,33,4
ht_0_hightown,73,7934.4,35.6569,35.6569,35,4
ht_0_hightown,74,6777.4,33.8701,33.8701,27,4
ht_0_hightown,75,7628.6,35.9706,35.9706,32,4
ht_0_hightown,76,7283.8,32.7279,32.7279,30,4
ht_0_hightown,77,12871.2,37.2843,35.0416,30,4
ht_0_hightown,78,8366.2,35.7279,34.5563,33,4
ht_0_hightown,79,99083.4,35.2426,35.2426,35,4
ht_0_hightown,80,8151,36.2426,36.2426,36,4
ht_0_hightown,81,111593,38.7279,38.7279,36,4
ht_0_hightown,82,8175.2,37.4142,37.4142,38,4
ht_0_hightown,83,9112,37.4558,37.4558,31,4
ht_0_hightown,84,17636,37.2426,37.2426,37,4
ht_0_hightown,85,19353,37.5563,37.5563,34,4
ht_0_hightown,86,25170.6,41.1421,38.8995,38,4
ht_0_hightown,87,8446.8,39.2132,39.2132,34,4
ht_0_hightown,88,8498.4,37.2843,37.2843,30,4
ht_0_hightown,89,7622,38.5563,38.5563,35,4
ht_0_hightown,90,9925.2,42.7696,42.7696,33,4
ht_0_hightown,91,62061.4,40.7279,40.7279,38,4
ht_0_hightown,92,10195.8,42.8995,42.8995,41,4
ht_0_hightown,93,56337,41.6569,41.6569,41,4
ht_0_hightown,94,11105.6,42.2843,42.2843,35,4
ht_0_hightown,95,40718.2,42.4853,42.4853,41,4
ht_0_hightown,96,9547.8,43.799,43.799,39,4
ht_0_hightown,97,9713.2,40.8284,40.8284,41,4
ht_0_hightown,98,9027.4,43.1127,43.1127,35,4
ht_0_hightown,99,16719.2,42.5563,42.5563,39,4
ht_0_hightown,100,63471.6,47.2132,47.2132,42,4
ht_0_hightown,101,10379.4,46.9706,46.9706,43,4
ht_0_hightown,102,54342.8,45.2132,45.2132,40,4
ht_0_hightown,103,20045.4,44.1127,44.1127,36,4
ht_0_hightown,104,30852.8,48.8701,44.9706,42,4
ht_0_hightown,105,9092.8,44.3137,44.3137,42,4
ht_0_hightown,106,18096.4,49.3553,46.8701,40,4
ht_0_hightown,107,137637,47.3137,47.3137,45,4
ht_0_hightown,108,9209.4,47.3848,47.3848,43,4
ht_0_hightown,109,10645,47.8995,47.8995,46,4
ht_0_hightown,110,64283.2,49.6274,49.6274,44,4
ht_0_hightown,111,9269.4,48.8995,48.8995,47,4
ht_0_hightown,112,39959.8,49.6985,48.0416,42,4
ht_0_hightown,113,10118.2,48.2426,48.2426,48,4
ht_0_hightown,114,12128.2,50,50,51,4
ht_0_hightown,115,11581,51.2426,51.2426,51,4
ht_0_hightown,116,10769.6,50.3848,48.1421,46,4
ht_0_hightown,117,14038.2,49.1127,48.2843,41,4
ht_0_hightown,118,12367,49.3137,49.3137,47,4
ht_0_hightown,119,19419.2,50.2843,48.6274,43,4
ht_0_hightown,120,9610.6,54.4142,54.4142,55,4
ht_0_hightown,121,53574.6,52.1421,52.1421,49,4
ht_0_hightown,122,13585.2,53.2426,53.2426,53,4
ht_0_hightown,123,119900,54.7279,54.7279,52,4
ht_0_hightown,124,16010.8,58.2132,54.5563,53,4
ht_0_hightown,125,9782.2,52,52,53,4
ht_0_hightown,126,126623,54.2426,54.2426,54,4
ht_0_hightown,127,12283,57.6274,53.9706,52,4
ht_0_hightown,128,14392.4,55.598,54.7696,45,4
ht_0_hightown,129,12295.4,52.4975,52.4975,39,4
ht_0_hightown,130,12578.8,58.2426,58.2426,58,4
ht_0_hightown,131,14935.8,59.5269,56.4558,51,4
ht_0_hightown,132,15117,56.799,56.799,52,4
ht_0_hightown,133,12232.2,58.5563,58.5563,55,4
ht_0_hightown,134,14717.6,60.4558,59.6274,54,4
ht_0_hightown,135,11859.8,60.3848,59.799,56,4
ht_0_hightown,136,11334.4,60.4558,57.9706,54,4
ht_0_hightown,137,13384.4,56.4853,56.4853,55,4
ht_0_hightown,138,281969,56.8995,56.8995,55,4
ht_0_hightown,139,37983.8,57.2132,57.2132,52,4
ht_0_hightown,140,19972.6,60.1421,60.1421,57,4
ht_0_hightown,141,52304.4,62.7696,62.7696,53,4
ht_0_hightown,142,182254,61.8995,61.8995,60,4
ht_0_hightown,143,14566.4,61.5685,61.5685,46,4
ht_0_hightown,144,85840.2,63.2843,63.2843,56,4
ht_0_hightown,145,244131,60.1127,60.1127,52,4
ht_0_hightown,146,14102.6,62.5563,61.7279,59,4
ht_0_hightown,147,15506.6,65.9117,62.4975,52,4
ht_0_hightown,148,217813,61.6985,61.6985,54,4
ht_0_hightown,149,15291.8,62.3553,61.5269,53,4
ht_0_hightown,150,79900.2,65.3848,65.3848,61,4
ht_0_hightown,151,16605.6,65.8112,65.8112,49,4
ht_0_hightown,152,14317.2,66.6274,66.6274,61,4
ht_0_hightown,153,15643.8,64.4853,64.4853,63,4
ht_0_hightown,154,98288.6,64.2843,64.2843,57,4
ht_0_hightown,155,15527.6,64.4264,64.4264,53,4
ht_0_hightown,156,15241.2,67.2132,65.5563,62,4
ht_0_hightown,157,13030.6,64.0711,64.0711,63,4
ht_0_hightown,158,14402,67.1543,67.1543,52,4
ht_0_hightown,159,26838.4,71.598,67.9411,61,4
ht_0_hightown,160,184580,70.1127,70.1127,62,4
ht_0_hightown,161,238872,71.669,71.669,59,4
ht_0_hightown,162,194145,71.2843,69.0416,64,4
ht_0_hightown,163,106908,70.9706,70.9706,67,4
ht_0_hightown,164,16139,69.2132,68.3848,64,4
ht_0_hightown,165,44769,70.4558,70.4558,64,4
ht_0_hightown,166,612626,69.598,69.598,59,4
ht_0_hightown,167,16122.4,72.7279,71.5563,70,4
ht_0_hightown,168,14849.6,69.1421,69.1421,66,4
ht_0_hightown,169,14472.4,69.2132,68.3848,64,4
ht_0_hightown,170,527535,72.9117,72.9117,59,4
ht_0_hightown,171,15217.8,73.7279,72.0711,71,4
ht_0_hightown,172,17332.4,74.3848,72.3848,70,4
