map,scenid,tcost,distance,expect,steps,r
ht_0_hightown_a2,0,2094.6,4,4,5,4
ht_0_hightown_a2,1,1322,5,5,6,4
ht_0_hightown_a2,2,2242.2,7.24264,7.24264,7,4
ht_0_hightown_a2,3,1468.8,4.82843,4.82843,5,4
ht_0_hightown_a2,4,2214.6,9.82843,7.82843,10,4
ht_0_hightown_a2,5,1628,6.41421,6.41421,7,4
ht_0_hightown_a2,6,1335.2,4.24264,4.24264,4,4
ht_0_hightown_a2,7,1507.6,5.65685,5.65685,5,4
ht_0_hightown_a2,8,1388.2,4.41421,4.41421,5,4
ht_0_hightown_a2,9,1232.6,4.41421,4.41421,5,4
ht_0_hightown_a2,10,2141.8,8.82843,8.82843,9,4
ht_0_hightown_a2,11,2105.6,11,11,12,4
ht_0_hightown_a2,12,1690,11,11,12,4
ht_0_hightown_a2,13,1800.2,8.07107,8.07107,7,4
ht_0_hightown_a2,14,2213.4,8.07107,8.07107,7,4
ht_0_hightown_a2,15,3262.2,11.8284,11.8284,12,4
ht_0_hightown_a2,16,1378,9,9,10,4
ht_0_hightown_a2,17,2484.2,9.07107,9.07107,8,4
ht_0_hightown_a2,18,1993.2,9.82843,9.82843,10,4
ht_0_hightown_a2,19,2580.6,9.82843,9.82843,10,4
ht_0_hightown_a2,20,2787.4,12.0711,12.0711,11,4
ht_0_hightown_a2,21,3683.8,15.6569,15.6569,15,4
ht_0_hightown_a2,22,2823.4,13.8995,13.8995,12,4
ht_0_hightown_a2,23,2818.6,14.4853,14.4853,13,4
ht_0_hightown_a2,24,2910.2,14.2426,14.2426,14,4
ht_0_hightown_a2,25,2865.2,14.8284,14.8284,15,4
ht_0_hightown_a2,26,2078.4,15.8284,15.8284,16,4
ht_0_hightown_a2,27,2389.4,15.8284,15.8284,16,4
ht_0_hightown_a2,28,3145.8,13.8995,13.8995,12,4
ht_0_hightown_a2,29,4356.6,14.4142,14.4142,15,4
ht_0_hightown_a2,30,3598.4,18.4142,18.4142,19,4
ht_0_hightown_a2,31,4166,19.3137,19.3137,17,4
ht_0_hightown_a2,32,3127.6,18.0711,18.0711,17,4
ht_0_hightown_a2,33,3645.8,16.0711,16.0711,15,4
ht_0_hightown_a2,34,4177,17.4142,17.4142,18,4
ht_0_hightown_a2,35,4026.4,17.2426,17.2426,17,4
ht_0_hightown_a2,36,3494,17.6569,17.6569,17,4
ht_0_hightown_a2,37,3289.2,16.6569,16.6569,16,4
ht_0_hightown_a2,38,3835.4,18.2426,18.2426,18,4
ht_0_hightown_a2,39,4128.8,19.7279,19.7279,17,4
ht_0_hightown_a2,40,4770,20.2426,20.2426,20,4
ht_0_hightown_a2,41,5040.2,21.3137,21.3137,19,4
ht_0_hightown_a2,42,4035.2,22.4853,22.4853,21,4
ht_0_hightown_a2,43,3266,22,22,23,4
ht_0_hightown_a2,44,4862.4,22.1421,21.3137,19,4
ht_0_hightown_a2,45,4011,21.5563,21.5563,18,4
ht_0_hightown_a2,46,5835,23.799,23.799,19,4
ht_0_hightown_a2,47,4965.4,22.3137,22.3137,20,4
ht_0_hightown_a2,48,4395.6,20.8995,20.8995,19,4
ht_0_hightown_a2,49,5354.6,22.2426,22.2426,22,4
ht_0_hightown_a2,50,5880.4,25.8284,25.8284,26,4
ht_0_hightown_a2,51,5288.2,25.6569,25.6569,25,4
ht_0_hightown_a2,52,26376.2,24.0711,24.0711,23,4
ht_0_hightown_a2,53,4958.6,25,25,26,4
ht_0_hightown_a2,54,5161,24.8284,24.8284,25,4
ht_0_hightown_a2,55,6690.8,27.8701,27.8701,21,4
ht_0_hightown_a2,56,6405.4,25.6274,25.6274,20,4
ht_0_hightown_a2,57,4412.8,24,24,25,4
ht_0_hightown_a2,58,6213.8,27.8995,27.8995,26,4
ht_0_hightown_a2,59,5550.2,27.0711,27.0711,26,4
ht_0_hightown_a2,60,6896.2,29.8995,29.8995,28,4
ht_0_hightown_a2,61,7187.4,30.8995,30.8995,29,4
ht_0_hightown_a2,62,5624.2,30.4142,30.4142,31,4
ht_0_hightown_a2,63,6088.6,30.6274,30.6274,25,4
ht_0_hightown_a2,64,85920.2,30.0711,29.2426,29,4
ht_0_hightown_a2,65,7265,31.799,31.799,27,4
ht_0_hightown_a2,66,6921.4,28.6569,28.6569,28,4
ht_0_hightown_a2,67,4871.2,28.0711,28.0711,27,4
