map,scenid,tcost,distance,expect,steps,r
ht_0_hightown_n,0,2853.6,5.24264,5.24264,5,32
ht_0_hightown_n,1,1129.6,4,4,5,32
ht_0_hightown_n,2,1385.2,4.41421,4.41421,5,32
ht_0_hightown_n,3,1369.8,5,5,6,32
ht_0_hightown_n,4,1722,7.82843,7.82843,8,32
ht_0_hightown_n,5,1475,4.82843,4.82843,5,32
ht_0_hightown_n,6,2244.8,7.24264,7.24264,7,32
ht_0_hightown_n,7,1341.8,4.82843,4.82843,5,32
ht_0_hightown_n,8,1619.2,7.24264,7.24264,7,32
ht_0_hightown_n,9,1572.8,7.65685,7.65685,7,32
ht_0_hightown_n,10,2306.6,9.82843,9.82843,10,32
ht_0_hightown_n,11,2156,9.65685,9.65685,9,32
ht_0_hightown_n,12,3819.8,11.6569,11.6569,11,32
ht_0_hightown_n,13,2390,10.4142,10.4142,11,32
ht_0_hightown_n,14,1879.8,8.41421,8.41421,9,32
ht_0_hightown_n,15,2866.4,10.8995,10.8995,9,32
ht_0_hightown_n,16,1714.4,8.82843,8.82843,9,32
ht_0_hightown_n,17,3202.8,11.6569,11.6569,11,32
ht_0_hightown_n,18,2149.6,9.65685,9.65685,9,32
ht_0_hightown_n,19,2699.6,11.4853,11.4853,10,32
ht_0_hightown_n,20,3822.4,15.6569,15.6569,15,32
ht_0_hightown_n,21,3960,16.4853,14.2426,15,32
ht_0_hightown_n,22,3084.4,14.3137,14.3137,12,32
ht_0_hightown_n,23,3238,13.3137,13.3137,11,32
ht_0_hightown_n,24,3511,15.1421,15.1421,12,32
ht_0_hightown_n,25,2965.6,15.8995,15.8995,14,32
ht_0_hightown_n,26,2887.8,12.8284,12.8284,13,32
ht_0_hightown_n,27,2819.8,15.4142,15.4142,16,32
ht_0_hightown_n,28,3311.2,15.1421,15.1421,12,32
ht_0_hightown_n,29,2616.2,12.6569,12.6569,12,32
ht_0_hightown_n,30,4124.6,19.4853,19.4853,18,32
ht_0_hightown_n,31,4441.2,18.3848,18.3848,14,32
ht_0_hightown_n,32,5213.6,19.8995,19.8995,18,32
ht_0_hightown_n,33,4337.4,19.9706,19.9706,16,32
ht_0_hightown_n,34,4572.2,17.4853,17.4853,16,32
ht_0_hightown_n,35,4061.2,18.0711,18.0711,17,32
ht_0_hightown_n,36,4444.8,17.1421,17.1421,14,32
ht_0_hightown_n,37,3954.8,19.8995,19.8995,18,32
ht_0_hightown_n,38,3186,16.8995,16.8995,15,32
ht_0_hightown_n,39,3425.8,16.8995,16.8995,15,32
ht_0_hightown_n,40,5000.4,24.4853,23.6569,23,32
ht_0_hightown_n,41,6118.6,23.3137,23.3137,21,32
ht_0_hightown_n,42,6210.8,23.6274,23.6274,18,32
ht_0_hightown_n,43,4034.4,21.0711,21.0711,20,32
ht_0_hightown_n,44,5126.2,21.799,21.799,17,32
ht_0_hightown_n,45,5737,23.9706,23.9706,20,32
ht_0_hightown_n,46,4727.2,22.5563,22.5563,19,32
ht_0_hightown_n,47,5136.4,22.7279,22.7279,20,32
ht_0_hightown_n,48,4558.4,22.3848,22.3848,18,32
ht_0_hightown_n,49,4287.6,22.8284,22.8284,23,32
ht_0_hightown_n,50,5051.6,24.1421,24.1421,21,32
ht_0_hightown_n,51,4360,27.6569,27.6569,27,32
ht_0_hightown_n,52,3690.6,25.8284,25.8284,26,32
ht_0_hightown_n,53,4813.2,25.7279,25.7279,23,32
ht_0_hightown_n,54,4640.6,25.3137,25.3137,23,32
ht_0_hightown_n,55,7114.8,24.5563,24.5563,21,32
ht_0_hightown_n,56,6481.4,27.1421,27.1421,24,32
ht_0_hightown_n,57,5912.2,25.8995,25.8995,24,32
ht_0_hightown_n,58,6333.2,27.6569,27.0711,27,32
ht_0_hightown_n,59,52016,25.0711,25.0711,24,32
ht_0_hightown_n,60,7572.8,32.7279,31.5563,30,32
ht_0_hightown_n,61,5664.2,29.3137,29.3137,27,32
ht_0_hightown_n,62,7371.8,28.0711,28.0711,27,32
ht_0_hightown_n,63,7833.8,30.4558,30.4558,24,32
ht_0_hightown_n,64,6323.8,28.4142,28.4142,29,32
ht_0_hightown_n,65,6093.6,28.4558,28.4558,22,32
ht_0_hightown_n,66,4691.6,32.0711,31.2426,31,32
ht_0_hightown_n,67,4662.8,30,30,31,32
ht_0_hightown_n,68,5512.8,28.8284,28.8284,29,32
ht_0_hightown_n,69,5962.4,31.7279,31.7279,29,32
ht_0_hightown_n,70,8246.2,34.2132,34.2132,29,32
ht_0_hightown_n,71,7445.4,34.6274,34.6274,29,32
ht_0_hightown_n,72,7550.8,32.4558,32.4558,26,32
ht_0_hightown_n,73,7726.2,34.4558,34.4558,28,32
ht_0_hightown_n,74,9322,35.5563,35.5563,32,32
ht_0_hightown_n,75,142855,41.0416,35.9706,35,32
ht_0_hightown_n,76,7775.4,32.1127,32.1127,24,32
ht_0_hightown_n,77,7180.8,32.3848,32.3848,28,32
ht_0_hightown_n,78,7269,33.2132,33.2132,28,32
ht_0_hightown_n,79,7283,33.4142,33.4142,34,32
ht_0_hightown_n,80,7883.8,36.2132,36.2132,31,32
ht_0_hightown_n,81,8789.8,36.9411,36.9411,28,32
ht_0_hightown_n,82,6921.2,36.8284,36.8284,37,32
ht_0_hightown_n,83,5786.8,37,37,38,32
ht_0_hightown_n,84,8780.6,39.8701,39.0416,33,32
ht_0_hightown_n,85,8072,37.4558,37.4558,31,32
ht_0_hightown_n,86,9191.4,39.1127,38.2843,31,32
ht_0_hightown_n,87,6533.4,39.3137,37.6569,37,32
ht_0_hightown_n,88,8426.2,37.2426,37.2426,37,32
ht_0_hightown_n,89,7668.6,36.9411,36.9411,28,32
ht_0_hightown_n,90,8929.4,42.9706,42.9706,39,32
ht_0_hightown_n,91,8330,41.2426,41.2426,41,32
ht_0_hightown_n,92,177313,45.4853,42.6569,44,32
