map,scenid,tcost,distance,expect,steps,r
ht_brothel_n,0,2477,6.24264,6.24264,6,8
ht_brothel_n,1,1332.6,5.24264,5.24264,5,8
ht_brothel_n,2,1331,6.24264,6.24264,6,8
ht_brothel_n,3,1615.2,7.24264,7.24264,7,8
ht_brothel_n,4,1560.8,7.65685,7.65685,7,8
ht_brothel_n,5,1282.2,6,6,7,8
ht_brothel_n,6,1436.8,7.07107,7.07107,6,8
ht_brothel_n,7,1133,5.82843,5.82843,6,8
ht_brothel_n,8,1101.4,5.65685,5.65685,5,8
ht_brothel_n,9,1437.2,6.65685,6.65685,6,8
ht_brothel_n,10,2056,11.6569,11.6569,11,8
ht_brothel_n,11,1680,9.07107,9.07107,8,8
ht_brothel_n,12,1552.4,8.41421,8.41421,9,8
ht_brothel_n,13,1748,10.4142,10.4142,11,8
ht_brothel_n,14,1579.8,9.24264,9.24264,9,8
ht_brothel_n,15,1412.8,8.82843,8.82843,9,8
ht_brothel_n,16,2610.2,11.3137,11.3137,9,8
ht_brothel_n,17,1397.2,8,8,9,8
ht_brothel_n,18,1496.8,8,8,9,8
ht_brothel_n,19,1627,8.24264,8.24264,8,8
ht_brothel_n,20,2455.4,15.4142,15.4142,16,8
ht_brothel_n,21,2096.6,12.8284,12.8284,13,8
ht_brothel_n,22,2195.8,13.8284,13.8284,14,8
ht_brothel_n,23,2274.8,15.4142,15.4142,16,8
ht_brothel_n,24,1688.6,12.4142,12.4142,13,8
ht_brothel_n,25,2627.4,15.4853,15.4853,14,8
ht_brothel_n,26,2305.2,13.3137,13.3137,11,8
ht_brothel_n,27,2283.4,12.7279,12.7279,10,8
ht_brothel_n,28,2609.4,15.4853,15.4853,14,8
ht_brothel_n,29,2180.8,13.4853,13.4853,12,8
ht_brothel_n,30,2774.4,16.0711,16.0711,15,8
ht_brothel_n,31,2761.2,17.0711,17.0711,16,8
ht_brothel_n,32,3293,18.2426,18.2426,18,8
ht_brothel_n,33,2939.8,16.2426,16.2426,16,8
ht_brothel_n,34,2555.8,16.4142,16.4142,17,8
ht_brothel_n,35,2380.4,16.2426,16.2426,16,8
ht_brothel_n,36,2958.6,19.8995,19.8995,18,8
ht_brothel_n,37,3016.8,18.8284,18.8284,19,8
ht_brothel_n,38,5019.8,20.3137,17.2426,18,8
ht_brothel_n,39,2121.4,16.2426,16.2426,16,8
ht_brothel_n,40,2870.8,21.6569,21.6569,21,8
ht_brothel_n,41,3258,22.8284,22.8284,23,8
ht_brothel_n,42,3010,21.6569,21.6569,21,8
ht_brothel_n,43,10153,25.3848,22.5563,21,8
ht_brothel_n,44,5948.4,27.799,22.4853,23,8
ht_brothel_n,45,3661,25.4853,23.2426,24,8
ht_brothel_n,46,18516.6,24.3137,22.6569,22,8
ht_brothel_n,47,4150.4,23.8284,23.8284,24,8
ht_brothel_n,48,4461.6,25.1421,23.7279,22,8
ht_brothel_n,49,3514.2,23.6569,23.6569,23,8
ht_brothel_n,50,5312.4,28.1421,25.0711,25,8
ht_brothel_n,51,4509,29.3137,27.6569,27,8
ht_brothel_n,52,4289.8,26.0711,26.0711,25,8
ht_brothel_n,53,5107.4,27.5563,27.5563,24,8
ht_brothel_n,54,4167.4,24.799,24.799,20,8
ht_brothel_n,55,5592,27.5563,25.3137,24,8
ht_brothel_n,56,4529.8,27.1421,27.1421,24,8
ht_brothel_n,57,56959,26.4853,26.4853,25,8
ht_brothel_n,58,20934.8,26.7279,26.1421,24,8
ht_brothel_n,59,4813.2,26.9706,26.9706,23,8
ht_brothel_n,60,8848.4,32.5563,30.799,29,8
ht_brothel_n,61,5290.8,29.8284,29.8284,30,8
ht_brothel_n,62,6396.2,34.3848,30.7279,30,8
ht_brothel_n,63,7925.6,31.5563,30.9706,28,8
ht_brothel_n,64,9707,37.6985,31.799,30,8
ht_brothel_n,65,7969.4,36.799,30.0711,32,8
ht_brothel_n,66,5066.8,29.7279,29.7279,27,8
ht_brothel_n,67,5202.2,32.9706,29.8995,29,8
ht_brothel_n,68,4223.4,28.2426,28.2426,28,8
ht_brothel_n,69,4833,28.1421,28.1421,25,8
ht_brothel_n,70,45433,39.1421,33.8284,36,8
ht_brothel_n,71,8381.8,36.3848,33.799,32,8
ht_brothel_n,72,20654.4,32.799,32.2132,28,8
ht_brothel_n,73,6280.4,32.8284,32,33,8
ht_brothel_n,74,6147.2,35.4853,34.8995,34,8
ht_brothel_n,75,5874.8,33.5563,33.5563,30,8
ht_brothel_n,76,6882.4,36.0416,35.2132,30,8
ht_brothel_n,77,119233,33.1421,33.1421,30,8
ht_brothel_n,78,6319.8,32.9706,32.9706,29,8
ht_brothel_n,79,5574.4,34.0416,33.2132,28,8
ht_brothel_n,80,6368.2,37.8701,37.0416,31,8
ht_brothel_n,81,6501.8,36.8995,36.3137,35,8
ht_brothel_n,82,6931.2,39.5563,39.5563,36,8
ht_brothel_n,83,15872.6,46.3553,38.799,37,8
ht_brothel_n,84,131221,38.7279,38.7279,36,8
ht_brothel_n,85,13506,45.1127,38.9706,37,8
ht_brothel_n,86,6272,36.8284,36.8284,37,8
ht_brothel_n,87,22237.8,46.4558,39.7279,40,8
ht_brothel_n,88,41980.2,38.1421,38.1421,35,8
ht_brothel_n,89,8218.6,40.7279,39.0711,38,8
ht_brothel_n,90,65624,41.8701,41.8701,35,8
ht_brothel_n,91,7577,42.0416,41.2132,36,8
ht_brothel_n,92,7326.2,43.0711,43.0711,42,8
ht_brothel_n,93,11349,44.8701,41.2132,38,8
ht_brothel_n,94,8429.6,44.799,43.1421,40,8
ht_brothel_n,95,186413,46.8701,42.7279,40,8
ht_brothel_n,96,171226,42.799,42.799,38,8
ht_brothel_n,97,22232.2,40.1127,40.1127,32,8
ht_brothel_n,98,9592.6,43.2843,42.6985,36,8
ht_brothel_n,99,8304.2,43.3848,43.3848,39,8
ht_brothel_n,100,49310,45.799,45.799,41,8
ht_brothel_n,101,12514.6,50.5269,46.8701,42,8
ht_brothel_n,102,53571.2,53.4558,47.3137,47,8
ht_brothel_n,103,10143.6,47.2132,44.9706,42,8
ht_brothel_n,104,14769.4,51.2132,46.1421,46,8
ht_brothel_n,105,163982,47.9706,47.9706,44,8
ht_brothel_n,106,63374.6,47.0416,47.0416,41,8
ht_brothel_n,107,64250,45.2132,45.2132,40,8
ht_brothel_n,108,48324,45.6274,44.4558,40,8
ht_brothel_n,109,185789,45.4558,44.0416,39,8
ht_brothel_n,110,300218,52.8995,51.2426,51,8
ht_brothel_n,111,99145.4,49.8701,49.8701,43,8
ht_brothel_n,112,33669.4,51.2132,50.0416,46,8
ht_brothel_n,113,136026,49.9706,48.5563,46,8
ht_brothel_n,114,15241.8,52.3848,50.7279,48,8
ht_brothel_n,115,10507,53.3848,51.1421,49,8
ht_brothel_n,116,90307.6,49.598,48.7696,39,8
ht_brothel_n,117,80618.6,48.6569,48.6569,48,8
ht_brothel_n,118,11491.4,53.9411,49.4558,45,8
ht_brothel_n,119,51344,54.1127,48.5563,46,8
ht_brothel_n,120,370409,55.0416,55.0416,49,8
ht_brothel_n,121,370964,52.2132,52.2132,47,8
ht_brothel_n,122,50726.4,52.5563,52.5563,49,8
ht_brothel_n,123,57800.2,52.9706,52.9706,49,8
ht_brothel_n,124,126992,54.7279,54.7279,52,8
ht_brothel_n,125,12121.4,59.0416,55.6274,53,8
ht_brothel_n,126,11672.2,60.3137,55.1421,58,8
ht_brothel_n,127,384123,55.0416,55.0416,49,8
ht_brothel_n,128,16702.6,54.598,52.3553,44,8
ht_brothel_n,129,131385,55.799,55.799,51,8
ht_brothel_n,130,13182.6,62.6985,58.2132,55,8
ht_brothel_n,131,165021,58.7279,58.7279,56,8
ht_brothel_n,132,52957.6,56.1127,56.1127,48,8
ht_brothel_n,133,60673.8,59.5563,59.5563,56,8
ht_brothel_n,134,11641.4,56.4558,56.4558,50,8
ht_brothel_n,135,129951,56.4558,56.4558,50,8
ht_brothel_n,136,132066,59.8701,59.8701,53,8
ht_brothel_n,137,298601,59.0416,59.0416,53,8
ht_brothel_n,138,112055,58.5269,58.5269,50,8
ht_brothel_n,139,12154,56.6985,56.6985,49,8
ht_brothel_n,140,31037,63.799,62.1421,59,8
ht_brothel_n,141,96626.6,60.799,60.799,56,8
ht_brothel_n,142,118933,63.4558,63.4558,57,8
ht_brothel_n,143,142955,60.4558,60.4558,54,8
ht_brothel_n,144,205110,65.7696,62.6985,56,8
ht_brothel_n,145,97820.2,62.0711,62.0711,61,8
ht_brothel_n,146,172737,63.799,63.799,59,8
ht_brothel_n,147,13984.6,61.5269,60.6985,53,8
ht_brothel_n,148,106207,63.1838,63.1838,53,8
ht_brothel_n,149,13856.6,61.3553,60.5269,52,8
ht_brothel_n,150,101388,65.8701,65.8701,59,8
ht_brothel_n,151,266851,66.1838,66.1838,56,8
ht_brothel_n,152,215605,67.0416,67.0416,61,8
ht_brothel_n,153,14685.4,66.0416,65.2132,60,8
ht_brothel_n,154,23679.4,67.4558,66.2843,61,8
ht_brothel_n,155,638918,67.799,67.799,63,8
ht_brothel_n,156,280253,64.5563,64.5563,61,8
ht_brothel_n,157,118360,67.4558,67.4558,61,8
ht_brothel_n,158,336506,66.4558,66.4558,60,8
ht_brothel_n,159,59809.8,73.0833,65.6274,60,8
ht_brothel_n,160,67393.8,71.5563,71.5563,68,8
ht_brothel_n,161,267795,68.6274,68.6274,63,8
ht_brothel_n,162,33732.2,77.1127,69.5563,69,8
ht_brothel_n,163,23268.2,69.1838,68.3553,59,8
ht_brothel_n,164,600778,70.2843,70.2843,63,8
ht_brothel_n,165,16117.8,73.0833,69.4264,60,8
ht_brothel_n,166,56968.2,75.799,70.7279,71,8
ht_brothel_n,167,249090,71.9411,71.9411,63,8
ht_brothel_n,168,402584,69.9411,69.9411,61,8
ht_brothel_n,169,198908,69.1421,69.1421,66,8
ht_brothel_n,170,29690.2,73.0122,72.1838,62,8
ht_brothel_n,171,198456,73.6569,73.6569,73,8
ht_brothel_n,172,94406.4,73.9411,73.1127,65,8
ht_brothel_n,173,166847,72.6985,72.6985,65,8
ht_brothel_n,174,356123,77.6985,75.1127,70,8
ht_brothel_n,175,15669.8,75.4853,73.8284,74,8
ht_brothel_n,176,215228,78.3259,74.4264,64,8
ht_brothel_n,177,24671,75.2843,72.4558,68,8
ht_brothel_n,178,154313,73.9411,73.9411,65,8
ht_brothel_n,179,79569.8,74.598,74.598,64,8
ht_brothel_n,180,100347,77.3848,77.3848,73,8
ht_brothel_n,181,163142,76.1127,76.1127,68,8
ht_brothel_n,182,19059.8,81.9706,79.3848,78,8
ht_brothel_n,183,608503,76.4264,76.4264,65,8
ht_brothel_n,184,19160.4,78.4558,77.2843,72,8
ht_brothel_n,185,44157.4,78.1127,78.1127,70,8
ht_brothel_n,186,102689,81.1838,77.0416,71,8
ht_brothel_n,187,216002,79.9411,79.9411,71,8
ht_brothel_n,188,369099,79.8406,79.8406,68,8
ht_brothel_n,189,349078,79.5269,79.5269,71,8
ht_brothel_n,190,554106,81.4264,81.4264,70,8
ht_brothel_n,191,109757,81.9411,81.9411,73,8
ht_brothel_n,192,1.35377e+06,82.0833,82.0833,69,8
ht_brothel_n,193,97842,89.8406,81.9411,78,8
ht_brothel_n,194,98697.8,84.1838,80.0416,74,8
ht_brothel_n,195,1.1747e+06,81.3848,81.3848,77,8
ht_brothel_n,196,172220,81.1838,81.1838,71,8
ht_brothel_n,197,57286.6,88.5269,80.7279,80,8
ht_brothel_n,198,60850.8,81.4853,81.4853,80,8
ht_brothel_n,199,176287,82.0416,82.0416,76,8
ht_brothel_n,200,295553,88.0833,87.2548,75,8
ht_brothel_n,201,499668,87.1127,87.1127,79,8
ht_brothel_n,202,20688.8,92.0416,86.1421,86,8
ht_brothel_n,203,129504,86.799,86.799,82,8
ht_brothel_n,204,404344,85.9411,85.9411,77,8
ht_brothel_n,205,228390,84.4558,84.4558,78,8
ht_brothel_n,206,235239,87.0416,87.0416,81,8
ht_brothel_n,207,256637,85.7696,84.598,76,8
ht_brothel_n,208,510950,87.4264,87.4264,76,8
ht_brothel_n,209,105408,86.1127,86.1127,78,8
ht_brothel_n,210,117787,88.3553,88.3553,79,8
ht_brothel_n,211,194940,88.598,88.598,78,8
ht_brothel_n,212,599732,91.7696,91.7696,82,8
ht_brothel_n,213,566169,88.2132,88.2132,83,8
ht_brothel_n,214,297246,90.7696,90.7696,81,8
ht_brothel_n,215,329242,89.6985,89.6985,82,8
ht_brothel_n,216,788416,88.9411,88.1127,80,8
ht_brothel_n,217,170821,91.0122,91.0122,80,8
ht_brothel_n,218,259020,88.4264,88.4264,77,8
ht_brothel_n,219,322219,88.7696,88.7696,79,8
ht_brothel_n,220,373296,94.8701,94.8701,88,8
ht_brothel_n,221,770478,94.3553,94.3553,85,8
ht_brothel_n,222,980951,93.6985,93.6985,86,8
ht_brothel_n,223,381343,95.5269,95.5269,87,8
ht_brothel_n,224,232212,92.598,92.598,82,8
ht_brothel_n,225,165902,94.8406,94.8406,83,8
ht_brothel_n,226,1.10995e+06,95.8406,95.8406,84,8
ht_brothel_n,227,350774,95.669,95.669,83,8
ht_brothel_n,228,156576,94.5269,93.6985,86,8
ht_brothel_n,229,193280,95.4264,94.598,84,8
ht_brothel_n,230,416706,98.2843,98.2843,91,8
ht_brothel_n,231,48780.2,100.698,97.8701,93,8
ht_brothel_n,232,456372,98.1127,98.1127,90,8
ht_brothel_n,233,530421,99.6274,99.6274,94,8
ht_brothel_n,234,187038,96.4264,96.4264,85,8
ht_brothel_n,235,168001,96.7696,96.7696,87,8
ht_brothel_n,236,164823,98.5269,98.5269,90,8
ht_brothel_n,237,131245,99.1838,97.5269,89,8
ht_brothel_n,238,250753,96.7696,96.7696,87,8
ht_brothel_n,239,842900,99.0122,99.0122,88,8
ht_brothel_n,240,735039,102.113,102.113,94,8
ht_brothel_n,241,515368,103.77,103.77,94,8
ht_brothel_n,242,224462,103.669,103.669,91,8
ht_brothel_n,243,340132,102.698,102.698,95,8
ht_brothel_n,244,801449,103.87,103.87,97,8
ht_brothel_n,245,440931,102.669,102.669,90,8
ht_brothel_n,246,251648,103.598,103.598,93,8
ht_brothel_n,247,1.18862e+06,102.77,102.77,93,8
ht_brothel_n,248,878268,103.397,101.74,87,8
ht_brothel_n,249,247644,102.497,102.497,89,8
ht_brothel_n,250,1.74358e+06,107.456,107.456,101,8
ht_brothel_n,251,248472,107.971,107.971,104,8
ht_brothel_n,252,573301,106.669,106.669,94,8
ht_brothel_n,253,150033,104.042,104.042,98,8
ht_brothel_n,254,330638,105.355,105.355,96,8
ht_brothel_n,255,1.73713e+06,104.113,104.113,96,8
ht_brothel_n,256,244719,106.74,106.74,92,8
ht_brothel_n,257,275107,105.77,105.77,96,8
ht_brothel_n,258,810566,105.012,105.012,94,8
ht_brothel_n,259,473877,107.184,107.184,97,8
ht_brothel_n,260,183815,109.77,109.77,100,8
ht_brothel_n,261,656791,108.841,108.841,97,8
ht_brothel_n,262,350025,110.326,110.326,96,8
ht_brothel_n,263,140474,110.77,110.77,101,8
ht_brothel_n,264,1.09857e+06,109.527,109.527,101,8
ht_brothel_n,265,217176,110.083,110.083,97,8
ht_brothel_n,266,1.97246e+06,111.77,111.77,102,8
ht_brothel_n,267,275836,111.841,111.841,100,8
ht_brothel_n,268,255557,112.527,111.698,104,8
ht_brothel_n,269,2.32034e+06,108.184,108.184,98,8
ht_brothel_n,270,1.78978e+06,114.87,114.87,108,8
ht_brothel_n,271,538936,113.912,113.912,100,8
ht_brothel_n,272,270523,112.799,112.799,108,8
ht_brothel_n,273,1.56277e+06,115.456,115.456,109,8
ht_brothel_n,274,172624,114.083,114.083,101,8
ht_brothel_n,275,886355,115.255,115.255,103,8
ht_brothel_n,276,215651,121.497,115.497,108,8
