map,scenid,tcost,distance,expect,steps,r
ht_chantry,0,2350.4,5.65685,5.65685,5,32
ht_chantry,1,1356.6,4.82843,4.82843,5,32
ht_chantry,2,1339.4,6.24264,6.24264,6,32
ht_chantry,3,1137.4,5.65685,5.65685,5,32
ht_chantry,4,1363.6,6,6,7,32
ht_chantry,5,1047.6,4.82843,4.82843,5,32
ht_chantry,6,1494.6,6.65685,6.65685,6,32
ht_chantry,7,1290.4,6.24264,6.24264,6,32
ht_chantry,8,1197.2,7,7,8,32
ht_chantry,9,1286,6.82843,6.82843,7,32
ht_chantry,10,1308.2,8.82843,8.82843,9,32
ht_chantry,11,1694.8,8.82843,8.82843,9,32
ht_chantry,12,2054.2,11.2426,11.2426,11,32
ht_chantry,13,1802.4,9.65685,9.65685,9,32
ht_chantry,14,2669.4,11.4853,11.4853,10,32
ht_chantry,15,1887.8,11.0711,11.0711,10,32
ht_chantry,16,1825,9.89949,9.89949,8,32
ht_chantry,17,1758.4,9.48528,9.48528,8,32
ht_chantry,18,1477.8,9,9,10,32
ht_chantry,19,1884.2,11.6569,11.6569,11,32
ht_chantry,20,2081.2,12.2426,12.2426,12,32
ht_chantry,21,2674,15.7279,15.7279,13,32
ht_chantry,22,1762.8,12.8284,12.8284,13,32
ht_chantry,23,2502,13.3137,13.3137,11,32
ht_chantry,24,5371.4,17.8995,14.8284,16,32
ht_chantry,25,2399.4,14.4853,14.4853,13,32
ht_chantry,26,2180.2,15.8995,15.8995,14,32
ht_chantry,27,2068,12.3137,12.3137,10,32
ht_chantry,28,2142.8,13.2426,13.2426,13,32
ht_chantry,29,2194.8,15.3137,15.3137,13,32
ht_chantry,30,2887.6,17.7279,17.7279,15,32
ht_chantry,31,2641.2,16.4142,16.4142,17,32
ht_chantry,32,2773,16.6569,16.6569,16,32
ht_chantry,33,2517.2,18.6569,18.6569,18,32
ht_chantry,34,2690.4,16.4142,16.4142,17,32
ht_chantry,35,2873.4,17.7279,17.7279,15,32
ht_chantry,36,2925,16.5563,16.5563,13,32
ht_chantry,37,2373,16.4853,16.4853,15,32
ht_chantry,38,2480.2,16.8284,16.8284,17,32
ht_chantry,39,3038.8,19.1421,19.1421,16,32
ht_chantry,40,3870.4,21.8995,20.7279,20,32
ht_chantry,41,39476,24.2426,23.4142,24,32
ht_chantry,42,2652.4,20.8284,20.8284,21,32
ht_chantry,43,3432.8,20.8995,20.8995,19,32
ht_chantry,44,3343.4,21.4142,21.4142,22,32
ht_chantry,45,5083.2,22.4142,22.4142,23,32
ht_chantry,46,3469.6,23.6569,23.6569,23,32
ht_chantry,47,3139.8,21.4142,21.4142,22,32
ht_chantry,48,4100.2,25.5563,23.8995,22,32
ht_chantry,49,3448,21.0711,21.0711,20,32
ht_chantry,50,4638.2,26.3137,24.8995,24,32
ht_chantry,51,18416.2,27.8995,27.8995,26,32
ht_chantry,52,4392.4,26.0711,26.0711,25,32
ht_chantry,53,4477.4,27.799,27.799,23,32
ht_chantry,54,4055.8,26.2132,26.2132,21,32
ht_chantry,55,3885,24.9706,24.9706,21,32
ht_chantry,56,4741.2,27.799,26.9706,23,32
ht_chantry,57,3870.8,25.6569,25.6569,25,32
ht_chantry,58,3549.4,24.0711,24.0711,23,32
ht_chantry,59,4730,26.8995,26.0711,25,32
ht_chantry,60,4583.2,29.3848,29.3848,25,32
ht_chantry,61,5109.8,30.5563,30.5563,27,32
ht_chantry,62,5144.8,31.3848,31.3848,27,32
ht_chantry,63,14761.6,37.2132,30.3848,32,32
ht_chantry,64,5565.2,31.5563,31.5563,28,32
ht_chantry,65,3815,28.8284,28,29,32
ht_chantry,66,4510.2,29.8995,29.8995,28,32
ht_chantry,67,5706.2,34.3137,31.4853,32,32
