map,scenid,tcost,distance,expect,steps,r
ht_chantry_n,0,1908.8,4.41421,4.41421,5,32
ht_chantry_n,1,1210,4.82843,4.82843,5,32
ht_chantry_n,2,1106.8,4,4,5,32
ht_chantry_n,3,1650.8,6.24264,6.24264,6,32
ht_chantry_n,4,1518.6,6.82843,6.82843,7,32
ht_chantry_n,5,1202.6,5.82843,5.82843,6,32
ht_chantry_n,6,1067.8,4.24264,4.24264,4,32
ht_chantry_n,7,1101.4,7,7,8,32
ht_chantry_n,8,794.8,4.41421,4.41421,5,32
ht_chantry_n,9,1277.8,7,7,8,32
ht_chantry_n,10,2598.6,11.6569,11.6569,11,32
ht_chantry_n,11,1427.2,9,9,10,32
ht_chantry_n,12,1843.6,10.0711,10.0711,9,32
ht_chantry_n,13,2010.8,11.6569,11.6569,11,32
ht_chantry_n,14,1437.6,9.65685,9.65685,9,32
ht_chantry_n,15,1916.6,10.2426,10.2426,10,32
ht_chantry_n,16,1652.6,8.48528,8.48528,7,32
ht_chantry_n,17,1649.4,9.24264,9.24264,9,32
ht_chantry_n,18,1518.6,9.41421,9.41421,10,32
ht_chantry_n,19,1530.6,8.41421,8.41421,9,32
ht_chantry_n,20,3055.2,15.4853,14.8995,14,32
ht_chantry_n,21,2381.6,15.4142,15.4142,16,32
ht_chantry_n,22,3277.2,17.7279,15.4853,15,32
ht_chantry_n,23,2564,13.2426,12.6569,13,32
ht_chantry_n,24,2216.6,13.3137,13.3137,11,32
ht_chantry_n,25,1894.6,12.3137,12.3137,10,32
ht_chantry_n,26,1758,12.8284,12.8284,13,32
ht_chantry_n,27,2598.6,15.8995,15.8995,14,32
ht_chantry_n,28,2216,13.0711,13.0711,12,32
ht_chantry_n,29,2676.4,15.3137,15.3137,13,32
ht_chantry_n,30,3142.4,18.5563,18.5563,15,32
ht_chantry_n,31,2346.8,17.4142,17.4142,18,32
ht_chantry_n,32,2220,16.4142,16.4142,17,32
ht_chantry_n,33,2571.8,16.8995,16.8995,15,32
ht_chantry_n,34,3333.6,19.4853,17.2426,18,32
ht_chantry_n,35,3185.6,18.3137,18.3137,16,32
ht_chantry_n,36,2593,17.0711,17.0711,16,32
ht_chantry_n,37,2864.6,19.8995,19.8995,18,32
ht_chantry_n,38,18340.4,16.4142,16.4142,17,32
ht_chantry_n,39,15552.6,17.2426,17.2426,17,32
ht_chantry_n,40,4091,23.5563,22.7279,20,32
ht_chantry_n,41,3582.4,22.4142,22.4142,23,32
ht_chantry_n,42,3700.6,22.1421,22.1421,19,32
ht_chantry_n,43,3777,23.8995,23.8995,22,32
ht_chantry_n,44,3966.2,22.4853,20.2426,21,32
ht_chantry_n,45,3073.8,20.0711,20.0711,19,32
ht_chantry_n,46,3430.4,21.8995,21.8995,20,32
ht_chantry_n,47,3919.4,22.9706,22.9706,19,32
ht_chantry_n,48,3682.2,22.4853,21.6569,21,32
ht_chantry_n,49,3778.2,23.7279,23.7279,21,32
ht_chantry_n,50,3831.4,26.6569,26.6569,26,32
ht_chantry_n,51,3778,26.1421,26.1421,23,32
ht_chantry_n,52,4822.8,31.5563,27.6569,28,32
ht_chantry_n,53,4533,27.8995,27.8995,26,32
ht_chantry_n,54,4090.4,26.7279,26.7279,24,32
ht_chantry_n,55,3736.8,25.4142,25.4142,26,32
ht_chantry_n,56,4647.8,27.9706,27.1421,24,32
ht_chantry_n,57,4951.4,31.0711,27.8995,30,32
ht_chantry_n,58,3899.8,24.7279,24.7279,22,32
ht_chantry_n,59,4136.4,25.4853,25.4853,24,32
ht_chantry_n,60,6574,29.7279,29.7279,27,32
ht_chantry_n,61,5132.6,29.4558,29.4558,23,32
ht_chantry_n,62,4666.6,29.1421,29.1421,26,32
ht_chantry_n,63,5667.8,29.6274,29.6274,24,32
ht_chantry_n,64,4670.2,29.3848,29.3848,25,32
ht_chantry_n,65,4625.6,28.2132,28.2132,23,32
ht_chantry_n,66,4246.4,31.0711,31.0711,30,32
ht_chantry_n,67,4073.6,28.8284,28.8284,29,32
ht_chantry_n,68,4386.8,28.3137,28.3137,26,32
ht_chantry_n,69,5552.8,31.4853,31.4853,30,32
ht_chantry_n,70,5559.8,33.2132,33.2132,28,32
ht_chantry_n,71,8472,35.4853,35.4853,34,32
ht_chantry_n,72,5928.8,33.3848,33.3848,29,32
ht_chantry_n,73,4310,32.2426,32.2426,32,32
ht_chantry_n,74,5373,34.5563,34.5563,31,32
ht_chantry_n,75,17311.8,37.5563,35.0711,34,32
ht_chantry_n,76,6168,37.3848,33.4853,33,32
ht_chantry_n,77,6358.8,36.4558,33.3848,30,32
ht_chantry_n,78,4076.4,35.4142,35.4142,36,32
ht_chantry_n,79,12251.8,34.7279,32.9706,32,32
ht_chantry_n,80,5547.2,37.4142,37.4142,38,32
ht_chantry_n,81,6157.4,39.1421,36.6569,36,32
ht_chantry_n,82,7011.8,38.7279,37.8995,36,32
ht_chantry_n,83,5734.4,37.4853,36.6569,36,32
ht_chantry_n,84,6818.4,38.9411,38.9411,30,32
ht_chantry_n,85,6171.8,37.1421,37.1421,34,32
ht_chantry_n,86,4795.2,36.2426,36.2426,36,32
ht_chantry_n,87,6139.2,37.4853,37.4853,36,32
ht_chantry_n,88,6907.8,43.5563,39.6569,40,32
ht_chantry_n,89,6878.6,38.5563,38.5563,35,32
ht_chantry_n,90,7936.2,46.4558,42.5563,40,32
ht_chantry_n,91,277404,44.2426,43.4142,44,32
ht_chantry_n,92,154918,51.8701,43.1421,45,32
ht_chantry_n,93,7836,42.7279,42.7279,40,32
ht_chantry_n,94,5513.2,42.0711,42.0711,41,32
ht_chantry_n,95,6724.4,42.1421,41.3137,39,32
ht_chantry_n,96,15202.2,41.7279,40.3137,39,32
ht_chantry_n,97,7246,41.0711,41.0711,40,32
ht_chantry_n,98,27012.6,42.3137,42.3137,40,32
ht_chantry_n,99,8431.6,46.8701,42.9706,40,32
ht_chantry_n,100,9337.6,47.1838,47.1838,37,32
ht_chantry_n,101,27967.8,49.9706,46.0711,46,32
ht_chantry_n,102,8646,45.3137,44.1421,43,32
ht_chantry_n,103,9038.8,47.0416,47.0416,41,32
ht_chantry_n,104,8853.2,48.9411,45.0416,40,32
ht_chantry_n,105,122123,44.0711,44.0711,43,32
ht_chantry_n,106,10259.2,48.2132,47.3848,43,32
ht_chantry_n,107,8424,45.8284,45.8284,46,32
ht_chantry_n,108,7182.4,44.2426,44.2426,44,32
ht_chantry_n,109,48383.8,47.6274,47.6274,42,32
ht_chantry_n,110,9794.6,50.2132,49.6274,45,32
ht_chantry_n,111,8183.6,48.0416,48.0416,42,32
ht_chantry_n,112,9605.6,52.799,51.6274,48,32
ht_chantry_n,113,9072.2,49.4558,49.4558,43,32
ht_chantry_n,114,9517,50.8995,49.2426,49,32
ht_chantry_n,115,7416.4,50.1421,50.1421,47,32
ht_chantry_n,116,8602.4,50.0416,48.8701,44,32
ht_chantry_n,117,8952.4,51.7279,51.7279,49,32
ht_chantry_n,118,536402,54.3848,51.8995,50,32
ht_chantry_n,119,9740.2,49.6274,49.6274,44,32
ht_chantry_n,120,9638.4,57.2132,55.4558,52,32
ht_chantry_n,121,10068.8,53.5269,53.5269,45,32
ht_chantry_n,122,11701,59.0122,55.1127,48,32
ht_chantry_n,123,7917.8,54.5563,53.9706,51,32
ht_chantry_n,124,15518.4,60.8701,52.9706,54,32
ht_chantry_n,125,36239.4,63.0416,54.3137,57,32
ht_chantry_n,126,216535,54.3848,54.3848,50,32
ht_chantry_n,127,10731.4,53.799,52.9706,49,32
ht_chantry_n,128,54446.4,58.9706,54.4853,55,32
ht_chantry_n,129,9810.2,53.4142,53.4142,54,32
ht_chantry_n,130,9305.4,56.2132,56.2132,51,32
ht_chantry_n,131,17238.6,57.4558,56.8701,51,32
ht_chantry_n,132,10016.4,57.5269,57.5269,49,32
ht_chantry_n,133,9341.2,57.2843,57.2843,50,32
ht_chantry_n,134,28549,57.5563,56.9706,54,32
ht_chantry_n,135,11457.8,65.4558,59.0711,59,32
ht_chantry_n,136,11247.6,60.1421,58.4853,57,32
ht_chantry_n,137,8809.8,57.1421,57.1421,54,32
ht_chantry_n,138,8059,56.7279,56.7279,54,32
ht_chantry_n,139,19363.4,59.3848,59.3848,55,32
ht_chantry_n,140,9526.2,62.1421,62.1421,59,32
ht_chantry_n,141,10479.8,60.0416,60.0416,54,32
ht_chantry_n,142,10922,61.4853,61.4853,60,32
ht_chantry_n,143,39374.4,72.799,62.8995,68,32
ht_chantry_n,144,11411.2,60.2843,60.2843,53,32
ht_chantry_n,145,9704.2,62.9706,62.9706,59,32
ht_chantry_n,146,11621,66.1838,63.0122,56,32
ht_chantry_n,147,11365.4,61.0416,61.0416,55,32
ht_chantry_n,148,11856.2,61.799,61.799,57,32
ht_chantry_n,149,162448,64.4853,62.2426,63,32
ht_chantry_n,150,15198.2,65.7279,65.1421,63,32
ht_chantry_n,151,23362.8,71.0416,66.2132,65,32
ht_chantry_n,152,361764,66.9706,64.4853,63,32
ht_chantry_n,153,391188,66.4558,65.6274,60,32
ht_chantry_n,154,11286.2,66.4853,66.4853,65,32
ht_chantry_n,155,42323.4,72.5269,65.6569,64,32
ht_chantry_n,156,25835,75.4975,66.5269,62,32
ht_chantry_n,157,97057.4,65.799,65.799,61,32
ht_chantry_n,158,12627.2,65.1838,65.1838,55,32
ht_chantry_n,159,955463,68.8701,65.5563,62,32
ht_chantry_n,160,106196,77.5563,71.5563,74,32
ht_chantry_n,161,13780.6,72.2132,71.0416,67,32
ht_chantry_n,162,1.95352e+06,73.3848,68.6569,69,32
ht_chantry_n,163,1.36563e+06,71.4558,70.6274,65,32
ht_chantry_n,164,15233.6,74.3553,69.8701,65,32
ht_chantry_n,165,17650.6,70.3848,69.2132,66,32
ht_chantry_n,166,30137.6,79.6985,71.8995,72,32
ht_chantry_n,167,154651,76.2843,71.2132,69,32
