map,scenid,tcost,distance,expect,steps,r
ht_keep,0,2758,5.82843,5.82843,6,32
ht_keep,1,1995.6,7.65685,7.65685,7,32
ht_keep,2,1391.4,4,4,5,32
ht_keep,3,2700.6,7.82843,7.82843,8,32
ht_keep,4,1428.8,7.41421,7.41421,8,32
ht_keep,5,2219.8,6.41421,6.41421,7,32
ht_keep,6,1070,4.41421,4.41421,5,32
ht_keep,7,1230,7.41421,7.41421,8,32
ht_keep,8,1681.4,6.82843,6.82843,7,32
ht_keep,9,1649,6.24264,6.24264,6,32
ht_keep,10,1860.2,9.65685,9.65685,9,32
ht_keep,11,2037.2,10.2426,10.2426,10,32
ht_keep,12,1923.8,9.24264,9.24264,9,32
ht_keep,13,1898,10.8284,10.8284,11,32
ht_keep,14,1754.6,9.24264,9.24264,9,32
ht_keep,15,1612.8,9.24264,9.24264,9,32
ht_keep,16,2321,11.4853,11.4853,10,32
ht_keep,17,2179,11.3137,11.3137,9,32
ht_keep,18,2192.4,9.48528,9.48528,8,32
ht_keep,19,2537.8,9.65685,9.65685,9,32
ht_keep,20,2662.6,14.8995,14.8995,13,32
ht_keep,21,2146.4,12.7279,12.7279,10,32
ht_keep,22,2208.8,13.2426,13.2426,13,32
ht_keep,23,2561.6,15.4853,15.4853,14,32
ht_keep,24,3705.8,12.8995,12.8995,11,32
ht_keep,25,2557.4,14.8995,14.8995,13,32
ht_keep,26,2838.8,15.5563,15.5563,12,32
ht_keep,27,3696.8,15.0711,15.0711,14,32
ht_keep,28,2723,14.6569,14.6569,14,32
ht_keep,29,2781.6,14.0711,14.0711,13,32
ht_keep,30,3320.4,17.4142,17.4142,18,32
ht_keep,31,3250.6,19.0711,19.0711,18,32
ht_keep,32,3134,17.2426,17.2426,17,32
ht_keep,33,3031.2,18.9706,18.9706,15,32
ht_keep,34,3438.8,16.6569,16.6569,16,32
ht_keep,35,4122.6,19.3137,19.3137,17,32
ht_keep,36,2862.6,16.4853,16.4853,15,32
ht_keep,37,2831.6,17.7279,17.7279,15,32
ht_keep,38,2971.6,18.4853,18.4853,17,32
ht_keep,39,3121,18.4853,18.4853,17,32
ht_keep,40,3794.2,21.2132,21.2132,16,32
ht_keep,41,5033.6,23.8995,23.8995,22,32
ht_keep,42,4260.6,21.7279,21.7279,19,32
ht_keep,43,3243.8,21.4142,21.4142,22,32
ht_keep,44,4357.6,22.2132,22.2132,17,32
ht_keep,45,3434.8,23.4853,22.6569,22,32
ht_keep,46,3202.6,21.2426,21.2426,21,32
ht_keep,47,3415.2,21.4853,21.4853,20,32
ht_keep,48,4639,22.2132,22.2132,17,32
ht_keep,49,4362.6,23.8284,23.8284,24,32
ht_keep,50,4513.6,27.7279,27.7279,25,32
ht_keep,51,4538.4,28.8284,27.6569,29,32
ht_keep,52,5651.6,27.5563,25.3137,24,32
ht_keep,53,4960.2,24.6569,24.6569,24,32
ht_keep,54,5382.2,25.7279,25.7279,23,32
ht_keep,55,5491.6,27.9706,27.9706,24,32
ht_keep,56,4260.6,26.0711,26.0711,25,32
ht_keep,57,4776,24.5563,24.5563,21,32
ht_keep,58,4455.4,27.2426,27.2426,27,32
ht_keep,59,10767.6,27.799,27.799,23,32
ht_keep,60,4645.6,28.3137,28.3137,26,32
ht_keep,61,4966.8,29.2132,29.2132,24,32
ht_keep,62,5980.2,30.0416,30.0416,24,32
ht_keep,63,6207.8,29.3848,29.3848,25,32
ht_keep,64,5104.8,31.1421,31.1421,28,32
ht_keep,65,5234.2,29.5563,29.5563,26,32
ht_keep,66,6094.2,34.1421,30.6274,31,32
ht_keep,67,5814.4,30.4853,29.8995,29,32
ht_keep,68,5164,28.0711,28.0711,27,32
ht_keep,69,4607.4,28.9706,28.1421,25,32
ht_keep,70,5084.4,32.3848,32.3848,28,32
ht_keep,71,5215.2,35.2426,35.2426,35,32
ht_keep,72,6447.8,33.8995,33.8995,32,32
ht_keep,73,8667.8,36.7279,33.0711,34,32
ht_keep,74,5675.6,34.5563,32.3137,31,32
ht_keep,75,5175.4,33.8995,33.8995,32,32
ht_keep,76,7307,37.4853,35.7279,36,32
ht_keep,77,5801.8,33.7279,33.7279,31,32
ht_keep,78,123365,32.7279,32.7279,30,32
ht_keep,79,6933.2,35.9706,35.9706,32,32
ht_keep,80,7348.2,36.3848,36.3848,32,32
ht_keep,81,6871.6,39.9706,39.1421,36,32
ht_keep,82,6130.2,38.1421,37.3137,35,32
ht_keep,83,7052.8,38.1421,37.3137,35,32
ht_keep,84,12227,36.799,36.799,32,32
ht_keep,85,7645.2,38.4558,38.4558,32,32
ht_keep,86,7558,39.4558,39.4558,33,32
ht_keep,87,14433,42.0416,38.9706,36,32
ht_keep,88,7288.4,38.6985,38.6985,31,32
ht_keep,89,7470,37.799,37.799,33,32
ht_keep,90,27598.8,44.799,43.6274,40,32
ht_keep,91,24677.6,43.3848,41.1421,39,32
ht_keep,92,8508,42.2843,41.4558,35,32
ht_keep,93,8033.4,41.0711,41.0711,40,32
ht_keep,94,65757.6,41.4853,41.4853,40,32
ht_keep,95,10656.2,50.6274,43.8995,45,32
ht_keep,96,11304.2,46.8701,42.3848,40,32
ht_keep,97,7917.6,41.6985,41.6985,34,32
ht_keep,98,8726.6,41.799,40.9706,37,32
ht_keep,99,7703,41.7696,41.7696,32,32
ht_keep,100,18089.4,44.3553,44.3553,35,32
ht_keep,101,24474.2,47.5563,46.6274,44,32
ht_keep,102,7410.6,48.9706,44.4853,45,32
ht_keep,103,7926,46.4853,46.4853,45,32
ht_keep,104,8572.4,47.2132,45.5563,42,32
ht_keep,105,8931.4,46.1421,45.3137,43,32
ht_keep,106,7334.6,45.9706,45.1421,42,32
ht_keep,107,29133.4,54.2843,47.799,47,32
ht_keep,108,7737.2,46.4853,46.4853,45,32
ht_keep,109,9965.6,46.8701,45.6985,40,32
ht_keep,110,9827,50.1421,48.6274,47,32
ht_keep,111,66754.4,49.8701,49.8701,43,32
ht_keep,112,60402.8,52.2132,49.9706,47,32
ht_keep,113,9443.2,49.7279,48.5563,47,32
ht_keep,114,56512.6,58.598,51.9706,48,32
ht_keep,115,9374.2,49.0416,49.0416,43,32
ht_keep,116,12903.4,50.9706,49.2132,47,32
ht_keep,117,450217,50.2426,50.2426,50,32
ht_keep,118,30275.8,59.0833,49.5269,46,32
ht_keep,119,33991.2,58.799,49.1838,54,32
ht_keep,120,10147.8,54.6274,53.799,49,32
ht_keep,121,606004,55.2426,55.2426,55,32
ht_keep,122,13344.6,56.6274,53.799,51,32
ht_keep,123,11797,53.1421,52.3137,50,32
ht_keep,124,12438.4,57.9706,54.3137,54,32
ht_keep,125,11002.2,52.3553,52.3553,43,32
ht_keep,126,10295.6,52.9411,52.9411,44,32
ht_keep,127,10390,55.7279,55.7279,53,32
ht_keep,128,82443,59.799,54.9706,55,32
ht_keep,129,89548.2,60.1838,54.7696,50,32
ht_keep,130,196542,66.7696,58.6274,57,32
ht_keep,131,846817,57.799,56.9706,53,32
ht_keep,132,11549.6,57.6274,57.6274,52,32
ht_keep,133,13114,61.5269,58.4558,53,32
ht_keep,134,11005.6,57.2843,56.4558,50,32
ht_keep,135,67422,65.0833,58.3553,52,32
ht_keep,136,41241,57.2132,57.2132,52,32
ht_keep,137,1.04628e+06,57.3553,57.3553,48,32
ht_keep,138,12370.2,60.4558,59.6274,54,32
ht_keep,139,25886.6,60.9706,58.0416,57,32
ht_keep,140,12528.6,62.5563,61.1421,59,32
ht_keep,141,535435,61.5563,61.5563,58,32
ht_keep,142,21856.2,72.9828,63.4264,57,32
ht_keep,143,195545,69.2548,60.2843,57,32
ht_keep,144,625133,64.6985,61.7696,57,32
ht_keep,145,13566,64.799,61.2843,60,32
ht_keep,146,57315.8,62.4558,61.8701,56,32
ht_keep,147,11230.6,60.1421,60.1421,57,32
ht_keep,148,314689,63.4558,63.4558,57,32
ht_keep,149,13114,63.799,63.799,59,32
ht_keep,150,442770,74.5269,64.6274,66,32
ht_keep,151,36276.4,65.799,64.9706,61,32
ht_keep,152,59569.2,68.0416,67.2132,62,32
ht_keep,153,14765.2,66.9117,66.9117,53,32
ht_keep,154,19096.8,66.4558,64.6985,60,32
ht_keep,155,13322.4,65.9411,65.1127,57,32
ht_keep,156,29441.4,71.4264,65.0833,60,32
ht_keep,157,633247,71.7696,65.8701,62,32
ht_keep,158,385964,68.7279,67.8995,66,32
ht_keep,159,114190,66.799,66.799,62,32
ht_keep,160,13119.8,71.8284,71.8284,72,32
ht_keep,161,14350.8,68.0416,68.0416,62,32
ht_keep,162,169278,71.6274,71.6274,66,32
ht_keep,163,433204,73.2132,69.0711,68,32
ht_keep,164,83951.8,75.0122,68.2843,64,32
ht_keep,165,235312,86.0122,71.8701,75,32
ht_keep,166,48714.6,71.9411,69.598,63,32
ht_keep,167,40503.2,71.6985,71.6985,64,32
ht_keep,168,1.44585e+06,72.8701,70.3848,66,32
ht_keep,169,46684.4,76.3553,71.6274,67,32
ht_keep,170,232616,72.799,72.799,68,32
ht_keep,171,25884.8,80.397,74.4975,64,32
ht_keep,172,15912.2,76.0416,74.3848,70,32
ht_keep,173,14745.4,74.2132,74.2132,69,32
ht_keep,174,22181.8,80.7696,74.8701,71,32
ht_keep,175,13604.6,73.9411,72.2843,65,32
ht_keep,176,15353.6,73.799,73.799,69,32
ht_keep,177,18287.4,79.4264,72.8406,68,32
ht_keep,178,63521.8,79.1127,75.6985,71,32
ht_keep,179,96743.6,86.3553,72.3137,77,32
ht_keep,180,78244.6,89.8406,77.8995,78,32
ht_keep,181,16583.6,83.9117,79.4264,70,32
ht_keep,182,15819,79.0711,79.0711,78,32
ht_keep,183,16703.8,78.2843,78.2843,71,32
ht_keep,184,56734.2,81.3553,77.2548,72,32
ht_keep,185,90767,79.9411,77.4558,71,32
ht_keep,186,29205.8,85.4975,78.1838,72,32
ht_keep,187,646578,76.2132,76.2132,71,32
ht_keep,188,16437.8,80.799,79.9706,76,32
ht_keep,189,81620.2,78.5563,78.5563,75,32
ht_keep,190,229127,83.2132,83.2132,78,32
ht_keep,191,283342,93.1838,80.3553,83,32
ht_keep,192,26297.8,96.1543,81.5269,81,32
ht_keep,193,371348,81.0416,81.0416,75,32
ht_keep,194,154802,85.2843,81.0416,78,32
ht_keep,195,21969.8,83.1543,80.669,68,32
ht_keep,196,47131.4,95.9411,80.4853,87,32
ht_keep,197,655820,85.3848,83.7279,81,32
ht_keep,198,930503,82.1127,80.6985,74,32
ht_keep,199,3.22746e+06,83.6274,83.6274,78,32
ht_keep,200,22316.8,93.4975,87.8406,80,32
ht_keep,201,2.19585e+06,84.6985,84.6985,77,32
ht_keep,202,891706,85.4558,85.4558,79,32
ht_keep,203,19794.4,86.3553,84.6985,77,32
ht_keep,204,220743,84.1838,84.1838,74,32
ht_keep,205,18257.2,88.1543,86.4975,73,32
ht_keep,206,31523.2,96.0538,86.2548,78,32
ht_keep,207,277943,85.598,85.598,75,32
ht_keep,208,22946.6,92.0416,86.7279,86,32
ht_keep,209,17497.6,87.0711,87.0711,86,32
ht_keep,210,70909.6,94.4975,90.8406,81,32
ht_keep,211,1.25561e+06,98.4558,88.0711,92,32
ht_keep,212,32021,102.527,89.0711,94,32
ht_keep,213,49385.2,96.0122,90.8406,85,32
