map,scenid,tcost,distance,expect,steps,r
ht_keep_n,0,2929.2,6.24264,6.24264,6,16
ht_keep_n,1,1846.4,6.41421,6.41421,7,16
ht_keep_n,2,1301.6,4.82843,4.82843,5,16
ht_keep_n,3,1956.8,7,7,8,16
ht_keep_n,4,1590.2,6.65685,6.65685,6,16
ht_keep_n,5,1225.4,4.41421,4.41421,5,16
ht_keep_n,6,1228.8,6,6,7,16
ht_keep_n,7,1653.4,7.07107,7.07107,6,16
ht_keep_n,8,1237.4,6.41421,6.41421,7,16
ht_keep_n,9,1110.6,5.24264,5.24264,5,16
ht_keep_n,10,2020.4,10.8284,10.8284,11,16
ht_keep_n,11,2375.2,10.6569,10.6569,10,16
ht_keep_n,12,2076.8,11.8284,11.8284,12,16
ht_keep_n,13,1905.2,9.89949,9.89949,8,16
ht_keep_n,14,2288.8,11.6569,11.6569,11,16
ht_keep_n,15,2052.6,8.24264,8.24264,8,16
ht_keep_n,16,1683.8,9.24264,9.24264,9,16
ht_keep_n,17,2885.4,11.8995,11.8995,10,16
ht_keep_n,18,1831,10.8284,10.8284,11,16
ht_keep_n,19,1470.2,9.41421,9.41421,10,16
ht_keep_n,20,1727.8,12.0711,12.0711,11,16
ht_keep_n,21,2031.6,14.2426,14.2426,14,16
ht_keep_n,22,1999.8,12.4142,12.4142,13,16
ht_keep_n,23,1890.4,13.8284,13.8284,14,16
ht_keep_n,24,2806.2,15.6569,15.6569,15,16
ht_keep_n,25,2850.8,13.6569,12.8284,13,16
ht_keep_n,26,2117,13.0711,13.0711,12,16
ht_keep_n,27,2032.6,13.0711,13.0711,12,16
ht_keep_n,28,1761.2,12.2426,12.2426,12,16
ht_keep_n,29,2129.2,14.0711,14.0711,13,16
ht_keep_n,30,3366,17.2426,17.2426,17,16
ht_keep_n,31,3082,19.8284,19.8284,20,16
ht_keep_n,32,10831.8,19.0711,19.0711,18,16
ht_keep_n,33,3298.8,17.5563,17.5563,14,16
ht_keep_n,34,3750.8,18.6569,18.6569,18,16
ht_keep_n,35,3773.6,19.7279,19.7279,17,16
ht_keep_n,36,4374.6,19.6569,19.6569,19,16
ht_keep_n,37,4276.6,18.9706,18.9706,15,16
ht_keep_n,38,3089.8,17.1421,17.1421,14,16
ht_keep_n,39,2383.2,17.0711,17.0711,16,16
ht_keep_n,40,5326.4,23.2132,23.2132,18,16
ht_keep_n,41,4053.4,22.3848,22.3848,18,16
ht_keep_n,42,3953.4,22.4853,20.2426,21,16
ht_keep_n,43,3174.6,23.0711,22.2426,22,16
ht_keep_n,44,2980.2,21.2426,21.2426,21,16
ht_keep_n,45,12180,23.0711,23.0711,22,16
ht_keep_n,46,4087.2,23.3848,23.3848,19,16
ht_keep_n,47,3265.6,20.0711,20.0711,19,16
ht_keep_n,48,3062.8,22.2426,22.2426,22,16
ht_keep_n,49,3783.4,22.7279,22.7279,20,16
ht_keep_n,50,3633,25.4142,25.4142,26,16
ht_keep_n,51,5262,26.8995,26.8995,25,16
ht_keep_n,52,4446.8,24.799,24.799,20,16
ht_keep_n,53,4116.8,25.2426,25.2426,25,16
ht_keep_n,54,3877.4,25.4853,25.4853,24,16
ht_keep_n,55,4890.6,27.0711,27.0711,26,16
ht_keep_n,56,3911.4,27.4142,27.4142,28,16
ht_keep_n,57,3776.6,25.6569,25.6569,25,16
ht_keep_n,58,4733.8,26.3137,26.3137,24,16
ht_keep_n,59,4222,25.3137,25.3137,23,16
ht_keep_n,60,5804,28.6569,28.6569,28,16
ht_keep_n,61,5429.8,30.2426,30.2426,30,16
ht_keep_n,62,6404.4,31.2132,28.9706,26,16
ht_keep_n,63,5659,30.0416,30.0416,24,16
ht_keep_n,64,8919.2,33.1421,28.6569,30,16
ht_keep_n,65,4699.4,30.8284,30.8284,31,16
ht_keep_n,66,5359.6,31.3848,31.3848,27,16
ht_keep_n,67,5046.4,28.5563,28.5563,25,16
ht_keep_n,68,4638,29.3137,29.3137,27,16
ht_keep_n,69,4742.6,30.6569,30.6569,30,16
ht_keep_n,70,6432.2,35.0416,35.0416,29,16
ht_keep_n,71,5605.6,35.8284,35.8284,36,16
ht_keep_n,72,5663.2,33.4558,33.4558,27,16
ht_keep_n,73,5578.2,35.5563,34.7279,32,16
ht_keep_n,74,9184,40.799,32.8995,36,16
ht_keep_n,75,5424.4,32.9706,32.1421,29,16
ht_keep_n,76,5349.8,34.4142,34.4142,35,16
ht_keep_n,77,6913.8,35.5563,35.5563,32,16
ht_keep_n,78,5738,34.8995,34.0711,33,16
ht_keep_n,79,4662.8,32,32,33,16
ht_keep_n,80,6270.8,38.5563,38.5563,35,16
ht_keep_n,81,4973.2,36.2426,36.2426,36,16
ht_keep_n,82,6456,36.3137,36.3137,34,16
ht_keep_n,83,13245.6,40.3848,37.799,36,16
ht_keep_n,84,7327.6,39.9411,39.9411,31,16
ht_keep_n,85,6774.6,38.1127,37.2843,30,16
ht_keep_n,86,136105,40.9706,36.9706,37,16
ht_keep_n,87,7289.4,38.8701,38.8701,32,16
ht_keep_n,88,7838.2,38.9706,38.9706,35,16
ht_keep_n,89,9072.4,40.2132,37.9706,35,16
ht_keep_n,90,7788.8,41.4558,41.4558,35,16
ht_keep_n,91,7643.8,41.0711,41.0711,40,16
ht_keep_n,92,11487.6,49.9706,41.8284,46,16
ht_keep_n,93,8405.6,44.8995,43.1421,43,16
ht_keep_n,94,9137.4,46.6985,42.2132,39,16
ht_keep_n,95,7111.2,42.3137,41.7279,40,16
ht_keep_n,96,10422.2,52.6985,43.7279,45,16
ht_keep_n,97,8408,43.1838,43.1838,33,16
ht_keep_n,98,7593.8,40.9411,40.9411,32,16
ht_keep_n,99,7740.6,45.0711,42.8284,44,16
ht_keep_n,100,152832,48.3848,44.9706,44,16
ht_keep_n,101,6372.4,46.2426,45.6569,46,16
