map,scenid,tcost,distance,expect,steps,r
ht_mansion2b,0,1612,6.82843,6.82843,7,0
ht_mansion2b,1,1428.8,7.41421,7.41421,8,0
ht_mansion2b,2,1138.4,7.41421,7.41421,8,0
ht_mansion2b,3,818.4,7.41421,7.41421,8,0
ht_mansion2b,4,1403.6,7.82843,7.82843,8,0
ht_mansion2b,5,1200.6,6.24264,6.24264,6,0
ht_mansion2b,6,838,5,5,6,0
ht_mansion2b,7,1636.6,7.65685,7.65685,7,0
ht_mansion2b,8,1024,6.82843,6.82843,7,0
ht_mansion2b,9,826.2,5,5,6,0
ht_mansion2b,10,1951.4,10.0711,10.0711,9,0
ht_mansion2b,11,1796.6,9.82843,9.82843,10,0
ht_mansion2b,12,1574,8.65685,8.65685,8,0
ht_mansion2b,13,1377.6,8.07107,8.07107,7,0
ht_mansion2b,14,1768.8,11.0711,11.0711,10,0
ht_mansion2b,15,1619.8,10,10,11,0
ht_mansion2b,16,1322.8,9.07107,9.07107,8,0
ht_mansion2b,17,1431.2,10.8284,10.8284,11,0
ht_mansion2b,18,1924.2,11.8995,11.8995,10,0
ht_mansion2b,19,1370,8.41421,8.41421,9,0
ht_mansion2b,20,1398.6,12.4142,12.4142,13,0
ht_mansion2b,21,2533.8,15.4853,15.4853,14,0
ht_mansion2b,22,2125.4,14.8284,14.8284,15,0
ht_mansion2b,23,1944.6,12.2426,12.2426,12,0
ht_mansion2b,24,1976.6,14.2426,14.2426,14,0
ht_mansion2b,25,2464.8,14.7279,14.7279,12,0
ht_mansion2b,26,1738,12.0711,12.0711,11,0
ht_mansion2b,27,3809,13.8284,13.8284,14,0
ht_mansion2b,28,2773,15.1421,15.1421,12,0
ht_mansion2b,29,2855,12.4142,12.4142,13,0
ht_mansion2b,30,2913.6,19.7279,19.7279,17,0
ht_mansion2b,31,1816.2,16.0711,16.0711,15,0
ht_mansion2b,32,2860.8,16.4853,16.4853,15,0
ht_mansion2b,33,3069.4,19.8995,19.8995,18,0
ht_mansion2b,34,3258,19.8995,19.8995,18,0
ht_mansion2b,35,2384.2,19.2426,19.2426,19,0
ht_mansion2b,36,2819,18.3137,18.3137,16,0
ht_mansion2b,37,2522.4,16.8995,16.8995,15,0
ht_mansion2b,38,2840.2,19.3848,19.3848,15,0
ht_mansion2b,39,3623.8,17.6569,17.6569,17,0
ht_mansion2b,40,10386.2,23.9706,23.9706,20,0
ht_mansion2b,41,3440.4,23.6569,23.6569,23,0
ht_mansion2b,42,8666.8,21.8995,21.8995,20,0
ht_mansion2b,43,2483.8,20.6569,20.6569,20,0
ht_mansion2b,44,6817.4,21.6569,21.6569,21,0
ht_mansion2b,45,2817.4,22.8284,22.8284,23,0
ht_mansion2b,46,3664.2,20.5563,20.5563,17,0
ht_mansion2b,47,9045.8,22.4853,22.4853,21,0
ht_mansion2b,48,9639.8,23.6569,23.6569,23,0
ht_mansion2b,49,3983.8,23.8995,23.8995,22,0
ht_mansion2b,50,4641,24.2132,24.2132,19,0
ht_mansion2b,51,12204.4,26.2426,26.2426,26,0
ht_mansion2b,52,3110,25.4142,25.4142,26,0
ht_mansion2b,53,3654.6,24.7279,24.7279,22,0
ht_mansion2b,54,9317.4,26.3137,26.3137,24,0
ht_mansion2b,55,4255.2,26.3137,26.3137,24,0
ht_mansion2b,56,4088.6,26.3137,26.3137,24,0
ht_mansion2b,57,5372,24.799,24.799,20,0
ht_mansion2b,58,4752.6,26.6274,26.6274,21,0
ht_mansion2b,59,4041,24.1421,24.1421,21,0
ht_mansion2b,60,11114,31.0711,31.0711,30,0
ht_mansion2b,61,4808.4,31.1421,31.1421,28,0
ht_mansion2b,62,12499,28.9706,28.9706,25,0
ht_mansion2b,63,3530,29.4142,29.4142,30,0
ht_mansion2b,64,3305,30,30,31,0
ht_mansion2b,65,18574.6,28.9706,28.9706,25,0
ht_mansion2b,66,5458,30.9706,30.9706,27,0
ht_mansion2b,67,8956.4,28.4853,28.4853,27,0
ht_mansion2b,68,8540.6,30.1421,30.1421,27,0
ht_mansion2b,69,19861.8,28.1421,28.1421,25,0
ht_mansion2b,70,5536.8,35.8995,35.8995,34,0
ht_mansion2b,71,5511.6,33.1421,33.1421,30,0
ht_mansion2b,72,12938.6,32.7279,32.7279,30,0
ht_mansion2b,73,5281.4,34.2132,34.2132,29,0
ht_mansion2b,74,10087.4,34.7279,34.7279,32,0
ht_mansion2b,75,6299.6,35.6274,35.6274,30,0
ht_mansion2b,76,8565.2,33.8284,33.8284,34,0
ht_mansion2b,77,20946.4,33.3137,33.3137,31,0
ht_mansion2b,78,5365,34.8284,34.8284,35,0
ht_mansion2b,79,15377.8,34.6569,34.6569,34,0
ht_mansion2b,80,16885.2,38.1127,38.1127,30,0
ht_mansion2b,81,3950,37,37,38,0
ht_mansion2b,82,17183,39.4558,39.4558,33,0
ht_mansion2b,83,10521.2,39.2132,39.2132,34,0
ht_mansion2b,84,18105.6,39.9706,39.9706,36,0
ht_mansion2b,85,3766,36.8284,36.8284,37,0
ht_mansion2b,86,16189.6,38.3137,38.3137,36,0
ht_mansion2b,87,19331,38.2843,38.2843,31,0
ht_mansion2b,88,3935,38.8284,38.8284,39,0
ht_mansion2b,89,13620.4,37.4853,37.4853,36,0
ht_mansion2b,90,6561,42.7279,42.7279,40,0
ht_mansion2b,91,22952.8,41.3848,41.3848,37,0
ht_mansion2b,92,39868.6,41.799,41.799,37,0
ht_mansion2b,93,46029.2,40.5563,40.5563,37,0
ht_mansion2b,94,17872.4,40.8995,40.8995,39,0
ht_mansion2b,95,35233.8,43.8284,43.8284,44,0
ht_mansion2b,96,6832.4,41.4853,41.4853,40,0
ht_mansion2b,97,29957.2,43.4853,43.4853,42,0
ht_mansion2b,98,21567,42.6569,42.6569,42,0
ht_mansion2b,99,19515,41.0711,41.0711,40,0
ht_mansion2b,100,35507.8,44.4853,44.4853,43,0
ht_mansion2b,101,41876.2,47.1421,47.1421,44,0
ht_mansion2b,102,7348.8,45.4853,45.4853,44,0
ht_mansion2b,103,53542.4,47.799,47.799,43,0
ht_mansion2b,104,7716.8,46.7279,46.7279,44,0
ht_mansion2b,105,53059.4,47.6274,47.6274,42,0
ht_mansion2b,106,12419.8,46.6985,46.6985,39,0
ht_mansion2b,107,4687.4,47.2426,47.2426,47,0
ht_mansion2b,108,14360.8,44.2132,44.2132,39,0
ht_mansion2b,109,6584,47.3848,47.3848,43,0
ht_mansion2b,110,60521.6,48.8284,48.8284,49,0
ht_mansion2b,111,30518.2,51.799,51.799,47,0
ht_mansion2b,112,7239.4,49.3848,49.3848,45,0
ht_mansion2b,113,34292,49.7279,49.7279,47,0
ht_mansion2b,114,10517.4,48.3137,48.3137,46,0
ht_mansion2b,115,19572.8,51.2843,51.2843,44,0
ht_mansion2b,116,72325.2,50.8284,50.8284,51,0
ht_mansion2b,117,10485,51.2132,51.2132,46,0
ht_mansion2b,118,8806.4,49.3137,49.3137,47,0
ht_mansion2b,119,43228,51.1421,51.1421,48,0
ht_mansion2b,120,14204.4,55.8995,55.8995,54,0
ht_mansion2b,121,41337.2,52.6569,52.6569,52,0
ht_mansion2b,122,10557,52.3848,52.3848,48,0
ht_mansion2b,123,73676,52.6274,52.6274,47,0
ht_mansion2b,124,43740.6,52.7279,52.7279,50,0
ht_mansion2b,125,41202.8,55.8284,55.8284,56,0
ht_mansion2b,126,67338.8,55.8284,55.8284,56,0
ht_mansion2b,127,19377.2,52.0711,52.0711,51,0
ht_mansion2b,128,8836.4,52.4558,52.4558,46,0
ht_mansion2b,129,13952.4,55.6569,55.6569,55,0
ht_mansion2b,130,61219.2,59.4558,59.4558,53,0
ht_mansion2b,131,33896.6,58.4558,58.4558,52,0
ht_mansion2b,132,73093.2,56.2132,56.2132,51,0
ht_mansion2b,133,35280.2,56.7279,56.7279,54,0
ht_mansion2b,134,58553.4,58.2132,58.2132,53,0
ht_mansion2b,135,39735.4,59.3137,59.3137,57,0
ht_mansion2b,136,50089.8,58.8995,58.8995,57,0
ht_mansion2b,137,65705.4,59.7279,59.7279,57,0
ht_mansion2b,138,31473.4,57.7696,57.7696,48,0
ht_mansion2b,139,29371.2,57.1421,57.1421,54,0
ht_mansion2b,140,11504,62.3259,62.3259,48,0
ht_mansion2b,141,58771,60.2132,60.2132,55,0
ht_mansion2b,142,83873.6,60.9706,60.9706,57,0
ht_mansion2b,143,11708.6,62.1421,62.1421,59,0
ht_mansion2b,144,17046.4,63.1421,63.1421,60,0
ht_mansion2b,145,45163.2,62.1421,62.1421,59,0
ht_mansion2b,146,46316.6,63.5563,63.5563,60,0
ht_mansion2b,147,39460.2,60.3848,60.3848,56,0
ht_mansion2b,148,57198.6,63.1127,63.1127,55,0
ht_mansion2b,149,16351.6,63.0711,63.0711,62,0
