map,scenid,tcost,distance,expect,steps,r
ht_mansion_n,0,2586.8,6.82843,6.82843,7,8
ht_mansion_n,1,1445,5.41421,5.41421,6,8
ht_mansion_n,2,1064.8,5.41421,5.41421,6,8
ht_mansion_n,3,1282.4,5.41421,5.41421,6,8
ht_mansion_n,4,845.6,4.41421,4.41421,5,8
ht_mansion_n,5,1763,7.82843,7.82843,8,8
ht_mansion_n,6,1538.8,7.65685,7.65685,7,8
ht_mansion_n,7,1315.8,5.65685,5.65685,5,8
ht_mansion_n,8,887,4,4,5,8
ht_mansion_n,9,982.8,4.82843,4.82843,5,8
ht_mansion_n,10,1766,10.0711,10.0711,9,8
ht_mansion_n,11,1565,9.82843,9.82843,10,8
ht_mansion_n,12,2009.8,10.0711,10.0711,9,8
ht_mansion_n,13,2362,11.6569,11.6569,11,8
ht_mansion_n,14,1788.2,11.2426,11.2426,11,8
ht_mansion_n,15,1652.8,11.8284,11.8284,12,8
ht_mansion_n,16,2051.2,11,11,12,8
ht_mansion_n,17,1509,8.07107,8.07107,7,8
ht_mansion_n,18,1493.8,8.82843,8.82843,9,8
ht_mansion_n,19,1619.8,9.24264,9.24264,9,8
ht_mansion_n,20,2512.6,12.0711,12.0711,11,8
ht_mansion_n,21,2175.4,12.7279,12.7279,10,8
ht_mansion_n,22,2787.4,14.8995,14.8995,13,8
ht_mansion_n,23,2471.2,14.8284,14.8284,15,8
ht_mansion_n,24,2249.2,13.4142,13.4142,14,8
ht_mansion_n,25,7545.8,16.4853,15.6569,15,8
ht_mansion_n,26,2577.6,15.6569,15.6569,15,8
ht_mansion_n,27,2440.4,13.8995,13.8995,12,8
ht_mansion_n,28,1957.6,13.0711,13.0711,12,8
ht_mansion_n,29,2035.4,12.4853,12.4853,11,8
ht_mansion_n,30,3416.8,19.1421,19.1421,16,8
ht_mansion_n,31,2722.6,17.8995,17.8995,16,8
ht_mansion_n,32,3043.4,17.6569,16.8284,17,8
ht_mansion_n,33,3264,17.7279,17.7279,15,8
ht_mansion_n,34,2804.8,17.0711,17.0711,16,8
ht_mansion_n,35,3069.4,17.9706,17.9706,14,8
ht_mansion_n,36,3180.6,18.8995,18.8995,17,8
ht_mansion_n,37,3057,19.3137,19.3137,17,8
ht_mansion_n,38,3209.2,19.0711,19.0711,18,8
ht_mansion_n,39,2943.2,19.8284,19.8284,20,8
ht_mansion_n,40,3441.6,20.799,20.799,16,8
ht_mansion_n,41,2919.2,22.4142,22.4142,23,8
ht_mansion_n,42,3817.2,22.6569,22.6569,22,8
ht_mansion_n,43,6499.8,25.5563,22.1421,22,8
ht_mansion_n,44,9668.2,27.3848,23.1421,23,8
ht_mansion_n,45,3655.6,23.9706,23.9706,20,8
ht_mansion_n,46,3544.6,20.8995,20.8995,19,8
ht_mansion_n,47,3921.6,23.5563,21.3137,20,8
ht_mansion_n,48,3698.2,23.4853,23.4853,22,8
ht_mansion_n,49,4618.2,22.7279,21.5563,20,8
ht_mansion_n,50,3858.4,28.7279,27.8995,26,8
ht_mansion_n,51,3932.6,26.0711,26.0711,25,8
ht_mansion_n,52,3927,26.2426,25.4142,26,8
ht_mansion_n,53,26697.6,26.0711,26.0711,25,8
ht_mansion_n,54,7173.4,31.2132,25.8995,26,8
ht_mansion_n,55,3818.2,25.4853,25.4853,24,8
ht_mansion_n,56,5211.4,27.5563,26.3848,24,8
ht_mansion_n,57,4037.2,24.3848,24.3848,20,8
ht_mansion_n,58,4404.8,26.4853,25.0711,25,8
ht_mansion_n,59,4286.6,27.0711,26.2426,26,8
ht_mansion_n,60,5086.2,30.0711,30.0711,29,8
ht_mansion_n,61,5850.4,31.799,31.799,27,8
ht_mansion_n,62,4753.4,30.5563,28.8995,27,8
ht_mansion_n,63,6643,35.1421,31.4853,32,8
ht_mansion_n,64,4774.8,29.2426,29.2426,29,8
ht_mansion_n,65,5425.2,31.2132,31.2132,26,8
ht_mansion_n,66,7665.6,39.4558,31.8995,33,8
ht_mansion_n,67,5230.4,31.5563,31.5563,28,8
ht_mansion_n,68,7513.4,34.1421,31.3137,31,8
ht_mansion_n,69,50057.4,31.0711,30.2426,30,8
ht_mansion_n,70,7266.2,34.4558,34.4558,28,8
ht_mansion_n,71,8088.8,37.8995,35.8995,36,8
ht_mansion_n,72,5353.2,32.7279,32.7279,30,8
ht_mansion_n,73,7906,39.0416,35.3848,33,8
ht_mansion_n,74,5736.6,33.3848,33.3848,29,8
ht_mansion_n,75,5447.8,32.5563,32.5563,29,8
ht_mansion_n,76,7368,39.2843,34.799,32,8
ht_mansion_n,77,6491.6,37.3137,33.6569,35,8
ht_mansion_n,78,6715,36.8701,34.6274,30,8
ht_mansion_n,79,13748,40.1127,32.5563,32,8
ht_mansion_n,80,6391.6,40.6274,39.799,35,8
ht_mansion_n,81,7148.8,39.6274,39.6274,34,8
ht_mansion_n,82,5236.2,36.3137,36.3137,34,8
ht_mansion_n,83,25431.2,38.4558,38.4558,32,8
ht_mansion_n,84,10387.2,43.3848,38.8995,39,8
ht_mansion_n,85,24743.4,38.7279,37.8995,36,8
ht_mansion_n,86,9809,44.5269,39.2132,36,8
ht_mansion_n,87,6801.8,37.8701,37.8701,31,8
ht_mansion_n,88,235332,39.7279,39.7279,37,8
ht_mansion_n,89,7509.8,39.4558,38.6274,33,8
ht_mansion_n,90,13106.6,44.799,40.5563,40,8
ht_mansion_n,91,10164.2,46.3553,41.8701,37,8
ht_mansion_n,92,10640,43.4853,43.4853,42,8
ht_mansion_n,93,6589.4,41.5563,40.7279,38,8
ht_mansion_n,94,65512.4,43.8995,43.8995,42,8
ht_mansion_n,95,104157,40.799,40.799,36,8
